title	link	summary	green_innovation	business_innovation	green_product	green_process	company	official_company_name	product_or_process	likely_naics_codes	greenwashing
It's time for The Big Food Redesign Challenge! - ellenmacarthurfoundation.org	https://news.google.com/rss/articles/CBMiWmh0dHBzOi8vd3d3LmVsbGVubWFjYXJ0aHVyZm91bmRhdGlvbi5vcmcvbmV3cy9pdHMtdGltZS1mb3ItdGhlLWJpZy1mb29kLXJlZGVzaWduLWNoYWxsZW5nZdIBAA?oc=5	The Big Food Redesign Challenge is a program encouraging food producers, brands, and retailers to apply circular design principles to their products. This initiative aims to create food that regenerates nature and addresses sustainability concerns. Participants will be supported in designing and developing new or redesigned food products with a focus on circularity and environmental benefits.	True	True	True	True	Waitrose	Waitrose & Partners	Food products designed using circular design principles	['445110 - Grocery Stores', '311111 - Animal Food Manufacturing', '311421 - Fruit and Vegetable Canning', '311999 - Other Food Manufacturing']	The challenge focuses on promoting genuine sustainable practices and regenerative food production, making it unlikely to be an example of greenwashing.
UN offers 'roadmap' to reducing plastic pollution by 80% by 2040 - Fox Weather	https://news.google.com/rss/articles/CBMiSmh0dHBzOi8vd3d3LmZveHdlYXRoZXIuY29tL2VhcnRoLXNwYWNlL3VuLXJlcG9ydC1wbGFzdGljLXBvbGx1dGlvbi1ieS0yMDQw0gFOaHR0cHM6Ly93d3cuZm94d2VhdGhlci5jb20vZWFydGgtc3BhY2UvdW4tcmVwb3J0LXBsYXN0aWMtcG9sbHV0aW9uLWJ5LTIwNDAuYW1w?oc=5	The UN Environment Programme has released a report outlining a roadmap to reduce plastic pollution by 80% by 2040.  The report emphasizes the shift towards a circular economy model, promoting reuse, recycling, and alternative materials to replace plastics.  This shift is projected to result in significant economic, social, and environmental benefits, including cost savings, job creation, and reduced pollution.	True	True	False	True	UN Environment Programme	United Nations Environment Programme	Circular economy model	['541611 - Environmental Consulting Services', '519130 - Environmental Protection Activities', '325999 - All Other Plastics Product Manufacturing', '423830 - Waste Material Merchant Wholesalers']	The report does not describe any greenwashing practices, but instead promotes genuine sustainability efforts through a circular economy model.
End-of-life Recycling in the Fashion Industry | BCG - BCG	https://news.google.com/rss/articles/CBMiU2h0dHBzOi8vd3d3LmJjZy5jb20vcHVibGljYXRpb25zLzIwMjMvZW5kLW9mLWxpZmUtcmVjeWNsaW5nLWluLXRoZS1mYXNoaW9uLWluZHVzdHJ50gEA?oc=5	The article discusses the complexities and inefficiencies within the textile end-of-life value chain, highlighting challenges in collection, sorting, reuse, and recycling. It emphasizes the need for industry-wide collaboration and innovation to scale circular solutions, including advancements in closed-loop recycling technologies and incentivized take-back schemes.  The article also proposes a framework for companies to develop and implement comprehensive circularity strategies.	True	True	False	True	BCG	Boston Consulting Group	Circelligence	['313210 - Apparel Manufacturing', '424510 - Merchant Wholesalers, Textile Products', '541990 - All Other Professional, Scientific, and Technical Services', '493190 - Other Waste Management Services']	The article does not identify any examples of greenwashing within the textile industry, but rather encourages transparency and authentic communication about circularity efforts.
May 2 - Ecology seeks comments on rule for recycled content in plastic packaging - Washington State Department of Ecology	https://news.google.com/rss/articles/CBMiZmh0dHBzOi8vZWNvbG9neS53YS5nb3YvYWJvdXQtdXMvd2hvLXdlLWFyZS9uZXdzLzIwMjMvbWF5LTItZWNvbG9neS1zZWVrcy1jb21tZW50cy1vbi1ydWxlLWZvci1yZWN5Y2xlZNIBAA?oc=5	Washington state is implementing a law requiring producers of certain packaging products to include a minimum amount of recycled content, with the goal of reducing plastic pollution and greenhouse gas emissions. The Department of Ecology is seeking public feedback on the proposed rule for implementing this law, which includes establishing enforcement procedures and producer fees. This rule is expected to take effect in January 2024.	True	False	False	False	company not identified	Washington Department of Ecology	recycled content in packaging	['325999', 'All Other Miscellaneous Manufacturing', '424410', 'Recyclable Material Merchant Wholesalers', '424510', 'Scrap and Waste Material Merchant Wholesalers', '519190', 'Other Information Services']	The article does not describe any potential for greenwashing.
In focus: eBay - M&G	https://news.google.com/rss/articles/CBMiamh0dHBzOi8vd3d3Lm1hbmRnLmNvbS9pbnZlc3RtZW50cy9wcm9mZXNzaW9uYWwtaW52ZXN0b3IvZW4tZ2IvaW5zaWdodHMvc3BvdGxpZ2h0L3Bvc2l0aXZlLWltcGFjdC1mdW5kL2ViYXnSAQA?oc=5	eBay's business model centers around 're-commerce,' selling used and refurbished goods, contributing to the circular economy. This reduces reliance on new products, leading to less material extraction, energy-intensive production, and landfill waste.  The company collects impact data and publishes an annual report outlining its sustainability initiatives.	True	True	False	True	eBay	eBay Inc.	re-commerce platform	['454110 - Electronic Shopping and Mail-Order Houses', '519190 - Other Information Services', '448320 - Used Merchandise Stores', '423840 - Wholesale Trade of Used and Rebuilt Motor Vehicle Parts']	The article does not indicate any greenwashing practices by eBay.
Circular economy solution gives electric vehicle batteries a second life - Cordis News	https://news.google.com/rss/articles/CBMic2h0dHBzOi8vY29yZGlzLmV1cm9wYS5ldS9hcnRpY2xlL2lkLzQ0MzQxMi1jaXJjdWxhci1lY29ub215LXNvbHV0aW9uLWdpdmVzLWVsZWN0cmljLXZlaGljbGUtYmF0dGVyaWVzLWEtc2Vjb25kLWxpZmXSAQA?oc=5	The EU-funded TREASoURcE project is demonstrating the use of second-life electric vehicle batteries in stationary battery energy storage systems (BESS) at two sites in Norway and Finland. The BESS will store excess energy from solar panels and discharge it when needed, reducing energy costs and stabilizing the electricity grid. This project showcases the potential for circular economy solutions in addressing the environmental impact of battery production and disposal.	True	True	False	True	TREASoURcE	TREASoURcE	stationary battery energy storage system (BESS)	['487110 - Electric Power Generation, Transmission and Distribution', '423820 - Electrical Equipment and Supplies Merchant Wholesalers', '333999 - All Other Miscellaneous Electrical Equipment and Component Manufacturing', '423830 - Machinery, Equipment, and Supplies Merchant Wholesalers']	The project seems to be genuinely focused on sustainable solutions for battery management, not an example of greenwashing.
How a circular economy would lead to EU energy savings - The Brussels Times	https://news.google.com/rss/articles/CBMiW2h0dHBzOi8vd3d3LmJydXNzZWxzdGltZXMuY29tLzQ5ODIzNi9ob3ctYS1jaXJjdWxhci1lY29ub215LXdvdWxkLWxlYWQtdG8tZXUtZW5lcmd5LXNhdmluZ3PSAQA?oc=5	A new report from the Materials & Products Taskforce of the European Corporate Leaders Group (CLG Europe) highlights the importance of a circular economy for reducing energy consumption in the European Union. The report showcases examples of leading businesses that are already implementing circular economy strategies, such as Saint-Gobain's 'Glass Forever roadmap' which recycles glass and uses less energy compared to virgin materials, and ROCKWOOL's closed-loop recycling system for stone wool insulation materials. The report also makes recommendations for policymakers on how to promote circularity through existing policies, including creating a clearer vision for a green industrial strategy and supporting the development of recycling technologies.	True	True	True	True	Saint-Gobain	Saint-Gobain	'Glass Forever' roadmap	['327410', 'Glass and Glass Product Manufacturing', '324110', 'Petroleum and Coal Products Manufacturing', '423820', 'Wholesale Trade - Construction Materials', '238220', 'Site Preparation Contractors']	The described innovations are not examples of greenwashing as they are demonstrably environmentally beneficial and transparent in their practices.
Environmentalists Seek End to Plastic Industry “Hoax” – Mother Jones - Mother Jones	https://news.google.com/rss/articles/CBMie2h0dHBzOi8vd3d3Lm1vdGhlcmpvbmVzLmNvbS9wb2xpdGljcy8yMDIzLzA1L2NoZW1pY2FsLWFkdmFuY2VkLXJlY3ljbGluZy1ob2F4LXBvbGx1dGlvbi1lbWlzc2lvbnMtZmVkZXJhbC10cmFkZS1jb21taXNzaW9uL9IBAA?oc=5	The Federal Trade Commission (FTC) is reviewing its Green Guides, which govern environmental advertising and labeling claims, with a focus on plastic recycling. Environmental groups argue that advanced or chemical recycling, touted as a circular solution, is essentially greenwashing, involving energy-intensive processes with a high carbon footprint and producing only a small amount of usable materials. The FTC's decision could significantly influence the growth of advanced recycling technologies, including pyrolysis, while the EPA also explores regulating the process due to concerns about environmental risks.	False	True	False	False	Encina	Encina Corporation	chemical recycling	['325999', 'All Other Miscellaneous Manufacturing', '424710', 'Merchant Wholesalers, Nondurable Goods', '424910', 'Merchant Wholesalers, Durable Goods', '562112', 'Waste Collection', '562119', 'Other Waste Management Services']	The chemical recycling process, with its high energy consumption and limited conversion of waste to usable materials, potentially constitutes greenwashing as it may exaggerate the environmental benefits of the process.
Sustainable side-stream management in Swedish food processing companies using external actors and biogas solutions - Frontiers	https://news.google.com/rss/articles/CBMiP2h0dHBzOi8vd3d3LmZyb250aWVyc2luLm9yZy9hcnRpY2xlcy8xMC4zMzg5L2ZyZnN0LjIwMjMuMTA3MzY2M9IBAA?oc=5	This article investigates how food processing companies manage their side-streams, focusing on the role of biogas solutions in sustainability strategies. The study finds that most companies prefer outsourcing side-stream management to external actors, particularly for lower-value solutions, while those with long-term sustainability goals are more likely to invest in internal technologies like biogas production. Biogas solutions are seen as a versatile option for managing diverse types of side-streams, offering both energy recovery and nutrient recycling benefits.	True	True	False	True	company not identified	company not identified	biogas production	['311111 - Animal Food Manufacturing', '311120 - Dairy Product Manufacturing', '311421 - Meat Packing Plants', '311991 - Other Food Manufacturing']	The article does not describe any product or process that could be considered greenwashing.
Sustainable Technologies Reprocessing Medical Devices To Reduce Healthcare's Carbon Footprint And Drive Cost ... - Med Device Online	https://news.google.com/rss/articles/CBMinQFodHRwczovL3d3dy5tZWRkZXZpY2VvbmxpbmUuY29tL2RvYy9zdXN0YWluYWJsZS10ZWNobm9sb2dpZXMtcmVwcm9jZXNzaW5nLW1lZGljYWwtZGV2aWNlcy10by1yZWR1Y2UtaGVhbHRoY2FyZS1zLWNhcmJvbi1mb290cHJpbnQtYW5kLWRyaXZlLWNvc3Qtc2F2aW5ncy0wMDAx0gEA?oc=5	Sustainable Technologies™, a Cardinal Health company, reprocesses single-use medical devices (SUDs), extending their lifespan and reducing waste in the healthcare industry. By collecting, cleaning, testing, and sterilizing SUDs, Sustainable Technologies™ provides hospitals with a cost-effective and environmentally friendly alternative to purchasing new devices. The company's zero-waste-to-landfill model and blended-code (B-code) model, which combines new and reprocessed products, further contribute to its sustainability efforts.	True	True	False	True	Sustainable Technologies™	Sustainable Technologies, Inc.	Reprocessing of single-use medical devices	['339114 - Medical Equipment Manufacturing', '423440 - Medical, Dental, and Hospital Equipment and Supplies Wholesalers', '561710 - Waste Treatment and Disposal', '562112 - Environmental Remediation Services']	The article does not present any evidence that the company's reprocessing practices or claims about their environmental impact are deceptive or misleading, therefore it is not an example of greenwashing.
