title	link	summary	green_innovation	business_innovation	green_product	green_process	company	official_company_name	product_or_process	likely_naics_codes	greenwashing
ReSeed and FoodChain ID Announce Ground-Breaking Partnership That Promotes Transparency for Sustainable ... - PR Newswire	https://news.google.com/rss/articles/CBMizgFodHRwczovL3d3dy5wcm5ld3N3aXJlLmNvbS9uZXdzLXJlbGVhc2VzL3Jlc2VlZC1hbmQtZm9vZGNoYWluLWlkLWFubm91bmNlLWdyb3VuZC1icmVha2luZy1wYXJ0bmVyc2hpcC10aGF0LXByb21vdGVzLXRyYW5zcGFyZW5jeS1mb3Itc3VzdGFpbmFibGUtcHJhY3RpY2VzLWluLXRoZS1nbG9iYWwtYWdyaS1mb29kLXN1cHBseS1jaGFpbi0zMDE5OTc5MjcuaHRtbNIBAA?oc=5	FoodChain ID and ReSeed have partnered to increase transparency in measuring and verifying sustainable practices in the agri-food supply chain. This partnership aims to incentivize farmers to adopt regenerative agriculture practices, leading to carbon sequestration and contributing to a healthier planet. The partnership combines ReSeed's carbon credit traceability platform with FoodChain ID's certification expertise, providing a comprehensive solution for verifying sustainable practices and carbon credits.	True	True	False	True	FoodChain ID and ReSeed	FoodChain ID, Inc.	Carbon credit verification partnership	['541910 -  Testing Laboratories', '541611 - Administrative Management and General Management Consulting Services', '111110 -  Crop Production', '541990 -  All Other Scientific and Technical Consulting Services']	The article does not suggest that the partnership is an example of greenwashing.
Survey: 90 Percent of Dietitians Want to Promote Sustainable Diets. What's Stopping Them? - VegNews	https://news.google.com/rss/articles/CBMiOWh0dHBzOi8vdmVnbmV3cy5jb20vZGlldGl0aWFucy1zdXN0YWluYWJsZS1kaWV0cy1iYXJyaWVyc9IBAA?oc=5	A survey of dietitians in the US reveals a strong desire to advocate for sustainable food systems, but lack of resources, knowledge, and confidence pose significant barriers. Dietitians recognize the importance of promoting plant-based diets for environmental and human health, with a majority supporting sustainability's inclusion in the USDA Dietary Guidelines for Americans. Efforts are underway to empower dietitians with sustainability training and resources to close the knowledge gap and promote impactful dietary changes.	True	False	False	False	Planet + Food	Planet + Food Co	plant-based diets	['621111 - Offices of Physicians', '622110 - Offices of Dentists', '622120 - Offices of Chiropractors', '621320 - Outpatient Mental Health and Substance Abuse Centers']	The article does not describe any products or practices that could be considered greenwashing.
Don't Believe What Consumers Say When It Comes to Sustainability - The Business of Fashion	https://news.google.com/rss/articles/CBMicGh0dHBzOi8vd3d3LmJ1c2luZXNzb2ZmYXNoaW9uLmNvbS9vcGluaW9ucy9zdXN0YWluYWJpbGl0eS9zdXN0YWluYWJpbGl0eS1zdXJ2ZXlzLWZhc2hpb24tY29uc3VtZXJzLWJsYWNrLWZyaWRheS_SAQA?oc=5	This article explores the gap between consumers' expressed desire for sustainable fashion and their actual purchasing behavior. Despite surveys indicating a growing preference for eco-conscious brands, the reality is that shoppers still heavily favor cheap, fast-fashion options. The article identifies several factors contributing to this discrepancy, including the unreliability of consumer surveys, the difficulty of defining 'sustainable' fashion, and the vested interests of companies promoting sustainability.	False	False	False	False	Bain & Company	Bain & Company, Inc.	product or process not identified	['541611 - Administrative Management and General Management Consulting Services', '541910 - Marketing Consulting Services', '452210 - Clothing and Clothing Accessories Stores', "315220 - Men's and Boys' Cut and Sew Apparel Manufacturing"]	The article highlights the potential for greenwashing within the fashion industry, particularly through the use of misleading sustainability claims.
How the Sustainable Coconut Partnership addresses unsustainable practices in coconut supply chain - FoodNavigator.com	https://news.google.com/rss/articles/CBMikgFodHRwczovL3d3dy5mb29kbmF2aWdhdG9yLmNvbS9BcnRpY2xlLzIwMjMvMTEvMjIvaG93LXRoZS1zdXN0YWluYWJsZS1jb2NvbnV0LXBhcnRuZXJzaGlwLWFkZHJlc3Nlcy11bnN1c3RhaW5hYmxlLXByYWN0aWNlcy1pbi1jb2NvbnV0LXN1cHBseS1jaGFpbtIBAA?oc=5	The Sustainable Coconut Partnership, an industry-led initiative, aims to improve the sustainability of coconut production by increasing farmer income, enhancing traceability, and preventing deforestation. The Partnership addresses concerns about the social and environmental impacts of coconut production, particularly farmer poverty and potential biodiversity loss. The initiative includes a new Sustainable Coconut Charter with an assurance scheme to ensure responsible sourcing and promote sustainable practices.	True	True	False	True	Sustainable Coconut Partnership	Sustainable Coconut Partnership	Sustainable Coconut Charter with assurance scheme	['111330 -  Coconut Production', '424420 -  Wholesale Trade of Food, Beverage, and Tobacco Products', '519190 -  Other Information Services', '813930 -  Environmental Consulting Services']	The article does not suggest that the Sustainable Coconut Partnership or its initiatives are an example of greenwashing.
CSRWire - 5 Examples of Sustainable Packaging Solutions for the Industry That Contribute to the Circular Economy - CSRwire.com	https://news.google.com/rss/articles/CBMidWh0dHBzOi8vd3d3LmNzcndpcmUuY29tL3ByZXNzX3JlbGVhc2VzLzc4ODA3MS01LWV4YW1wbGVzLXN1c3RhaW5hYmxlLXBhY2thZ2luZy1zb2x1dGlvbnMtaW5kdXN0cnktY29udHJpYnV0ZS1jaXJjdWxhctIBAA?oc=5	Henkel, a global leader in adhesives, sealants, and surface technologies, is committed to sustainable packaging solutions. The company is focused on replacing traditional plastic packaging with more environmentally friendly alternatives like paper, cardboard, and bio-based adhesives. Henkel is also developing innovative debonding processes to facilitate the recycling of multi-layer packaging, ensuring that materials are kept in the circular economy for longer.	True	True	True	True	Henkel	Henkel AG & Co. KGaA	Debonding processes, EPIX, KeelClipTM, Technomelt Supra Eco, Technomelt Supra PS Hotmelts	['325510 - Paint and Coating Manufacturing', '325991 - Adhesives Manufacturing', '326199 - Other Plastics Product Manufacturing', '423840 - Packaging and Labeling Machinery Manufacturing']	The article does not suggest any instances of greenwashing, instead highlighting genuine efforts to develop and promote sustainable products and processes.
Avocado grower branches out to produce premium avocado oil - FreshPlaza.com	https://news.google.com/rss/articles/CBMidGh0dHBzOi8vd3d3LmZyZXNocGxhemEuY29tL2xhdGluLWFtZXJpY2EvYXJ0aWNsZS85NTc0OTk0L2F2b2NhZG8tZ3Jvd2VyLWJyYW5jaGVzLW91dC10by1wcm9kdWNlLXByZW1pdW0tYXZvY2Fkby1vaWwv0gEA?oc=5	Cherry Creek Estate, an Australian avocado grower, has developed a sustainable business model by producing avocado oil from surplus fruit. This innovation addresses the oversupply issue in the Australian avocado market while offering a premium, cold-pressed oil with high smoke points. Cherry Creek Estate plans to expand production and export to international markets, aiming to become a leader in the niche category of premium avocado oil.	True	True	True	True	Cherry Creek Estate	Cherry Creek Estate Pty Ltd	Avocado oil production	['111310 - Oilseed and Grain Farming', '311421 - Edible Oil Manufacturing', '424480 - Wholesale Trade of Food', '445210 - Supermarkets and Other Grocery (except Convenience) Stores']	The article does not present any evidence of greenwashing, as the company transparently describes its sustainable practices and aims to achieve high quality while reducing environmental impact.
Kyndryl Bridge: Revolutionizing IT Management with AI, Cost Savings, Multi-Cloud Agility, and Sustainable Practices - CXOToday.com	https://news.google.com/rss/articles/CBMikAFodHRwczovL2N4b3RvZGF5LmNvbS9pbnRlcnZpZXdzL2t5bmRyeWwtYnJpZGdlLXJldm9sdXRpb25pemluZy1pdC1tYW5hZ2VtZW50LXdpdGgtYWktY29zdC1zYXZpbmdzLW11bHRpLWNsb3VkLWFnaWxpdHktYW5kLXN1c3RhaW5hYmxlLXByYWN0aWNlcy_SAQA?oc=5	Kyndryl Bridge is an open-integration platform that uses AI and operational data to provide real-time insights for managing complex IT estates. The platform has helped early adopters avoid over $1 billion in annual costs by proactively preventing incidents and streamlining processes. Kyndryl Bridge also supports companies in adapting to market changes and achieving net-zero goals by providing tools for energy efficiency and carbon footprint assessment.	True	True	False	True	Kyndryl	Kyndryl	Kyndryl Bridge	['511210', 'Data Processing, Hosting, and Related Services', '541511', 'Computer Systems Design and Related Services', '541512', 'Custom Computer Programming Services', '517210', 'Software Publishers']	The article does not present any evidence of greenwashing related to Kyndryl Bridge.
Rohit Dev Sethi | Managing Director | ColossusTex Private Limited - Fibre2fashion.com	https://news.google.com/rss/articles/CBMia2h0dHBzOi8vd3d3LmZpYnJlMmZhc2hpb24uY29tL2ludGVydmlld3MvaW5kdXN0cnktc3BlYWsvY29sb3NzdXN0ZXgtcHJpdmF0ZS1saW1pdGVkL3JvaGl0LWRldi1zZXRoaS8xMzc4Ni0x0gEA?oc=5	ColossusTex is a textile supply chain management company that aims to revolutionize the industry with its sustainable and efficient solutions. They offer a range of services, including sourcing, logistics, and marketing, with a focus on promoting local production, reducing waste, and utilizing digital technologies. The company's goal is to create a more sustainable and efficient textile industry, making it a game-changer and trendsetter in the field.	True	True	False	True	ColossusTex	ColossusTex	ColossusEDGE	['423910 - Wholesale Trade of Textiles', '541611 - Administrative Management and General Management Consulting Services', '488510 - Freight Transportation Arrangement', '532112 - Lessors of Nonfinancial Intangible Assets (Except Copyrighted Works)']	The article doesn't provide evidence of greenwashing, but instead describes the company's genuine efforts to promote sustainable practices within the textile supply chain.
Sustainability in co-working: Environmentally-friendly initiatives in shared workspaces - Cyprus Mail	https://news.google.com/rss/articles/CBMiemh0dHBzOi8vY3lwcnVzLW1haWwuY29tLzIwMjMvMTEvMjIvc3VzdGFpbmFiaWxpdHktaW4tY28td29ya2luZy1lbnZpcm9ubWVudGFsbHktZnJpZW5kbHktaW5pdGlhdGl2ZXMtaW4tc2hhcmVkLXdvcmtzcGFjZXMv0gEA?oc=5	Co-working spaces are becoming increasingly sustainable, incorporating green innovations like energy-efficient lighting, waste reduction programs, and renewable energy sources. They are also embracing business innovations like bike-friendly amenities and community gardens, creating a healthier and more environmentally-conscious work environment. These spaces are partnering with local environmental organizations to promote sustainability and raise awareness among their members.	True	True	True	True	company not identified	company not identified	product or process not identified	['531312 - Lessors of Real Estate Property', '531311 - Lessors of Nonresidential Buildings (except for miniwarehouses)', '531390 - Lessors of Other Real Estate Property', '531330 - Lessors of Miniwarehouses']	The article does not present any evidence of greenwashing.
Newsroom - Blackpool Council	https://news.google.com/rss/articles/CBMiemh0dHBzOi8vd3d3LmJsYWNrcG9vbC5nb3YudWsvbmV3cy9ibGFja3Bvb2wtYnVzaW5lc3MtYWNhZGVtaWVzLWxhdW5jaGVkLXRvLXByb21vdGUtc3VzdGFpbmFibGUtZ3Jvd3RoLmFzcHg_ZGF0ZT0wMS0xMS0yMDIz0gEA?oc=5	Blackpool Growth Business Academy and Blackpool Net Zero Business Academy are new business support programs funded by the UK Government’s Shared Prosperity Fund.  These programs are designed to help local businesses grow, become more sustainable, and reduce their carbon footprint.  They will offer advice and mentoring for new and established businesses, including assessments of carbon footprints and development of plans to reduce emissions.	True	False	False	False	Blackpool Growth Business Academy and Blackpool Net Zero Business Academy	Blackpool Council	product or process not identified	['541990 - All Other Professional, Scientific, and Technical Services', '541330 - Engineering Services', '541611 - Administrative Management and General Management Consulting Services', '541620 - Human Resources Consulting Services']	The article does not describe any practices or products that could be considered greenwashing.
Canadian consumption changes due to climate crisis - CityNews Vancouver	https://news.google.com/rss/articles/CBMiTmh0dHBzOi8vdmFuY291dmVyLmNpdHluZXdzLmNhLzIwMjMvMTEvMTUvY2xpbWF0ZS1jaGFuZ2UtY29uc3VtcHRpb24taW5mbGF0aW9uL9IBAA?oc=5	A survey by Ernst and Young reveals that Canadians are increasingly concerned about climate change and inflation, leading them to buy less and change their eating habits. Consumers are opting for sustainable choices, with Baby Boomers focusing on reusable bags and recycling, while Gen Z prioritizes buying sustainable goods and services.  Companies are urged to develop new sustainable products to meet consumer demands and protect profitability.	True	False	False	False	Ernst and Young	Ernst & Young LLP	product or process not identified	['541910 - Marketing Consulting Services', '541611 - Administrative Management and General Management Consulting Services', '452111 - Motor Vehicle and Parts Dealers', '445110 - Grocery Stores']	The article does not describe any product or process innovation that could be considered greenwashing.
