title	link	summary	green_innovation	business_innovation	green_product	green_process	company	official_company_name	product_or_process	likely_naics_codes	greenwashing
Ltd. Global Website | Compact CO2 Capture System Receives “Awards for Excellence” at the 2022 Nikkei Excellent ... - Mitsubishi Heavy Industries	https://news.google.com/rss/articles/CBMiJGh0dHBzOi8vd3d3Lm1oaS5jb20vbmV3cy8yMzAyMDEuaHRtbNIBAA?oc=5	Mitsubishi Heavy Industries (MHI) Group is a leading industrial group focused on delivering innovative solutions for a carbon neutral world, improved quality of life, and a safer world. MHI Group combines cutting-edge technology with deep experience to provide integrated solutions across various sectors, including energy, smart infrastructure, industrial machinery, aerospace, and defense.	TRUE	TRUE	FALSE	FALSE	Mitsubishi Heavy Industries (MHI) Group	Mitsubishi Heavy Industries, Ltd.	Product or process not identified.	['333414 - Industrial Machinery Manufacturing', '336411 - Aircraft Manufacturing', '541330 - Engineering Services', '541712 - Research and Development in the Physical, Engineering, and Life Sciences']	The article does not provide enough information to determine whether the described product or process innovation is an example of greenwashing.
Loliware scores $15.4m to replace single-use plastics with seaweed-based materials - AgFunderNews	https://news.google.com/rss/articles/CBMiamh0dHBzOi8vYWdmdW5kZXJuZXdzLmNvbS9sb2xpd2FyZS1zY29yZXMtMTUtNG0tdG8tcmVwbGFjZS1zaW5nbGUtdXNlLXBsYXN0aWNzLXdpdGgtc2Vhd2VlZC1iYXNlZC1tYXRlcmlhbHPSAQA?oc=5	Loliware is a company that has developed a way to make straws, utensils, and other single-use items from seaweed. Seaweed has several advantages over other materials currently used to make alt-plastics, including its fast growth cycle, its ability to capture carbon from the atmosphere, and the fact that it's oxygenating the ocean. Loliware's products are compostable and can decompose as fast as a banana peel.	TRUE. Loliware's seaweed-based products are designed to reduce environmental impact throughout their life cycle, from the cultivation of the seaweed to the disposal of the finished product.	TRUE. Loliware's seaweed-based products are new and improved products that differ significantly from the firm's previous products and that have been introduced on the market.	TRUE. Loliware's seaweed-based products are designed to significantly reduce their environmental impact throughout their life cycle.	TRUE. Loliware's process for growing and harvesting seaweed, turning it into pellets, producing products from the pellets, then putting the used products back into the ground is designed to minimize environmental impacts and promote sustainability.	Loliware	Loliware	Blue Carbon Straw	['326199 - Other Plastics Product Manufacturing', '311999 - All Other Food Manufacturing', '325998 - All Other Miscellaneous Fabricated Metal Product Manufacturing', '541712 - Research and Development in Biotechnology']	FALSE. Loliware's products and processes are not an example of greenwashing because they are genuinely environmentally friendly.
How Manufacturing Companies are Using Recycled Materials In Their Processes and What They're Using - SupplyChainBrain	https://news.google.com/rss/articles/CBMioAFodHRwczovL3d3dy5zdXBwbHljaGFpbmJyYWluLmNvbS9ibG9ncy8xLXRoaW5rLXRhbmsvcG9zdC8zNjUzNi1ob3ctbWFudWZhY3R1cmluZy1jb21wYW5pZXMtYXJlLXVzaW5nLXJlY3ljbGVkLW1hdGVyaWFscy1pbi10aGVpci1wcm9jZXNzZXMtYW5kLXdoYXQtdGhleXJlLXVzaW5n0gEA?oc=5	Manufacturers are increasingly using recycled materials and making production processes more eco-friendly. Recycled steel is an example of a green innovation that can help build a circular economy. Using recycled materials can lead to challenges, but these barriers have solutions.	True	True	True	True	Gerdau	Gerdau S.A.	recycled steel	['331111 - Iron and Steel Mills', '332110 - Steel Wiredrawing and Steel Nails and Spikes Manufacturing', '332310 - Steel Pipe and Tube Manufacturing from Purchased Steel', '332320 - Steel Pipe and Tube Manufacturing from Own Steel']	The article does not provide evidence of greenwashing.
Why Man-Made Cellulosic Fibers Could Amplify and Accelerate Sustainability Impact - Sourcing Journal	https://news.google.com/rss/articles/CBMiqgFodHRwczovL3NvdXJjaW5nam91cm5hbC5jb20vc3VzdGFpbmFiaWxpdHkvc3VzdGFpbmFiaWxpdHktbWF0ZXJpYWxzL3NhdGVyaS1tYW4tbWFkZS1jZWxsdWxvc2ljLWZpYmVycy1zdXN0YWluYWJpbGl0eS1pbXBhY3QtY2lyY3VsYXJpdHktY2FyYm9uLW5ldXRyYWwtdmlzaW9uLTIwMzAtNDE0MDgwL9IBAA?oc=5	The fashion industry is facing a waste problem, with a large amount of clothing ending up in landfills. Man-made cellulosic fibers (MMCFs) are a promising alternative to synthetics due to their natural, renewable, and biodegradable attributes. Sateri, a leading MMCF manufacturer, is committed to sustainable practices throughout its production process, including sourcing certified materials, reducing chemical use, and promoting circularity.	TRUE; MMCFs are a green innovation because they are made from renewable resources, are biodegradable, and can help to reduce the use of synthetic fibers, which are a major source of plastic pollution.	TRUE; Sateri's MMCFs are a business innovation because they offer a more sustainable alternative to traditional synthetic fibers. They are also versatile and can be used in a wide range of applications, including homeware, fashion, and hygiene items.	TRUE; Sateri's MMCFs are a green product because they are made from renewable resources, are biodegradable, and can help to reduce the use of synthetic fibers, which are a major source of plastic pollution.	TRUE; Sateri's MMCF production process is a green process because it is designed to minimize environmental impact. The company uses energy-efficient technologies, recovers chemicals, and recycles waste.	Sateri	Sateri	MMCFs	['313220', '325998', '316110', '322110']	FALSE; Sateri's MMCFs are not an example of greenwashing because they are a genuine green innovation that offers environmental benefits.
Volvo CE launches electric loader conversion - electrive.com - www.electrive.com	https://news.google.com/rss/articles/CBMiUmh0dHBzOi8vd3d3LmVsZWN0cml2ZS5jb20vMjAyMy8wMi8yMS92b2x2by1jZS1sYXVuY2hlcy1lbGVjdHJpYy1sb2FkZXItY29udmVyc2lvbi_SAQA?oc=5	Volvo Construction Equipment (Volvo CE) has developed a new electric conversion for a 20-ton loader, the L120H Electric Conversion. This is part of Volvo CE's goal to achieve carbon neutrality by 2040 and have 35% of its sold machines be electric by 2030. The L120H Electric Conversion will be available to selected customers in Europe this year.	TRUE, the L120H Electric Conversion is a green innovation because it reduces negative environmental externalities by electrifying construction machinery and reducing carbon emissions.	TRUE, the L120H Electric Conversion is a business innovation because it is a new and improved product that differs significantly from Volvo CE's previous products and has been introduced to the market.	TRUE, the L120H Electric Conversion is a green product because it is designed, manufactured, and used in a way that significantly reduces its environmental impact throughout its life cycle.	None	Volvo Construction Equipment	Volvo Construction Equipment	L120H Electric Conversion	['333120: Construction Machinery Manufacturing', '333999: All Other Transportation Equipment Manufacturing', '336312: Motor Vehicle Body and Trailer Manufacturing', '336399: Other Motor Vehicle Parts Manufacturing']	FALSE, the L120H Electric Conversion is not an example of greenwashing because it is a genuine green innovation that reduces environmental impacts.
Incoming delivery Hyundai Mighty electric truck - Hyundai	https://news.google.com/rss/articles/CBMiXWh0dHBzOi8vd3d3Lmh5dW5kYWkuY29tL2F1L2VuL25ld3MvcHJlc3Mtcm9vbS9pbmNvbWluZy1kZWxpdmVyeS1oeXVuZGFpLW1pZ2h0eS1lbGVjdHJpYy10cnVja9IBAA?oc=5	Hyundai Motor Company Australia is introducing the Mighty electric truck, an electric commercial vehicle with a 240km range and rapid charging capability. The Mighty electric is designed for metropolitan and last-mile deliveries and will help reduce the carbon footprint of transport and logistics operations in Australia. Hyundai's commitment to sustainable mobility solutions includes the development of both electric and hydrogen-powered heavy trucks.	TRUE - The Mighty electric truck contributes to environmental sustainability goals by reducing emissions from heavy vehicles, which make up only four percent of the national vehicle fleet but are responsible for 25 percent of all vehicle emissions in Australia.	TRUE - The Mighty electric truck is a new product that differs significantly from Hyundai's previous products and has been introduced to the market.	TRUE - The Mighty electric truck is a green product because it is designed to reduce environmental impact throughout its life cycle, including the use of an electric motor and a battery system with rapid charging capability.	FALSE - The article does not describe a specific green process.	Hyundai Motor Company Australia	Hyundai Motor Company	Mighty electric truck	['336111 - Automobile Manufacturing', '336120 - Heavy Duty Truck Manufacturing', '484210 - Motor Vehicle Towing', '484220 - Specialized Freight Trucking']	FALSE - The article does not provide any evidence of greenwashing.
Emerging Innovation: Meet 6 Standout Consumer Goods Brands - Consumer Goods Technology	https://news.google.com/rss/articles/CBMiU2h0dHBzOi8vY29uc3VtZXJnb29kcy5jb20vZW1lcmdpbmctaW5ub3ZhdGlvbi1tZWV0LTYtc3RhbmRvdXQtY29uc3VtZXItZ29vZHMtYnJhbmRz0gEA?oc=5	Worx's Landroid Vision robotic lawnmower uses onboard sensors and a camera array to avoid obstacles and identify yard boundaries, making it easier to use than previous models. The company has spent two years developing the technology to translate camera images to its proprietary onboard processing system. Worx aims to bring more convenience and ease of use to the lawn care industry.	TRUE, The Landroid Vision robotic lawnmower contributes to the environmental sustainability goal of reducing resource consumption by automating yardwork and reducing the need for human labor.	TRUE, The Landroid Vision robotic lawnmower is a new and improved product that differs significantly from the firm's previous products and has been introduced to the market.	TRUE, The Landroid Vision robotic lawnmower is a green product because it is designed to reduce resource consumption by automating yardwork and reducing the need for human labor.	FALSE, The article does not mention any specific green processes.	Worx	Positec USA, Inc.	Landroid Vision robotic lawnmower	['333111 Sawmills and Wood Preservation', '333299 All Other Wood Product Manufacturing', '333999 All Other Miscellaneous Wood Product Manufacturing', '335312 Motor and Generator Manufacturing']	FALSE, The article does not provide any evidence to suggest that the Landroid Vision robotic lawnmower is an example of greenwashing.
Roadmap for achieving net-zero carbon buildings by 2040 - Architecture AU	https://news.google.com/rss/articles/CBMiWGh0dHBzOi8vYXJjaGl0ZWN0dXJlYXUuY29tL2FydGljbGVzL3JvYWRtYXAtZm9yLWFjaGlldmluZy16ZXJvLWNhcmJvbi1idWlsZGluZ3MtYnktMjA0MC_SAQA?oc=5	Researchers at the University of New South Wales have produced a free online guide to help architects, engineers and planners create a net-zero carbon built environment by 2040. The guide is the first of its kind to detail a holistic approach to achieving zero carbon buildings, considering the embodied carbon of materials and construction, as well as operational emissions. The guide advocates for retrofitting existing buildings and reducing the use of new material as the best way to minimise embodied carbon.	TRUE, The guide is a green innovation because it contributes to environmental sustainability goals by providing a roadmap for achieving net-zero carbon buildings.	TRUE, The guide is a business innovation because it is a new or improved business process (or combination thereof) that differs significantly from the firm's previous products or business processes and that has been introduced on the market or brought into use by the firm.	FALSE, The article does not describe a specific green product.	TRUE, The guide describes a green process because it refers to a method or technique in manufacturing, production, or any other operational activity that minimizes environmental impacts and promotes sustainability.	University of New South Wales	University of New South Wales	Race to net zero carbon: A climate emergency guide for new and existing buildings in Australia	['541330 Engineering Services', '541360 Geophysical Surveying and Mapping Services', '541370 Surveying and Mapping (except Geophysical) Services', '541380 Testing Laboratories']	FALSE, The article does not describe an example of greenwashing.
How Are Phone Manufacturers Improving Their Sustainability? - Mazuma Mobile	https://news.google.com/rss/articles/CBMiV2h0dHBzOi8vd3d3Lm1henVtYW1vYmlsZS5jb20vYmxvZy9nZW5lcmFsL3Bob25lLW1hbnVmYWN0dXJlcnMtaW1wcm92aW5nLXN1c3RhaW5hYmlsaXR5L9IBAA?oc=5	The article discusses the efforts of Samsung and Apple, two of the largest smartphone manufacturers, to reduce their environmental impact. These efforts include using recycled materials, reducing the carbon footprint of their products, and developing longer-lasting products.	TRUE. The article describes several green innovations, such as Samsung's use of recycled ocean-bound plastics and Apple's use of recycled materials in its products.	TRUE. The article describes several business innovations, such as Samsung's trade-in program and Apple's carbon neutral initiatives.	TRUE. The article describes several green products, such as Samsung's Galaxy range of phones made with recycled ocean-bound plastics and Apple's iPhones made with recycled materials.	TRUE. The article describes several green processes, such as Samsung's use of recycled materials and Apple's carbon neutral initiatives.	Samsung and Apple	Samsung Electronics Co., Ltd.	Smartphones and related products and services	['334210 - Telephone Apparatus Manufacturing', '334411 - Electronic Computer Manufacturing', '334412 - Computer Storage Device Manufacturing', '334413 - Computer Terminal Manufacturing']	The article does not provide any evidence of greenwashing.
These companies are using bacteria to recycle electronic waste - Fairplanet	https://news.google.com/rss/articles/CBMiRWh0dHBzOi8vd3d3LmZhaXJwbGFuZXQub3JnL3N0b3J5L2VsZWN0cm9uaWMtd2FzdGUtcmVjeWNsaW5nLWJhY3RlcmlhL9IBAA?oc=5	Scientists and researchers are using non-harmful microbes to achieve a "clean" recycling of electronic waste, as conventional methods rely on toxic chemicals that are harmful to the environment and human health. The use of bacteria to recycle electronic waste is spurring a circular economy and could have a market value of up to $4.5 trillion by 2030. Bioleaching has provided a unique model that not only guarantees safety but harnessed a circular economy where what is produced doesn’t go to waste.	TRUE, The article describes the use of non-toxic bacteria and fungi to recycle electronic waste, which significantly reduces negative environmental externalities of human activity.	TRUE, The article describes the use of bacteria to recycle electronic waste, which is a new and improved business process that differs significantly from the firm’s previous business processes.	FALSE, The article does not describe a specific green product.	TRUE, The article describes the use of bacteria to recycle electronic waste, which is a new and improved business process that differs significantly from the firm’s previous business processes and minimizes environmental impacts and promotes sustainability.	Mint Innovation	Mint Innovation Limited	Bioleaching	['562112 - Solid Waste Collection', '562999 - All Other Miscellaneous Waste Management Services', '325998 - All Other Miscellaneous Fabricated Metal Product Manufacturing', '333999 - All Other Transportation Equipment Manufacturing']	FALSE, The article does not describe an example of greenwashing.
