title	link	summary	green_innovation	business_innovation	green_product	green_process	company	official_company_name	product_or_process	likely_naics_codes	greenwashing
The future of materials - Deloitte	https://news.google.com/rss/articles/CBMiWmh0dHBzOi8vd3d3Mi5kZWxvaXR0ZS5jb20vdXMvZW4vaW5zaWdodHMvaW5kdXN0cnkvb2lsLWFuZC1nYXMvdGhlLWZ1dHVyZS1vZi1tYXRlcmlhbHMuaHRtbNIBAA?oc=5	Eastman Chemical Company has developed two chemical-recycling projects to address the triple challenge of climate change, the global water crisis, and caring for the global population. The first project uses Carbon Renewal Technology (CRT) to recycle most complex waste plastics into syngas, which is then used to produce acetic acid and other acetyls. The second project uses Polyester Renewal Technology (PRT) to break down PET into MEG and DMT, which Eastman further manufactures into specialty copolyesters. Eastman's chemical-recycling processes reduce waste and emissions, and help customers meet their recycled-content and sustainability goals.	TRUE, Eastman's chemical-recycling projects are green innovations because they reduce negative environmental externalities of human activity by reducing waste and emissions.	TRUE, Eastman's chemical-recycling projects are business innovations because they are new and improved business processes that differ significantly from the firm's previous business processes and have been brought into use in the firm.	TRUE, Eastman's recycled plastics are green products because they are designed, manufactured, and used in a way that significantly reduces their environmental impact throughout their life cycle.	TRUE, Eastman's chemical-recycling processes are green processes because they are methods or techniques in manufacturing, production, or any other operational activity that minimizes environmental impacts and promotes sustainability.	Eastman Chemical Company	Eastman Chemical Company	Carbon Renewal Technology (CRT) and Polyester Renewal Technology (PRT)	['325199: All Other Basic Organic Chemical Manufacturing', '325211: Plastics Material and Resin Manufacturing', '326199: All Other Plastics Products Manufacturing', '562998: All Other Miscellaneous Waste Treatment and Disposal']	FALSE, Eastman's chemical-recycling projects are not an example of greenwashing because they are not false or misleading statements about the environmental benefits of a product or practice.
First Person Perspective: Carpet is the feedstock of the future - Resource Recycling	https://news.google.com/rss/articles/CBMic2h0dHBzOi8vcmVzb3VyY2UtcmVjeWNsaW5nLmNvbS9yZWN5Y2xpbmcvMjAyMy8wNi8xNC9maXJzdC1wZXJzb24tcGVyc3BlY3RpdmUtY2FycGV0LWlzLXRoZS1mZWVkc3RvY2stb2YtdGhlLWZ1dHVyZS_SAXNodHRwczovL3Jlc291cmNlLXJlY3ljbGluZy5jb20vcmVjeWNsaW5nLzIwMjMvMDYvMTQvZmlyc3QtcGVyc29uLXBlcnNwZWN0aXZlLWNhcnBldC1pcy10aGUtZmVlZHN0b2NrLW9mLXRoZS1mdXR1cmUv?oc=5	Recent technological developments have transformed post-consumer carpet from a difficult waste stream into a valuable feedstock for new products. Advances in mechanical and chemical recycling have led to a dramatic increase in the yield of recycled carpet material, exceeding 76% in California. These recycled materials are used in a wide range of products, including automotive components, construction materials, and new carpet, contributing to a more circular economy.	TRUE, because the article describes innovations that contribute to environmental sustainability goals, such as reducing waste and conserving natural resources.	TRUE, because the article describes new products and processes that differ significantly from previous offerings and have been brought to market.	TRUE, because the article describes products that are designed, manufactured, and used in a way that significantly reduces their environmental impact throughout their life cycle.	TRUE, because the article describes processes that minimize environmental impacts and promote sustainability, such as reducing waste and energy consumption.	Carpet America Recovery Effort (CARE)	Carpet America Recovery Effort	Carpet recycling technology	['325998 - All Other Miscellaneous Chemical Product Manufacturing', '326199 - All Other Plastics Product Manufacturing', '562119 - Other Waste Collection', '562998 - All Other Miscellaneous Waste Management Services']	FALSE, because the article does not describe products or processes that make false or misleading statements about their environmental benefits.
Mono-Material Lipstick Tubes - Trend Hunter	https://news.google.com/rss/articles/CBMiOmh0dHBzOi8vd3d3LnRyZW5kaHVudGVyLmNvbS90cmVuZHMvbW9uby1tYXRlcmlhbC1wYWNrYWdpbmfSAT5odHRwczovL3d3dy50cmVuZGh1bnRlci5jb20vYW1wL3RyZW5kcy9tb25vLW1hdGVyaWFsLXBhY2thZ2luZw?oc=5	Quadpack's Emerald is a new mono-material tube for lipsticks and other cosmetic products, made from either recyclable PET or rPET up to 100%. Mono-material packaging is becoming increasingly popular among sustainably minded beauty brands, as it is easier for consumers to recycle and reduces waste.	TRUE, the product is designed to be more environmentally friendly by using a single material that is easier to recycle.	TRUE, the product is a new type of packaging that is designed to be more sustainable.	TRUE, the product is made from recycled materials and is designed to be recyclable.	FALSE, the article does not describe a process.	Quadpack	Quadpack Group	Emerald mono-material tube	['326199 (Other Plastic Product Manufacturing)', '325998 (All Other Miscellaneous Chemical Product and Preparation Manufacturing)', '322299 (Other Converted Paper Product Manufacturing)', '56413 (Packaging Machinery Manufacturing)']	FALSE, the product is not an example of greenwashing as it is genuinely more sustainable.
With New Recycling Center Fully Operational, EGGER Now Manufactures Products With Post-Consumer Recycled Wood - PR Newswire	https://news.google.com/rss/articles/CBMipAFodHRwczovL3d3dy5wcm5ld3N3aXJlLmNvbS9uZXdzLXJlbGVhc2VzL3dpdGgtbmV3LXJlY3ljbGluZy1jZW50ZXItZnVsbHktb3BlcmF0aW9uYWwtZWdnZXItbm93LW1hbnVmYWN0dXJlcy1wcm9kdWN0cy13aXRoLXBvc3QtY29uc3VtZXItcmVjeWNsZWQtd29vZC0zMDE4NDQxNDEuaHRtbNIBAA?oc=5	EGGER Wood Products, a leading manufacturer of wood-based materials, has opened a new recycling center in Lexington, North Carolina, allowing them to offer particleboard and thermally fused laminate (TFL) made with up to 15 percent post-consumer recycled wood. Most of the wood material in EGGER's U.S.-produced boards is waste wood from sawmill residues and pre-consumer recycled material, and approximately 90% of the wood supply for the Lexington plant originates within a 100-mile radius to reduce carbon impact from transport.	TRUE. The recycling center allows EGGER to produce particleboard and TFL with up to 15 percent post-consumer recycled wood, contributing to environmental sustainability goals by reducing resource consumption and promoting a circular economy.	TRUE. The new recycling center represents a significant investment in business process innovation for EGGER Wood Products, allowing them to adopt and modify digital technologies to enhance the efficiency and sustainability of their production processes.	TRUE. The new particleboard and TFL products made with up to 15 percent post-consumer recycled wood are green products, as they are designed, manufactured, and used in a way that significantly reduces their environmental impact throughout their life cycle.	TRUE. The new recycling process implemented by EGGER Wood Products is a green process as it minimizes environmental impacts and promotes sustainability by reducing waste, conserving natural resources, decreasing energy consumption, and limiting the release of harmful substances into the environment.	EGGER Wood Products	EGGER Group	New recycling center	['321212 - Particle Board Manufacturing', '321999 - All Other Wood Product Manufacturing', '423830 - Wood Container and Pallet Manufacturing', '562920 - Material Recovery Facilities']	FALSE. The article does not provide any evidence of greenwashing, as the described product and process innovations are genuinely sustainable and environmentally beneficial.
CPI Announces Keynote Speaker for 2023 Polyurethanes Technical Conference - American Chemistry Council	https://news.google.com/rss/articles/CBMinwFodHRwczovL3d3dy5hbWVyaWNhbmNoZW1pc3RyeS5jb20vY2hlbWlzdHJ5LWluLWFtZXJpY2EvbmV3cy10cmVuZHMvcHJlc3MtcmVsZWFzZS8yMDIzL2NwaS1hbm5vdW5jZXMta2V5bm90ZS1zcGVha2VyLWZvci0yMDIzLXBvbHl1cmV0aGFuZXMtdGVjaG5pY2FsLWNvbmZlcmVuY2XSAQA?oc=5	Debbie Mielewski, a sustainability expert and former Technical Fellow of Sustainability at Ford Motor Company, will deliver the keynote speech at the 65th Polyurethanes Technical Conference on Sept. 25, 2023 in San Antonio, TX. Mielewski is a pioneer in the field of sustainable materials development, and her work has led to the development of over 15 industry-first, sustainable materials that have appeared on Ford vehicles. In her keynote speech, Mielewski will share her vision for the future of sustainability in the polyurethanes industry and discuss the challenges and opportunities that lie ahead.	TRUE. The article states that Mielewski pioneered a biomaterials program at Ford in 2000, and her team was the first to demonstrate a soy-based foam that met all the requirements for automotive seating.	TRUE. The article states that Mielewski's team's work on sustainable materials has led to the development of over 15 industry-first, sustainable materials that have appeared on Ford vehicles.	TRUE. The article states that Mielewski's team's work on sustainable materials has led to the development of over 15 industry-first, sustainable materials that have appeared on Ford vehicles.	FALSE. The article does not describe a specific green process.	Ford Motor Company	Ford Motor Company	soy-based foam for automotive seating	['336399 - All Other Motor Vehicle Parts Manufacturing', '336211 - Motor Vehicle Body Manufacturing', '336360 - Motor Vehicle Seating and Interior Trim Manufacturing', '325211 - Plastics Material and Resin Manufacturing']	FALSE. The article does not provide any evidence that the soy-based foam for automotive seating is an example of greenwashing.
30 sustainable and ethical fashion brands to shop now - Marie Claire UK	https://news.google.com/rss/articles/CBMibWh0dHBzOi8vd3d3Lm1hcmllY2xhaXJlLmNvLnVrL25ld3MvZmFzaGlvbi1uZXdzL2Jlc3QtZXRoaWNhbC1mYXNoaW9uLWJyYW5kcy10by1rbm93LXN1c3RhaW5hYmxlLWZhc2hpb24tODQxNjnSAQA?oc=5	The article provides a guide to identifying sustainable clothing brands. It explains the difference between ethical and sustainable fashion. It also provides a list of sustainable clothing brands and their sustainability efforts.	FALSE	FALSE	TRUE	FALSE	company not identified	company not identified	many clothing brands	["315220 - Men's and Boys' Cut and Sew Apparel Manufacturing", "315230 - Women's, Girls', and Infants' Cut and Sew Apparel Manufacturing", '448190 - Other Clothing Stores', '454110 - Electronic Shopping and Mail-Order Houses']	FALSE
Role of R&D in achieving sustainable goals - Indian Chemical News	https://news.google.com/rss/articles/CBMiWmh0dHBzOi8vd3d3LmluZGlhbmNoZW1pY2FsbmV3cy5jb20vb3Bpbmlvbi9yb2xlLW9mLXJkLWluLWFjaGlldmluZy1zdXN0YWluYWJsZS1nb2Fscy0xNzk1ONIBX2h0dHBzOi8vd3d3LmluZGlhbmNoZW1pY2FsbmV3cy5jb20vb3Bpbmlvbi9saXRlL3JvbGUtb2YtcmQtaW4tYWNoaWV2aW5nLXN1c3RhaW5hYmxlLWdvYWxzLTE3OTU4?oc=5	The chemical industry must focus on sustainable practices and green technologies to meet changing consumer preferences and increasing regulatory focus on ESG and climate risk. R&D will play a crucial role in developing sustainable solutions, such as green chemistry, to reduce environmental impacts. Green chemistry aims to design and develop chemicals and processes that reduce or eliminate the use and generation of hazardous substances, minimize environmental impacts, and promote economic growth.	TRUE, The article primarily focuses on the importance and benefits of green chemistry and sustainable practices in the chemical industry, which is considered a green innovation as it aims to reduce environmental impacts and promote sustainability.	TRUE, The article discusses the development of new products and technologies in the chemical industry in response to changing consumer preferences and regulatory requirements, which can be considered a business innovation as it involves the introduction of new or improved products or processes to meet market demands and improve business performance.	TRUE, The article mentions the development of sustainable coatings, safer chemicals in the agrochemical industry, and green processes in the oil and gas industry, which can all be considered green products as they aim to reduce environmental impacts and promote sustainability.	TRUE, The article emphasizes the importance of green chemistry in developing sustainable processes, such as microwave chemistry, surfactant-mediated reactions, and flow chemistry, which can be considered green processes as they aim to reduce waste, conserve resources, and minimize environmental impacts.	company not identified	company not identified	product or process not identified	['325110 - Petrochemical Manufacturing', '325211 - Plastics Material and Resin Manufacturing', '325311 - Tire Manufacturing', '325411 - Pharmaceutical Manufacturing']	The article does not provide any examples of greenwashing.
Samuel Ross joins Beats by Dre - HYPEBAE	https://news.google.com/rss/articles/CBMiaWh0dHBzOi8vaHlwZWJhZS5jb20vMjAyMy82L3NyLWEtZm91bmRlci1zYW11ZWwtcm9zcy1iZWF0cy1ieS1kcmUtcHJpbmNpcGFsLWRlc2lnbi1jb25zdWx0YW50LXJvbGUtZGV0YWlsc9IBAA?oc=5	British artist and designer Samuel Ross has joined Beats as its first-ever Principal Design Consultant. Ross will shape the brand’s industrial design strategy, focusing on new products and packaging incorporating sustainable materials, premium finishes and thoughtful color selection. In 2021, Ross collaborated with Beats on the highly sought-after Studio3 Wireless design, which achieved global sellout.	TRUE, Samuel Ross's collaboration with Beats on sustainable product design is an example of green innovation because it contributes to environmental sustainability goals by incorporating sustainable materials and thoughtful color selection to enhance the overall product experience for Beats’ consumers.	TRUE, Samuel's collaboration with Beats on the Studio3 Wireless design is an example of business innovation because it is a product or process that differs significantly from the firm's previous products or business processes and that has been introduced on the market.	TRUE, the Studio3 Wireless design is a green product because it is designed, manufactured, and used in a way that significantly reduces its environmental impact throughout its life cycle, including the use of sustainable materials.	FALSE, the article does not describe a specific green process.	Beats	Beats Electronics, LLC	Studio3 Wireless	['334310 - Audio and Video Equipment Manufacturing', '339999 - All Other Miscellaneous Manufacturing', '591202 - Sound Recording Studios', '591310 - Motion Picture and Video Production']	FALSE, the article does not provide evidence to suggest that the Studio3 Wireless design or the partnership between Samuel Ross and Beats is an example of greenwashing.
How Up-Fuse is turning plastic waste into trendy fashion - Gulf Business	https://news.google.com/rss/articles/CBMiSWh0dHBzOi8vZ3VsZmJ1c2luZXNzLmNvbS91cC1mdXNlLXR1cm5zLXBsYXN0aWMtd2FzdGUtaW50by10cmVuZHktZmFzaGlvbi_SAQA?oc=5	Up-fuse is an e-commerce brand that sells products made from upcycled plastic waste. The company was founded in 2013 by Lama El Khawanky and Karim Abouelnaga. Up-fuse has been featured in the United Nations Climate Change Conference 2022 (COP27) and has collaborated with Adidas and the International Organization of Migration.	TRUE, Up-fuse's products are made from recycled and sustainable materials, which reduces waste and promotes resource efficiency.	TRUE, Up-fuse's business model is focused on creating quality pieces that are timeless and designed for longevity to encourage customers to reduce the need for frequent replacements for their wardrobes.	TRUE, Up-fuse's products are made from recycled and sustainable materials, which reduces waste and promotes resource efficiency.	FALSE, The article does not describe a specific process that meets the criteria to be a green process.	Up-fuse	Up-fuse	Upcycled products made from plastic waste	['313320 - Fabric Mills', '315220 - Cut and Sew Apparel Manufacturing', '325991 - Custom Architectural Woodwork and Millwork Manufacturing', '326199 - All Other Plastics Product Manufacturing']	FALSE, The article did not mention anything about greenwashing.
Next generation gantry sees BAT UK help retailers keep up in fast-moving alternative nicotine products landscape - Grocery Trader	https://news.google.com/rss/articles/CBMijQFodHRwczovL2dyb2Nlcnl0cmFkZXIuY28udWsvbmV4dC1nZW5lcmF0aW9uLWdhbnRyeS1zZWVzLWJhdC11ay1oZWxwLXJldGFpbGVycy1rZWVwLXVwLWluLWZhc3QtbW92aW5nLWFsdGVybmF0aXZlLW5pY290aW5lLXByb2R1Y3RzLWxhbmRzY2FwZS_SAQA?oc=5	BAT UK is launching a new sustainable gantry solution to help retailers navigate the fast-changing alternative nicotine market. The gantry is made from 100% recycled plastic and a selection of wood and metal that makes it lighter in weight than previous solutions. All materials used to make the gantry are sourced from within a radius of 50km of the Barcelona site and their reuse or recycling means there’s zero wastage from the manufacturing process.	TRUE. The gantry is made from 100% recycled plastic and a selection of wood and metal that makes it lighter in weight than previous solutions. All materials used to make the gantry are sourced from within a radius of 50km of the Barcelona site and their reuse or recycling means there’s zero wastage from the manufacturing process.	TRUE. The gantry is a new and improved business process for one or more business functions that differs significantly from the firm’s previous business processes and that has been brought into use in the firm.	TRUE. The gantry is made from 100% recycled plastic and a selection of wood and metal that makes it lighter in weight than previous solutions.	TRUE. The gantry is made from 100% recycled plastic and a selection of wood and metal that makes it lighter in weight than previous solutions. All materials used to make the gantry are sourced from within a radius of 50km of the Barcelona site and their reuse or recycling means there’s zero wastage from the manufacturing process.	BAT UK	British American Tobacco UK Limited	gantry	['322211 - Pulp, Paper, and Paperboard Mills', '326199 - All Other Wood Product Manufacturing', '332311 - Prefabricated Metal Buildings and Components Manufacturing', '332431 - Metal Window and Door Manufacturing']	FALSE. The gantry is made from 100% recycled plastic and a selection of wood and metal that makes it lighter in weight than previous solutions. All materials used to make the gantry are sourced from within a radius of 50km of the Barcelona site and their reuse or recycling means there’s zero wastage from the manufacturing process.
