title	link	summary	green_innovation	business_innovation	green_product	green_process	company	official_company_name	product_or_process	likely_naics_codes	greenwashing
Coesia Group to Showcase Sustainable Packaging, Automation Solutions at PACK EXPO - Packaging Strategies	https://news.google.com/rss/articles/CBMihAFodHRwczovL3d3dy5wYWNrYWdpbmdzdHJhdGVnaWVzLmNvbS9hcnRpY2xlcy8xMDQwODctY29lc2lhLWdyb3VwLXRvLXNob3djYXNlLXN1c3RhaW5hYmxlLXBhY2thZ2luZy1hdXRvbWF0aW9uLXNvbHV0aW9ucy1hdC1wYWNrLWV4cG_SAQA?oc=5	Coesia, a group of innovation-based industrial and packaging solutions companies, showcased its latest sustainability and automation solutions at PACK EXPO Las Vegas. The group's GREENMATION initiative aims to help manufacturers achieve their sustainability goals while enhancing their automation capabilities. Coesia is committed to supporting customers throughout the manufacturing process with innovative solutions that ensure production reliability and allow operators to focus on value-added tasks.	TRUE	TRUE	TRUE	TRUE	Coesia	Coesia S.p.A.	GREENMATION, BRIXX®, Intelligent Flexible Transfer System (iFTS), Acc-U-Change® PLUS	['333292 - Industrial Machinery Manufacturing', '333313 - Semiconductor Machinery Manufacturing', '333319 - Other Semiconductor and Related Device Manufacturing', '333999 - All Other Miscellaneous Fabricated Metal Product Manufacturing']	FALSE
Ball Aerosol Packaging releases new report on innovative Eyeris® printing technology for sustainable aluminum ... - Ball	https://news.google.com/rss/articles/CBMiWWh0dHBzOi8vd3d3LmJhbGwuY29tL3BhY2thZ2luZy9hcnRpY2xlcy9iYWxsLWFlcm9zb2wtcGFja2FnaW5nLXJlbGVhc2VzLW5ldy1yZXBvcnQtZXllcmlz0gEA?oc=5	Ball Corporation's Eyeris® enhanced printing technology offers unparalleled visual appeal for aluminum cans and bottles, enabling brands to differentiate their products and connect with consumers through high-resolution, photo-realistic imagery. Eyeris® aligns with the growing demand for sustainable packaging, as aluminum is infinitely recyclable and has a lower carbon footprint than other packaging materials. By eliminating the need for additional labels, Eyeris® further enhances the sustainability of aluminum packaging.	TRUE, Eyeris® contributes to environmental sustainability by eliminating the need for additional labels and reducing waste.	TRUE, Eyeris® is a new and improved business process that differs significantly from Ball's previous printing processes and offers greater efficacy, resource efficiency, and affordability.	TRUE, Aluminum packaging with Eyeris® technology is a green product as it is designed, manufactured, and used in a way that significantly reduces its environmental impact throughout its life cycle.	TRUE, Eyeris® is a green process as it minimizes environmental impacts and promotes sustainability by eliminating the need for additional labels and reducing waste.	Ball Corporation	Ball Corporation	Eyeris® enhanced printing technology	['322211 - Aluminum Can and Tube Manufacturing', '322212 - Aluminum Sheet, Plate, and Foil Manufacturing', '322299 - All Other Aluminum Rolling and Drawing', '325998 - Other Metal Container Manufacturing']	FALSE, Eyeris® is not an example of greenwashing as it genuinely reduces environmental impacts by eliminating the need for additional labels and reducing waste.
Sustainability doesn't have to be boring - HCT'S newest innovations - Premium beauty	https://news.google.com/rss/articles/CBMiTGh0dHBzOi8vd3d3LnByZW1pdW1iZWF1dHluZXdzLmNvbS9lbi9zdXN0YWluYWJpbGl0eS1kb2Vzbi10LWhhdmUtdG8tYmUsMjI1NjPSAQA?oc=5	HCT Group is focused on offering sustainable stock tools, including a new refillable palette, a refillable monomaterial pump, and refillable jars, to help brands launch with strong sustainability claims. The company believes that there is a lot of brand competition right now, and for smaller brands that have disruptive ideas, they can help them launch right out of the gate with strong sustainability claims and uniqueness. HCT is encouraging brands to reach out to set up a meeting to explore new stock tools and find ways to help them make the shift to a more sustainable future.	TRUE	TRUE	TRUE	TRUE	HCT Group	HCT Group	Refillable PET Palette, Monument Pump, Hush Jars	['326199 - Other Plastics Product Manufacturing', '322211 - Plastics Bottle Manufacturing', '322212 - Plastics Bag and Pouch Manufacturing', '322213 - Plastics Film and Sheet (except Laminated) Manufacturing']	FALSE
Private label products growing in popularity due to price, quality and sustainability, research shows - FoodNavigator.com	https://news.google.com/rss/articles/CBMilAFodHRwczovL3d3dy5mb29kbmF2aWdhdG9yLmNvbS9BcnRpY2xlLzIwMjMvMDkvMjgvUHJpdmF0ZS1sYWJlbC1wcm9kdWN0cy1ncm93aW5nLWluLXBvcHVsYXJpdHktZHVlLXRvLXByaWNlLXF1YWxpdHktYW5kLXN1c3RhaW5hYmlsaXR5LXJlc2VhcmNoLXNob3dz0gEA?oc=5	70% of European consumers regularly buy private label products, with 50% planning to continue due to satisfaction with their quality. Consumers are increasingly choosing private label products because of their lower cost, without sacrificing quality. Many consumers also prefer private label products because of their focus on sustainability and local production.	FALSE	TRUE	TRUE	TRUE	Amcor	Amcor plc	private label products	['311999: All Other Miscellaneous Food Manufacturing', '322110: Pulp, Paper, and Paperboard Mills', '322211: Corrugated and Solid Fiber Box Manufacturing', '812331: Engineering Services']	FALSE
Honoring eco-friendly action: About the 2023 Sustainable Beauty Awards - CosmeticsDesign.com USA	https://news.google.com/rss/articles/CBMieGh0dHBzOi8vd3d3LmNvc21ldGljc2Rlc2lnbi5jb20vQXJ0aWNsZS8yMDIzLzA5LzA3L2hvbm9yaW5nLWVjby1mcmllbmRseS1hY3Rpb24tYWJvdXQtdGhlLTIwMjMtc3VzdGFpbmFibGUtYmVhdXR5LWF3YXJkc9IBAA?oc=5	The Sustainable Beauty Awards, running since 2013, honor sustainability leaders in the beauty industry, including cosmetic brands, ingredient firms, and packaging suppliers. The awards process is currently open for submissions, with five categories for consideration: New Sustainable Products, Sustainable Packaging, Sustainable Ingredient, Sustainable Pioneers, and Sustainability Leadership. The Sustainable Beauty Awards reception will be held at the Crowne Plaza Republique hotel in Paris on October 30th.	FALSE	TRUE	TRUE	TRUE	Ecovia Intelligence's Sustainable Cosmetics Summit	Ecovia Intelligence	Sustainable Beauty Awards	['561990 - All Other Business Support Services', '541990 - All Other Professional, Scientific, and Technical Services', '813990 - Other Similar Organizations (except Business Associations)', '519190 - Other Information Services']	The article does not provide enough information to determine whether the Sustainable Beauty Awards are an example of greenwashing.
European Commission Adopts Measures Restricting Intentional Microplastics - Cosmetics & Toiletries	https://news.google.com/rss/articles/CBMimgFodHRwczovL3d3dy5jb3NtZXRpY3NhbmR0b2lsZXRyaWVzLmNvbS9yZWd1bGF0aW9ucy9lY28tc3VzdGFpbmFibGUvbmV3cy8yMjg3NDQ2OS9ldXJvcGVhbi1jb21taXNzaW9uLWFkb3B0cy1tZWFzdXJlcy1yZXN0cmljdGluZy1pbnRlbnRpb25hbC1taWNyb3BsYXN0aWNz0gEA?oc=5	The European Commission (EC) has adopted measures to restrict microplastics intentionally added to products under the EU chemical legislation REACH. The new rules will prevent the release to the environment of approximately half a million tonnes of microplastics. The measures will prohibit the sale of microplastics, products to which microplastics have been intentionally added, and products that release those microplastics when used.	TRUE. The new rules will prevent the release to the environment of approximately half a million tonnes of microplastics, contributing to environmental sustainability goals.	TRUE. The new rules will impact various industries and require stakeholders to develop and switch to alternatives, fostering innovation.	TRUE. The new rules will restrict the sale of products containing microplastics, promoting the development and use of more environmentally friendly products.	TRUE. The new rules will restrict the sale of products that release microplastics when used, promoting the development and use of more environmentally friendly processes.	European Commission (EC)	European Commission	REACH	['325998 - All Other Chemical Product and Preparation Manufacturing', '562998 - All Other Miscellaneous Store Retailers (except Tobacco Stores)', '422690 - Other Chemical and Allied Products Wholesalers', '325199 - Other Basic Organic Chemical Manufacturing']	FALSE. The article does not provide any evidence of greenwashing.
Giants lead green packaging future - Vietnam Investment Review	https://news.google.com/rss/articles/CBMiQWh0dHBzOi8vdmlyLmNvbS52bi9naWFudHMtbGVhZC1ncmVlbi1wYWNrYWdpbmctZnV0dXJlLTEwNTM0My5odG1s0gEA?oc=5	Green packaging is becoming increasingly important in Vietnam as consumers demand more sustainable products. Foreign businesses are leading the way in green packaging innovation, with companies like Unilever, Nestlé, and Sidel investing in new technologies and materials. The Vietnamese government is also supporting the transition to green packaging through regulations that require manufacturers to take responsibility for the recycling of their products.	TRUE	TRUE	TRUE	TRUE	SIG Schweizerische Industrie Gesellschaft	SIG Combibloc Group AG	aseptic packaging solutions	['322211', '322121', '322221', '322231']	FALSE
Neutrogena's Refillable Powder-To-Foam Waterless Cleanser Expands Mass Market Sustainable Skincare - Happi	https://news.google.com/rss/articles/CBMigwFodHRwczovL3d3dy5oYXBwaS5jb20vZXhjbHVzaXZlcy9uZXV0cm9nZW5hcy1yZWZpbGxhYmxlLXBvd2Rlci10by1mb2FtLXdhdGVybGVzcy1jbGVhbnNlci1leHBhbmRzLW1hc3MtbWFya2V0LXN1c3RhaW5hYmxlLXNraW5jYXJlL9IBAA?oc=5	Neutrogena, a mass market skincare company, has introduced a powder-to-foam cleanser that is waterless and refillable, meeting consumer demand for sustainable products without compromising performance. The cleanser has a compact formula with only seven ingredients and is 96% biodegradable. The company is also exploring new packaging options to reduce plastic usage.	TRUE, the product is designed to reduce plastic waste and energy consumption.	TRUE, the product is a new and improved good that differs significantly from the firm's previous goods and has been introduced on the market.	TRUE,  the product is designed, manufactured, and used in a way that significantly reduces its environmental impact throughout its life cycle.	FALSE, the article does not mention a process.	Neutrogena	Neutrogena Corporation	Neutrogena Gentle Foaming Cleanser + Concentrate	['325612 - Toilet Preparation Manufacturing', '325520 - Cosmetic, Beauty, and Toiletries Manufacturing', '325412 - Pharmaceutical Preparation Manufacturing', '325132 - Medicinal and Botanical Manufacturing']	FALSE, the product appears to offer genuine environmental benefits.
Sustainable strides: Mengniu overcomes recyclability challenges of dairy packaging - FoodNavigator-Asia.com	https://news.google.com/rss/articles/CBMihQFodHRwczovL3d3dy5mb29kbmF2aWdhdG9yLWFzaWEuY29tL0FydGljbGUvMjAyMy8wOS8yMC9jaGluYS1kYWlyeS1naWFudC1tZW5nbml1LW92ZXJjb21lcy1yZWN5Y2xhYmlsaXR5LWNoYWxsZW5nZXMtb2YtZGFpcnktcGFja2FnaW5n0gEA?oc=5	Mengniu, a Chinese dairy company, has partnered with Dow to develop a new recyclable yogurt pouch using Dow's INNATE TF-BOPE resins. The pouch is made from a mono-material, which makes it easier to recycle. Mengniu has a goal to achieve 100% technically recyclable packaging by 2025.	TRUE, the new yogurt pouch is a green innovation because it is made from a mono-material, which makes it easier to recycle and reduces its environmental impact.	TRUE, the new yogurt pouch is a business innovation because it is a new product that is significantly different from Mengniu's previous products and has been introduced on the market.	TRUE, the new yogurt pouch is a green product because it is made from a mono-material, which makes it easier to recycle and reduces its environmental impact.	FALSE, the article does not describe a new or improved green process.	Mengniu	Inner Mongolia Mengniu Dairy (Group) Co., Ltd.	yogurt pouch	['311511 Fluid Milk Manufacturing', '311512 Frozen Dairy Product Manufacturing', '311514 Cheese Manufacturing', '311519 Other Dairy Product Manufacturing']	FALSE, the described product innovation is not an example of greenwashing because it is a genuine innovation that reduces the environmental impact of the product.
New products by Brilliant Polymers at Elite Speciality Films & Flexible Packaging summit - Packaging South Asia	https://news.google.com/rss/articles/CBMiQmh0dHBzOi8vcGFja2FnaW5nc291dGhhc2lhLmNvbS9ldmVudHMvYnJpbGxpYW50LXBvbHltZXJzLWF0LWVsaXRlL9IBAA?oc=5	The packaging industry is growing in India and the Middle East. The industry is expected to grow by 6% in 2024. The growth is being driven by the increasing demand for packaged goods and the adoption of new technologies.	FALSE	FALSE	FALSE	FALSE	Packaging South Asia	Packaging South Asia	product or process not identified	['322219 - Other Converted Paper Product Manufacturing', '322110 - Pulp, Paper, and Paperboard Mills', '326199 - All Other Plastics Product Manufacturing', '541990 - All Other Professional, Scientific, and Technical Services']	FALSE
