title	link	summary	green_innovation	business_innovation	green_product	green_process	company	official_company_name	product_or_process	likely_naics_codes	greenwashing	total_tokens
Ltd. Global Website | Compact CO2 Capture System Receives “Awards for Excellence” at the 2022 Nikkei Excellent ... - Mitsubishi Heavy Industries	https://news.google.com/rss/articles/CBMiJGh0dHBzOi8vd3d3Lm1oaS5jb20vbmV3cy8yMzAyMDEuaHRtbNIBAA?oc=5	The article introduces MHI Group, a global industrial group focusing on energy, smart infrastructure, industrial machinery, aerospace, and defense, delivering innovative solutions with the aim of realizing a carbon-neutral world, improving quality of life, and ensuring a safer world.	TRUE. This is green innovation as MHI Group focuses on cutting-edge technology and solutions to contribute to a carbon-neutral world, demonstrating a commitment to environmental sustainability.	TRUE. The article highlights how MHI Group delivers innovative solutions across various sectors, which can be considered business innovations.	TRUE. The article mentions that MHI Group delivers goods and services that aim to realize a carbon-neutral world and improve quality of life, aligning with the principles of green products.	TRUE. The article mentions that MHI Group combines cutting-edge technology with deep experience to deliver integrated solutions that help realize a carbon-neutral world. This approach involves green processes that aim to minimize environmental impacts.	MHI Group	Mitsubishi Heavy Industries Group	product or process not identified	Likely NAICS Codes: 333, 541, 336, 481	FALSE. The article does not exhibit greenwashing as it primarily focuses on the genuine efforts and contributions of MHI Group towards environmental sustainability.	1358
Loliware scores $15.4m to replace single-use plastics with seaweed-based materials - AgFunderNews	https://news.google.com/rss/articles/CBMiamh0dHBzOi8vYWdmdW5kZXJuZXdzLmNvbS9sb2xpd2FyZS1zY29yZXMtMTUtNG0tdG8tcmVwbGFjZS1zaW5nbGUtdXNlLXBsYXN0aWNzLXdpdGgtc2Vhd2VlZC1iYXNlZC1tYXRlcmlhbHPSAQA?oc=5	The article discusses Loliware's seaweed-based alternative to plastic straws, highlighting its environmental advantages and circular production process.	TRUE. The article describes Loliware's seaweed-based alternative as a green innovation due to its focus on environmental sustainability, carbon capture, and circular economy principles.	TRUE. Loliware's introduction of seaweed-based products as an alternative to plastic straws constitutes a business innovation as it represents a significant departure from traditional plastic products in the market.	TRUE. Loliware's seaweed-based straws qualify as green products for their environmentally friendly design, manufacturing processes, and recyclability, aligning with sustainability goals.	TRUE. Loliware's circular system for growing, processing, and recycling seaweed into compostable straws demonstrates a green process by minimizing environmental impacts and promoting sustainability.	Loliware	Loliware	Blue Carbon Straw	Likely NAICS Codes: 326199 - All Other Plastics Product Manufacturing, 312130 - Wineries, 311119 - Other Animal Food Manufacturing, 322130 - Paperboard Mills	FALSE. The article does not exhibit greenwashing as it transparently presents Loliware's seaweed-based products with factual environmental benefits.	2261
How Manufacturing Companies are Using Recycled Materials In Their Processes and What They're Using - SupplyChainBrain	https://news.google.com/rss/articles/CBMioAFodHRwczovL3d3dy5zdXBwbHljaGFpbmJyYWluLmNvbS9ibG9ncy8xLXRoaW5rLXRhbmsvcG9zdC8zNjUzNi1ob3ctbWFudWZhY3R1cmluZy1jb21wYW5pZXMtYXJlLXVzaW5nLXJlY3ljbGVkLW1hdGVyaWFscy1pbi10aGVpci1wcm9jZXNzZXMtYW5kLXdoYXQtdGhleXJlLXVzaW5n0gEA?oc=5	The article discusses how manufacturers are uniting to build a circular economy by incorporating recycled materials, such as recycled steel, to create sustainable products and reduce waste. It emphasizes the importance of shifting towards a circular economy that minimizes production waste and promotes sustainability.	TRUE. The article discusses how manufacturers are adopting recycled materials and eco-friendly production processes to reduce waste and promote sustainability, aligning with the concept of green innovation.	FALSE. The article focuses more on sustainability and circular economy practices rather than significant changes to business processes or new product developments that qualify as business innovations.	TRUE. The article highlights the use of environmentally benign materials, sustainable production processes, and the development of circular economy practices such as employing recycled steel, which meet the criteria of a green product.	TRUE. The article describes the adoption of processes that minimize environmental impact, conserve resources, reduce energy consumption, and promote sustainability, particularly in the manufacturing of recycled steel, making it a green process.	Gerdau	Gerdau	recycled steel	Likely NAICS Codes: 331110 - Iron and Steel Mills and Ferroalloy Manufacturing, 562111 - Solid Waste Collection, 562119 - Other Waste Collection, 562211 - Hazardous Waste Treatment and Disposal	FALSE. The article does not exhibit characteristics of greenwashing as it promotes genuine efforts towards sustainability, circular economy practices, and the use of recycled materials in manufacturing.	2265
Why Man-Made Cellulosic Fibers Could Amplify and Accelerate Sustainability Impact - Sourcing Journal	https://news.google.com/rss/articles/CBMiqgFodHRwczovL3NvdXJjaW5nam91cm5hbC5jb20vc3VzdGFpbmFiaWxpdHkvc3VzdGFpbmFiaWxpdHktbWF0ZXJpYWxzL3NhdGVyaS1tYW4tbWFkZS1jZWxsdWxvc2ljLWZpYmVycy1zdXN0YWluYWJpbGl0eS1pbXBhY3QtY2lyY3VsYXJpdHktY2FyYm9uLW5ldXRyYWwtdmlzaW9uLTIwMzAtNDE0MDgwL9IBAA?oc=5	The article discusses the environmental impact of synthetic fibers in clothing production and the potential benefits of switching to man-made cellulosic fibers as a more sustainable alternative, highlighting concerns around responsible sourcing and chemical-intensive production processes.	TRUE. This text discusses innovations in textile fiber production aimed at reducing environmental impacts and promoting sustainability, aligning with green innovation principles.	FALSE. The text does not primarily focus on introducing new products or business processes that significantly differ from the firm's previous offerings.	TRUE. The article mentions man-made cellulosic fibers as sustainable alternatives to synthetic materials, promoting environmentally friendly product design and production processes.	TRUE. The text highlights efforts in the textile industry to adopt green processes that minimize environmental impacts, such as responsible sourcing, circular practices, and reducing waste.	Sateri	Sateri	product or process not identified	Likely NAICS Codes: 313210 - Broadwoven Fabric Mills, 313310 - Textile and Fabric Finishing Mills, 313320 - Fabric Coating Mills, 322121 - Paper (except Newsprint) Mills	FALSE. The article focuses on real efforts and innovations towards sustainable textile fiber production, rather than engaging in deceptive or misleading environmental claims.	2917
Volvo CE launches electric loader conversion - electrive.com - www.electrive.com	https://news.google.com/rss/articles/CBMiUmh0dHBzOi8vd3d3LmVsZWN0cml2ZS5jb20vMjAyMy8wMi8yMS92b2x2by1jZS1sYXVuY2hlcy1lbGVjdHJpYy1sb2FkZXItY29udmVyc2lvbi_SAQA?oc=5	Volvo Construction Equipment (Volvo CE) is developing an electric solution for mid-size range construction machinery to advance towards carbon neutrality goals, offering the L120H Electric Conversion with advanced features and partnership collaborations.	TRUE This is a green innovation as it contributes to environmental sustainability goals by introducing electric solutions in the construction industry to reduce carbon emissions and promote eco-friendly practices.	TRUE This is a business innovation as Volvo CE is introducing a new product, the L120H Electric Conversion, into the market that significantly differs from its previous products, focusing on electric solutions for construction equipment.	TRUE This is a green product as the L120H Electric Conversion is designed to reduce environmental impacts by using electric power, which minimizes carbon emissions, conserves energy, and promotes sustainability throughout its life cycle.	FALSE This article does not specifically discuss a green process but focuses on the development and introduction of a green product, the L120H Electric Conversion.	Volvo Construction Equipment (Volvo CE)	Volvo Construction Equipment	L120H Electric Conversion	Likely NAICS Codes: 333120 - Construction Machinery Manufacturing, 335312 - Motor and Generator Manufacturing, 336120 - Heavy Duty Truck Manufacturing, 423810 - Construction and Mining (except Oil Well) Machinery and Equipment Merchant Wholesalers	FALSE This article does not exhibit greenwashing as it accurately discusses Volvo CE's efforts towards sustainability and the development of electric solutions without making false or misleading environmental claims.	1942
Incoming delivery Hyundai Mighty electric truck - Hyundai	https://news.google.com/rss/articles/CBMiXWh0dHBzOi8vd3d3Lmh5dW5kYWkuY29tL2F1L2VuL25ld3MvcHJlc3Mtcm9vbS9pbmNvbWluZy1kZWxpdmVyeS1oeXVuZGFpLW1pZ2h0eS1lbGVjdHJpYy10cnVja9IBAA?oc=5	Hyundai introduces the Mighty electric truck for metropolitan and last-mile deliveries, complementing its hydrogen-powered XCIENT Fuel Cell. The vehicle's rapid charging capability, zero emissions, and contribution to reducing the carbon footprint in Australia showcase Hyundai's commitment to sustainable mobility.	TRUE - This innovation of launching the Mighty electric truck aligns with environmental sustainability goals by introducing a zero-emission commercial vehicle that helps reduce carbon footprint in Australia.	TRUE - The introduction of the Mighty electric truck qualifies as a business innovation as it represents a new product in Hyundai's commercial vehicle lineup that significantly differs from their previous offerings.	TRUE - The Mighty electric truck can be classified as a green product due to its zero emissions, sustainable operation, and environmentally friendly features aimed at reducing its environmental impact throughout its life cycle.	FALSE - The article focuses more on the attributes of the product (Mighty electric truck) rather than detailing the specific manufacturing or operational processes used in its production. As a result, the text does not provide adequate information to categorize it as a green process.	Hyundai Motor Company	Hyundai Motor Company	Mighty electric truck	Likely NAICS Codes: 336111 - Automobile Manufacturing, 336112 - Light Truck and Utility Vehicle Manufacturing, 484121 - General Freight Trucking, Long-Distance, Truckload, 484230 - Specialized Freight (except Used Goods) Trucking, Long-Distance	FALSE - The text does not exhibit any signs of greenwashing as it provides factual information about Hyundai's sustainable commercial vehicle development without making false or misleading claims about its environmental benefits.	1706
Emerging Innovation: Meet 6 Standout Consumer Goods Brands - Consumer Goods Technology	https://news.google.com/rss/articles/CBMiU2h0dHBzOi8vY29uc3VtZXJnb29kcy5jb20vZW1lcmdpbmctaW5ub3ZhdGlvbi1tZWV0LTYtc3RhbmRvdXQtY29uc3VtZXItZ29vZHMtYnJhbmRz0gEA?oc=5	The article discusses Worx's robotic lawnmowers, specifically the Landroid Vision model, designed to revolutionize lawncare by using sensor and camera technology to avoid obstacles and identify yard boundaries.	TRUE. This innovation aligns with green principles by reducing the environmental impact associated with traditional lawncare practices through the use of robotic technology.	TRUE. Worx's introduction of robotic lawnmowers falls under the definition of business innovation as it represents a significant departure from traditional lawnmowers on the market.	TRUE. The article focuses on the Landroid Vision robotic lawnmower, which is a green product designed to minimize environmental impact through its innovative technology and eco-friendly operations.	FALSE. The article does not specifically discuss a process innovation but rather emphasizes the product innovation aspect of Worx's robotic lawnmowers.	Worx	Positec Tool Corporation	Landroid Vision	Likely NAICS Codes: 333111 - Farm Machinery and Equipment Manufacturing, 333112 - Lawn and Garden Equipment Manufacturing, 335224 - Household Laundry Equipment Manufacturing, 335999 - All Other Miscellaneous Electrical Equipment and Component Manufacturing	FALSE. The article does not exhibit greenwashing as it focuses on the genuine technological advancements and benefits of Worx's robotic lawnmowers.	1701
Roadmap for achieving net-zero carbon buildings by 2040 - Architecture AU	https://news.google.com/rss/articles/CBMiWGh0dHBzOi8vYXJjaGl0ZWN0dXJlYXUuY29tL2FydGljbGVzL3JvYWRtYXAtZm9yLWFjaGlldmluZy16ZXJvLWNhcmJvbi1idWlsZGluZ3MtYnktMjA0MC_SAQA?oc=5	The University of New South Wales has released a guide to help achieve net-zero carbon buildings in Australia by 2040, focusing on addressing embodied carbon in construction materials and promoting a 'whole of life' approach to building sustainability.	TRUE: The initiative of producing a guide to help achieve net-zero carbon buildings aligns with environmental sustainability goals by reducing the carbon footprint of buildings and promoting sustainable construction practices.	FALSE: The focus of the article is on sustainable building practices rather than a new or improved product or business process for the firm.	TRUE: The guide emphasizes the use of sustainable materials, energy-efficient technologies, and recycling in building construction, aligning with the definition of a green product.	TRUE: The article discusses methods to minimize environmental impacts in construction, such as using low-carbon materials and advocating for a 'whole of life' approach, making it a green process.	University of New South Wales	University of New South Wales	product or process not identified	Likely NAICS Codes: 611310 - Colleges, Universities, and Professional Schools, 236220 - Commercial and Institutional Building Construction, 541330 - Engineering Services, 541310 - Architectural Services	FALSE	1904
Tropicana launches two new juice flavours - Talking Retail	https://news.google.com/rss/articles/CBMiaWh0dHBzOi8vd3d3LnRhbGtpbmdyZXRhaWwuY29tL3Byb2R1Y3RzLW5ld3MvZ3JvY2VyeS90cm9waWNhbmEtbGF1bmNoZXMtdHdvLW5ldy1qdWljZS1mbGF2b3Vycy0wMy0wMi0yMDIzL9IBAA?oc=5	Tropicana introduces new juice blends, including Strawberry & Banana and Pineapple & Pink Guava Crush, marketed for different consumption times. The products come in various sizes and are portrayed as eco-friendly with carbon-neutral packaging.	FALSE	TRUE	FALSE	FALSE	Tropicana	Tropicana	product or process not identified	Likely NAICS Codes: 311411 - Frozen Fruit, Juice, and Vegetable Manufacturing, 311930 - Flavoring Syrup and Concentrate Manufacturing, 424490 - Other Grocery and Related Products Merchant Wholesalers, 445299 - All Other Specialty Food Stores	FALSE	1539
How Are Phone Manufacturers Improving Their Sustainability? - Mazuma Mobile	https://news.google.com/rss/articles/CBMiV2h0dHBzOi8vd3d3Lm1henVtYW1vYmlsZS5jb20vYmxvZy9nZW5lcmFsL3Bob25lLW1hbnVmYWN0dXJlcnMtaW1wcm92aW5nLXN1c3RhaW5hYmlsaXR5L9IBAA?oc=5	The article discusses efforts by tech giants like Samsung and Apple to reduce the environmental impact of smartphones through actions such as using recycled materials, reducing carbon emissions, developing longer-lasting products, implementing environmentally friendly packaging, and promoting trade-in services and phone recycling.	TRUE - The article discusses how tech giants like Samsung and Apple are taking steps to reduce the environmental impact of smartphones through various sustainable practices, aligning with the concept of green innovation.	TRUE - The article mentions innovations such as using recycled materials, reducing carbon emissions, and developing longer-lasting products, which are new or improved business processes aimed at reducing environmental impact, qualifying as business innovation.	TRUE - The article describes the use of recycled materials in smartphones, reducing unnecessary packaging, and promoting phone trade-in services, all of which align with the definition of green products that significantly reduce environmental impact throughout their life cycles.	TRUE - The article highlights how tech companies are implementing processes such as using recycled materials, reducing carbon emissions, developing longer-lasting products, and adopting environmentally friendly packaging to minimize environmental impacts and promote sustainability in their operations.	Mazuma	Mazuma Mobile Limited	smartphones	Likely NAICS Codes: 334220 - Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing, 517312 - Wireless Telecommunications Carriers (except Satellite), 334413 - Semiconductor and Other Electronic Component Manufacturing, 334614 - Software and Other Prerecorded Compact Disc, Tape, and Record Reproducing	FALSE - The article focuses on concrete actions taken by companies like Samsung and Apple to reduce the environmental impact of smartphones, presenting factual information about their sustainable practices rather than engaging in greenwashing.	2911
