title	link	summary	green_innovation	business_innovation	green_product	green_process	company	official_company_name	product_or_process	likely_naics_codes	greenwashing	total_tokens
10 Energy-Efficient Products for a More Sustainable Home - Pro Builder	https://news.google.com/rss/articles/CBMiTWh0dHBzOi8vd3d3LnByb2J1aWxkZXIuY29tLzEwLWVuZXJneS1lZmZpY2llbnQtcHJvZHVjdHMtbW9yZS1zdXN0YWluYWJsZS1ob21l0gEA?oc=5	The article discusses energy-efficient home products that can improve a home's resale value and provide long-term cost savings for homeowners.	TRUE. The article describes energy-efficient home products that contribute to environmental sustainability by reducing energy consumption and promoting energy efficiency, aligning with green innovation goals.	TRUE. The article highlights new or improved products and technologies in the home energy efficiency sector, differing significantly from traditional products, thus constituting business innovation.	TRUE. The article focuses on energy-efficient home products designed to significantly reduce environmental impact throughout their life cycle, meeting the criteria of green products.	FALSE. The article does not specifically detail manufacturing processes or operational activities aimed at minimizing environmental impacts and promoting sustainability.	company not identified	product or process not identified	product or process not identified	Likely NAICS Codes: 236220 - Commercial and Institutional Building Construction, 238290 - Other Building Equipment Contractors, 334512 - Automatic Environmental Control Manufacturing for Residential, Commercial, and Appliance Use, 423720 - Plumbing and Heating Equipment and Supplies (Hydronics) Merchant Wholesalers	FALSE. The article provides factual information about energy-efficient home products without any indication of false or misleading environmental claims.	2387
Sulzer to offer exclusive preview of new products at WEFTEC 2023 - Water Technology	https://news.google.com/rss/articles/CBMigQFodHRwczovL3d3dy53YXRlcnRlY2hvbmxpbmUuY29tL2luZHVzdHJ5L2FydGljbGUvMTQyOTkxODgvc3VsemVyLXN1bHplci10by1vZmZlci1leGNsdXNpdmUtcHJldmlldy1vZi1uZXctcHJvZHVjdHMtYXQtd2VmdGVjLTIwMjPSAQA?oc=5	Sulzer to present innovations in pumping, filtration, and aeration technology for water and wastewater sectors at WEFTEC conference in Chicago, focusing on energy efficiency, reliability, and sustainability.	TRUE. This article describes innovations that focus on sustainability, energy efficiency, and clean water technologies, contributing to environmental sustainability goals.	TRUE. Sulzer is introducing new advancements in water and wastewater technology at a conference, showcasing new products and processes that differ significantly from previous offerings.	TRUE. The article mentions advancements in filtration and pumping technology for water and wastewater applications, emphasizing energy efficiency, sustainability, and environmental impact reduction.	TRUE. The article highlights methods and techniques in pumping, filtration, and aeration technology aimed at minimizing environmental impacts, reducing energy consumption, and promoting sustainability.	Sulzer	Sulzer	product or process not identified	Likely NAICS Codes: 334510 - Electromedical and Electrotherapeutic Apparatus Manufacturing, 333999 - All Other Miscellaneous General Purpose Machinery Manufacturing, 221310 - Water Supply and Irrigation Systems, 562910 - Remediation Services	FALSE. The article focuses on genuine innovations and technologies being presented at the WEFTEC conference, showcasing advancements in sustainability and clean water solutions.	1726
Seven sustainability advances for business efficiency | ABB - ABB	https://news.google.com/rss/articles/CBMiXGh0dHBzOi8vbmV3LmFiYi5jb20vbmV3cy9kZXRhaWwvMTA3MjQ4L3NldmVuLXN1c3RhaW5hYmlsaXR5LWFkdmFuY2VzLWZvci1idXNpbmVzcy1lZmZpY2llbmN50gEA?oc=5	The article discusses ABB's contributions to smart building technologies for increased energy efficiency through integrated digital solutions.	TRUE - The article discusses ABB's efforts in developing smart building technologies that prioritize energy efficiency and environmental sustainability.	TRUE - The article focuses on ABB's introduction of new smart building technologies and digital solutions, showcasing significant improvements in product and process innovation.	TRUE - The article highlights ABB's commitment to creating environmentally responsible products that promote energy efficiency and sustainability within buildings.	TRUE - The article emphasizes ABB's adoption of green processes in manufacturing and operational activities to minimize environmental impacts and promote sustainability.	ABB	ABB Group	smart building technologies	Likely NAICS Codes: 236220 - Commercial and Institutional Building Construction, 334510 - Electromedical and Electrotherapeutic Apparatus Manufacturing, 335313 - Switchgear and Switchboard Apparatus Manufacturing, 335314 - Relay and Industrial Control Manufacturing	FALSE - The article does not contain false or misleading claims about the environmental benefits of ABB's products or processes.	2314
Exergyn sets new boundaries in solid-state refrigerant technology - PR Newswire	https://news.google.com/rss/articles/CBMieWh0dHBzOi8vd3d3LnBybmV3c3dpcmUuY29tL25ld3MtcmVsZWFzZXMvZXhlcmd5bi1zZXRzLW5ldy1ib3VuZGFyaWVzLWluLXNvbGlkLXN0YXRlLXJlZnJpZ2VyYW50LXRlY2hub2xvZ3ktMzAxOTIyMDIxLmh0bWzSAQA?oc=5	Exergyn is pioneering solid-state cooling technology with shape memory alloys, aiming to replace harmful refrigerant gases with zero GWP and environmentally friendly materials. The article discusses the importance of climate-friendly cooling and regulations on refrigerants, highlighting Exergyn's innovative approach and potential benefits.	TRUE	TRUE	TRUE	TRUE	Exergyn	Exergyn	Exergyn solid-state refrigerant technology based on shape memory alloys (SMAs)	Likely NAICS Codes: 333415, 541713, 221119, 541620	FALSE	2647
Editors' choice: Top 6 products at Husker Harvest Days - Farm Progress	https://news.google.com/rss/articles/CBMiZmh0dHBzOi8vd3d3LmZhcm1wcm9ncmVzcy5jb20vaHVza2VyLWhhcnZlc3QtZGF5cy9lZGl0b3JzLWNob2ljZS10b3AtNi1wcm9kdWN0cy1hdC1odXNrZXItaGFydmVzdC1kYXlzLdIBAA?oc=5	The article covers innovative products showcased at Husker Harvest Days that can impact the agriculture industry, including a drone with a hydrocooling battery system, an irrigation telemetry system, a chainless bale processor, a round baler monitoring tool, a new irrigation nozzle, and an automatic livestock watering system.	FALSE. The article focuses on agricultural innovations that enhance efficiency and productivity but does not emphasize environmental sustainability or reducing negative environmental externalities.	TRUE. The article highlights new and significantly different products and technologies introduced at Husker Harvest Days, indicating business innovation within the agriculture industry.	FALSE. The described products focus on enhancing agricultural processes and efficiency rather than significantly reducing environmental impacts throughout their life cycle.	FALSE. The highlighted advancements in agricultural technology aim to increase productivity and operational effectiveness, without a primary focus on minimizing environmental impacts or promoting sustainability.	company not identified	product or process not identified	product or process not identified	Likely NAICS Codes: 111110 - Soybean Farming, 111130 - Dry Pea and Bean Farming, 115116 - Farm Management Services, 115310 - Support Activities for Forestry	FALSE. The article text does not involve making false or misleading claims about environmental benefits; instead, it focuses on presenting genuine advancements and technologies in agriculture.	2877
Navien announces first HVAC product during virtual launch event - Supply House Times	https://news.google.com/rss/articles/CBMiaGh0dHBzOi8vd3d3LnN1cHBseWh0LmNvbS9hcnRpY2xlcy8xMDU1MjYtbmF2aWVuLWFubm91bmNlcy1maXJzdC1odmFjLXByb2R1Y3QtZHVyaW5nLXZpcnR1YWwtbGF1bmNoLWV2ZW500gEA?oc=5	Navien announced three new innovations, including their first HVAC product, during a virtual launch event. The new products include the NPF Hydro-furnace, NHW-A non-condensing tankless water heater, and NHB-H condensing boiler.	TRUE. The article describes innovations such as the NPF Hydro-furnace, NHW-A tankless water heater, and NHB-H condensing boiler that contribute to environmental sustainability goals through energy efficiency, reduced emissions, and advanced technology.	TRUE. The introduction of new HVAC products by Navien, including the NPF Hydro-furnace and NHW-A tankless water heater, represents business innovation by offering new or improved products in the market.	TRUE. The NPF Hydro-furnace, NHW-A tankless water heater, and NHB-H condensing boiler are designed to reduce environmental impact throughout their life cycles through features like energy efficiency, low emissions, and sustainable materials.	TRUE. The manufacturing and operational processes of the new products by Navien aim to minimize environmental impacts and promote sustainability through energy-efficient technologies, reduced waste, and lower emissions.	Navien	Navien Inc.	NPF Hydro-furnace, NHW-A non-condensing tankless water heater, NHB-H condensing boiler	Likely NAICS Codes: 333415 (Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing), 333414 (Heating Equipment (except Warm Air Furnaces) Manufacturing), 333413 (Industrial and Commercial Fan and Blower and Air Purification Equipment Manufacturing), 332913 (Plumbing Fixture Fitting and Trim Manufacturing)	FALSE. The article provides detailed information about the environmental features and benefits of the new products, without any indication of false or misleading claims.	2295
Concrete Strategies for Enterprises to Hit Supply Chain Sustainability Goals - Supply and Demand Chain Executive	https://news.google.com/rss/articles/CBMinwFodHRwczovL3d3dy5zZGNleGVjLmNvbS9zdXN0YWluYWJpbGl0eS9jYXJib24tZm9vdHByaW50L2FydGljbGUvMjI4NzA4NDMvZmVyby1sYWJzLWNvbmNyZXRlLXN0cmF0ZWdpZXMtZm9yLWVudGVycHJpc2VzLXRvLWhpdC1zdXBwbHktY2hhaW4tc3VzdGFpbmFiaWxpdHktZ29hbHPSAQA?oc=5	The article discusses the importance of improving supply chain sustainability for enterprises, focusing on benefits such as cost savings, risk mitigation, and reputation enhancement through various technology strategies across sourcing, production, distribution, and reverse logistics stages.	FALSE - While the article emphasizes sustainability practices in the supply chain, it does not introduce new or significantly improved environmental innovations that reduce negative externalities of human activities, making it not a green innovation.	TRUE - The article highlights new approaches and technologies within the supply chain to improve sustainability, showcasing a significant change from previous practices in the business operations, aligning with the definition of business innovation.	TRUE - The article discusses implementing sustainable practices throughout the supply chain to reduce waste, promote responsible resource use, and environmental conservation, aligning with the criteria of a green product.	TRUE - The article outlines methods and technology strategies to minimize environmental impacts, increase efficiency, and reduce energy consumption across various stages of the supply chain, demonstrating green process practices.	company not identified	not found	product or process not identified	Likely NAICS Codes: 541614 - Process, Physical Distribution, and Logistics Consulting Services, 541620 - Environmental Consulting Services, 541690 - Other Scientific and Technical Consulting Services, 541712 - Research and Development in the Physical, Engineering, and Life Sciences	FALSE - The article focuses on genuine efforts to enhance supply chain sustainability through technology and process improvements, without misleading or overstating environmental benefits, indicating it is not an example of greenwashing.	2248
New products – October 2023 - Ag Proud	https://news.google.com/rss/articles/CBMiQGh0dHBzOi8vd3d3LmFncHJvdWQuY29tL2FydGljbGVzLzU4MjU4LW5ldy1wcm9kdWN0cy1vY3RvYmVyLTIwMjPSAQA?oc=5	The article discusses new agricultural machinery models from Staheli West, New Holland, Kubota, and Great Plains, highlighting various advanced features and functionalities aimed at improving efficiency, ease of operation, and sustainability in farming practices.	FALSE - While the article discusses innovative features in agricultural machinery, it primarily focuses on advancements related to efficiency and functionality rather than explicit environmental sustainability goals.	TRUE - The article introduces new models of agricultural machinery from various companies with improved features and functionalities, showcasing business innovation in the market.	FALSE - The article mentions new agricultural machinery models with advanced features but does not provide explicit details on how these products significantly reduce environmental impact throughout their life cycle.	FALSE - The article touches on improvements in machinery design and technology but does not delve into specific methods or techniques aimed at minimizing environmental impacts or promoting sustainability in operations.	company not identified	product or process not identified	product or process not identified	Likely NAICS Codes: 333111 - Farm Machinery and Equipment Manufacturing, 333132 - Oil and Gas Field Machinery and Equipment Manufacturing, 333120 - Construction Machinery Manufacturing, 333924 - Industrial Truck, Tractor, Trailer, and Stacker Machinery Manufacturing	FALSE - The article focuses on showcasing new features and functionalities of agricultural machinery models rather than making false or misleading environmental claims, thus not exhibiting greenwashing.	2859
Lessons from Energy Crisis Due to the War in Ukraine | BCG - BCG	https://news.google.com/rss/articles/CBMiVmh0dHBzOi8vd3d3LmJjZy5jb20vcHVibGljYXRpb25zLzIwMjMvbGVzc29ucy1mcm9tLWVuZXJneS1jcmlzaXMtZHVlLXRvLXdhci1pbi11a3JhaW5l0gEA?oc=5	The article discusses how the European Union managed to remain resilient during the energy crisis following Russia's shut down of gas pipelines to Europe, emphasizing the importance of energy security, resilience, and diversification.	FALSE	TRUE	FALSE	TRUE	company not identified	product_or_process not identified	product or process not identified	Likely NAICS Codes: 22 - Utilities, 541710 - Research and Development in the Physical, Engineering, and Life Sciences, 324110 - Petroleum Refineries, 221210 - Natural Gas Distribution	FALSE	4087
German startup 42watt raises funds to expand advisory for solar, heat pumps, energy efficiency - pv magazine International	https://news.google.com/rss/articles/CBMiiAFodHRwczovL3d3dy5wdi1tYWdhemluZS5jb20vMjAyMy8wOS8yOS9nZXJtYW4tc3RhcnR1cC00MndhdHQtcmFpc2VzLWZ1bmRzLXRvLWV4cGFuZC1hZHZpc29yeS1mb3Itc29sYXItaGVhdC1wdW1wcy1hbmQtZW5lcmd5LWVmZmljaWVuY3kv0gEA?oc=5	Enovato GmbH, operating the online energy retrofitting platform 42watt, raised funds to expand services supporting homeowners with retrofitting advice using algorithm-driven modeling, information modules, and guidance on grants. The goal is to make energy retrofitting a building as easy as subscribing to Netflix to help homeowners achieve a carbon-neutral home and Germany's climate goals by 2045.	TRUE. This is green innovation as it involves the development and implementation of technologies and services that aim to reduce energy consumption and carbon emissions in buildings, contributing to environmental sustainability and climate goals.	TRUE. This is a business innovation as it involves the introduction of a new service, the online energy retrofitting platform 42watt, which significantly differs from previous products or processes of the company and is aimed at expanding their business.	FALSE. A specific product is not mentioned in the article. The focus is on the online platform and services provided for energy retrofitting, which do not qualify as a standalone green product.	TRUE. The article discusses the green process of energy retrofitting and guidance provided by 42watt to minimize environmental impacts and promote sustainability in building operations. This aligns with the definition of green processes.	Enovato GmbH	Enovato GmbH	product or process not identified	Likely NAICS Codes: 238220 - Plumbing, Heating, and Air-Conditioning Contractors; 541330 - Engineering Services; 561210 - Facilities Support Services; 562910 - Remediation Services	FALSE. The article does not exhibit greenwashing as it focuses on the genuine aim of providing energy retrofitting services to contribute to environmental sustainability and climate goals.	1775
