title	link	summary	green_innovation	business_innovation	green_product	green_process	company	official_company_name	product_or_process	likely_naics_codes	greenwashing	total_tokens
Apple unveils its first carbon neutral products - Apple	https://news.google.com/rss/articles/CBMiV2h0dHBzOi8vd3d3LmFwcGxlLmNvbS9uZXdzcm9vbS8yMDIzLzA5L2FwcGxlLXVudmVpbHMtaXRzLWZpcnN0LWNhcmJvbi1uZXV0cmFsLXByb2R1Y3RzL9IBAA?oc=5	Apple announces its first carbon neutral products in the new Apple Watch lineup, showcasing a commitment to environmental sustainability with innovations in design, clean energy, and materials. The company aims to make every product carbon neutral by 2030, reducing emissions through clean electricity, recycled materials, and sustainable shipping practices. Apple's focus on renewable energy, low-carbon design, and high-quality carbon credits reflects its dedication to combating climate change and promoting environmental responsibility.	TRUE, The article describes Apple's introduction of carbon neutral products in the Apple Watch lineup, showcasing advancements in clean energy, recycled materials, and sustainable practices to reduce emissions and combat climate change.	TRUE, The article highlights Apple's launch of carbon neutral products in the Apple Watch lineup, showcasing new and improved environmental initiatives and processes that differ significantly from the firm's previous products, aligning with the definition of business innovation.	TRUE, The article discusses Apple's carbon neutral products in the new Apple Watch lineup, emphasizing sustainable design, materials, and functions that significantly reduce environmental impact, aligning with the comprehensive definition of a green product.	TRUE, The article details Apple's adoption of green processes in manufacturing the carbon neutral Apple Watch models, including the use of clean electricity, recycled materials, and sustainable shipping methods to minimize environmental impacts throughout the product life cycle.	Apple	Apple Inc.	Apple Watch lineup	Likely NAICS Codes: 334220 - Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing, 334310 - Audio and Video Equipment Manufacturing, 334416 - Electronic Coil, Transformer, and Other Inductor Manufacturing, 334510 - Electromedical and Electrotherapeutic Apparatus Manufacturing	FALSE, The article demonstrates Apple's genuine efforts to implement carbon neutral products, highlighting tangible actions such as renewable energy use, recycled materials, and sustainable practices, which align with environmental sustainability goals. There is no indication of false or misleading environmental claims that would constitute greenwashing.	3955
How does technology affect the environment? - Telefónica	https://news.google.com/rss/articles/CBMiWGh0dHBzOi8vd3d3LnRlbGVmb25pY2EuY29tL2VuL2NvbW11bmljYXRpb24tcm9vbS9ibG9nL2hvdy10ZWNobm9sb2d5LWFmZmVjdC1lbnZpcm9ubWVudC_SAVxodHRwczovL3d3dy50ZWxlZm9uaWNhLmNvbS9lbi9jb21tdW5pY2F0aW9uLXJvb20vYmxvZy9ob3ctdGVjaG5vbG9neS1hZmZlY3QtZW52aXJvbm1lbnQvYW1wLw?oc=5	The article discusses the environmental challenges and technological solutions to protect the planet, emphasizing renewable energy, waste management, and efficient resource use.	TRUE: The article mentions technologies and digitalization as powerful allies in protecting the environment, offering solutions like renewable energies and waste management, contributing to green innovation.	FALSE: The article focuses more on environmental and technological solutions rather than new products or business processes.	FALSE: The article mentions technologies and sustainability measures but does not specify a particular product designed, manufactured, and used to significantly reduce environmental impact.	TRUE: The article highlights various methods and techniques to minimize environmental impacts and promote sustainability in manufacturing and waste management, indicating a focus on green processes.	company not identified	N/A	product or process not identified	Likely NAICS Codes: 562920 - Materials Recovery Facilities, 221117 - Biomass Electric Power Generation, 562112 - Hazardous Waste Collection, 541620 - Environmental Consulting Services	FALSE: The article does not depict false or misleading information about environmental benefits but rather discusses challenges and technological solutions to protect the environment.	2582
CSRWire - Better Planet: Helping Kohler Customers Reduce Their Environmental Footprints - CSRwire.com	https://news.google.com/rss/articles/CBMiemh0dHBzOi8vd3d3LmNzcndpcmUuY29tL3ByZXNzX3JlbGVhc2VzLzc4MzkxNi1iZXR0ZXItcGxhbmV0LWhlbHBpbmcta29obGVyLWN1c3RvbWVycy1yZWR1Y2UtdGhlaXItZW52aXJvbm1lbnRhbC1mb290cHJpbnRz0gEA?oc=5	Kohler's Better Planet strategy focuses on improving environmental footprint and designing environmentally friendly products. They track environmental metrics and have goals for reducing greenhouse gas emissions, water usage, and waste to landfill. Kohler also emphasizes a Design for Environment methodology, environmentally friendly products, helping customers reduce carbon emissions, water-efficient products, waste reduction initiatives through WasteLAB, and their Innovation for Good program.	TRUE. The article discusses Kohler's focus on improving environmental footprint, reducing greenhouse gas emissions, and designing environmentally friendly products, aligning with green innovation goals.	FALSE. While the article discusses product development and improvement, it primarily focuses on environmental considerations rather than significant business model changes.	TRUE. Kohler emphasizes designing environmentally friendly products, such as water-efficient products and recycled material initiatives, aligning with the definition of green products.	TRUE. The article highlights Kohler's efforts in creating environmentally friendly products through green processes, such as waste reduction initiatives and water-efficient product development.	Kohler	Kohler Co.	product or process not identified	Likely NAICS Codes: 332913, 326199, 334512, 221112 (Metal Valve Manufacturing, All Other Plastics Product Manufacturing, Automatic Environmental Control Manufacturing for Residential, Commercial, and Appliance Use, Natural Gas Distribution)	FALSE. The article provides detailed information on Kohler's environmental sustainability efforts without making misleading statements about their products or practices, thereby avoiding greenwashing.	2854
Pirelli Unveils New Logo for 50%+ Sustainable Tires - AftermarketNews.com (AMN)	https://news.google.com/rss/articles/CBMiUmh0dHBzOi8vd3d3LmFmdGVybWFya2V0bmV3cy5jb20vcGlyZWxsaS11bnZlaWxzLW5ldy1sb2dvLWZvci01MC1zdXN0YWluYWJsZS10aXJlcy_SAQA?oc=5	Pirelli introduced a new logo for sustainable tires, emphasizing materials of bio-based and recycled origin. The company aims to increase the use of eco-compatible materials in their products for environmental impact reduction.	TRUE. This is a green innovation as Pirelli is introducing sustainable practices in their products to reduce negative environmental externalities.	TRUE. This is a business innovation as Pirelli is introducing new products with significantly different environmental attributes compared to previous products.	TRUE. This is a green product as Pirelli's tires are designed, manufactured, and used in a way that significantly reduces their environmental impact throughout their life cycle.	TRUE. This is a green process as Pirelli is implementing methods to minimize environmental impacts and promote sustainability in their tire production.	Pirelli	Pirelli & C. S.p.A.	P Zero E tire	Likely NAICS Codes: 326211 - Tire Manufacturing, 325311 - Nitrogenous Fertilizer Manufacturing, 551112 - Offices of Other Holding Companies, 325188 - All Other Basic Inorganic Chemical Manufacturing	FALSE. This is not greenwashing because Pirelli is transparently introducing sustainable practices in their products and processes without deceptive marketing tactics.	2104
European Commission Adopts Measures Restricting Intentional Microplastics - Cosmetics & Toiletries	https://news.google.com/rss/articles/CBMimgFodHRwczovL3d3dy5jb3NtZXRpY3NhbmR0b2lsZXRyaWVzLmNvbS9yZWd1bGF0aW9ucy9lY28tc3VzdGFpbmFibGUvbmV3cy8yMjg3NDQ2OS9ldXJvcGVhbi1jb21taXNzaW9uLWFkb3B0cy1tZWFzdXJlcy1yZXN0cmljdGluZy1pbnRlbnRpb25hbC1taWNyb3BsYXN0aWNz0gEA?oc=5	The European Commission adopts measures to restrict the use of intentional microplastics in products, aiming to prevent half a million tonnes of microplastics from entering the environment.	TRUE - The measures adopted by the European Commission to restrict the use of intentional microplastics align with environmental sustainability goals of reducing harmful substances and protecting biological systems.	FALSE - The article does not focus on a new or significantly improved product or business process within a firm.	TRUE - The article discusses the development of restrictions on products containing microplastics to reduce environmental impact throughout their life cycle, promoting eco-friendly materials and production processes.	TRUE - The measures adopted aim to minimize environmental impacts by restricting the release of intentional microplastics, in line with green process goals of reducing waste and conserving resources.	company not identified	company not identified	product or process not identified	Likely NAICS Codes: 541620 - Environmental Consulting Services, 325910 - Printing Ink Manufacturing, 324122 - Asphalt Shingle and Coating Materials Manufacturing, 325998 - All Other Miscellaneous Chemical Product and Preparation Manufacturing	FALSE - The article discusses regulatory measures to restrict microplastics, which align with environmental protection goals without misleading claims.	1980
New REGARD Products Make Commercial Cleaning More Sustainable - GlobeNewswire	https://news.google.com/rss/articles/CBMiiAFodHRwczovL3d3dy5nbG9iZW5ld3N3aXJlLmNvbS9lbi9uZXdzLXJlbGVhc2UvMjAyMy8wOS8yOC8yNzUxMzU2LzAvZW4vTmV3LVJFR0FSRC1Qcm9kdWN0cy1NYWtlLUNvbW1lcmNpYWwtQ2xlYW5pbmctTW9yZS1TdXN0YWluYWJsZS5odG1s0gEA?oc=5	Bunzl Canada introduced its new environmentally preferable cleaning product line called REGARD™ Eco-Friendlier Cleaning Solutions, which focuses on sustainability and reducing environmental impact throughout its life cycle.	TRUE - The article describes the introduction of environmentally responsible cleaning products that reduce environmental impact through innovative packaging and sustainable formulations.	TRUE - Bunzl Canada introduced a new cleaning product line that differs significantly from its previous products, focusing on environmental sustainability and meeting the demand for more sustainable cleaning practices.	TRUE - The article discusses the REGARD™ Eco-Friendlier Cleaning Solutions, which are designed to significantly reduce environmental impact throughout their life cycle by using environmentally responsible materials and sustainable production processes.	TRUE - The article highlights the green processes involved in the manufacturing and packaging of the new cleaning products, aiming to minimize waste, conserve resources, and reduce environmental impacts through innovative packaging design and concentrated formulas.	Bunzl Canada	Bunzl Canada Inc.	REGARD™ Eco-Friendlier Cleaning Solutions	Likely NAICS Codes: 423850 - Service Establishment Equipment and Supplies Merchant Wholesalers, 561720 - Janitorial Services, 325611 - Soap and Other Detergent Manufacturing, 325612 - Polish and Other Sanitation Good Manufacturing	FALSE - The article does not provide any indication of false or misleading environmental claims, but instead focuses on the genuine efforts of Bunzl Canada to offer sustainable cleaning solutions.	2411
Sustainability: How to measure the impact of cosmetic products? - Premium beauty	https://news.google.com/rss/articles/CBMiTGh0dHBzOi8vd3d3LnByZW1pdW1iZWF1dHluZXdzLmNvbS9lbi9zdXN0YWluYWJpbGl0eS1ob3ctdG8tbWVhc3VyZS10aGUsMjI1NTnSAQA?oc=5	The article discusses the upcoming Sustainable Cosmetics Summit focusing on green ingredients, sustainable metrics, biodiversity impacts, and various innovations in the cosmetics industry.	TRUE	TRUE	TRUE	TRUE	Ecovia Intelligence	Ecovia Intelligence	product_or_process not identified	Likely NAICS Codes: 541620 - Environmental Consulting Services, 325620 - Toilet Preparation Manufacturing, 611430 - Professional and Management Development Training, 541990 - All Other Professional, Scientific, and Technical Services	FALSE	2243
Gruppo Mastrotto, a commited tannery - Leather - Premiere Vision	https://news.google.com/rss/articles/CBMiRWh0dHBzOi8vd3d3LnByZW1pZXJldmlzaW9uLmNvbS9lbi9tYWdhemluZS9tYXN0cm90dG8tb3JnYW5pYy1sZWF0aGVyL9IBAA?oc=5	Gruppo Mastrotto, a major player in the leather industry, has been focusing on sustainability by reducing environmental impact through innovative products and environmentally friendly production processes.	TRUE, The article describes how Gruppo Mastrotto is implementing sustainable practices and developing environmentally friendly products, which align with the concept of green innovation.	TRUE, Gruppo Mastrotto's development of innovative products and environmentally friendly processes signals a shift from traditional methods, making it a business innovation.	TRUE, Mastrotto's Organic Leather range is designed to have a low environmental impact throughout its lifecycle, meeting the criteria of a green product.	TRUE, Gruppo Mastrotto is implementing new industrial tools and methods aimed at reducing environmental impacts in its production processes, qualifying as a green process.	Gruppo Mastrotto	Gruppo Mastrotto	Organic Leather	Likely NAICS Codes: 316110 (Leather and Hide Tanning and Finishing), 316210 (Footwear Manufacturing), 316990 (All Other Leather Good and Allied Product Manufacturing), 551112 (Offices of Other Holding Companies)	FALSE, The article does not display any signs of greenwashing as it focuses on concrete actions and initiatives taken by Gruppo Mastrotto towards sustainability.	1757
DuPont demonstrates how PPE can be more sustainable at A+A - Cleanroom Technology	https://news.google.com/rss/articles/CBMiYWh0dHBzOi8vY2xlYW5yb29tdGVjaG5vbG9neS5jb20vZHVwb250LWRlbW9uc3RyYXRlcy1ob3ctcHBlLWNhbi1iZS1tb3JlLXN1c3RhaW5hYmxlLWF0LWEtYS0yMTEzNzLSAQA?oc=5	DuPont showcases sustainable personal protective equipment innovations at A+A 2023, emphasizing worker safety, comfort, and reduced environmental footprint.	TRUE. This is green innovation as DuPont is demonstrating sustainable innovations that reduce environmental footprint and promote worker safety.	TRUE. The article discusses new and innovative products and processes introduced by DuPont, qualifying as business innovation.	TRUE. DuPont's sustainable personal protective equipment innovations align with the definition of green products by reducing environmental impact through their design, manufacturing, and use.	TRUE. DuPont's focus on minimizing environmental impacts and promoting sustainability in its manufacturing processes qualifies as green processes.	DuPont	E. I. du Pont de Nemours and Company	product or process not identified	Likely NAICS Codes: 325998 (All Other Miscellaneous Chemical Product and Preparation Manufacturing), 339113 (Surgical Appliance and Supplies Manufacturing), 325180 (Other Basic Inorganic Chemical Manufacturing), 325131 (Incomplete Hydrogen Cyanide Manufacturing)	FALSE. The article does not exhibit characteristics of greenwashing as it authentically highlights DuPont's sustainable innovations and initiatives.	2115
Vivobarefoot Is Serious About Circularity and Scoring Its Environmental Impact - Footwear News	https://news.google.com/rss/articles/CBMiZWh0dHBzOi8vZm9vdHdlYXJuZXdzLmNvbS9idXNpbmVzcy9idXNpbmVzcy1uZXdzL3Zpdm9iYXJlZm9vdC1zdXN0YWluYWJpbGl0eS1jaXJjLWRlYWwtbGNhLTEyMDM1MDgwODkv0gFpaHR0cHM6Ly9mb290d2Vhcm5ld3MuY29tL2J1c2luZXNzL2J1c2luZXNzLW5ld3Mvdml2b2JhcmVmb290LXN1c3RhaW5hYmlsaXR5LWNpcmMtZGVhbC1sY2EtMTIwMzUwODA4OS9hbXAv?oc=5	Vivobarefoot partners with Circ for circular design solutions in footwear, aiming to create a fully recyclable shoe by developing uppers made of chemically recyclable polyester, highlighting sustainability efforts in the footwear industry.	TRUE. This is green innovation as it involves developing a more sustainable and circular design solution in footwear production, aligning with environmental sustainability goals.	TRUE. This is a business innovation as Vivobarefoot is introducing a new partnership and circular design solution in the footwear market, significantly differing from its previous products or processes.	TRUE. This is a green product as Vivobarefoot and Circ are designing and developing footwear with uppers made of chemically recyclable polyester, aiming for a fully recyclable shoe that significantly reduces environmental impact.	TRUE. This is a green process as the collaboration between Vivobarefoot and Circ focuses on developing a sustainable and circular design solution in footwear manufacturing to minimize environmental impacts.	Vivobarefoot	Vivobarefoot	Vivobarefoot Primus Circular	Likely NAICS Codes: 316219 (Other Footwear Manufacturing), 424340 (Footwear Merchant Wholesalers), 541712 (Research and Development in the Physical, Engineering, and Life Sciences), 325998 (All Other Miscellaneous Chemical Product and Preparation Manufacturing)	FALSE. This is not an example of greenwashing as the partnership between Vivobarefoot and Circ aims to genuinely create a sustainable and fully recyclable footwear solution, showcasing environmental responsibility.	2467
