title	link	summary	green_innovation	business_innovation	green_product	green_process	company	official_company_name	product_or_process	likely_naics_codes	greenwashing	total_tokens
Ltd. Global Website | Compact CO2 Capture System Receives “Awards for Excellence” at the 2022 Nikkei Excellent ... - Mitsubishi Heavy Industries	https://news.google.com/rss/articles/CBMiJGh0dHBzOi8vd3d3Lm1oaS5jb20vbmV3cy8yMzAyMDEuaHRtbNIBAA?oc=5	MHI Group is a leading industrial group focusing on energy, smart infrastructure, industrial machinery, aerospace, and defense. The company leverages advanced technology and extensive experience to provide innovative solutions aimed at achieving carbon neutrality and improving quality of life. They emphasize their commitment to a safer world through integrated solutions.	TRUE, because the company emphasizes innovative solutions that help realize a carbon neutral world and improve quality of life, aligning with green innovation's goals of sustainability and reducing environmental impact.	TRUE, because MHI Group introduces new integrated solutions in various industries, significantly differing from previous business processes.	FALSE, as the article does not specify any particular good or service that meets the definition of a green product.	FALSE, as the article does not detail any specific green process employed by the company.	Mitsubishi Heavy Industries Group	Mitsubishi Heavy Industries, Ltd.	product or process not identified	Likely NAICS Codes: 333618 - Other Engine Equipment Manufacturing; 336411 - Aircraft Manufacturing; 334511 - Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing; 221118 - Other Electric Power Generation	FALSE, as the article provides credible information about the company's goals and commitments without misleading claims about their environmental benefits.	1359
Loliware scores $15.4m to replace single-use plastics with seaweed-based materials - AgFunderNews	https://news.google.com/rss/articles/CBMiamh0dHBzOi8vYWdmdW5kZXJuZXdzLmNvbS9sb2xpd2FyZS1zY29yZXMtMTUtNG0tdG8tcmVwbGFjZS1zaW5nbGUtdXNlLXBsYXN0aWNzLXdpdGgtc2Vhd2VlZC1iYXNlZC1tYXRlcmlhbHPSAQA?oc=5	Loliware is developing seaweed-based alternatives to single-use plastics, specifically straws, which offer a sustainable solution that captures carbon and supports ocean health. The company utilizes a circular system for sourcing and processing seaweed, producing products that are compostable and decompose quickly. Loliware aims to expand its offerings and address the increasing bans on plastic by providing environmentally friendly alternatives. Their mission includes creating inclusive solutions for those who need straws and demonstrating that seaweed products can compete with traditional plastics.	TRUE - This is green innovation because Loliware is replacing harmful single-use plastics with biodegradable alternatives made from seaweed, reducing environmental impact and promoting sustainability.	TRUE - This is a business innovation as Loliware is introducing a new product (seaweed-derived straws) that significantly differs from previous products offered in the market, addressing the demand for eco-friendly solutions.	TRUE - The seaweed-derived straws qualify as a green product since they are designed to significantly reduce environmental impact throughout their lifecycle, being compostable and made from renewable resources.	TRUE - The process used by Loliware to grow, harvest, and transform seaweed into straws involves minimizing environmental impacts and promoting sustainability, thus qualifying as a green process.	Loliware	Loliware	Blue Carbon Straw	Likely NAICS Codes: 3261 - Plastics Product Manufacturing; 3119 - Other Food Manufacturing; 3252 - Resin, Synthetic Rubber, and Artificial Synthetic Fibers and Filaments Manufacturing; 5417 - Scientific Research and Development Services	FALSE - The article does not indicate any misleading statements about the environmental benefits of Loliware's products. Instead, it presents a clear and substantiated innovation aimed at reducing reliance on single-use plastics while providing evidence of its environmental advantages.	2358
How Manufacturing Companies are Using Recycled Materials In Their Processes and What They're Using - SupplyChainBrain	https://news.google.com/rss/articles/CBMioAFodHRwczovL3d3dy5zdXBwbHljaGFpbmJyYWluLmNvbS9ibG9ncy8xLXRoaW5rLXRhbmsvcG9zdC8zNjUzNi1ob3ctbWFudWZhY3R1cmluZy1jb21wYW5pZXMtYXJlLXVzaW5nLXJlY3ljbGVkLW1hdGVyaWFscy1pbi10aGVpci1wcm9jZXNzZXMtYW5kLXdoYXQtdGhleXJlLXVzaW5n0gEA?oc=5	The article discusses the increasing adoption of recycled materials by manufacturers to build a circular economy, emphasizing the importance of reducing waste and minimizing environmental impacts. It highlights the use of recycled steel produced with electric arc furnace technology, which is infinitely recyclable and can effectively replace virgin materials in various applications. The article argues that this shift promotes sustainable development and contributes to carbon emission reduction efforts within the steel industry. Lastly, it emphasizes the need for manufacturers to adjust their processes and design products to incorporate recycled materials.	TRUE, because the article describes methods and practices that significantly reduce environmental impacts, promote sustainability, and involve the use of recycled materials in production.	TRUE, because the article outlines new and improved processes for manufacturing that differ significantly from prior practices by incorporating recycled materials and aiming for a circular economy.	TRUE, because recycled steel produced using sustainable methods is designed to minimize environmental impact throughout its life cycle, meeting the criteria of a green product.	TRUE, because the production process described utilizing electric arc furnace technology minimizes environmental impacts by incorporating a high percentage of recycled materials and reducing carbon emissions.	Gerdau	Gerdau S.A.	recycled steel produced with electric arc furnace technology	Likely NAICS Codes: 331110 - Iron and Steel Mills, 332312 - Fabricated Structural Metal Manufacturing, 332999 - All Other Miscellaneous Fabricated Metal Product Manufacturing, 423510 - Metal Service Centers and Other Metal Merchant Wholesalers	FALSE, because the article provides credible information regarding the environmental benefits and practices of using recycled materials, avoiding misleading claims typical of greenwashing.	2284
Why Man-Made Cellulosic Fibers Could Amplify and Accelerate Sustainability Impact - Sourcing Journal	https://news.google.com/rss/articles/CBMiqgFodHRwczovL3NvdXJjaW5nam91cm5hbC5jb20vc3VzdGFpbmFiaWxpdHkvc3VzdGFpbmFiaWxpdHktbWF0ZXJpYWxzL3NhdGVyaS1tYW4tbWFkZS1jZWxsdWxvc2ljLWZpYmVycy1zdXN0YWluYWJpbGl0eS1pbXBhY3QtY2lyY3VsYXJpdHktY2FyYm9uLW5ldXRyYWwtdmlzaW9uLTIwMzAtNDE0MDgwL9IBAA?oc=5	The article discusses the environmental challenges posed by synthetic fibers in the fashion industry, highlighting the benefits of man-made cellulosic fibers (MMCFs) as biodegradable and renewable alternatives. Companies like Sateri are making strides in sustainable sourcing, circularity, and reducing environmental impact through innovative practices. They focus on responsible forest management, chemical safety, and aim to become net-zero producers by 2050. Sateri’s commitment to sustainability and their diverse product offerings underline their role in tackling textile waste and promoting eco-friendly practices.	TRUE - The article highlights innovations that significantly reduce environmental impacts by focusing on biodegradable materials, sustainable production processes, and circular economy practices within the textile industry.	TRUE - The article describes new and improved products and processes, such as MMCFs and circular fibers, that differ significantly from conventional textile fibers, showcasing new business practices in sustainability.	TRUE - The products mentioned, such as viscose and lyocell made from MMCFs, meet the definition of green products as they are designed to significantly reduce environmental impacts throughout their life cycle.	TRUE - The article mentions sustainable production processes that minimize environmental impacts, such as efficient waste management, chemical safety, and the use of renewable resources, marking them as green processes.	Sateri	Sateri	EcoCosy®, Sateri Lyocell, FINEX™	Likely NAICS Codes: 313 - Textile Mills, 325 - Chemical Manufacturing, 441 - Retail Trade, 541 - Professional, Scientific, and Technical Services	FALSE - The article does not appear to be greenwashing as it provides substantiated claims about Sateri's commitment to sustainability, detailed examples of their production processes, and certifications that support their environmental initiatives.	2954
Volvo CE launches electric loader conversion - electrive.com - www.electrive.com	https://news.google.com/rss/articles/CBMiUmh0dHBzOi8vd3d3LmVsZWN0cml2ZS5jb20vMjAyMy8wMi8yMS92b2x2by1jZS1sYXVuY2hlcy1lbGVjdHJpYy1sb2FkZXItY29udmVyc2lvbi_SAQA?oc=5	Volvo Construction Equipment (Volvo CE) has developed a new electric conversion solution for mid-size construction machinery, specifically a 20-ton loader, as part of its commitment to carbon neutrality by 2040 and a 35% electric vehicle share by 2030. The L120H Electric Conversion, equipped with 240 kWh batteries for medium-duty applications, aims to provide a speedier market entry and is supported by dedicated electromobility applications. Collaboration with CE Engineering Solutions and Parker Hannifin facilitates this innovation, alongside existing electric models in Volvo's lineup. The company emphasizes the necessity of both retrofit and dedicated electric solutions to achieve decarbonization goals in the construction industry.	TRUE: This is green innovation because it contributes to environmental sustainability goals by developing electric machinery that reduces carbon emissions in the construction industry.	TRUE: This is a business innovation as it introduces a new product, the L120H Electric Conversion, that significantly differs from previous products and is being brought to market.	TRUE: The L120H Electric Conversion qualifies as a green product as it is designed to minimize environmental impact through the use of electric battery technology and aims to support sustainable practices.	TRUE: The development and implementation of the electric conversion process not only reduces environmental impacts but also promotes the use of sustainable technologies in manufacturing.	Volvo Construction Equipment	Volvo Construction Equipment	L120H Electric Conversion	Likely NAICS Codes: 333120 - Construction Machinery Manufacturing, 336111 - Automobile Manufacturing, 423830 - Industrial Machinery and Equipment Merchant Wholesalers, 541715 - Research and Development in the Physical, Engineering, and Life Sciences	FALSE: The article does not represent an example of greenwashing as it discusses genuine efforts to develop electric solutions and meet carbon neutrality goals, rather than making misleading claims about environmental benefits.	2007
Incoming delivery Hyundai Mighty electric truck - Hyundai	https://news.google.com/rss/articles/CBMiXWh0dHBzOi8vd3d3Lmh5dW5kYWkuY29tL2F1L2VuL25ld3MvcHJlc3Mtcm9vbS9pbmNvbWluZy1kZWxpdmVyeS1oeXVuZGFpLW1pZ2h0eS1lbGVjdHJpYy10cnVja9IBAA?oc=5	Hyundai has introduced the Mighty electric truck in Australia as part of its sustainable commercial vehicle strategy, following the XCIENT Fuel Cell. The truck features a 114.5kWh battery, providing an estimated range of 240km, making it suitable for zero-emission urban deliveries. This initiative aims to reduce the carbon footprint of transport operations, with each truck expected to significantly reduce vehicle emissions. The introduction of this truck aligns with Hyundai's goal of achieving carbon neutrality by 2045.	TRUE: The Mighty electric truck represents a green innovation as it is a zero-emission vehicle that reduces the carbon footprint of transportation and logistics operations.	TRUE: The introduction of the Mighty electric truck is a business innovation as it is a new product that significantly differs from Hyundai's previous offerings in the commercial vehicle market.	TRUE: The Mighty electric truck qualifies as a green product because it is designed to minimize environmental impact and uses sustainable, zero-emission technology throughout its lifecycle.	FALSE: The article does not specifically describe a manufacturing or operational process that minimizes environmental impacts; it focuses on the product itself.	Hyundai Motor Company	Hyundai Motor Company	Mighty electric truck	Likely NAICS Codes: 336120 - Heavy Duty Truck Manufacturing, 441228 - Other Motor Vehicle Dealers, 488490 - Other Support Activities for Road Transportation, 334413 - Semiconductor and Related Device Manufacturing	FALSE: The article does not indicate greenwashing as Hyundai's claims about the environmental benefits of the Mighty electric truck seem substantiated through their commitment to sustainability and carbon neutrality goals.	1694
Emerging Innovation: Meet 6 Standout Consumer Goods Brands - Consumer Goods Technology	https://news.google.com/rss/articles/CBMiU2h0dHBzOi8vY29uc3VtZXJnb29kcy5jb20vZW1lcmdpbmctaW5ub3ZhdGlvbi1tZWV0LTYtc3RhbmRvdXQtY29uc3VtZXItZ29vZHMtYnJhbmRz0gEA?oc=5	Worx is introducing its Landroid Vision robotic lawnmower, designed to automate yardwork more easily and safely than existing models. Unlike traditional robotic mowers that require boundary wire, this innovation uses onboard sensors and camera technology to navigate obstacles and define yard boundaries. The VP of product emphasizes that they aim to increase convenience and user-friendliness within the lawn care industry.	TRUE, because the Landroid Vision robotic lawnmower aims to reduce the environmental impact of lawn care by offering an automated solution that can potentially minimize fuel consumption and energy use associated with traditional mowing methods.	TRUE, as the Landroid Vision represents a significant development in robotic lawn care technology, differentiating itself from previous models by using advanced sensors and artificial intelligence to navigate and operate more effectively.	TRUE, because the Landroid Vision is designed with functionalities that support lower environmental impacts, enhancing convenience while potentially conserving energy and resources during its use.	TRUE, as the development of the Landroid Vision involves innovative manufacturing and operational processes that minimize environmental impacts, such as using energy-efficient technologies and materials.	Worx	Worx International Limited	Landroid Vision	Likely NAICS Codes: 333112 - Lawn and Garden Tractor and Home Lawn and Garden Equipment Manufacturing, 335999 - All Other Miscellaneous Electrical Equipment and Component Manufacturing, 453998 - All Other Specialty Trade Contractors, 541512 - Computer Systems Design Services.	FALSE, as the article does not make false claims about environmental benefits; it discusses genuine innovations aimed at improving convenience, safety, and potentially reducing environmental impacts in lawn care.	1755
Roadmap for achieving net-zero carbon buildings by 2040 - Architecture AU	https://news.google.com/rss/articles/CBMiWGh0dHBzOi8vYXJjaGl0ZWN0dXJlYXUuY29tL2FydGljbGVzL3JvYWRtYXAtZm9yLWFjaGlldmluZy16ZXJvLWNhcmJvbi1idWlsZGluZ3MtYnktMjA0MC_SAQA?oc=5	Researchers at the University of New South Wales have developed a free online guide aimed at helping architects, engineers, and planners create net-zero carbon buildings by 2040. The guide addresses the need to consider both operational and embodied carbon emissions of buildings, advocating for retrofitting and using low-carbon materials. It proposes a holistic approach to sustainable building practices and argues for mandated net-zero construction codes and government incentives. The guide is intended to foster meaningful conversations in the industry to accelerate progress towards net-zero emissions.	TRUE, because the guide promotes innovations in construction practices that significantly reduce environmental impacts and support sustainability goals.	FALSE, because the article does not describe a specific new or improved product or process introduced to the market by a specific firm.	FALSE, because the article does not identify a specific good designed or manufactured to reduce environmental impact throughout its life cycle.	TRUE, because the guide outlines methods and techniques for building construction that minimize environmental impacts, including the use of low-carbon materials and retrofitting existing buildings.	company not identified	company not identified	product or process not identified	Likely NAICS Codes: 236117 - New Housing For-Sale Builders, 541310 - Architectural Services, 541330 - Engineering Services, 923120 - Administration of Urban Planning and Community and Rural Development.	FALSE, because the article provides credible guidance and advocates for genuine practices aimed at achieving net-zero carbon emissions rather than making misleading claims about environmental benefits.	1944
Tropicana launches two new juice flavours - Talking Retail	https://news.google.com/rss/articles/CBMiaWh0dHBzOi8vd3d3LnRhbGtpbmdyZXRhaWwuY29tL3Byb2R1Y3RzLW5ld3MvZ3JvY2VyeS90cm9waWNhbmEtbGF1bmNoZXMtdHdvLW5ldy1qdWljZS1mbGF2b3Vycy0wMy0wMi0yMDIzL9IBAA?oc=5	Tropicana has launched two new juice blends, Strawberry & Banana and Pineapple & Pink Guava Crush, designed for different consumption occasions. The products will be available in various sizes and marketed through a comprehensive strategy. Both juices are packaged as carbon neutral and recyclable, highlighting their fruit ingredients and health benefits. Tropicana continues its partnership with Too Good To Go to aid food waste reduction.	TRUE: The products are packaged as carbon neutral and recyclable, contributing to environmental sustainability and reducing waste.	TRUE: The launch of new juice blends represents a new product offering that differs significantly from Tropicana's previous products.	TRUE: The juices are designed with health and environmental considerations in mind, including recyclable packaging and carbon neutrality.	FALSE: The article does not describe specific manufacturing or operational processes that minimize environmental impact.	Tropicana Brands Group	Tropicana Products, Inc.	Strawberry & Banana and Pineapple & Pink Guava Crush juice blends	Likely NAICS Codes: 311421 - Fruit and Vegetable Canning, 311911 - Fruit and Vegetable Juice Manufacturing, 312111 - Soft Drink Manufacturing, 424490 - Other Grocery and Related Products Merchant Wholesalers	FALSE: The article presents the product attributes clearly and supports its environmental claims with carbon neutrality and recyclable packaging, without misleading statements.	1662
How Are Phone Manufacturers Improving Their Sustainability? - Mazuma Mobile	https://news.google.com/rss/articles/CBMiV2h0dHBzOi8vd3d3Lm1henVtYW1vYmlsZS5jb20vYmxvZy9nZW5lcmFsL3Bob25lLW1hbnVmYWN0dXJlcnMtaW1wcm92aW5nLXN1c3RhaW5hYmlsaXR5L9IBAA?oc=5	The article discusses the efforts of major smartphone manufacturers, particularly Samsung and Apple, in implementing sustainable practices such as using recycled materials, reducing carbon footprints, and minimizing packaging waste. It highlights actions towards recycling and trade-in services to promote a circular economy within the tech industry. Mazuma is mentioned as a company dedicated to recycling phones and contributing to sustainability without pressuring customers to buy new products. Overall, the article emphasizes the importance of environmentally responsible practices in the smartphone market.	TRUE: The article discusses various specific efforts made by smartphone manufacturers to reduce their environmental impact, such as using recycled materials and minimizing waste, which aligns with the definition of green innovation.	TRUE: The article describes the innovative approaches of companies like Samsung and Apple in creating and marketing environmentally responsible products, which indicates significant improvements in their business processes.	TRUE: The products discussed, such as smartphones utilizing recycled materials and environmentally friendly packaging, meet the criteria for green products as they are designed to significantly reduce environmental impacts.	TRUE: The article highlights the manufacturing and operational methods employed by companies that minimize environmental impacts, such as using recycled materials and reducing waste, qualifying as green processes.	Mazuma	Mazuma Mobile	not identified	Likely NAICS Codes: 334111 - Electronics Computer Manufacturing; 334118 - Other Computer Peripheral Equipment Manufacturing; 423690 - Other Electronic Parts and Equipment Merchant Wholesalers; 811211 - Consumer Electronics Repair and Maintenance	FALSE: The article does not appear to engage in greenwashing; rather, it provides documented examples of genuine sustainability efforts by recognized companies without misleading claims.	2893
