title	link	summary	green_innovation	business_innovation	green_product	green_process	company	official_company_name	product_or_process	likely_naics_codes	greenwashing	total_tokens
Kraft Heinz Releases 2023 Environmental Social Governance Report, Revealing Continued Progress Toward Goals ... - PR Newswire	https://news.google.com/rss/articles/CBMiwAFodHRwczovL3d3dy5wcm5ld3N3aXJlLmNvbS9uZXdzLXJlbGVhc2VzL2tyYWZ0LWhlaW56LXJlbGVhc2VzLTIwMjMtZW52aXJvbm1lbnRhbC1zb2NpYWwtZ292ZXJuYW5jZS1yZXBvcnQtcmV2ZWFsaW5nLWNvbnRpbnVlZC1wcm9ncmVzcy10b3dhcmQtZ29hbHMtYWNyb3NzLXRocmVlLXByaW9yaXR5LXBpbGxhcnMtMzAxOTU3NzQzLmh0bWzSAQA?oc=5	The Kraft Heinz Company released its 2023 Environmental Social Governance (ESG) Report, highlighting efforts towards achieving net-zero emissions, enhancing diversity, and combating global hunger. Key initiatives include developing innovative, sustainable packaging with Pulpex, reducing sugar in product offerings, and advancing renewable electricity contracts. In 2022, the company provided over 334 million meals to those in need and achieved significant employee representation increases. Kraft Heinz aims to continue improving its environmental and social impact through ambitious goals and partnerships.	TRUE: The article discusses Kraft Heinz's innovative packaging solutions that reduce environmental impact, such as the paper-based, recyclable bottle made from sustainably sourced wood pulp.	TRUE: The article highlights new packaging solutions and product improvements that differ significantly from previous processes, showcasing Kraft Heinz's commitment to innovation in its operations.	TRUE: The article details a sustainable packaging product, specifically the HEINZ Tomato Ketchup bottle, which is renewable and recyclable, aligning with the definition of a green product.	TRUE: The development of sustainable packaging and the commitment to renewable energy contracts indicate the use of methods that minimize environmental impacts, fitting the definition of a green process.	The Kraft Heinz Company	The Kraft Heinz Company	HEINZ Tomato Ketchup packaging with Pulpex	Likely NAICS Codes: 311 – Food Manufacturing, 322 – Paper Manufacturing, 424 – Merchant Wholesalers, Nondurable Goods, 541 – Professional, Scientific, and Technical Services	FALSE: The article presents factual descriptions of genuine sustainability initiatives and commitments made by Kraft Heinz, rather than misleading claims, thus it does not appear to be greenwashing.	3655
Sustainability Guidelines - National Geographic Society	https://news.google.com/rss/articles/CBMiRWh0dHBzOi8vd3d3Lm5hdGlvbmFsZ2VvZ3JhcGhpYy5vcmcvc29jaWV0eS9zdXN0YWluYWJpbGl0eS1ndWlkZWxpbmVzL9IBAA?oc=5	The article emphasizes National Geographic's commitment to sustainability, focusing on creating social and environmental value through careful choices in product development and partnerships. It outlines the holistic approach to limit negative impacts on communities and wildlife while addressing climate change and resource depletion. Key considerations include the preservation of cultures and habitats, protection of endangered species, and minimizing toxic materials. The brand evaluates its products and partnerships based on their potential social and environmental impacts.	TRUE, because the article describes National Geographic's initiatives that aim to create environmental and social value, limit negative impacts, and promote sustainable resource use.	FALSE, because the article does not specify a new or significantly improved product or process introduced by National Geographic to the market.	FALSE, because the article does not specify a particular good or service that meets the definition of a green product.	TRUE, because National Geographic implements processes that minimize environmental impacts and promote sustainability in its operations and product offerings.	National Geographic	National Geographic Society	product or process not identified	Likely NAICS Codes: 712110 - Museums, 541910 - Marketing Research and Public Opinion Polling, 813312 - Environment, Conservation and Wildlife Organizations, 541620 - Environmental Consulting Services	FALSE, because the article does not present misleading information about National Geographic's sustainability efforts; rather, it outlines genuine commitments and practices aimed at environmental responsibility.	1697
Whole Foods Expands 'Sourced For Good' Label To Coffee - Store Brands Magazine	https://news.google.com/rss/articles/CBMiRWh0dHBzOi8vc3RvcmVicmFuZHMuY29tL3dob2xlLWZvb2RzLWV4cGFuZHMtc291cmNlZC1nb29kLWxhYmVsLWNvZmZlZdIBAA?oc=5	Whole Foods Market is extending its Sourced for Good certification to its private label coffee, signifying responsible sourcing that benefits workers and the environment. The program aims to improve the lives of farm workers while promoting environmental stewardship across 12 countries. Additionally, Whole Foods brand single-origin coffees will feature a Q Coffee mark indicating specialty quality. This initiative enhances customer impact by supporting both environmental and community well-being.	TRUE. This is a green innovation because it supports environmental stewardship and responsible sourcing, contributing to sustainability goals by benefiting both workers and the environment.	TRUE. This is a business innovation as it involves a new or improved product (the certified coffee) that significantly differs from previous offerings and is introduced to the market.	TRUE. The Sourced for Good coffee is a green product because it is designed to substantially reduce environmental impacts through responsible sourcing practices.	TRUE. The processes involved in sourcing and certifying the coffee contribute to minimizing environmental impacts and promoting sustainability.	Whole Foods Market	Whole Foods Market, Inc.	Sourced for Good coffee	Likely NAICS Codes: 424490 - Other Grocery and Related Products Merchant Wholesalers; 311920 - Coffee and Tea Manufacturing; 445210 - Meat Markets; 445110 - Supermarkets and Other Grocery Stores.	FALSE. The article does not indicate greenwashing, as it presents clear actions and certifications that genuinely support environmental and social responsibility.	1685
5 New technologies for beef producers - Successful Farming	https://news.google.com/rss/articles/CBMiSWh0dHBzOi8vd3d3LmFncmljdWx0dXJlLmNvbS81LW5ldy10ZWNobm9sb2dpZXMtZm9yLWJlZWYtcHJvZHVjZXJzLTc1NTQwNzfSAQA?oc=5	The article discusses five emerging technologies in the beef industry aimed at improving efficiency, animal health, and consumer trust. Innovations include GPS collars for virtual fencing of cows, software for cattle management, third-party food verification, water monitoring sensors, and smart ear tags to monitor bull health. These technologies leverage real-time data to optimize operations and promote sustainability within farming operations.	TRUE: The described innovations contribute to environmental sustainability by improving resource management, optimizing herd health, and enhancing transparency in food production.	TRUE: The article outlines new technologies and software that significantly differ from previous practices and are introduced to the market for agricultural efficiency.	FALSE: While the innovations support sustainability, they are primarily tools or processes rather than consumer goods designed to reduce environmental impact throughout their life cycle.	TRUE: The technologies described represent processes that minimize environmental impacts and promote sustainable agricultural practices.	Corral Technologies, AgResult, Where Food Comes From, Ranchbot, XTpro	Corral Technologies, LLC; AgResult; Where Food Comes From, Inc.; Ranchbot; XTpro	GPS collars, cattle management software, food verification system, water monitoring sensors, smart ear tags	Likely NAICS Codes: 113110 - Timber Tract Operations, 115112 - Soil Preparation, Planting, and Cultivating, 541511 - Custom Computer Programming Services, 236220 - Commercial and Institutional Building Construction	FALSE: The article does not provide misleading information about the environmental benefits of the innovations described; instead, it focuses on genuine advancements in agricultural technology.	2011
Oshi Salmon-Inspired Fillets Make Debut in NYC's Coletta Restaurant - vegconomist - the vegan business magazine	https://news.google.com/rss/articles/CBMiZ2h0dHBzOi8vdmVnY29ub21pc3QuY29tL2dhc3Ryb25vbXktZm9vZC1zZXJ2aWNlL2Zvb2Qtc2VydmljZS9vc2hpLXNhbG1vbi1kZWJ1dC1ueWNzLWNvbGV0dGEtcmVzdGF1cmFudC_SAQA?oc=5	Israeli startup Oshi is launching its Oshi Salmon-Inspired Fillets at Coletta, a vegan Italian restaurant in New York City, marking the company's entry into the American foodservice market. The fillet, crafted from legume proteins and algae extracts using 3D printing technology, mimics traditional salmon while offering similar nutritional benefits. Oshi, formerly known as Plantish, focuses on creating alternative fish products and aims to contribute to environmental stewardship. The product debuted after the company secured a $1 million joint grant for R&D in seafood alternatives.	TRUE - The product significantly reduces environmental impact by providing an alternative to traditional salmon that eliminates contamination risks like microplastics and mercury.	TRUE - Oshi's introduction of the Salmon-Inspired Fillets represents a new product that differs significantly from its previous offerings and has been brought to market.	TRUE - The Salmon-Inspired Fillets meet the criteria of a green product by being made from environmentally benign materials and designed to minimize negative environmental impacts.	FALSE - While innovative, the article does not explicitly describe a manufacturing or operational process that qualifies as a green process.	Oshi	Oshi	Oshi Salmon-Inspired Fillets	Likely NAICS Codes: 311411 - Frozen Fish and Seafood Manufacturing; 311512 - Creamery Butter Manufacturing; 311930 - Flavoring Syrup and Concentrate Manufacturing; 722511 - Full-Service Restaurants	FALSE - The article does not indicate any misleading claims about the environmental benefits of the product; rather, it highlights genuine innovation aimed at environmental sustainability.	1870
Lallemand celebrates one century of yeast production in Montreal - Aquafeed.com	https://news.google.com/rss/articles/CBMicmh0dHBzOi8vd3d3LmFxdWFmZWVkLmNvbS9wcm9kdWN0cy9zdXBwbGllcnMtbmV3cy9sYWxsZW1hbmQtY2VsZWJyYXRlcy1vbmUtY2VudHVyeS1vZi15ZWFzdC1wcm9kdWN0aW9uLWluLW1vbnRyZWFsL9IBAA?oc=5	Lallemand celebrated its 100 years of yeast production in Montreal, emphasizing the potential of innovative microorganisms to address issues like climate change and food security. CEO Antoine Chagnon highlighted the company's efforts in developing new probiotics and microbial fertilizers that can lower carbon emissions and reduce harmful substances in agriculture. The company has a global presence with over 5,000 employees and operates numerous production facilities.	TRUE - The article discusses Lallemand's work on innovative microorganisms that aim to reduce carbon emissions, lower the use of antibiotics and chemical preservatives, and promote sustainable agricultural practices, aligning with environmental sustainability goals.	TRUE - The introduction of next-generation probiotics and microbial fertilizers represents a new or improved product that significantly differs from Lallemand's previous offerings in the biotechnology sector.	TRUE - The products being developed, including probiotics and microbial fertilizers, are designed to minimize environmental impact and enhance sustainability throughout their life cycle.	TRUE - The mentioned processes related to using innovative microorganisms for sustainable agriculture and reducing harmful substances represent methods that promote environmental sustainability and minimize waste.	Lallemand	Lallemand Inc.	next-generation probiotics and microbial fertilizers	[{'code': '311313', 'category': 'Sugar and Confectionery Product Manufacturing'}, {'code': '325411', 'category': 'Medicinal and Botanical Manufacturing'}, {'code': '325199', 'category': 'All Other Basic Organic Chemical Manufacturing'}, {'code': '311120', 'category': 'Baking Powder and Yeast Manufacturing'}]	FALSE - The article does not provide misleading information about the environmental benefits of Lallemand's products; rather, it discusses legitimate innovations aimed at improving sustainability and addressing environmental challenges.	1824
MELITTA CANADA ANNOUNCES NEW SUSTAINABLE CERTIFICATIONS, HELPING CANADIAN COFFEE ... - Canada NewsWire	https://news.google.com/rss/articles/CBMioQFodHRwczovL3d3dy5uZXdzd2lyZS5jYS9uZXdzLXJlbGVhc2VzL21lbGl0dGEtY2FuYWRhLWFubm91bmNlcy1uZXctc3VzdGFpbmFibGUtY2VydGlmaWNhdGlvbnMtaGVscGluZy1jYW5hZGlhbi1jb2ZmZWUtZHJpbmtlcnMtbWFrZS1iZXR0ZXItY2hvaWNlcy04NzQzNzk3MDguaHRtbNIBAA?oc=5	Melitta Canada has launched a new line of 100% Arabica Rainforest Alliance whole bean coffee and FSC/BPI Certified filters, emphasizing sustainability through rigorous third-party certifications. The company aims to empower consumers to make environmentally responsible choices with their 'Choose Better' campaign, which promotes the environmental and social benefits of their products. The coffee is sourced from responsible farms, and the certified filters support sustainable forestry practices and compostability. This initiative reflects Melitta's commitment to enhancing environmental stewardship in the coffee industry.	TRUE: The innovation contributes to environmental sustainability by using Rainforest Alliance certified coffee and FSC/BPI certified filters, which promote sustainable practices and reduce negative environmental impacts.	TRUE: The introduction of a new product line (100% Arabica whole bean coffee and certified filters) represents a significant improvement over previous offerings and meets the market's demand for sustainable products.	TRUE: The products (coffee and filters) are designed and certified to significantly reduce environmental impacts through sustainable sourcing and production processes.	TRUE: The processes involved in sourcing and certification ensure responsible land management and waste reduction, aligning with green process definitions.	Melitta Canada	Melitta North America	100% Arabica Rainforest Alliance whole bean coffee and FSC/BPI Certified filters	Likely NAICS Codes: 311920 - Coffee and Tea Manufacturing; 322121 - Paper (except Newsprint) Mills; 424490 - Other Grocery and Related Products Merchant Wholesalers; 541612 - Human Resources Consulting Services	FALSE: The article does not suggest any misleading claims about environmental benefits. The company clearly outlines its commitment to sustainability through verified third-party certifications.	2233
New funds allow Merritt forestry company to get more value out of harvest - Merritt Herald	https://news.google.com/rss/articles/CBMiaGh0dHBzOi8vd3d3Lm1lcnJpdHRoZXJhbGQuY29tL25ldy1mdW5kcy1hbGxvdy1tZXJyaXR0LWZvcmVzdHJ5LWNvbXBhbnktdG8tZ2V0LW1vcmUtdmFsdWUtb3V0LW9mLWhhcnZlc3Qv0gEA?oc=5	The British Columbia government has announced funding through the BC Manufacturing Jobs Fund to support wood-product manufacturing and local First Nations economies. This initiative includes support for Indigenous-led projects like Stuwix Resources, a forestry management company that plans to implement new processing approaches to enhance wood utilization and reduce waste. The project aims to maximize the value from harvested trees while maintaining environmental stewardship, creating new job opportunities in the forestry sector.	TRUE, because the funding aims to promote environmental stewardship through improved wood utilization and waste reduction in forestry, supporting sustainability practices.	TRUE, because Stuwix Resources is introducing new processing approaches that significantly differ from previous methods, representing a meaningful enhancement in their operational practices.	FALSE, there is no specific product named that adheres to the definition of a green product.	TRUE, because the article discusses Stuwix Resources' intention to implement new processing approaches that will reduce waste and promote the full utilization of forest resources.	Stuwix Resources	Stuwix Resources Ltd.	new processing approaches	Likely NAICS Codes: 321wood product manufacturing, 113 forestry and logging, 3311 iron and steel mills and ferroalloy manufacturing, 115310 support activities for forestry	FALSE, as the article does not present misleading information about environmental benefits; rather, it describes genuine efforts towards improved sustainability and responsible resource management.	1664
Nor-Feed makes progress in aquaculture - Aquafeed.com	https://news.google.com/rss/articles/CBMiWGh0dHBzOi8vd3d3LmFxdWFmZWVkLmNvbS9wcm9kdWN0cy9zdXBwbGllcnMtbmV3cy9ub3ItZmVlZC1tYWtlcy1wcm9ncmVzcy1pbi1hcXVhY3VsdHVyZS_SAQA?oc=5	Nor-Feed is a French company established in 2003 that develops plant-based additives for aquaculture, focusing on eliminating harmful substances like antibiotics in animal feed. Its products, such as Nor-Grape and Nor-Spice AB, are designed to support animal health and improve feed efficacy while being used for various aquatic species like tilapia and salmon. The company's selective approach ensures standardized and characterized active ingredients, leading to positive feedback and rapid development in aquaculture feed production.	TRUE: This is green innovation because it involves the development of plant-based additives that eliminate harmful substances in animal feed, contributing to environmental sustainability in aquaculture.	TRUE: This is a business innovation as Nor-Feed introduces new and improved plant-based products for aquaculture that significantly differ from traditional animal feed.	TRUE: The plant-based additives qualify as green products because they are designed to reduce environmental impact by eliminating xenobiotics and relying on natural ingredients.	TRUE: The manufacturing and utilization of plant-based additives that minimize harmful substances and promote sustainability constitute a green process.	Nor-Feed	Nor-Feed	Nor-Grape, Nor-Spice AB, Durelax, Norponin Opti, Norponin XO	Likely NAICS Codes: 311119 - Other Animal Food Manufacturing, 311614 - Rendering and Meat Byproduct Processing, 424490 - Other Grocery and Related Products Merchant Wholesalers, 325199 - All Other Basic Organic Chemical Manufacturing	FALSE: The article does not provide any indication of greenwashing, as the claims made about Nor-Feed's products are specific and backed by positive feedback from trials, promoting genuine environmental benefits.	1697
Dundee to smelt up to 230000t of copper – Windhoek Observer - Windhoek Observer	https://news.google.com/rss/articles/CBMiRmh0dHBzOi8vd3d3Lm9ic2VydmVyMjQuY29tLm5hL2R1bmRlZS10by1zbWVsdC11cC10by0yMzAwMDB0LW9mLWNvcHBlci_SAQA?oc=5	Dundee Precious Metals Tsumeb (DPMT) discussed its 2022 financial performance, revealing a loss attributed to an accounting impairment charge. The company aims for long-term sustainability through a cost optimization program and has inaugurated a General Waste Management Facility to improve waste management practices. This new facility will reduce landfill waste, create jobs, and promote recycling, aligning with the company's value of environmental stewardship.	TRUE - The General Waste Management Facility represents green innovation as it minimizes waste sent to landfills and promotes recycling, thereby reducing pollution and conserving natural resources.	TRUE - The General Waste Management Facility is described as a new operational method that significantly improves the company's waste management practices, contributing to long-term sustainability, which aligns with the definition of business innovation.	FALSE - The article does not describe a specific good or service that meets the criteria for a green product.	TRUE - The implementation of the General Waste Management Facility is a green process as it focuses on reducing waste, promoting recycling, and minimizing environmental impact.	Dundee Precious Metals Tsumeb	Dundee Precious Metals Inc.	General Waste Management Facility	Likely NAICS Codes: 331 - Primary Metal Manufacturing, 562 - Waste Management and Remediation Services, 213 - Support Activities for Mining, 541 - Professional, Scientific, and Technical Services	FALSE - There is no indication of greenwashing; the company appears to genuinely commit to improving its environmental sustainability practices without misleading claims.	1891
