title,links,link,summary,published,published_parsed,news_source,news_image,news_imagesize,news_imagemaxwidth,news_imagemaxheight,title_detail.type,title_detail.language,title_detail.base,title_detail.value,summary_detail.type,summary_detail.language,summary_detail.base,summary_detail.value,query
Playbook for Engaging Suppliers in Climate Action,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=667b5d02c31d499da1d90dc52659878a&url=https%3a%2f%2fwww.mhlnews.com%2fglobal-supply-chain%2farticle%2f55064394%2fplaybook-for-engaging-suppliers-in-climate-action&c=3147713580036388373&mkt=en-us'}]",http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=667b5d02c31d499da1d90dc52659878a&url=https%3a%2f%2fwww.mhlnews.com%2fglobal-supply-chain%2farticle%2f55064394%2fplaybook-for-engaging-suppliers-in-climate-action&c=3147713580036388373&mkt=en-us,Supplier engagement strategies require data. Manufacturers should first attempt to obtain data from industry reports or databases to avoid duplicative requests and make the process as easy as possible ...,"Tue, 11 Jun 2024 21:10:00 GMT","time.struct_time(tm_year=2024, tm_mon=6, tm_mday=11, tm_hour=21, tm_min=10, tm_sec=0, tm_wday=1, tm_yday=163, tm_isdst=0)",Material Handling & Logistics,http://www.bing.com/th?id=OVFT.0egMOVSwsbI4xyqycnNp_S&pid=News,w={0}&h={1}&c=14,700,367,text/plain,,,Playbook for Engaging Suppliers in Climate Action,text/html,,,Supplier engagement strategies require data. Manufacturers should first attempt to obtain data from industry reports or databases to avoid duplicative requests and make the process as easy as possible ...,"https://www.bing.com/news/search?q=""Climate Action"" ""new products""&format=rss"
Why finance climate action?,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=667b5d02c31d499da1d90dc52659878a&url=https%3a%2f%2fwww.un.org%2fen%2fclimatechange%2fwhy-finance-climate-action&c=5125013442806837003&mkt=en-us'}]",http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=667b5d02c31d499da1d90dc52659878a&url=https%3a%2f%2fwww.un.org%2fen%2fclimatechange%2fwhy-finance-climate-action&c=5125013442806837003&mkt=en-us,"Climate action requires significant financial investments ... by “nudging” firms to enter and create markets for new products, like building supplies made of recycled materials.","Mon, 27 Sep 2021 00:56:00 GMT","time.struct_time(tm_year=2021, tm_mon=9, tm_mday=27, tm_hour=0, tm_min=56, tm_sec=0, tm_wday=0, tm_yday=270, tm_isdst=0)",webtv.un.org,,,,,text/plain,,,Why finance climate action?,text/html,,,"Climate action requires significant financial investments ... by “nudging” firms to enter and create markets for new products, like building supplies made of recycled materials.","https://www.bing.com/news/search?q=""Climate Action"" ""new products""&format=rss"
Dorman Products Releases Hundreds of New Repair Solutions,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=667b5d02c31d499da1d90dc52659878a&url=https%3a%2f%2fwww.aftermarketnews.com%2fdorman-new-products%2f&c=2712996814856845041&mkt=en-us'}]",http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=667b5d02c31d499da1d90dc52659878a&url=https%3a%2f%2fwww.aftermarketnews.com%2fdorman-new-products%2f&c=2712996814856845041&mkt=en-us,"Dorman Products, Inc. is announcing the release of hundreds of new aftermarket automotive components and assemblies. The new products add to a catalog of more than 120,000 SKUs offering millions of ...","Wed, 19 Jun 2024 05:52:00 GMT","time.struct_time(tm_year=2024, tm_mon=6, tm_mday=19, tm_hour=5, tm_min=52, tm_sec=0, tm_wday=2, tm_yday=171, tm_isdst=0)",After Market News,http://www.bing.com/th?id=OVFT.6szTLsZuEKPgggbeJozS0C&pid=News,w={0}&h={1}&c=14,700,350,text/plain,,,Dorman Products Releases Hundreds of New Repair Solutions,text/html,,,"Dorman Products, Inc. is announcing the release of hundreds of new aftermarket automotive components and assemblies. The new products add to a catalog of more than 120,000 SKUs offering millions of ...","https://www.bing.com/news/search?q=""Climate Action"" ""new products""&format=rss"
Creating a Net-Zero World,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=667b5d02c31d499da1d90dc52659878a&url=https%3a%2f%2fwww.theatlantic.com%2fsponsored%2fshell-2022%2fcreating-a-net-zero-world%2f3758%2f&c=17746862279529896422&mkt=en-us'}]",http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=667b5d02c31d499da1d90dc52659878a&url=https%3a%2f%2fwww.theatlantic.com%2fsponsored%2fshell-2022%2fcreating-a-net-zero-world%2f3758%2f&c=17746862279529896422&mkt=en-us,"In 2020, Houston published a Climate Action Plan, which focuses on reducing ... the agility of small business is so important to get us aware of new products, to get consumers to try new things ...","Wed, 05 Oct 2022 21:34:00 GMT","time.struct_time(tm_year=2022, tm_mon=10, tm_mday=5, tm_hour=21, tm_min=34, tm_sec=0, tm_wday=2, tm_yday=278, tm_isdst=0)",The Atlantic,,,,,text/plain,,,Creating a Net-Zero World,text/html,,,"In 2020, Houston published a Climate Action Plan, which focuses on reducing ... the agility of small business is so important to get us aware of new products, to get consumers to try new things ...","https://www.bing.com/news/search?q=""Climate Action"" ""new products""&format=rss"
Azerbaijan Leads Global Climate Action At COP29: President's Call For Innovation And Cooperation,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=667b5d02c31d499da1d90dc52659878a&url=https%3a%2f%2fmenafn.com%2f1108362171%2fAzerbaijan-Leads-Global-Climate-Action-At-COP29-Presidents-Call-For-Innovation-And-Cooperation&c=10906008485483020940&mkt=en-us'}]",http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=667b5d02c31d499da1d90dc52659878a&url=https%3a%2f%2fmenafn.com%2f1108362171%2fAzerbaijan-Leads-Global-Climate-Action-At-COP29-Presidents-Call-For-Innovation-And-Cooperation&c=10906008485483020940&mkt=en-us,President Aliyev affirmed Azerbaijan's full preparedness for COP29 and its commitment to fostering collaboration with other nations and stakeholders in combating climate change. He highlighted ...,"Sun, 23 Jun 2024 04:52:00 GMT","time.struct_time(tm_year=2024, tm_mon=6, tm_mday=23, tm_hour=4, tm_min=52, tm_sec=0, tm_wday=6, tm_yday=175, tm_isdst=0)",Mena FN,,,,,text/plain,,,Azerbaijan Leads Global Climate Action At COP29: President's Call For Innovation And Cooperation,text/html,,,President Aliyev affirmed Azerbaijan's full preparedness for COP29 and its commitment to fostering collaboration with other nations and stakeholders in combating climate change. He highlighted ...,"https://www.bing.com/news/search?q=""Climate Action"" ""new products""&format=rss"
GKN Automotive reduces direct CO2e emissions by 10.5% in 2023,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=667b5d02c31d499da1d90dc52659878a&url=https%3a%2f%2fmarkets.businessinsider.com%2fnews%2fstocks%2fgkn-automotive-reduces-direct-co2e-emissions-by-10-5-in-2023-1033464882&c=616643503281605600&mkt=en-us'}]",http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=667b5d02c31d499da1d90dc52659878a&url=https%3a%2f%2fmarkets.businessinsider.com%2fnews%2fstocks%2fgkn-automotive-reduces-direct-co2e-emissions-by-10-5-in-2023-1033464882&c=616643503281605600&mkt=en-us,"Accelerating progress in its Climate Action pillar, the company reduced its total direct ... contribute to the decarbonisation of the automotive sector by 2025. 50% of new products to contribute to ...","Sun, 09 Jun 2024 21:47:00 GMT","time.struct_time(tm_year=2024, tm_mon=6, tm_mday=9, tm_hour=21, tm_min=47, tm_sec=0, tm_wday=6, tm_yday=161, tm_isdst=0)",Business Insider,,,,,text/plain,,,GKN Automotive reduces direct CO2e emissions by 10.5% in 2023,text/html,,,"Accelerating progress in its Climate Action pillar, the company reduced its total direct ... contribute to the decarbonisation of the automotive sector by 2025. 50% of new products to contribute to ...","https://www.bing.com/news/search?q=""Climate Action"" ""new products""&format=rss"
Let’s work together to end plastic pollution,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=667b5d02c31d499da1d90dc52659878a&url=https%3a%2f%2fcorporate.dow.com%2fen-us%2fpurpose-in-action%2fcircular-economy%2fplastics-treaty.html&c=9359478334830094049&mkt=en-us'}]",http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=667b5d02c31d499da1d90dc52659878a&url=https%3a%2f%2fcorporate.dow.com%2fen-us%2fpurpose-in-action%2fcircular-economy%2fplastics-treaty.html&c=9359478334830094049&mkt=en-us,"The global plastics value chain is highly interlinked and interdependent. It will take every stakeholder – from resin producers to converters, brand owners, governments, communities, and waste ...","Mon, 17 Jun 2024 18:14:00 GMT","time.struct_time(tm_year=2024, tm_mon=6, tm_mday=17, tm_hour=18, tm_min=14, tm_sec=0, tm_wday=0, tm_yday=169, tm_isdst=0)",Dow Chemical Company,http://www.bing.com/th?id=OVFT.qrCXOCSQWfTMIu2JfrHzVy&pid=News,w={0}&h={1}&c=14,700,458,text/plain,,,Let’s work together to end plastic pollution,text/html,,,"The global plastics value chain is highly interlinked and interdependent. It will take every stakeholder – from resin producers to converters, brand owners, governments, communities, and waste ...","https://www.bing.com/news/search?q=""Climate Action"" ""new products""&format=rss"
Calling for International Cooperation for the Process Industry,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=667b5d02c31d499da1d90dc52659878a&url=https%3a%2f%2fwww.process-worldwide.com%2fcalling-for-international-cooperation-for-the-process-industry-a-a730ad5c7ec558237aa76c73f8f89ad5%2f&c=15384997372266581700&mkt=en-us'}]",http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=667b5d02c31d499da1d90dc52659878a&url=https%3a%2f%2fwww.process-worldwide.com%2fcalling-for-international-cooperation-for-the-process-industry-a-a730ad5c7ec558237aa76c73f8f89ad5%2f&c=15384997372266581700&mkt=en-us,"At the opening ceremony of Achema, German Federal Minister for Economic Affairs and Climate Action, Dr. Robert Habeck, along with other leaders from the financial sector, the chemical industry and ...","Wed, 12 Jun 2024 00:55:00 GMT","time.struct_time(tm_year=2024, tm_mon=6, tm_mday=12, tm_hour=0, tm_min=55, tm_sec=0, tm_wday=2, tm_yday=164, tm_isdst=0)",process-worldwide.com,http://www.bing.com/th?id=OVFT.l6huyLjU4U0JvQtwZ7OIWy&pid=News,w={0}&h={1}&c=14,500,508,text/plain,,,Calling for International Cooperation for the Process Industry,text/html,,,"At the opening ceremony of Achema, German Federal Minister for Economic Affairs and Climate Action, Dr. Robert Habeck, along with other leaders from the financial sector, the chemical industry and ...","https://www.bing.com/news/search?q=""Climate Action"" ""new products""&format=rss"
"Tokenized, Inc: BlackRock's Plan To Own The Fractionalized World","[{'rel': 'alternate', 'type': 'text/html', 'href': 'http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=667b5d02c31d499da1d90dc52659878a&url=https%3a%2f%2fbitcoinmagazine.com%2fbusiness%2ftokenized-inc-blackrocks-plan-to-own-the-fractionalized-world-&c=18047914208742319917&mkt=en-us'}]",http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=667b5d02c31d499da1d90dc52659878a&url=https%3a%2f%2fbitcoinmagazine.com%2fbusiness%2ftokenized-inc-blackrocks-plan-to-own-the-fractionalized-world-&c=18047914208742319917&mkt=en-us,"The co-chair of GFANZ, current UN envoy for climate action and central banker Mark Carney ... with these institutions being retooled to better impose new products and paradigms on developing countries ...","Mon, 05 Feb 2024 16:01:00 GMT","time.struct_time(tm_year=2024, tm_mon=2, tm_mday=5, tm_hour=16, tm_min=1, tm_sec=0, tm_wday=0, tm_yday=36, tm_isdst=0)",Bitcoin Magazine,,,,,text/plain,,,"Tokenized, Inc: BlackRock's Plan To Own The Fractionalized World",text/html,,,"The co-chair of GFANZ, current UN envoy for climate action and central banker Mark Carney ... with these institutions being retooled to better impose new products and paradigms on developing countries ...","https://www.bing.com/news/search?q=""Climate Action"" ""new products""&format=rss"
"Why backing the three-bins recycling system is better for householders, according to experts","[{'rel': 'alternate', 'type': 'text/html', 'href': 'http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=667b5d02c31d499da1d90dc52659878a&url=https%3a%2f%2fwww.msn.com%2fen-gb%2fmoney%2fother%2fwhy-backing-the-three-bins-recycling-system-is-better-for-householders-according-to-experts%2far-BB1o8A8F&c=16384039646404498577&mkt=en-us'}]",http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=667b5d02c31d499da1d90dc52659878a&url=https%3a%2f%2fwww.msn.com%2fen-gb%2fmoney%2fother%2fwhy-backing-the-three-bins-recycling-system-is-better-for-householders-according-to-experts%2far-BB1o8A8F&c=16384039646404498577&mkt=en-us,"As Stormont considers a central waste collection system, recycling experts Re-Gen are urging householders to back the simpler three-bin mixed recyclable waste collection system for Northern Ireland’s ...","Wed, 12 Jun 2024 23:11:00 GMT","time.struct_time(tm_year=2024, tm_mon=6, tm_mday=12, tm_hour=23, tm_min=11, tm_sec=0, tm_wday=2, tm_yday=164, tm_isdst=0)",Derry Journal Newspapers on MSN,http://www.bing.com/th?id=OVFT.jBjwygP8ZwWsQuY51QoXwS&pid=News,w={0}&h={1}&c=14,700,466,text/plain,,,"Why backing the three-bins recycling system is better for householders, according to experts",text/html,,,"As Stormont considers a central waste collection system, recycling experts Re-Gen are urging householders to back the simpler three-bin mixed recyclable waste collection system for Northern Ireland’s ...","https://www.bing.com/news/search?q=""Climate Action"" ""new products""&format=rss"
