title,links,link,summary,published,published_parsed,news_source,news_image,news_imagesize,news_imagemaxwidth,news_imagemaxheight,title_detail.type,title_detail.language,title_detail.base,title_detail.value,summary_detail.type,summary_detail.language,summary_detail.base,summary_detail.value,query
"Designer turns clean energy into an aesthetic choice with 'wind turbine wall': 'If it's not beautiful, we have failed'","[{'rel': 'alternate', 'type': 'text/html', 'href': 'http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=667b5d0020034a77adbf619739f55811&url=https%3a%2f%2fwww.msn.com%2fen-us%2fnews%2ftechnology%2fdesigner-turns-clean-energy-into-an-aesthetic-choice-with-wind-turbine-wall-if-it-s-not-beautiful-we-have-failed%2far-BB1o3VkO&c=8213314644423555343&mkt=en-us'}]",http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=667b5d0020034a77adbf619739f55811&url=https%3a%2f%2fwww.msn.com%2fen-us%2fnews%2ftechnology%2fdesigner-turns-clean-energy-into-an-aesthetic-choice-with-wind-turbine-wall-if-it-s-not-beautiful-we-have-failed%2far-BB1o3VkO&c=8213314644423555343&mkt=en-us,"""By fusing design, research, innovation, and engineering ... we are on a continual path to bring new products to the world."" Designer turns clean energy into an aesthetic choice with 'wind turbine ...","Thu, 13 Jun 2024 03:45:08 GMT","time.struct_time(tm_year=2024, tm_mon=6, tm_mday=13, tm_hour=3, tm_min=45, tm_sec=8, tm_wday=3, tm_yday=165, tm_isdst=0)",The Cool Down on MSN,http://www.bing.com/th?id=OVFT.vZS4eDvro8FtrDh_tWjz0y&pid=News,w={0}&h={1}&c=14,640,426,text/plain,,,"Designer turns clean energy into an aesthetic choice with 'wind turbine wall': 'If it's not beautiful, we have failed'",text/html,,,"""By fusing design, research, innovation, and engineering ... we are on a continual path to bring new products to the world."" Designer turns clean energy into an aesthetic choice with 'wind turbine ...","https://www.bing.com/news/search?q=""Renewable Energy"" ""new products""&format=rss"
PCIM roundup: Power ICs address efficiency and power density,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=667b5d0020034a77adbf619739f55811&url=https%3a%2f%2fwww.electronicproducts.com%2fpcim-roundup-power-ics-address-efficiency-and-power-density%2f&c=9153815327619493125&mkt=en-us'}]",http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=667b5d0020034a77adbf619739f55811&url=https%3a%2f%2fwww.electronicproducts.com%2fpcim-roundup-power-ics-address-efficiency-and-power-density%2f&c=9153815327619493125&mkt=en-us,"At PCIM Europe, power IC manufacturers showcased their latest SiC, GaN and Si power ICs that deliver performance, size and cost improvements.","Wed, 12 Jun 2024 19:41:00 GMT","time.struct_time(tm_year=2024, tm_mon=6, tm_mday=12, tm_hour=19, tm_min=41, tm_sec=0, tm_wday=2, tm_yday=164, tm_isdst=0)",Electronic Products,http://www.bing.com/th?id=OVFT.RFfZWM_yMV06Q89oSsPP_i&pid=News,w={0}&h={1}&c=14,696,392,text/plain,,,PCIM roundup: Power ICs address efficiency and power density,text/html,,,"At PCIM Europe, power IC manufacturers showcased their latest SiC, GaN and Si power ICs that deliver performance, size and cost improvements.","https://www.bing.com/news/search?q=""Renewable Energy"" ""new products""&format=rss"
3 Stocks That Are Capitalizing on the Shift to Renewable Energy,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=667b5d0020034a77adbf619739f55811&url=https%3a%2f%2fwww.msn.com%2fen-us%2fmoney%2fmarkets%2f3-stocks-that-are-capitalizing-on-the-shift-to-renewable-energy%2far-BB1kesrE&c=15082542020517917357&mkt=en-us'}]",http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=667b5d0020034a77adbf619739f55811&url=https%3a%2f%2fwww.msn.com%2fen-us%2fmoney%2fmarkets%2f3-stocks-that-are-capitalizing-on-the-shift-to-renewable-energy%2far-BB1kesrE&c=15082542020517917357&mkt=en-us,"Renewable energy is critical for achieving our climate goals ... Its management expects a healthy demand recovery in Europe, while introducing several new products across key markets. Moreover, the ...","Wed, 20 Mar 2024 09:49:00 GMT","time.struct_time(tm_year=2024, tm_mon=3, tm_mday=20, tm_hour=9, tm_min=49, tm_sec=0, tm_wday=2, tm_yday=80, tm_isdst=0)",MSN,,,,,text/plain,,,3 Stocks That Are Capitalizing on the Shift to Renewable Energy,text/html,,,"Renewable energy is critical for achieving our climate goals ... Its management expects a healthy demand recovery in Europe, while introducing several new products across key markets. Moreover, the ...","https://www.bing.com/news/search?q=""Renewable Energy"" ""new products""&format=rss"
Experts Doubted Americans Would Pay for Sustainability—Were They Right?,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=667b5d0020034a77adbf619739f55811&url=https%3a%2f%2fwww.newsweek.com%2f2024%2f06%2f14%2fexperts-doubted-americans-would-pay-sustainabilitywere-they-right-1907612.html&c=9786963511135667190&mkt=en-us'}]",http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=667b5d0020034a77adbf619739f55811&url=https%3a%2f%2fwww.newsweek.com%2f2024%2f06%2f14%2fexperts-doubted-americans-would-pay-sustainabilitywere-they-right-1907612.html&c=9786963511135667190&mkt=en-us,"The company debuted Nike Considered Design with the aim of ""using fewer resources, more sustainable materials and renewable energy to produce new products,"" Parker said. More Chip East/Bloomberg ...","Wed, 05 Jun 2024 05:43:00 GMT","time.struct_time(tm_year=2024, tm_mon=6, tm_mday=5, tm_hour=5, tm_min=43, tm_sec=0, tm_wday=2, tm_yday=157, tm_isdst=0)",Newsweek,,,,,text/plain,,,Experts Doubted Americans Would Pay for Sustainability—Were They Right?,text/html,,,"The company debuted Nike Considered Design with the aim of ""using fewer resources, more sustainable materials and renewable energy to produce new products,"" Parker said. More Chip East/Bloomberg ...","https://www.bing.com/news/search?q=""Renewable Energy"" ""new products""&format=rss"
These Two Myths About Solar Power Are Slowing The Energy Transition,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=667b5d0020034a77adbf619739f55811&url=https%3a%2f%2fwww.forbes.com%2fsites%2fdavidrvetter%2f2023%2f10%2f12%2fthese-two-myths-about-solar-power-are-slowing-the-energy-transition%2f&c=1835630551754077779&mkt=en-us'}]",http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=667b5d0020034a77adbf619739f55811&url=https%3a%2f%2fwww.forbes.com%2fsites%2fdavidrvetter%2f2023%2f10%2f12%2fthese-two-myths-about-solar-power-are-slowing-the-energy-transition%2f&c=1835630551754077779&mkt=en-us,The transition from fossil fuels to renewable energy is essential in reducing ... so many negative claims to undermine confidence in new products than positive ones to build it.” ...,"Thu, 12 Oct 2023 07:26:00 GMT","time.struct_time(tm_year=2023, tm_mon=10, tm_mday=12, tm_hour=7, tm_min=26, tm_sec=0, tm_wday=3, tm_yday=285, tm_isdst=0)",Forbes,,,,,text/plain,,,These Two Myths About Solar Power Are Slowing The Energy Transition,text/html,,,The transition from fossil fuels to renewable energy is essential in reducing ... so many negative claims to undermine confidence in new products than positive ones to build it.” ...,"https://www.bing.com/news/search?q=""Renewable Energy"" ""new products""&format=rss"
"Apple’s New CO2 Neutral Products Are Cool, But Don’t Let Them Distract You From the Big Picture","[{'rel': 'alternate', 'type': 'text/html', 'href': 'http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=667b5d0020034a77adbf619739f55811&url=https%3a%2f%2fgizmodo.com%2fgateway%2fapple-carbon-neutral-products-apple-watch-1850834303&c=14452986948866235256&mkt=en-us'}]",http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=667b5d0020034a77adbf619739f55811&url=https%3a%2f%2fgizmodo.com%2fgateway%2fapple-carbon-neutral-products-apple-watch-1850834303&c=14452986948866235256&mkt=en-us,Apple announced what it’s calling its first-ever carbon-neutral products during its Wanderlust event this Tuesday.,"Thu, 21 Sep 2023 17:53:00 GMT","time.struct_time(tm_year=2023, tm_mon=9, tm_mday=21, tm_hour=17, tm_min=53, tm_sec=0, tm_wday=3, tm_yday=264, tm_isdst=0)",Gizmodo,http://www.bing.com/th?id=OVFT.YixtM8q2AjdHA7Gpne906y&pid=News,w={0}&h={1}&c=14,200,200,text/plain,,,"Apple’s New CO2 Neutral Products Are Cool, But Don’t Let Them Distract You From the Big Picture",text/html,,,Apple announced what it’s calling its first-ever carbon-neutral products during its Wanderlust event this Tuesday.,"https://www.bing.com/news/search?q=""Renewable Energy"" ""new products""&format=rss"
Big Oil claims chemical recycling is the future of plastic. It’s pure delusion,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=667b5d0020034a77adbf619739f55811&url=https%3a%2f%2fwww.fastcompany.com%2f91145715%2fadvanced-plastic-recycling-pyrolysis-chemical-recycling&c=11728413830355609978&mkt=en-us'}]",http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=667b5d0020034a77adbf619739f55811&url=https%3a%2f%2fwww.fastcompany.com%2f91145715%2fadvanced-plastic-recycling-pyrolysis-chemical-recycling&c=11728413830355609978&mkt=en-us,"Regulators have spent tens of millions subsidizing 'advanced' recycling facilities, which release carcinogens and give off more greenhouse gases than making plastic from crude oil.","Tue, 25 Jun 2024 00:30:00 GMT","time.struct_time(tm_year=2024, tm_mon=6, tm_mday=25, tm_hour=0, tm_min=30, tm_sec=0, tm_wday=1, tm_yday=177, tm_isdst=0)",Fast Company,http://www.bing.com/th?id=OVFT.dCUhpWGpHMHc7oNAYZviCi&pid=News,w={0}&h={1}&c=14,700,393,text/plain,,,Big Oil claims chemical recycling is the future of plastic. It’s pure delusion,text/html,,,"Regulators have spent tens of millions subsidizing 'advanced' recycling facilities, which release carcinogens and give off more greenhouse gases than making plastic from crude oil.","https://www.bing.com/news/search?q=""Renewable Energy"" ""new products""&format=rss"
Innovating Within Traditional Industries: How To Bring Fresh Ideas To Old Practices,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=667b5d0020034a77adbf619739f55811&url=https%3a%2f%2fwww.forbes.com%2fsites%2fforbesbusinesscouncil%2f2024%2f06%2f12%2finnovating-within-traditional-industries-how-to-bring-fresh-ideas-to-old-practices%2f&c=9686351972166228156&mkt=en-us'}]",http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=667b5d0020034a77adbf619739f55811&url=https%3a%2f%2fwww.forbes.com%2fsites%2fforbesbusinesscouncil%2f2024%2f06%2f12%2finnovating-within-traditional-industries-how-to-bring-fresh-ideas-to-old-practices%2f&c=9686351972166228156&mkt=en-us,Involving innovation in old industries can not only rejuvenate but also open up new opportunities for further development and prosperity.,"Wed, 12 Jun 2024 05:30:00 GMT","time.struct_time(tm_year=2024, tm_mon=6, tm_mday=12, tm_hour=5, tm_min=30, tm_sec=0, tm_wday=2, tm_yday=164, tm_isdst=0)",Forbes,http://www.bing.com/th?id=OVFT.CoqRxADsXf542bNiw6KWEC&pid=News,w={0}&h={1}&c=14,700,466,text/plain,,,Innovating Within Traditional Industries: How To Bring Fresh Ideas To Old Practices,text/html,,,Involving innovation in old industries can not only rejuvenate but also open up new opportunities for further development and prosperity.,"https://www.bing.com/news/search?q=""Renewable Energy"" ""new products""&format=rss"
Alternative & Renewable Energy News,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=667b5d0020034a77adbf619739f55811&url=https%3a%2f%2fwww.globalspec.com%2fnewsletter%2fpub%2f43%2falternative-renewable-energy&c=7053037078562892234&mkt=en-us'}]",http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=667b5d0020034a77adbf619739f55811&url=https%3a%2f%2fwww.globalspec.com%2fnewsletter%2fpub%2f43%2falternative-renewable-energy&c=7053037078562892234&mkt=en-us,"Description: Engineering360's Alternative & Renewable Energy Newsletter focuses on energy savings and the environment, and explores new ways to generate electricity. Instead of using fossil fuels or ...","Tue, 21 May 2024 16:37:00 GMT","time.struct_time(tm_year=2024, tm_mon=5, tm_mday=21, tm_hour=16, tm_min=37, tm_sec=0, tm_wday=1, tm_yday=142, tm_isdst=0)",Engineering360 News,,,,,text/plain,,,Alternative & Renewable Energy News,text/html,,,"Description: Engineering360's Alternative & Renewable Energy Newsletter focuses on energy savings and the environment, and explores new ways to generate electricity. Instead of using fossil fuels or ...","https://www.bing.com/news/search?q=""Renewable Energy"" ""new products""&format=rss"
The delusion of advanced plastic recycling using pyrolysis,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=667b5d0020034a77adbf619739f55811&url=https%3a%2f%2fwww.salon.com%2f2024%2f06%2f23%2fthe-delusion-of-advanced-plastic-recycling-using-pyrolysis_partner%2f&c=16037556626559289742&mkt=en-us'}]",http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=667b5d0020034a77adbf619739f55811&url=https%3a%2f%2fwww.salon.com%2f2024%2f06%2f23%2fthe-delusion-of-advanced-plastic-recycling-using-pyrolysis_partner%2f&c=16037556626559289742&mkt=en-us,"Its statement called mass balance a “well-known methodology” that’s been used by other industries including fair trade coffee, chocolate and renewable energy. Legislation in the European Union already ...","Sun, 23 Jun 2024 03:45:00 GMT","time.struct_time(tm_year=2024, tm_mon=6, tm_mday=23, tm_hour=3, tm_min=45, tm_sec=0, tm_wday=6, tm_yday=175, tm_isdst=0)",Salon,http://www.bing.com/th?id=OVFT.Cs7y3pAj-x1TYldLKyf2oS&pid=News,w={0}&h={1}&c=14,700,466,text/plain,,,The delusion of advanced plastic recycling using pyrolysis,text/html,,,"Its statement called mass balance a “well-known methodology” that’s been used by other industries including fair trade coffee, chocolate and renewable energy. Legislation in the European Union already ...","https://www.bing.com/news/search?q=""Renewable Energy"" ""new products""&format=rss"
