title,links,link,summary,published,published_parsed,news_source,news_image,news_imagesize,news_imagemaxwidth,news_imagemaxheight,title_detail.type,title_detail.language,title_detail.base,title_detail.value,summary_detail.type,summary_detail.language,summary_detail.base,summary_detail.value,query
Celanese Introduces Sustainable Materials for Car Boots and Bellows,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=667b5d0ec9ef481584e75bab3e7cdb73&url=https%3a%2f%2fwww.plasticstoday.com%2fautomotive-mobility%2fcelanese-introduces-sustainable-materials-for-car-boots-and-bellows&c=9942840207542901146&mkt=en-us'}]",http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=667b5d0ec9ef481584e75bab3e7cdb73&url=https%3a%2f%2fwww.plasticstoday.com%2fautomotive-mobility%2fcelanese-introduces-sustainable-materials-for-car-boots-and-bellows&c=9942840207542901146&mkt=en-us,"“With Hytrel TPC and Santoprene TPV, Celanese already is the leader in developing thermoplastic elastomer solutions for boots and bellows,” said Frank Reuter, automotive marketing director. “Our new, ...","Tue, 11 Jun 2024 07:15:00 GMT","time.struct_time(tm_year=2024, tm_mon=6, tm_mday=11, tm_hour=7, tm_min=15, tm_sec=0, tm_wday=1, tm_yday=163, tm_isdst=0)",Plastics Today,http://www.bing.com/th?id=OVFT.6Ncdt0Pcixk0s3gzf8_jVy&pid=News,w={0}&h={1}&c=14,700,367,text/plain,,,Celanese Introduces Sustainable Materials for Car Boots and Bellows,text/html,,,"“With Hytrel TPC and Santoprene TPV, Celanese already is the leader in developing thermoplastic elastomer solutions for boots and bellows,” said Frank Reuter, automotive marketing director. “Our new, ...","https://www.bing.com/news/search?q=""Sustainable Materials"" ""new products""&format=rss"
"Aurora updates its name, product line","[{'rel': 'alternate', 'type': 'text/html', 'href': 'http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=667b5d0ec9ef481584e75bab3e7cdb73&url=https%3a%2f%2fwww.plasticsnews.com%2fnews%2faurora-material-solutions-updates-its-name-product-line&c=1549197915484126988&mkt=en-us'}]",http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=667b5d0ec9ef481584e75bab3e7cdb73&url=https%3a%2f%2fwww.plasticsnews.com%2fnews%2faurora-material-solutions-updates-its-name-product-line&c=1549197915484126988&mkt=en-us,"Orlando, Fla. — Aurora Material Solutions came to NPE2024 with an updated name and new products, including sustainable materials. Earlier this year, the Streetsboro, Ohio-based firm changed its ...","Wed, 29 May 2024 00:54:00 GMT","time.struct_time(tm_year=2024, tm_mon=5, tm_mday=29, tm_hour=0, tm_min=54, tm_sec=0, tm_wday=2, tm_yday=150, tm_isdst=0)",Plastics News,,,,,text/plain,,,"Aurora updates its name, product line",text/html,,,"Orlando, Fla. — Aurora Material Solutions came to NPE2024 with an updated name and new products, including sustainable materials. Earlier this year, the Streetsboro, Ohio-based firm changed its ...","https://www.bing.com/news/search?q=""Sustainable Materials"" ""new products""&format=rss"
Cabot (CBT) Launches Universal Circular Black Masterbatches,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=667b5d0ec9ef481584e75bab3e7cdb73&url=https%3a%2f%2fwww.msn.com%2fen-us%2fmoney%2fother%2fcabot-cbt-launches-universal-circular-black-masterbatches%2far-BB1mqYp4&c=7694689146589926721&mkt=en-us'}]",http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=667b5d0ec9ef481584e75bab3e7cdb73&url=https%3a%2f%2fwww.msn.com%2fen-us%2fmoney%2fother%2fcabot-cbt-launches-universal-circular-black-masterbatches%2far-BB1mqYp4&c=7694689146589926721&mkt=en-us,"Cabot Corporation CBT has launched its new REPLASBLAK universal circular black masterbatches made with certified sustainable materials. With this, it has unveiled two new products, which will be ...","Wed, 15 May 2024 05:31:00 GMT","time.struct_time(tm_year=2024, tm_mon=5, tm_mday=15, tm_hour=5, tm_min=31, tm_sec=0, tm_wday=2, tm_yday=136, tm_isdst=0)",MSN,,,,,text/plain,,,Cabot (CBT) Launches Universal Circular Black Masterbatches,text/html,,,"Cabot Corporation CBT has launched its new REPLASBLAK universal circular black masterbatches made with certified sustainable materials. With this, it has unveiled two new products, which will be ...","https://www.bing.com/news/search?q=""Sustainable Materials"" ""new products""&format=rss"
23 Ways to Use Technology for Sustainable Living,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=667b5d0ec9ef481584e75bab3e7cdb73&url=https%3a%2f%2fwww.msn.com%2fen-us%2fnews%2ftechnology%2f23-ways-to-use-technology-for-sustainable-living%2fss-BB1oNVG3&c=13459153522419885580&mkt=en-us'}]",http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=667b5d0ec9ef481584e75bab3e7cdb73&url=https%3a%2f%2fwww.msn.com%2fen-us%2fnews%2ftechnology%2f23-ways-to-use-technology-for-sustainable-living%2fss-BB1oNVG3&c=13459153522419885580&mkt=en-us,This promotes reuse and reduces the demand for new products. Install a smart irrigation system ... These apps can help you design energy-efficient spaces and choose sustainable materials. Use apps ...,"Sun, 23 Jun 2024 17:00:00 GMT","time.struct_time(tm_year=2024, tm_mon=6, tm_mday=23, tm_hour=17, tm_min=0, tm_sec=0, tm_wday=6, tm_yday=175, tm_isdst=0)",MSN,http://www.bing.com/th?id=OVFT.0UVTra3SXlOGr-NHQ-_ody&pid=News,w={0}&h={1}&c=14,700,467,text/plain,,,23 Ways to Use Technology for Sustainable Living,text/html,,,This promotes reuse and reduces the demand for new products. Install a smart irrigation system ... These apps can help you design energy-efficient spaces and choose sustainable materials. Use apps ...,"https://www.bing.com/news/search?q=""Sustainable Materials"" ""new products""&format=rss"
"Why Bic, the maker of ballpoint pens and shaving sticks, identifies as a tech-forward company","[{'rel': 'alternate', 'type': 'text/html', 'href': 'http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=667b5d0ec9ef481584e75bab3e7cdb73&url=https%3a%2f%2ffortune.com%2f2024%2f06%2f18%2fbic-ceo-innovation-pens-shaving-sticks-lighter-snoop-dogg%2f&c=16669122249675572963&mkt=en-us'}]",http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=667b5d0ec9ef481584e75bab3e7cdb73&url=https%3a%2f%2ffortune.com%2f2024%2f06%2f18%2fbic-ceo-innovation-pens-shaving-sticks-lighter-snoop-dogg%2f&c=16669122249675572963&mkt=en-us,"Bic’s approach to technology may not involve developers and programmers, but it does involve a relentless pursuit of more sustainable materials for its disposable ... We launch exciting new products ...","Tue, 18 Jun 2024 07:00:00 GMT","time.struct_time(tm_year=2024, tm_mon=6, tm_mday=18, tm_hour=7, tm_min=0, tm_sec=0, tm_wday=1, tm_yday=170, tm_isdst=0)",Fortune,,,,,text/plain,,,"Why Bic, the maker of ballpoint pens and shaving sticks, identifies as a tech-forward company",text/html,,,"Bic’s approach to technology may not involve developers and programmers, but it does involve a relentless pursuit of more sustainable materials for its disposable ... We launch exciting new products ...","https://www.bing.com/news/search?q=""Sustainable Materials"" ""new products""&format=rss"
Experts Doubted Americans Would Pay for Sustainability—Were They Right?,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=667b5d0ec9ef481584e75bab3e7cdb73&url=https%3a%2f%2fwww.newsweek.com%2f2024%2f06%2f14%2fexperts-doubted-americans-would-pay-sustainabilitywere-they-right-1907612.html&c=9786963511135667190&mkt=en-us'}]",http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=667b5d0ec9ef481584e75bab3e7cdb73&url=https%3a%2f%2fwww.newsweek.com%2f2024%2f06%2f14%2fexperts-doubted-americans-would-pay-sustainabilitywere-they-right-1907612.html&c=9786963511135667190&mkt=en-us,"The company debuted Nike Considered Design with the aim of ""using fewer resources, more sustainable materials and renewable energy to produce new products,"" Parker said. More Chip East/Bloomberg ...","Wed, 05 Jun 2024 05:43:00 GMT","time.struct_time(tm_year=2024, tm_mon=6, tm_mday=5, tm_hour=5, tm_min=43, tm_sec=0, tm_wday=2, tm_yday=157, tm_isdst=0)",Newsweek,,,,,text/plain,,,Experts Doubted Americans Would Pay for Sustainability—Were They Right?,text/html,,,"The company debuted Nike Considered Design with the aim of ""using fewer resources, more sustainable materials and renewable energy to produce new products,"" Parker said. More Chip East/Bloomberg ...","https://www.bing.com/news/search?q=""Sustainable Materials"" ""new products""&format=rss"
How Your Washing Machine Can Help Reduce Microplastics,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=667b5d0ec9ef481584e75bab3e7cdb73&url=https%3a%2f%2fgizmodo.com%2fgateway%2fhow-your-washing-machine-can-help-reduce-microplastics-1850361965&c=9395346710027368942&mkt=en-us'}]",http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=667b5d0ec9ef481584e75bab3e7cdb73&url=https%3a%2f%2fgizmodo.com%2fgateway%2fhow-your-washing-machine-can-help-reduce-microplastics-1850361965&c=9395346710027368942&mkt=en-us,"To focus on that tiny, tiny moment of laundry is completely nuts,” said Richard Blackburn, a professor of sustainable materials at the University ... into molecular precursors that can be fashioned ...","Mon, 17 Jun 2024 12:40:00 GMT","time.struct_time(tm_year=2024, tm_mon=6, tm_mday=17, tm_hour=12, tm_min=40, tm_sec=0, tm_wday=0, tm_yday=169, tm_isdst=0)",Gizmodo,http://www.bing.com/th?id=OVFT.YixtM8q2AjdHA7Gpne906y&pid=News,w={0}&h={1}&c=14,200,200,text/plain,,,How Your Washing Machine Can Help Reduce Microplastics,text/html,,,"To focus on that tiny, tiny moment of laundry is completely nuts,” said Richard Blackburn, a professor of sustainable materials at the University ... into molecular precursors that can be fashioned ...","https://www.bing.com/news/search?q=""Sustainable Materials"" ""new products""&format=rss"
Arq Secures Second Contract for its Granular Activated Carbon (GAC) Facility,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=667b5d0ec9ef481584e75bab3e7cdb73&url=https%3a%2f%2fmarkets.businessinsider.com%2fnews%2fstocks%2farq-secures-second-contract-for-its-granular-activated-carbon-gac-facility-1033486761&c=5884596712230682564&mkt=en-us'}]",http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=667b5d0ec9ef481584e75bab3e7cdb73&url=https%3a%2f%2fmarkets.businessinsider.com%2fnews%2fstocks%2farq-secures-second-contract-for-its-granular-activated-carbon-gac-facility-1033486761&c=5884596712230682564&mkt=en-us,"This agreement, with a company specializing in the manufacturing of personal and industrial air purification devices, has a commencement date of January 2025 and scales up to an ultimate run-rate ...","Tue, 18 Jun 2024 06:24:00 GMT","time.struct_time(tm_year=2024, tm_mon=6, tm_mday=18, tm_hour=6, tm_min=24, tm_sec=0, tm_wday=1, tm_yday=170, tm_isdst=0)",Business Insider,,,,,text/plain,,,Arq Secures Second Contract for its Granular Activated Carbon (GAC) Facility,text/html,,,"This agreement, with a company specializing in the manufacturing of personal and industrial air purification devices, has a commencement date of January 2025 and scales up to an ultimate run-rate ...","https://www.bing.com/news/search?q=""Sustainable Materials"" ""new products""&format=rss"
Sports Nut GmbH to distribute Restrap in Germany and Austria,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=667b5d0ec9ef481584e75bab3e7cdb73&url=https%3a%2f%2fbikebiz.com%2fsports-nut-gmbh-to-distribute-restrap-in-germany-and-austria%2f&c=7485100224781175304&mkt=en-us'}]",http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=667b5d0ec9ef481584e75bab3e7cdb73&url=https%3a%2f%2fbikebiz.com%2fsports-nut-gmbh-to-distribute-restrap-in-germany-and-austria%2f&c=7485100224781175304&mkt=en-us,"All products are made in Yorkshire, using sustainable materials. These values align with Sports Nut ... Read more: 2024 Eurobike Awards: 43 new products honoured in nine categories The mix of a ...","Sun, 23 Jun 2024 17:00:00 GMT","time.struct_time(tm_year=2024, tm_mon=6, tm_mday=23, tm_hour=17, tm_min=0, tm_sec=0, tm_wday=6, tm_yday=175, tm_isdst=0)",BikeBiz,http://www.bing.com/th?id=OVFT.0Lmm3x_Lg7-5wNgT50GfvS&pid=News,w={0}&h={1}&c=14,700,466,text/plain,,,Sports Nut GmbH to distribute Restrap in Germany and Austria,text/html,,,"All products are made in Yorkshire, using sustainable materials. These values align with Sports Nut ... Read more: 2024 Eurobike Awards: 43 new products honoured in nine categories The mix of a ...","https://www.bing.com/news/search?q=""Sustainable Materials"" ""new products""&format=rss"
Europe Must Close The Tech Gap,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=667b5d0ec9ef481584e75bab3e7cdb73&url=https%3a%2f%2fwww.forbes.com%2fsites%2fjeanmarcollagnier%2f2023%2f07%2f27%2feurope-must-close-the-tech-gap%2f&c=13000998259121590573&mkt=en-us'}]",http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=667b5d0ec9ef481584e75bab3e7cdb73&url=https%3a%2f%2fwww.forbes.com%2fsites%2fjeanmarcollagnier%2f2023%2f07%2f27%2feurope-must-close-the-tech-gap%2f&c=13000998259121590573&mkt=en-us,"It means prioritizing technology when developing new products, services or business ... discovery in pharmaceuticals and create more sustainable materials in chemicals, accelerating sustainability ...","Thu, 27 Jul 2023 08:50:00 GMT","time.struct_time(tm_year=2023, tm_mon=7, tm_mday=27, tm_hour=8, tm_min=50, tm_sec=0, tm_wday=3, tm_yday=208, tm_isdst=0)",Forbes,,,,,text/plain,,,Europe Must Close The Tech Gap,text/html,,,"It means prioritizing technology when developing new products, services or business ... discovery in pharmaceuticals and create more sustainable materials in chemicals, accelerating sustainability ...","https://www.bing.com/news/search?q=""Sustainable Materials"" ""new products""&format=rss"
