title,links,link,id,guidislink,published,published_parsed,summary,title_detail.type,title_detail.language,title_detail.base,title_detail.value,summary_detail.type,summary_detail.language,summary_detail.base,summary_detail.value,source.href,source.title,query
New RESNET Label Provides Home Energy-Efficiency Ratings and Certifications Info - Pro Builder,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://news.google.com/rss/articles/CBMiUGh0dHBzOi8vd3d3LnByb2J1aWxkZXIuY29tL25ldy1yZXNuZXQtbGFiZWwtcHJvdmlkZXMtaG9tZS1lbmVyZ3ktZWZmaWNpZW5jeS1pbmZv0gEA?oc=5'}]",https://news.google.com/rss/articles/CBMiUGh0dHBzOi8vd3d3LnByb2J1aWxkZXIuY29tL25ldy1yZXNuZXQtbGFiZWwtcHJvdmlkZXMtaG9tZS1lbmVyZ3ktZWZmaWNpZW5jeS1pbmZv0gEA?oc=5,CBMiUGh0dHBzOi8vd3d3LnByb2J1aWxkZXIuY29tL25ldy1yZXNuZXQtbGFiZWwtcHJvdmlkZXMtaG9tZS1lbmVyZ3ktZWZmaWNpZW5jeS1pbmZv0gEA,False,"Fri, 31 Mar 2023 07:00:00 GMT","time.struct_time(tm_year=2023, tm_mon=3, tm_mday=31, tm_hour=7, tm_min=0, tm_sec=0, tm_wday=4, tm_yday=90, tm_isdst=0)","<a href=""https://news.google.com/rss/articles/CBMiUGh0dHBzOi8vd3d3LnByb2J1aWxkZXIuY29tL25ldy1yZXNuZXQtbGFiZWwtcHJvdmlkZXMtaG9tZS1lbmVyZ3ktZWZmaWNpZW5jeS1pbmZv0gEA?oc=5"" target=""_blank"">New RESNET Label Provides Home Energy-Efficiency Ratings and Certifications Info</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Pro Builder</font>",text/plain,,,New RESNET Label Provides Home Energy-Efficiency Ratings and Certifications Info - Pro Builder,text/html,,,"<a href=""https://news.google.com/rss/articles/CBMiUGh0dHBzOi8vd3d3LnByb2J1aWxkZXIuY29tL25ldy1yZXNuZXQtbGFiZWwtcHJvdmlkZXMtaG9tZS1lbmVyZ3ktZWZmaWNpZW5jeS1pbmZv0gEA?oc=5"" target=""_blank"">New RESNET Label Provides Home Energy-Efficiency Ratings and Certifications Info</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Pro Builder</font>",https://www.probuilder.com,Pro Builder,"https://news.google.com/rss/search?q=""Energy Efficiency"" ""new products""+after:2023-03-01+before:2023-03-31"
PwC 2023 US Large Energy User Survey - PwC,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://news.google.com/rss/articles/CBMiZWh0dHBzOi8vd3d3LnB3Yy5jb20vdXMvZW4vaW5kdXN0cmllcy9lbmVyZ3ktdXRpbGl0aWVzLXJlc291cmNlcy9saWJyYXJ5L2xhcmdlLWVuZXJneS11c2VyLXN1cnZleS5odG1s0gEA?oc=5'}]",https://news.google.com/rss/articles/CBMiZWh0dHBzOi8vd3d3LnB3Yy5jb20vdXMvZW4vaW5kdXN0cmllcy9lbmVyZ3ktdXRpbGl0aWVzLXJlc291cmNlcy9saWJyYXJ5L2xhcmdlLWVuZXJneS11c2VyLXN1cnZleS5odG1s0gEA?oc=5,CBMiZWh0dHBzOi8vd3d3LnB3Yy5jb20vdXMvZW4vaW5kdXN0cmllcy9lbmVyZ3ktdXRpbGl0aWVzLXJlc291cmNlcy9saWJyYXJ5L2xhcmdlLWVuZXJneS11c2VyLXN1cnZleS5odG1s0gEA,False,"Thu, 16 Mar 2023 16:25:08 GMT","time.struct_time(tm_year=2023, tm_mon=3, tm_mday=16, tm_hour=16, tm_min=25, tm_sec=8, tm_wday=3, tm_yday=75, tm_isdst=0)","<a href=""https://news.google.com/rss/articles/CBMiZWh0dHBzOi8vd3d3LnB3Yy5jb20vdXMvZW4vaW5kdXN0cmllcy9lbmVyZ3ktdXRpbGl0aWVzLXJlc291cmNlcy9saWJyYXJ5L2xhcmdlLWVuZXJneS11c2VyLXN1cnZleS5odG1s0gEA?oc=5"" target=""_blank"">PwC 2023 US Large Energy User Survey</a>&nbsp;&nbsp;<font color=""#6f6f6f"">PwC</font>",text/plain,,,PwC 2023 US Large Energy User Survey - PwC,text/html,,,"<a href=""https://news.google.com/rss/articles/CBMiZWh0dHBzOi8vd3d3LnB3Yy5jb20vdXMvZW4vaW5kdXN0cmllcy9lbmVyZ3ktdXRpbGl0aWVzLXJlc291cmNlcy9saWJyYXJ5L2xhcmdlLWVuZXJneS11c2VyLXN1cnZleS5odG1s0gEA?oc=5"" target=""_blank"">PwC 2023 US Large Energy User Survey</a>&nbsp;&nbsp;<font color=""#6f6f6f"">PwC</font>",https://www.pwc.com,PwC,"https://news.google.com/rss/search?q=""Energy Efficiency"" ""new products""+after:2023-03-01+before:2023-03-31"
"NVIDIA and Google Cloud Deliver Powerful New Generative AI Platform, Built on the New L4 GPU and Vertex AI - NVIDIA Blog","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://news.google.com/rss/articles/CBMijAFodHRwczovL252aWRpYW5ld3MubnZpZGlhLmNvbS9uZXdzL252aWRpYS1hbmQtZ29vZ2xlLWNsb3VkLWRlbGl2ZXItcG93ZXJmdWwtbmV3LWdlbmVyYXRpdmUtYWktcGxhdGZvcm0tYnVpbHQtb24tdGhlLW5ldy1sNC1ncHUtYW5kLXZlcnRleC1hadIBAA?oc=5'}]",https://news.google.com/rss/articles/CBMijAFodHRwczovL252aWRpYW5ld3MubnZpZGlhLmNvbS9uZXdzL252aWRpYS1hbmQtZ29vZ2xlLWNsb3VkLWRlbGl2ZXItcG93ZXJmdWwtbmV3LWdlbmVyYXRpdmUtYWktcGxhdGZvcm0tYnVpbHQtb24tdGhlLW5ldy1sNC1ncHUtYW5kLXZlcnRleC1hadIBAA?oc=5,CBMijAFodHRwczovL252aWRpYW5ld3MubnZpZGlhLmNvbS9uZXdzL252aWRpYS1hbmQtZ29vZ2xlLWNsb3VkLWRlbGl2ZXItcG93ZXJmdWwtbmV3LWdlbmVyYXRpdmUtYWktcGxhdGZvcm0tYnVpbHQtb24tdGhlLW5ldy1sNC1ncHUtYW5kLXZlcnRleC1hadIBAA,False,"Tue, 21 Mar 2023 07:00:00 GMT","time.struct_time(tm_year=2023, tm_mon=3, tm_mday=21, tm_hour=7, tm_min=0, tm_sec=0, tm_wday=1, tm_yday=80, tm_isdst=0)","<a href=""https://news.google.com/rss/articles/CBMijAFodHRwczovL252aWRpYW5ld3MubnZpZGlhLmNvbS9uZXdzL252aWRpYS1hbmQtZ29vZ2xlLWNsb3VkLWRlbGl2ZXItcG93ZXJmdWwtbmV3LWdlbmVyYXRpdmUtYWktcGxhdGZvcm0tYnVpbHQtb24tdGhlLW5ldy1sNC1ncHUtYW5kLXZlcnRleC1hadIBAA?oc=5"" target=""_blank"">NVIDIA and Google Cloud Deliver Powerful New Generative AI Platform, Built on the New L4 GPU and Vertex AI</a>&nbsp;&nbsp;<font color=""#6f6f6f"">NVIDIA Blog</font>",text/plain,,,"NVIDIA and Google Cloud Deliver Powerful New Generative AI Platform, Built on the New L4 GPU and Vertex AI - NVIDIA Blog",text/html,,,"<a href=""https://news.google.com/rss/articles/CBMijAFodHRwczovL252aWRpYW5ld3MubnZpZGlhLmNvbS9uZXdzL252aWRpYS1hbmQtZ29vZ2xlLWNsb3VkLWRlbGl2ZXItcG93ZXJmdWwtbmV3LWdlbmVyYXRpdmUtYWktcGxhdGZvcm0tYnVpbHQtb24tdGhlLW5ldy1sNC1ncHUtYW5kLXZlcnRleC1hadIBAA?oc=5"" target=""_blank"">NVIDIA and Google Cloud Deliver Powerful New Generative AI Platform, Built on the New L4 GPU and Vertex AI</a>&nbsp;&nbsp;<font color=""#6f6f6f"">NVIDIA Blog</font>",https://nvidianews.nvidia.com,NVIDIA Blog,"https://news.google.com/rss/search?q=""Energy Efficiency"" ""new products""+after:2023-03-01+before:2023-03-31"
Ricoh Wins 2023 ENERGY STAR® Partner of the Year Sustained Excellence Award from EPA for 8th Straight Year - PR Newswire,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://news.google.com/rss/articles/CBMioQFodHRwczovL3d3dy5wcm5ld3N3aXJlLmNvbS9uZXdzLXJlbGVhc2VzL3JpY29oLXdpbnMtMjAyMy1lbmVyZ3ktc3Rhci1wYXJ0bmVyLW9mLXRoZS15ZWFyLXN1c3RhaW5lZC1leGNlbGxlbmNlLWF3YXJkLWZyb20tZXBhLWZvci04dGgtc3RyYWlnaHQteWVhci0zMDE3ODMyOTguaHRtbNIBAA?oc=5'}]",https://news.google.com/rss/articles/CBMioQFodHRwczovL3d3dy5wcm5ld3N3aXJlLmNvbS9uZXdzLXJlbGVhc2VzL3JpY29oLXdpbnMtMjAyMy1lbmVyZ3ktc3Rhci1wYXJ0bmVyLW9mLXRoZS15ZWFyLXN1c3RhaW5lZC1leGNlbGxlbmNlLWF3YXJkLWZyb20tZXBhLWZvci04dGgtc3RyYWlnaHQteWVhci0zMDE3ODMyOTguaHRtbNIBAA?oc=5,CBMioQFodHRwczovL3d3dy5wcm5ld3N3aXJlLmNvbS9uZXdzLXJlbGVhc2VzL3JpY29oLXdpbnMtMjAyMy1lbmVyZ3ktc3Rhci1wYXJ0bmVyLW9mLXRoZS15ZWFyLXN1c3RhaW5lZC1leGNlbGxlbmNlLWF3YXJkLWZyb20tZXBhLWZvci04dGgtc3RyYWlnaHQteWVhci0zMDE3ODMyOTguaHRtbNIBAA,False,"Tue, 28 Mar 2023 07:00:00 GMT","time.struct_time(tm_year=2023, tm_mon=3, tm_mday=28, tm_hour=7, tm_min=0, tm_sec=0, tm_wday=1, tm_yday=87, tm_isdst=0)","<a href=""https://news.google.com/rss/articles/CBMioQFodHRwczovL3d3dy5wcm5ld3N3aXJlLmNvbS9uZXdzLXJlbGVhc2VzL3JpY29oLXdpbnMtMjAyMy1lbmVyZ3ktc3Rhci1wYXJ0bmVyLW9mLXRoZS15ZWFyLXN1c3RhaW5lZC1leGNlbGxlbmNlLWF3YXJkLWZyb20tZXBhLWZvci04dGgtc3RyYWlnaHQteWVhci0zMDE3ODMyOTguaHRtbNIBAA?oc=5"" target=""_blank"">Ricoh Wins 2023 ENERGY STAR® Partner of the Year Sustained Excellence Award from EPA for 8th Straight Year</a>&nbsp;&nbsp;<font color=""#6f6f6f"">PR Newswire</font>",text/plain,,,Ricoh Wins 2023 ENERGY STAR® Partner of the Year Sustained Excellence Award from EPA for 8th Straight Year - PR Newswire,text/html,,,"<a href=""https://news.google.com/rss/articles/CBMioQFodHRwczovL3d3dy5wcm5ld3N3aXJlLmNvbS9uZXdzLXJlbGVhc2VzL3JpY29oLXdpbnMtMjAyMy1lbmVyZ3ktc3Rhci1wYXJ0bmVyLW9mLXRoZS15ZWFyLXN1c3RhaW5lZC1leGNlbGxlbmNlLWF3YXJkLWZyb20tZXBhLWZvci04dGgtc3RyYWlnaHQteWVhci0zMDE3ODMyOTguaHRtbNIBAA?oc=5"" target=""_blank"">Ricoh Wins 2023 ENERGY STAR® Partner of the Year Sustained Excellence Award from EPA for 8th Straight Year</a>&nbsp;&nbsp;<font color=""#6f6f6f"">PR Newswire</font>",https://www.prnewswire.com,PR Newswire,"https://news.google.com/rss/search?q=""Energy Efficiency"" ""new products""+after:2023-03-01+before:2023-03-31"
EU agrees tougher energy efficiency targets - Cooling Post,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://news.google.com/rss/articles/CBMiU2h0dHBzOi8vd3d3LmNvb2xpbmdwb3N0LmNvbS93b3JsZC1uZXdzL2V1LWFncmVlcy10b3VnaGVyLWVuZXJneS1lZmZpY2llbmN5LXRhcmdldHMv0gEA?oc=5'}]",https://news.google.com/rss/articles/CBMiU2h0dHBzOi8vd3d3LmNvb2xpbmdwb3N0LmNvbS93b3JsZC1uZXdzL2V1LWFncmVlcy10b3VnaGVyLWVuZXJneS1lZmZpY2llbmN5LXRhcmdldHMv0gEA?oc=5,CBMiU2h0dHBzOi8vd3d3LmNvb2xpbmdwb3N0LmNvbS93b3JsZC1uZXdzL2V1LWFncmVlcy10b3VnaGVyLWVuZXJneS1lZmZpY2llbmN5LXRhcmdldHMv0gEA,False,"Sat, 11 Mar 2023 08:00:00 GMT","time.struct_time(tm_year=2023, tm_mon=3, tm_mday=11, tm_hour=8, tm_min=0, tm_sec=0, tm_wday=5, tm_yday=70, tm_isdst=0)","<a href=""https://news.google.com/rss/articles/CBMiU2h0dHBzOi8vd3d3LmNvb2xpbmdwb3N0LmNvbS93b3JsZC1uZXdzL2V1LWFncmVlcy10b3VnaGVyLWVuZXJneS1lZmZpY2llbmN5LXRhcmdldHMv0gEA?oc=5"" target=""_blank"">EU agrees tougher energy efficiency targets</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Cooling Post</font>",text/plain,,,EU agrees tougher energy efficiency targets - Cooling Post,text/html,,,"<a href=""https://news.google.com/rss/articles/CBMiU2h0dHBzOi8vd3d3LmNvb2xpbmdwb3N0LmNvbS93b3JsZC1uZXdzL2V1LWFncmVlcy10b3VnaGVyLWVuZXJneS1lZmZpY2llbmN5LXRhcmdldHMv0gEA?oc=5"" target=""_blank"">EU agrees tougher energy efficiency targets</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Cooling Post</font>",https://www.coolingpost.com,Cooling Post,"https://news.google.com/rss/search?q=""Energy Efficiency"" ""new products""+after:2023-03-01+before:2023-03-31"
13 Flowers Foods bakeries attain 2022 ENERGY STAR certification - Snack Food & Wholesale Bakery,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://news.google.com/rss/articles/CBMibmh0dHBzOi8vd3d3LnNuYWNrYW5kYmFrZXJ5LmNvbS9hcnRpY2xlcy8xMDg1MTUtMTMtZmxvd2Vycy1mb29kcy1iYWtlcmllcy1hdHRhaW4tMjAyMi1lbmVyZ3ktc3Rhci1jZXJ0aWZpY2F0aW9u0gEA?oc=5'}]",https://news.google.com/rss/articles/CBMibmh0dHBzOi8vd3d3LnNuYWNrYW5kYmFrZXJ5LmNvbS9hcnRpY2xlcy8xMDg1MTUtMTMtZmxvd2Vycy1mb29kcy1iYWtlcmllcy1hdHRhaW4tMjAyMi1lbmVyZ3ktc3Rhci1jZXJ0aWZpY2F0aW9u0gEA?oc=5,CBMibmh0dHBzOi8vd3d3LnNuYWNrYW5kYmFrZXJ5LmNvbS9hcnRpY2xlcy8xMDg1MTUtMTMtZmxvd2Vycy1mb29kcy1iYWtlcmllcy1hdHRhaW4tMjAyMi1lbmVyZ3ktc3Rhci1jZXJ0aWZpY2F0aW9u0gEA,False,"Wed, 01 Mar 2023 08:00:00 GMT","time.struct_time(tm_year=2023, tm_mon=3, tm_mday=1, tm_hour=8, tm_min=0, tm_sec=0, tm_wday=2, tm_yday=60, tm_isdst=0)","<a href=""https://news.google.com/rss/articles/CBMibmh0dHBzOi8vd3d3LnNuYWNrYW5kYmFrZXJ5LmNvbS9hcnRpY2xlcy8xMDg1MTUtMTMtZmxvd2Vycy1mb29kcy1iYWtlcmllcy1hdHRhaW4tMjAyMi1lbmVyZ3ktc3Rhci1jZXJ0aWZpY2F0aW9u0gEA?oc=5"" target=""_blank"">13 Flowers Foods bakeries attain 2022 ENERGY STAR certification</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Snack Food & Wholesale Bakery</font>",text/plain,,,13 Flowers Foods bakeries attain 2022 ENERGY STAR certification - Snack Food & Wholesale Bakery,text/html,,,"<a href=""https://news.google.com/rss/articles/CBMibmh0dHBzOi8vd3d3LnNuYWNrYW5kYmFrZXJ5LmNvbS9hcnRpY2xlcy8xMDg1MTUtMTMtZmxvd2Vycy1mb29kcy1iYWtlcmllcy1hdHRhaW4tMjAyMi1lbmVyZ3ktc3Rhci1jZXJ0aWZpY2F0aW9u0gEA?oc=5"" target=""_blank"">13 Flowers Foods bakeries attain 2022 ENERGY STAR certification</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Snack Food & Wholesale Bakery</font>",https://www.snackandbakery.com,Snack Food & Wholesale Bakery,"https://news.google.com/rss/search?q=""Energy Efficiency"" ""new products""+after:2023-03-01+before:2023-03-31"
Grundfos: Innovation & Inspiration for Sustainable Product Design - Blog - Business & Environment - Harvard Business School,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://news.google.com/rss/articles/CBMiNmh0dHBzOi8vd3d3Lmhicy5lZHUvZW52aXJvbm1lbnQvYmxvZy9wb3N0L0lGQy1HcnVuZGZvc9IBAA?oc=5'}]",https://news.google.com/rss/articles/CBMiNmh0dHBzOi8vd3d3Lmhicy5lZHUvZW52aXJvbm1lbnQvYmxvZy9wb3N0L0lGQy1HcnVuZGZvc9IBAA?oc=5,CBMiNmh0dHBzOi8vd3d3Lmhicy5lZHUvZW52aXJvbm1lbnQvYmxvZy9wb3N0L0lGQy1HcnVuZGZvc9IBAA,False,"Tue, 21 Mar 2023 07:00:00 GMT","time.struct_time(tm_year=2023, tm_mon=3, tm_mday=21, tm_hour=7, tm_min=0, tm_sec=0, tm_wday=1, tm_yday=80, tm_isdst=0)","<a href=""https://news.google.com/rss/articles/CBMiNmh0dHBzOi8vd3d3Lmhicy5lZHUvZW52aXJvbm1lbnQvYmxvZy9wb3N0L0lGQy1HcnVuZGZvc9IBAA?oc=5"" target=""_blank"">Grundfos: Innovation & Inspiration for Sustainable Product Design - Blog - Business & Environment</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Harvard Business School</font>",text/plain,,,Grundfos: Innovation & Inspiration for Sustainable Product Design - Blog - Business & Environment - Harvard Business School,text/html,,,"<a href=""https://news.google.com/rss/articles/CBMiNmh0dHBzOi8vd3d3Lmhicy5lZHUvZW52aXJvbm1lbnQvYmxvZy9wb3N0L0lGQy1HcnVuZGZvc9IBAA?oc=5"" target=""_blank"">Grundfos: Innovation & Inspiration for Sustainable Product Design - Blog - Business & Environment</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Harvard Business School</font>",https://www.hbs.edu,Harvard Business School,"https://news.google.com/rss/search?q=""Energy Efficiency"" ""new products""+after:2023-03-01+before:2023-03-31"
A. O. Smith Earns 2023 ENERGY STAR Partner of the Year Sustained Excellence Award - PHCPPros,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://news.google.com/rss/articles/CBMid2h0dHBzOi8vd3d3LnBoY3Bwcm9zLmNvbS9hcnRpY2xlcy8xNzI4MC1hLW8tc21pdGgtZWFybnMtMjAyMy1lbmVyZ3ktc3Rhci1wYXJ0bmVyLW9mLXRoZS15ZWFyLXN1c3RhaW5lZC1leGNlbGxlbmNlLWF3YXJk0gEA?oc=5'}]",https://news.google.com/rss/articles/CBMid2h0dHBzOi8vd3d3LnBoY3Bwcm9zLmNvbS9hcnRpY2xlcy8xNzI4MC1hLW8tc21pdGgtZWFybnMtMjAyMy1lbmVyZ3ktc3Rhci1wYXJ0bmVyLW9mLXRoZS15ZWFyLXN1c3RhaW5lZC1leGNlbGxlbmNlLWF3YXJk0gEA?oc=5,CBMid2h0dHBzOi8vd3d3LnBoY3Bwcm9zLmNvbS9hcnRpY2xlcy8xNzI4MC1hLW8tc21pdGgtZWFybnMtMjAyMy1lbmVyZ3ktc3Rhci1wYXJ0bmVyLW9mLXRoZS15ZWFyLXN1c3RhaW5lZC1leGNlbGxlbmNlLWF3YXJk0gEA,False,"Tue, 28 Mar 2023 07:00:00 GMT","time.struct_time(tm_year=2023, tm_mon=3, tm_mday=28, tm_hour=7, tm_min=0, tm_sec=0, tm_wday=1, tm_yday=87, tm_isdst=0)","<a href=""https://news.google.com/rss/articles/CBMid2h0dHBzOi8vd3d3LnBoY3Bwcm9zLmNvbS9hcnRpY2xlcy8xNzI4MC1hLW8tc21pdGgtZWFybnMtMjAyMy1lbmVyZ3ktc3Rhci1wYXJ0bmVyLW9mLXRoZS15ZWFyLXN1c3RhaW5lZC1leGNlbGxlbmNlLWF3YXJk0gEA?oc=5"" target=""_blank"">A. O. Smith Earns 2023 ENERGY STAR Partner of the Year Sustained Excellence Award</a>&nbsp;&nbsp;<font color=""#6f6f6f"">PHCPPros </font>",text/plain,,,A. O. Smith Earns 2023 ENERGY STAR Partner of the Year Sustained Excellence Award - PHCPPros,text/html,,,"<a href=""https://news.google.com/rss/articles/CBMid2h0dHBzOi8vd3d3LnBoY3Bwcm9zLmNvbS9hcnRpY2xlcy8xNzI4MC1hLW8tc21pdGgtZWFybnMtMjAyMy1lbmVyZ3ktc3Rhci1wYXJ0bmVyLW9mLXRoZS15ZWFyLXN1c3RhaW5lZC1leGNlbGxlbmNlLWF3YXJk0gEA?oc=5"" target=""_blank"">A. O. Smith Earns 2023 ENERGY STAR Partner of the Year Sustained Excellence Award</a>&nbsp;&nbsp;<font color=""#6f6f6f"">PHCPPros </font>",https://www.phcppros.com,PHCPPros,"https://news.google.com/rss/search?q=""Energy Efficiency"" ""new products""+after:2023-03-01+before:2023-03-31"
Energy-efficient ovens creating a new buzz - BakingBusiness.com,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://news.google.com/rss/articles/CBMiWGh0dHBzOi8vd3d3LmJha2luZ2J1c2luZXNzLmNvbS9hcnRpY2xlcy81ODYxNS1lbmVyZ3ktZWZmaWNpZW50LW92ZW5zLWNyZWF0aW5nLWEtbmV3LWJ1enrSAQA?oc=5'}]",https://news.google.com/rss/articles/CBMiWGh0dHBzOi8vd3d3LmJha2luZ2J1c2luZXNzLmNvbS9hcnRpY2xlcy81ODYxNS1lbmVyZ3ktZWZmaWNpZW50LW92ZW5zLWNyZWF0aW5nLWEtbmV3LWJ1enrSAQA?oc=5,CBMiWGh0dHBzOi8vd3d3LmJha2luZ2J1c2luZXNzLmNvbS9hcnRpY2xlcy81ODYxNS1lbmVyZ3ktZWZmaWNpZW50LW92ZW5zLWNyZWF0aW5nLWEtbmV3LWJ1enrSAQA,False,"Mon, 13 Mar 2023 07:00:00 GMT","time.struct_time(tm_year=2023, tm_mon=3, tm_mday=13, tm_hour=7, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=72, tm_isdst=0)","<a href=""https://news.google.com/rss/articles/CBMiWGh0dHBzOi8vd3d3LmJha2luZ2J1c2luZXNzLmNvbS9hcnRpY2xlcy81ODYxNS1lbmVyZ3ktZWZmaWNpZW50LW92ZW5zLWNyZWF0aW5nLWEtbmV3LWJ1enrSAQA?oc=5"" target=""_blank"">Energy-efficient ovens creating a new buzz</a>&nbsp;&nbsp;<font color=""#6f6f6f"">BakingBusiness.com</font>",text/plain,,,Energy-efficient ovens creating a new buzz - BakingBusiness.com,text/html,,,"<a href=""https://news.google.com/rss/articles/CBMiWGh0dHBzOi8vd3d3LmJha2luZ2J1c2luZXNzLmNvbS9hcnRpY2xlcy81ODYxNS1lbmVyZ3ktZWZmaWNpZW50LW92ZW5zLWNyZWF0aW5nLWEtbmV3LWJ1enrSAQA?oc=5"" target=""_blank"">Energy-efficient ovens creating a new buzz</a>&nbsp;&nbsp;<font color=""#6f6f6f"">BakingBusiness.com</font>",https://www.bakingbusiness.com,BakingBusiness.com,"https://news.google.com/rss/search?q=""Energy Efficiency"" ""new products""+after:2023-03-01+before:2023-03-31"
"IFPE 2023: New Fluid Power, Motion Control and Power Transmission Technologies - Power & Motion","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://news.google.com/rss/articles/CBMiiAFodHRwczovL3d3dy5wb3dlcm1vdGlvbnRlY2guY29tL2h5ZHJhdWxpY3MvYXJ0aWNsZS8yMTI2MTQ0NS9pZnBlLTIwMjMtbmV3LWZsdWlkLXBvd2VyLW1vdGlvbi1jb250cm9sLWFuZC1wb3dlci10cmFuc21pc3Npb24tdGVjaG5vbG9naWVz0gEA?oc=5'}]",https://news.google.com/rss/articles/CBMiiAFodHRwczovL3d3dy5wb3dlcm1vdGlvbnRlY2guY29tL2h5ZHJhdWxpY3MvYXJ0aWNsZS8yMTI2MTQ0NS9pZnBlLTIwMjMtbmV3LWZsdWlkLXBvd2VyLW1vdGlvbi1jb250cm9sLWFuZC1wb3dlci10cmFuc21pc3Npb24tdGVjaG5vbG9naWVz0gEA?oc=5,CBMiiAFodHRwczovL3d3dy5wb3dlcm1vdGlvbnRlY2guY29tL2h5ZHJhdWxpY3MvYXJ0aWNsZS8yMTI2MTQ0NS9pZnBlLTIwMjMtbmV3LWZsdWlkLXBvd2VyLW1vdGlvbi1jb250cm9sLWFuZC1wb3dlci10cmFuc21pc3Npb24tdGVjaG5vbG9naWVz0gEA,False,"Thu, 09 Mar 2023 08:00:00 GMT","time.struct_time(tm_year=2023, tm_mon=3, tm_mday=9, tm_hour=8, tm_min=0, tm_sec=0, tm_wday=3, tm_yday=68, tm_isdst=0)","<a href=""https://news.google.com/rss/articles/CBMiiAFodHRwczovL3d3dy5wb3dlcm1vdGlvbnRlY2guY29tL2h5ZHJhdWxpY3MvYXJ0aWNsZS8yMTI2MTQ0NS9pZnBlLTIwMjMtbmV3LWZsdWlkLXBvd2VyLW1vdGlvbi1jb250cm9sLWFuZC1wb3dlci10cmFuc21pc3Npb24tdGVjaG5vbG9naWVz0gEA?oc=5"" target=""_blank"">IFPE 2023: New Fluid Power, Motion Control and Power Transmission Technologies</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Power & Motion</font>",text/plain,,,"IFPE 2023: New Fluid Power, Motion Control and Power Transmission Technologies - Power & Motion",text/html,,,"<a href=""https://news.google.com/rss/articles/CBMiiAFodHRwczovL3d3dy5wb3dlcm1vdGlvbnRlY2guY29tL2h5ZHJhdWxpY3MvYXJ0aWNsZS8yMTI2MTQ0NS9pZnBlLTIwMjMtbmV3LWZsdWlkLXBvd2VyLW1vdGlvbi1jb250cm9sLWFuZC1wb3dlci10cmFuc21pc3Npb24tdGVjaG5vbG9naWVz0gEA?oc=5"" target=""_blank"">IFPE 2023: New Fluid Power, Motion Control and Power Transmission Technologies</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Power & Motion</font>",https://www.powermotiontech.com,Power & Motion,"https://news.google.com/rss/search?q=""Energy Efficiency"" ""new products""+after:2023-03-01+before:2023-03-31"
