title,links,link,id,guidislink,published,published_parsed,summary,title_detail.type,title_detail.language,title_detail.base,title_detail.value,summary_detail.type,summary_detail.language,summary_detail.base,summary_detail.value,source.href,source.title,query
JCP&L Proposes Expansion of Energy Efficiency Offerings - PR Newswire,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://news.google.com/rss/articles/CBMibmh0dHBzOi8vd3d3LnBybmV3c3dpcmUuY29tL25ld3MtcmVsZWFzZXMvamNwbC1wcm9wb3Nlcy1leHBhbnNpb24tb2YtZW5lcmd5LWVmZmljaWVuY3ktb2ZmZXJpbmdzLTMwMjAwNTE1Ny5odG1s0gEA?oc=5'}]",https://news.google.com/rss/articles/CBMibmh0dHBzOi8vd3d3LnBybmV3c3dpcmUuY29tL25ld3MtcmVsZWFzZXMvamNwbC1wcm9wb3Nlcy1leHBhbnNpb24tb2YtZW5lcmd5LWVmZmljaWVuY3ktb2ZmZXJpbmdzLTMwMjAwNTE1Ny5odG1s0gEA?oc=5,CBMibmh0dHBzOi8vd3d3LnBybmV3c3dpcmUuY29tL25ld3MtcmVsZWFzZXMvamNwbC1wcm9wb3Nlcy1leHBhbnNpb24tb2YtZW5lcmd5LWVmZmljaWVuY3ktb2ZmZXJpbmdzLTMwMjAwNTE1Ny5odG1s0gEA,False,"Mon, 04 Dec 2023 08:00:00 GMT","time.struct_time(tm_year=2023, tm_mon=12, tm_mday=4, tm_hour=8, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=338, tm_isdst=0)","<a href=""https://news.google.com/rss/articles/CBMibmh0dHBzOi8vd3d3LnBybmV3c3dpcmUuY29tL25ld3MtcmVsZWFzZXMvamNwbC1wcm9wb3Nlcy1leHBhbnNpb24tb2YtZW5lcmd5LWVmZmljaWVuY3ktb2ZmZXJpbmdzLTMwMjAwNTE1Ny5odG1s0gEA?oc=5"" target=""_blank"">JCP&amp;L Proposes Expansion of Energy Efficiency Offerings</a>&nbsp;&nbsp;<font color=""#6f6f6f"">PR Newswire</font>",text/plain,,,JCP&L Proposes Expansion of Energy Efficiency Offerings - PR Newswire,text/html,,,"<a href=""https://news.google.com/rss/articles/CBMibmh0dHBzOi8vd3d3LnBybmV3c3dpcmUuY29tL25ld3MtcmVsZWFzZXMvamNwbC1wcm9wb3Nlcy1leHBhbnNpb24tb2YtZW5lcmd5LWVmZmljaWVuY3ktb2ZmZXJpbmdzLTMwMjAwNTE1Ny5odG1s0gEA?oc=5"" target=""_blank"">JCP&amp;L Proposes Expansion of Energy Efficiency Offerings</a>&nbsp;&nbsp;<font color=""#6f6f6f"">PR Newswire</font>",https://www.prnewswire.com,PR Newswire,"https://news.google.com/rss/search?q=""Energy Efficiency"" ""new products""+after:2023-12-01+before:2023-12-31"
Tight Envelope Air Sealing With Aerobarrier Drives Energy Efficiency and More - Pro Builder,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://news.google.com/rss/articles/CBMiY2h0dHBzOi8vd3d3LnByb2J1aWxkZXIuY29tL3RpZ2h0LWVudmVsb3BlLWFpci1zZWFsaW5nLWFlcm9iYXJyaWVyLWRyaXZlcy1lbmVyZ3ktZWZmaWNpZW5jeS1hbmQtbW9yZdIBAA?oc=5'}]",https://news.google.com/rss/articles/CBMiY2h0dHBzOi8vd3d3LnByb2J1aWxkZXIuY29tL3RpZ2h0LWVudmVsb3BlLWFpci1zZWFsaW5nLWFlcm9iYXJyaWVyLWRyaXZlcy1lbmVyZ3ktZWZmaWNpZW5jeS1hbmQtbW9yZdIBAA?oc=5,CBMiY2h0dHBzOi8vd3d3LnByb2J1aWxkZXIuY29tL3RpZ2h0LWVudmVsb3BlLWFpci1zZWFsaW5nLWFlcm9iYXJyaWVyLWRyaXZlcy1lbmVyZ3ktZWZmaWNpZW5jeS1hbmQtbW9yZdIBAA,False,"Mon, 11 Dec 2023 08:00:00 GMT","time.struct_time(tm_year=2023, tm_mon=12, tm_mday=11, tm_hour=8, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=345, tm_isdst=0)","<a href=""https://news.google.com/rss/articles/CBMiY2h0dHBzOi8vd3d3LnByb2J1aWxkZXIuY29tL3RpZ2h0LWVudmVsb3BlLWFpci1zZWFsaW5nLWFlcm9iYXJyaWVyLWRyaXZlcy1lbmVyZ3ktZWZmaWNpZW5jeS1hbmQtbW9yZdIBAA?oc=5"" target=""_blank"">Tight Envelope Air Sealing With Aerobarrier Drives Energy Efficiency and More</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Pro Builder</font>",text/plain,,,Tight Envelope Air Sealing With Aerobarrier Drives Energy Efficiency and More - Pro Builder,text/html,,,"<a href=""https://news.google.com/rss/articles/CBMiY2h0dHBzOi8vd3d3LnByb2J1aWxkZXIuY29tL3RpZ2h0LWVudmVsb3BlLWFpci1zZWFsaW5nLWFlcm9iYXJyaWVyLWRyaXZlcy1lbmVyZ3ktZWZmaWNpZW5jeS1hbmQtbW9yZdIBAA?oc=5"" target=""_blank"">Tight Envelope Air Sealing With Aerobarrier Drives Energy Efficiency and More</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Pro Builder</font>",https://www.probuilder.com,Pro Builder,"https://news.google.com/rss/search?q=""Energy Efficiency"" ""new products""+after:2023-12-01+before:2023-12-31"
Achieve Energy Efficiency Goals with Innovative Lighting Controls - ARCHITECT Magazine,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://news.google.com/rss/articles/CBMibGh0dHBzOi8vd3d3LmFyY2hpdGVjdG1hZ2F6aW5lLmNvbS9EZXNpZ24vYWNoaWV2ZS1lbmVyZ3ktZWZmaWNpZW5jeS1nb2Fscy13aXRoLWlubm92YXRpdmUtbGlnaHRpbmctY29udHJvbHNfb9IBAA?oc=5'}]",https://news.google.com/rss/articles/CBMibGh0dHBzOi8vd3d3LmFyY2hpdGVjdG1hZ2F6aW5lLmNvbS9EZXNpZ24vYWNoaWV2ZS1lbmVyZ3ktZWZmaWNpZW5jeS1nb2Fscy13aXRoLWlubm92YXRpdmUtbGlnaHRpbmctY29udHJvbHNfb9IBAA?oc=5,CBMibGh0dHBzOi8vd3d3LmFyY2hpdGVjdG1hZ2F6aW5lLmNvbS9EZXNpZ24vYWNoaWV2ZS1lbmVyZ3ktZWZmaWNpZW5jeS1nb2Fscy13aXRoLWlubm92YXRpdmUtbGlnaHRpbmctY29udHJvbHNfb9IBAA,False,"Tue, 26 Dec 2023 16:31:52 GMT","time.struct_time(tm_year=2023, tm_mon=12, tm_mday=26, tm_hour=16, tm_min=31, tm_sec=52, tm_wday=1, tm_yday=360, tm_isdst=0)","<a href=""https://news.google.com/rss/articles/CBMibGh0dHBzOi8vd3d3LmFyY2hpdGVjdG1hZ2F6aW5lLmNvbS9EZXNpZ24vYWNoaWV2ZS1lbmVyZ3ktZWZmaWNpZW5jeS1nb2Fscy13aXRoLWlubm92YXRpdmUtbGlnaHRpbmctY29udHJvbHNfb9IBAA?oc=5"" target=""_blank"">Achieve Energy Efficiency Goals with Innovative Lighting Controls</a>&nbsp;&nbsp;<font color=""#6f6f6f"">ARCHITECT Magazine</font>",text/plain,,,Achieve Energy Efficiency Goals with Innovative Lighting Controls - ARCHITECT Magazine,text/html,,,"<a href=""https://news.google.com/rss/articles/CBMibGh0dHBzOi8vd3d3LmFyY2hpdGVjdG1hZ2F6aW5lLmNvbS9EZXNpZ24vYWNoaWV2ZS1lbmVyZ3ktZWZmaWNpZW5jeS1nb2Fscy13aXRoLWlubm92YXRpdmUtbGlnaHRpbmctY29udHJvbHNfb9IBAA?oc=5"" target=""_blank"">Achieve Energy Efficiency Goals with Innovative Lighting Controls</a>&nbsp;&nbsp;<font color=""#6f6f6f"">ARCHITECT Magazine</font>",https://www.architectmagazine.com,ARCHITECT Magazine,"https://news.google.com/rss/search?q=""Energy Efficiency"" ""new products""+after:2023-12-01+before:2023-12-31"
LDI 2023 New Technology Breakfast – Lights & Lasers - Live Design,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://news.google.com/rss/articles/CBMiWWh0dHBzOi8vd3d3LmxpdmVkZXNpZ25vbmxpbmUuY29tL25ld3MvbGRpLTIwMjMtbmV3LXRlY2hub2xvZ3ktYnJlYWtmYXN0LWxpZ2h0cy1hbmQtbGFzZXJz0gEA?oc=5'}]",https://news.google.com/rss/articles/CBMiWWh0dHBzOi8vd3d3LmxpdmVkZXNpZ25vbmxpbmUuY29tL25ld3MvbGRpLTIwMjMtbmV3LXRlY2hub2xvZ3ktYnJlYWtmYXN0LWxpZ2h0cy1hbmQtbGFzZXJz0gEA?oc=5,CBMiWWh0dHBzOi8vd3d3LmxpdmVkZXNpZ25vbmxpbmUuY29tL25ld3MvbGRpLTIwMjMtbmV3LXRlY2hub2xvZ3ktYnJlYWtmYXN0LWxpZ2h0cy1hbmQtbGFzZXJz0gEA,False,"Sun, 03 Dec 2023 08:00:00 GMT","time.struct_time(tm_year=2023, tm_mon=12, tm_mday=3, tm_hour=8, tm_min=0, tm_sec=0, tm_wday=6, tm_yday=337, tm_isdst=0)","<a href=""https://news.google.com/rss/articles/CBMiWWh0dHBzOi8vd3d3LmxpdmVkZXNpZ25vbmxpbmUuY29tL25ld3MvbGRpLTIwMjMtbmV3LXRlY2hub2xvZ3ktYnJlYWtmYXN0LWxpZ2h0cy1hbmQtbGFzZXJz0gEA?oc=5"" target=""_blank"">LDI 2023 New Technology Breakfast – Lights & Lasers</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Live Design</font>",text/plain,,,LDI 2023 New Technology Breakfast – Lights & Lasers - Live Design,text/html,,,"<a href=""https://news.google.com/rss/articles/CBMiWWh0dHBzOi8vd3d3LmxpdmVkZXNpZ25vbmxpbmUuY29tL25ld3MvbGRpLTIwMjMtbmV3LXRlY2hub2xvZ3ktYnJlYWtmYXN0LWxpZ2h0cy1hbmQtbGFzZXJz0gEA?oc=5"" target=""_blank"">LDI 2023 New Technology Breakfast – Lights & Lasers</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Live Design</font>",https://www.livedesignonline.com,Live Design,"https://news.google.com/rss/search?q=""Energy Efficiency"" ""new products""+after:2023-12-01+before:2023-12-31"
Advanced Semiconductors and Contribution to a More Sustainable Future - Renesas,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://news.google.com/rss/articles/CBMiZGh0dHBzOi8vd3d3LnJlbmVzYXMuY29tL3VzL2VuL2Jsb2dzL2FkdmFuY2VkLXNlbWljb25kdWN0b3JzLWFuZC1jb250cmlidXRpb24tbW9yZS1zdXN0YWluYWJsZS1mdXR1cmXSAQA?oc=5'}]",https://news.google.com/rss/articles/CBMiZGh0dHBzOi8vd3d3LnJlbmVzYXMuY29tL3VzL2VuL2Jsb2dzL2FkdmFuY2VkLXNlbWljb25kdWN0b3JzLWFuZC1jb250cmlidXRpb24tbW9yZS1zdXN0YWluYWJsZS1mdXR1cmXSAQA?oc=5,CBMiZGh0dHBzOi8vd3d3LnJlbmVzYXMuY29tL3VzL2VuL2Jsb2dzL2FkdmFuY2VkLXNlbWljb25kdWN0b3JzLWFuZC1jb250cmlidXRpb24tbW9yZS1zdXN0YWluYWJsZS1mdXR1cmXSAQA,False,"Sat, 16 Dec 2023 08:00:00 GMT","time.struct_time(tm_year=2023, tm_mon=12, tm_mday=16, tm_hour=8, tm_min=0, tm_sec=0, tm_wday=5, tm_yday=350, tm_isdst=0)","<a href=""https://news.google.com/rss/articles/CBMiZGh0dHBzOi8vd3d3LnJlbmVzYXMuY29tL3VzL2VuL2Jsb2dzL2FkdmFuY2VkLXNlbWljb25kdWN0b3JzLWFuZC1jb250cmlidXRpb24tbW9yZS1zdXN0YWluYWJsZS1mdXR1cmXSAQA?oc=5"" target=""_blank"">Advanced Semiconductors and Contribution to a More Sustainable Future</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Renesas</font>",text/plain,,,Advanced Semiconductors and Contribution to a More Sustainable Future - Renesas,text/html,,,"<a href=""https://news.google.com/rss/articles/CBMiZGh0dHBzOi8vd3d3LnJlbmVzYXMuY29tL3VzL2VuL2Jsb2dzL2FkdmFuY2VkLXNlbWljb25kdWN0b3JzLWFuZC1jb250cmlidXRpb24tbW9yZS1zdXN0YWluYWJsZS1mdXR1cmXSAQA?oc=5"" target=""_blank"">Advanced Semiconductors and Contribution to a More Sustainable Future</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Renesas</font>",https://www.renesas.com,Renesas,"https://news.google.com/rss/search?q=""Energy Efficiency"" ""new products""+after:2023-12-01+before:2023-12-31"
These 10 Sustainable Home Technologies Will Change the Way We Live - Family Handyman,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://news.google.com/rss/articles/CBMiZGh0dHBzOi8vd3d3LmZhbWlseWhhbmR5bWFuLmNvbS9saXN0L3RoZXNlLXN1c3RhaW5hYmxlLWhvbWUtdGVjaG5vbG9naWVzLXdpbGwtY2hhbmdlLXRoZS13YXktd2UtbGl2ZS_SAQA?oc=5'}]",https://news.google.com/rss/articles/CBMiZGh0dHBzOi8vd3d3LmZhbWlseWhhbmR5bWFuLmNvbS9saXN0L3RoZXNlLXN1c3RhaW5hYmxlLWhvbWUtdGVjaG5vbG9naWVzLXdpbGwtY2hhbmdlLXRoZS13YXktd2UtbGl2ZS_SAQA?oc=5,CBMiZGh0dHBzOi8vd3d3LmZhbWlseWhhbmR5bWFuLmNvbS9saXN0L3RoZXNlLXN1c3RhaW5hYmxlLWhvbWUtdGVjaG5vbG9naWVzLXdpbGwtY2hhbmdlLXRoZS13YXktd2UtbGl2ZS_SAQA,False,"Fri, 15 Dec 2023 08:00:00 GMT","time.struct_time(tm_year=2023, tm_mon=12, tm_mday=15, tm_hour=8, tm_min=0, tm_sec=0, tm_wday=4, tm_yday=349, tm_isdst=0)","<a href=""https://news.google.com/rss/articles/CBMiZGh0dHBzOi8vd3d3LmZhbWlseWhhbmR5bWFuLmNvbS9saXN0L3RoZXNlLXN1c3RhaW5hYmxlLWhvbWUtdGVjaG5vbG9naWVzLXdpbGwtY2hhbmdlLXRoZS13YXktd2UtbGl2ZS_SAQA?oc=5"" target=""_blank"">These 10 Sustainable Home Technologies Will Change the Way We Live</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Family Handyman</font>",text/plain,,,These 10 Sustainable Home Technologies Will Change the Way We Live - Family Handyman,text/html,,,"<a href=""https://news.google.com/rss/articles/CBMiZGh0dHBzOi8vd3d3LmZhbWlseWhhbmR5bWFuLmNvbS9saXN0L3RoZXNlLXN1c3RhaW5hYmxlLWhvbWUtdGVjaG5vbG9naWVzLXdpbGwtY2hhbmdlLXRoZS13YXktd2UtbGl2ZS_SAQA?oc=5"" target=""_blank"">These 10 Sustainable Home Technologies Will Change the Way We Live</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Family Handyman</font>",https://www.familyhandyman.com,Family Handyman,"https://news.google.com/rss/search?q=""Energy Efficiency"" ""new products""+after:2023-12-01+before:2023-12-31"
AMD releases new chips to power faster AI training - The Verge,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://news.google.com/rss/articles/CBMiTWh0dHBzOi8vd3d3LnRoZXZlcmdlLmNvbS8yMDIzLzEyLzYvMjM5OTExMTMvYW1kLWFpLW1pMzAwLWNoaXBzLWdlbmVyYXRpdmUtZ3B10gEA?oc=5'}]",https://news.google.com/rss/articles/CBMiTWh0dHBzOi8vd3d3LnRoZXZlcmdlLmNvbS8yMDIzLzEyLzYvMjM5OTExMTMvYW1kLWFpLW1pMzAwLWNoaXBzLWdlbmVyYXRpdmUtZ3B10gEA?oc=5,CBMiTWh0dHBzOi8vd3d3LnRoZXZlcmdlLmNvbS8yMDIzLzEyLzYvMjM5OTExMTMvYW1kLWFpLW1pMzAwLWNoaXBzLWdlbmVyYXRpdmUtZ3B10gEA,False,"Wed, 06 Dec 2023 08:00:00 GMT","time.struct_time(tm_year=2023, tm_mon=12, tm_mday=6, tm_hour=8, tm_min=0, tm_sec=0, tm_wday=2, tm_yday=340, tm_isdst=0)","<a href=""https://news.google.com/rss/articles/CBMiTWh0dHBzOi8vd3d3LnRoZXZlcmdlLmNvbS8yMDIzLzEyLzYvMjM5OTExMTMvYW1kLWFpLW1pMzAwLWNoaXBzLWdlbmVyYXRpdmUtZ3B10gEA?oc=5"" target=""_blank"">AMD releases new chips to power faster AI training</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Verge</font>",text/plain,,,AMD releases new chips to power faster AI training - The Verge,text/html,,,"<a href=""https://news.google.com/rss/articles/CBMiTWh0dHBzOi8vd3d3LnRoZXZlcmdlLmNvbS8yMDIzLzEyLzYvMjM5OTExMTMvYW1kLWFpLW1pMzAwLWNoaXBzLWdlbmVyYXRpdmUtZ3B10gEA?oc=5"" target=""_blank"">AMD releases new chips to power faster AI training</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Verge</font>",https://www.theverge.com,The Verge,"https://news.google.com/rss/search?q=""Energy Efficiency"" ""new products""+after:2023-12-01+before:2023-12-31"
2024 oil and gas industry outlook - Deloitte,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://news.google.com/rss/articles/CBMiX2h0dHBzOi8vd3d3Mi5kZWxvaXR0ZS5jb20vdXMvZW4vaW5zaWdodHMvaW5kdXN0cnkvb2lsLWFuZC1nYXMvb2lsLWFuZC1nYXMtaW5kdXN0cnktb3V0bG9vay5odG1s0gEA?oc=5'}]",https://news.google.com/rss/articles/CBMiX2h0dHBzOi8vd3d3Mi5kZWxvaXR0ZS5jb20vdXMvZW4vaW5zaWdodHMvaW5kdXN0cnkvb2lsLWFuZC1nYXMvb2lsLWFuZC1nYXMtaW5kdXN0cnktb3V0bG9vay5odG1s0gEA?oc=5,CBMiX2h0dHBzOi8vd3d3Mi5kZWxvaXR0ZS5jb20vdXMvZW4vaW5zaWdodHMvaW5kdXN0cnkvb2lsLWFuZC1nYXMvb2lsLWFuZC1nYXMtaW5kdXN0cnktb3V0bG9vay5odG1s0gEA,False,"Fri, 01 Dec 2023 08:00:00 GMT","time.struct_time(tm_year=2023, tm_mon=12, tm_mday=1, tm_hour=8, tm_min=0, tm_sec=0, tm_wday=4, tm_yday=335, tm_isdst=0)","<a href=""https://news.google.com/rss/articles/CBMiX2h0dHBzOi8vd3d3Mi5kZWxvaXR0ZS5jb20vdXMvZW4vaW5zaWdodHMvaW5kdXN0cnkvb2lsLWFuZC1nYXMvb2lsLWFuZC1nYXMtaW5kdXN0cnktb3V0bG9vay5odG1s0gEA?oc=5"" target=""_blank"">2024 oil and gas industry outlook</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Deloitte</font>",text/plain,,,2024 oil and gas industry outlook - Deloitte,text/html,,,"<a href=""https://news.google.com/rss/articles/CBMiX2h0dHBzOi8vd3d3Mi5kZWxvaXR0ZS5jb20vdXMvZW4vaW5zaWdodHMvaW5kdXN0cnkvb2lsLWFuZC1nYXMvb2lsLWFuZC1nYXMtaW5kdXN0cnktb3V0bG9vay5odG1s0gEA?oc=5"" target=""_blank"">2024 oil and gas industry outlook</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Deloitte</font>",https://www2.deloitte.com,Deloitte,"https://news.google.com/rss/search?q=""Energy Efficiency"" ""new products""+after:2023-12-01+before:2023-12-31"
How Young Entrepreneurs are Shaping a New Business Landscape in Djibouti - World Bank Group,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://news.google.com/rss/articles/CBMifWh0dHBzOi8vd3d3LndvcmxkYmFuay5vcmcvZW4vbmV3cy9mZWF0dXJlLzIwMjMvMTIvMjAvaG93LXlvdW5nLWVudHJlcHJlbmV1cnMtYXJlLXNoYXBpbmctYS1uZXctYnVzaW5lc3MtbGFuZHNjYXBlLWluLWRqaWJvdXRp0gEA?oc=5'}]",https://news.google.com/rss/articles/CBMifWh0dHBzOi8vd3d3LndvcmxkYmFuay5vcmcvZW4vbmV3cy9mZWF0dXJlLzIwMjMvMTIvMjAvaG93LXlvdW5nLWVudHJlcHJlbmV1cnMtYXJlLXNoYXBpbmctYS1uZXctYnVzaW5lc3MtbGFuZHNjYXBlLWluLWRqaWJvdXRp0gEA?oc=5,CBMifWh0dHBzOi8vd3d3LndvcmxkYmFuay5vcmcvZW4vbmV3cy9mZWF0dXJlLzIwMjMvMTIvMjAvaG93LXlvdW5nLWVudHJlcHJlbmV1cnMtYXJlLXNoYXBpbmctYS1uZXctYnVzaW5lc3MtbGFuZHNjYXBlLWluLWRqaWJvdXRp0gEA,False,"Wed, 20 Dec 2023 08:00:00 GMT","time.struct_time(tm_year=2023, tm_mon=12, tm_mday=20, tm_hour=8, tm_min=0, tm_sec=0, tm_wday=2, tm_yday=354, tm_isdst=0)","<a href=""https://news.google.com/rss/articles/CBMifWh0dHBzOi8vd3d3LndvcmxkYmFuay5vcmcvZW4vbmV3cy9mZWF0dXJlLzIwMjMvMTIvMjAvaG93LXlvdW5nLWVudHJlcHJlbmV1cnMtYXJlLXNoYXBpbmctYS1uZXctYnVzaW5lc3MtbGFuZHNjYXBlLWluLWRqaWJvdXRp0gEA?oc=5"" target=""_blank"">How Young Entrepreneurs are Shaping a New Business Landscape in Djibouti</a>&nbsp;&nbsp;<font color=""#6f6f6f"">World Bank Group</font>",text/plain,,,How Young Entrepreneurs are Shaping a New Business Landscape in Djibouti - World Bank Group,text/html,,,"<a href=""https://news.google.com/rss/articles/CBMifWh0dHBzOi8vd3d3LndvcmxkYmFuay5vcmcvZW4vbmV3cy9mZWF0dXJlLzIwMjMvMTIvMjAvaG93LXlvdW5nLWVudHJlcHJlbmV1cnMtYXJlLXNoYXBpbmctYS1uZXctYnVzaW5lc3MtbGFuZHNjYXBlLWluLWRqaWJvdXRp0gEA?oc=5"" target=""_blank"">How Young Entrepreneurs are Shaping a New Business Landscape in Djibouti</a>&nbsp;&nbsp;<font color=""#6f6f6f"">World Bank Group</font>",https://www.worldbank.org,World Bank Group,"https://news.google.com/rss/search?q=""Energy Efficiency"" ""new products""+after:2023-12-01+before:2023-12-31"
RAN Energy Savings Begin in the Radio - Mobile World Live,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://news.google.com/rss/articles/CBMiRmh0dHBzOi8vd3d3Lm1vYmlsZXdvcmxkbGl2ZS5jb20vcmFuLWVuZXJneS1zYXZpbmdzLWJlZ2luLWluLXRoZS1yYWRpby_SAQA?oc=5'}]",https://news.google.com/rss/articles/CBMiRmh0dHBzOi8vd3d3Lm1vYmlsZXdvcmxkbGl2ZS5jb20vcmFuLWVuZXJneS1zYXZpbmdzLWJlZ2luLWluLXRoZS1yYWRpby_SAQA?oc=5,CBMiRmh0dHBzOi8vd3d3Lm1vYmlsZXdvcmxkbGl2ZS5jb20vcmFuLWVuZXJneS1zYXZpbmdzLWJlZ2luLWluLXRoZS1yYWRpby_SAQA,False,"Wed, 13 Dec 2023 08:00:00 GMT","time.struct_time(tm_year=2023, tm_mon=12, tm_mday=13, tm_hour=8, tm_min=0, tm_sec=0, tm_wday=2, tm_yday=347, tm_isdst=0)","<a href=""https://news.google.com/rss/articles/CBMiRmh0dHBzOi8vd3d3Lm1vYmlsZXdvcmxkbGl2ZS5jb20vcmFuLWVuZXJneS1zYXZpbmdzLWJlZ2luLWluLXRoZS1yYWRpby_SAQA?oc=5"" target=""_blank"">RAN Energy Savings Begin in the Radio</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Mobile World Live</font>",text/plain,,,RAN Energy Savings Begin in the Radio - Mobile World Live,text/html,,,"<a href=""https://news.google.com/rss/articles/CBMiRmh0dHBzOi8vd3d3Lm1vYmlsZXdvcmxkbGl2ZS5jb20vcmFuLWVuZXJneS1zYXZpbmdzLWJlZ2luLWluLXRoZS1yYWRpby_SAQA?oc=5"" target=""_blank"">RAN Energy Savings Begin in the Radio</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Mobile World Live</font>",https://www.mobileworldlive.com,Mobile World Live,"https://news.google.com/rss/search?q=""Energy Efficiency"" ""new products""+after:2023-12-01+before:2023-12-31"
