title,links,link,id,guidislink,published,published_parsed,summary,title_detail.type,title_detail.language,title_detail.base,title_detail.value,summary_detail.type,summary_detail.language,summary_detail.base,summary_detail.value,source.href,source.title,query
Philips forms strategic collaborations with industry leaders to inspire action toward net-zero healthcare - Philips,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://news.google.com/rss/articles/CBMiwgFodHRwczovL3d3dy5waGlsaXBzLmNvbS9hLXcvYWJvdXQvbmV3cy9hcmNoaXZlL3N0YW5kYXJkL25ld3MvYXJ0aWNsZXMvMjAyMy8yMDIzMDIyOC1waGlsaXBzLWZvcm1zLXN0cmF0ZWdpYy1jb2xsYWJvcmF0aW9ucy13aXRoLWluZHVzdHJ5LWxlYWRlcnMtdG8taW5zcGlyZS1hY3Rpb24tdG93YXJkLW5ldC16ZXJvLWhlYWx0aGNhcmUuaHRtbNIBAA?oc=5'}]",https://news.google.com/rss/articles/CBMiwgFodHRwczovL3d3dy5waGlsaXBzLmNvbS9hLXcvYWJvdXQvbmV3cy9hcmNoaXZlL3N0YW5kYXJkL25ld3MvYXJ0aWNsZXMvMjAyMy8yMDIzMDIyOC1waGlsaXBzLWZvcm1zLXN0cmF0ZWdpYy1jb2xsYWJvcmF0aW9ucy13aXRoLWluZHVzdHJ5LWxlYWRlcnMtdG8taW5zcGlyZS1hY3Rpb24tdG93YXJkLW5ldC16ZXJvLWhlYWx0aGNhcmUuaHRtbNIBAA?oc=5,CBMiwgFodHRwczovL3d3dy5waGlsaXBzLmNvbS9hLXcvYWJvdXQvbmV3cy9hcmNoaXZlL3N0YW5kYXJkL25ld3MvYXJ0aWNsZXMvMjAyMy8yMDIzMDIyOC1waGlsaXBzLWZvcm1zLXN0cmF0ZWdpYy1jb2xsYWJvcmF0aW9ucy13aXRoLWluZHVzdHJ5LWxlYWRlcnMtdG8taW5zcGlyZS1hY3Rpb24tdG93YXJkLW5ldC16ZXJvLWhlYWx0aGNhcmUuaHRtbNIBAA,False,"Tue, 28 Feb 2023 08:00:00 GMT","time.struct_time(tm_year=2023, tm_mon=2, tm_mday=28, tm_hour=8, tm_min=0, tm_sec=0, tm_wday=1, tm_yday=59, tm_isdst=0)","<a href=""https://news.google.com/rss/articles/CBMiwgFodHRwczovL3d3dy5waGlsaXBzLmNvbS9hLXcvYWJvdXQvbmV3cy9hcmNoaXZlL3N0YW5kYXJkL25ld3MvYXJ0aWNsZXMvMjAyMy8yMDIzMDIyOC1waGlsaXBzLWZvcm1zLXN0cmF0ZWdpYy1jb2xsYWJvcmF0aW9ucy13aXRoLWluZHVzdHJ5LWxlYWRlcnMtdG8taW5zcGlyZS1hY3Rpb24tdG93YXJkLW5ldC16ZXJvLWhlYWx0aGNhcmUuaHRtbNIBAA?oc=5"" target=""_blank"">Philips forms strategic collaborations with industry leaders to inspire action toward net-zero healthcare</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Philips</font>",text/plain,,,Philips forms strategic collaborations with industry leaders to inspire action toward net-zero healthcare - Philips,text/html,,,"<a href=""https://news.google.com/rss/articles/CBMiwgFodHRwczovL3d3dy5waGlsaXBzLmNvbS9hLXcvYWJvdXQvbmV3cy9hcmNoaXZlL3N0YW5kYXJkL25ld3MvYXJ0aWNsZXMvMjAyMy8yMDIzMDIyOC1waGlsaXBzLWZvcm1zLXN0cmF0ZWdpYy1jb2xsYWJvcmF0aW9ucy13aXRoLWluZHVzdHJ5LWxlYWRlcnMtdG8taW5zcGlyZS1hY3Rpb24tdG93YXJkLW5ldC16ZXJvLWhlYWx0aGNhcmUuaHRtbNIBAA?oc=5"" target=""_blank"">Philips forms strategic collaborations with industry leaders to inspire action toward net-zero healthcare</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Philips</font>",https://www.philips.com,Philips,"https://news.google.com/rss/search?q=""Environmental Impact"" ""new products""+after:2023-02-01+before:2023-02-28"
"Is frozen fish better for the environment than fresh? It's complicated, Birds Eye parent warns - IntraFish","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://news.google.com/rss/articles/CBMikAFodHRwczovL3d3dy5pbnRyYWZpc2guY29tL3N1c3RhaW5hYmlsaXR5L2lzLWZyb3plbi1maXNoLWJldHRlci1mb3ItdGhlLWVudmlyb25tZW50LXRoYW4tZnJlc2gtaXRzLWNvbXBsaWNhdGVkLWJpcmRzLWV5ZS1wYXJlbnQtd2FybnMvMi0xLTE0MDAxMjjSAQA?oc=5'}]",https://news.google.com/rss/articles/CBMikAFodHRwczovL3d3dy5pbnRyYWZpc2guY29tL3N1c3RhaW5hYmlsaXR5L2lzLWZyb3plbi1maXNoLWJldHRlci1mb3ItdGhlLWVudmlyb25tZW50LXRoYW4tZnJlc2gtaXRzLWNvbXBsaWNhdGVkLWJpcmRzLWV5ZS1wYXJlbnQtd2FybnMvMi0xLTE0MDAxMjjSAQA?oc=5,CBMikAFodHRwczovL3d3dy5pbnRyYWZpc2guY29tL3N1c3RhaW5hYmlsaXR5L2lzLWZyb3plbi1maXNoLWJldHRlci1mb3ItdGhlLWVudmlyb25tZW50LXRoYW4tZnJlc2gtaXRzLWNvbXBsaWNhdGVkLWJpcmRzLWV5ZS1wYXJlbnQtd2FybnMvMi0xLTE0MDAxMjjSAQA,False,"Sun, 12 Feb 2023 08:00:00 GMT","time.struct_time(tm_year=2023, tm_mon=2, tm_mday=12, tm_hour=8, tm_min=0, tm_sec=0, tm_wday=6, tm_yday=43, tm_isdst=0)","<a href=""https://news.google.com/rss/articles/CBMikAFodHRwczovL3d3dy5pbnRyYWZpc2guY29tL3N1c3RhaW5hYmlsaXR5L2lzLWZyb3plbi1maXNoLWJldHRlci1mb3ItdGhlLWVudmlyb25tZW50LXRoYW4tZnJlc2gtaXRzLWNvbXBsaWNhdGVkLWJpcmRzLWV5ZS1wYXJlbnQtd2FybnMvMi0xLTE0MDAxMjjSAQA?oc=5"" target=""_blank"">Is frozen fish better for the environment than fresh? It's complicated, Birds Eye parent warns</a>&nbsp;&nbsp;<font color=""#6f6f6f"">IntraFish</font>",text/plain,,,"Is frozen fish better for the environment than fresh? It's complicated, Birds Eye parent warns - IntraFish",text/html,,,"<a href=""https://news.google.com/rss/articles/CBMikAFodHRwczovL3d3dy5pbnRyYWZpc2guY29tL3N1c3RhaW5hYmlsaXR5L2lzLWZyb3plbi1maXNoLWJldHRlci1mb3ItdGhlLWVudmlyb25tZW50LXRoYW4tZnJlc2gtaXRzLWNvbXBsaWNhdGVkLWJpcmRzLWV5ZS1wYXJlbnQtd2FybnMvMi0xLTE0MDAxMjjSAQA?oc=5"" target=""_blank"">Is frozen fish better for the environment than fresh? It's complicated, Birds Eye parent warns</a>&nbsp;&nbsp;<font color=""#6f6f6f"">IntraFish</font>",https://www.intrafish.com,IntraFish,"https://news.google.com/rss/search?q=""Environmental Impact"" ""new products""+after:2023-02-01+before:2023-02-28"
What is greenwashing? - Population Matters,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://news.google.com/rss/articles/CBMiQGh0dHBzOi8vcG9wdWxhdGlvbm1hdHRlcnMub3JnL25ld3MvMjAyMy8wMi93aGF0LWlzLWdyZWVud2FzaGluZy_SAQA?oc=5'}]",https://news.google.com/rss/articles/CBMiQGh0dHBzOi8vcG9wdWxhdGlvbm1hdHRlcnMub3JnL25ld3MvMjAyMy8wMi93aGF0LWlzLWdyZWVud2FzaGluZy_SAQA?oc=5,CBMiQGh0dHBzOi8vcG9wdWxhdGlvbm1hdHRlcnMub3JnL25ld3MvMjAyMy8wMi93aGF0LWlzLWdyZWVud2FzaGluZy_SAQA,False,"Fri, 24 Feb 2023 08:00:00 GMT","time.struct_time(tm_year=2023, tm_mon=2, tm_mday=24, tm_hour=8, tm_min=0, tm_sec=0, tm_wday=4, tm_yday=55, tm_isdst=0)","<a href=""https://news.google.com/rss/articles/CBMiQGh0dHBzOi8vcG9wdWxhdGlvbm1hdHRlcnMub3JnL25ld3MvMjAyMy8wMi93aGF0LWlzLWdyZWVud2FzaGluZy_SAQA?oc=5"" target=""_blank"">What is greenwashing?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Population Matters</font>",text/plain,,,What is greenwashing? - Population Matters,text/html,,,"<a href=""https://news.google.com/rss/articles/CBMiQGh0dHBzOi8vcG9wdWxhdGlvbm1hdHRlcnMub3JnL25ld3MvMjAyMy8wMi93aGF0LWlzLWdyZWVud2FzaGluZy_SAQA?oc=5"" target=""_blank"">What is greenwashing?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Population Matters</font>",https://populationmatters.org,Population Matters,"https://news.google.com/rss/search?q=""Environmental Impact"" ""new products""+after:2023-02-01+before:2023-02-28"
Running Shoes are Part of an Environmental Crisis. Is Change Coming? - Trail Runner Magazine,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://news.google.com/rss/articles/CBMieGh0dHBzOi8vd3d3LnRyYWlscnVubmVybWFnLmNvbS9wZW9wbGUvY3VsdHVyZS1wZW9wbGUvcnVubmluZy1zaG9lcy1hcmUtcGFydC1vZi1hbi1lbnZpcm9ubWVudGFsLWNyaXNpcy1pcy1jaGFuZ2UtY29taW5nL9IBAA?oc=5'}]",https://news.google.com/rss/articles/CBMieGh0dHBzOi8vd3d3LnRyYWlscnVubmVybWFnLmNvbS9wZW9wbGUvY3VsdHVyZS1wZW9wbGUvcnVubmluZy1zaG9lcy1hcmUtcGFydC1vZi1hbi1lbnZpcm9ubWVudGFsLWNyaXNpcy1pcy1jaGFuZ2UtY29taW5nL9IBAA?oc=5,CBMieGh0dHBzOi8vd3d3LnRyYWlscnVubmVybWFnLmNvbS9wZW9wbGUvY3VsdHVyZS1wZW9wbGUvcnVubmluZy1zaG9lcy1hcmUtcGFydC1vZi1hbi1lbnZpcm9ubWVudGFsLWNyaXNpcy1pcy1jaGFuZ2UtY29taW5nL9IBAA,False,"Mon, 13 Feb 2023 08:00:00 GMT","time.struct_time(tm_year=2023, tm_mon=2, tm_mday=13, tm_hour=8, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=44, tm_isdst=0)","<a href=""https://news.google.com/rss/articles/CBMieGh0dHBzOi8vd3d3LnRyYWlscnVubmVybWFnLmNvbS9wZW9wbGUvY3VsdHVyZS1wZW9wbGUvcnVubmluZy1zaG9lcy1hcmUtcGFydC1vZi1hbi1lbnZpcm9ubWVudGFsLWNyaXNpcy1pcy1jaGFuZ2UtY29taW5nL9IBAA?oc=5"" target=""_blank"">Running Shoes are Part of an Environmental Crisis. Is Change Coming?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Trail Runner Magazine</font>",text/plain,,,Running Shoes are Part of an Environmental Crisis. Is Change Coming? - Trail Runner Magazine,text/html,,,"<a href=""https://news.google.com/rss/articles/CBMieGh0dHBzOi8vd3d3LnRyYWlscnVubmVybWFnLmNvbS9wZW9wbGUvY3VsdHVyZS1wZW9wbGUvcnVubmluZy1zaG9lcy1hcmUtcGFydC1vZi1hbi1lbnZpcm9ubWVudGFsLWNyaXNpcy1pcy1jaGFuZ2UtY29taW5nL9IBAA?oc=5"" target=""_blank"">Running Shoes are Part of an Environmental Crisis. Is Change Coming?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Trail Runner Magazine</font>",https://www.trailrunnermag.com,Trail Runner Magazine,"https://news.google.com/rss/search?q=""Environmental Impact"" ""new products""+after:2023-02-01+before:2023-02-28"
Circular economy - Economist Impact,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://news.google.com/rss/articles/CBMiPWh0dHBzOi8vaW1wYWN0LmVjb25vbWlzdC5jb20vcHJvamVjdHMvY2lzY28tY2lyY3VsYXItZWNvbm9teS_SAQA?oc=5'}]",https://news.google.com/rss/articles/CBMiPWh0dHBzOi8vaW1wYWN0LmVjb25vbWlzdC5jb20vcHJvamVjdHMvY2lzY28tY2lyY3VsYXItZWNvbm9teS_SAQA?oc=5,CBMiPWh0dHBzOi8vaW1wYWN0LmVjb25vbWlzdC5jb20vcHJvamVjdHMvY2lzY28tY2lyY3VsYXItZWNvbm9teS_SAQA,False,"Tue, 21 Feb 2023 01:21:08 GMT","time.struct_time(tm_year=2023, tm_mon=2, tm_mday=21, tm_hour=1, tm_min=21, tm_sec=8, tm_wday=1, tm_yday=52, tm_isdst=0)","<a href=""https://news.google.com/rss/articles/CBMiPWh0dHBzOi8vaW1wYWN0LmVjb25vbWlzdC5jb20vcHJvamVjdHMvY2lzY28tY2lyY3VsYXItZWNvbm9teS_SAQA?oc=5"" target=""_blank"">Circular economy</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Economist Impact</font>",text/plain,,,Circular economy - Economist Impact,text/html,,,"<a href=""https://news.google.com/rss/articles/CBMiPWh0dHBzOi8vaW1wYWN0LmVjb25vbWlzdC5jb20vcHJvamVjdHMvY2lzY28tY2lyY3VsYXItZWNvbm9teS_SAQA?oc=5"" target=""_blank"">Circular economy</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Economist Impact</font>",https://impact.economist.com,Economist Impact,"https://news.google.com/rss/search?q=""Environmental Impact"" ""new products""+after:2023-02-01+before:2023-02-28"
Sustainability in Pro AV | AVNetwork - AV Network,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://news.google.com/rss/articles/CBMiN2h0dHBzOi8vd3d3LmF2bmV0d29yay5jb20vbmV3cy9zdXN0YWluYWJpbGl0eS1pbi1wcm8tYXbSAQA?oc=5'}]",https://news.google.com/rss/articles/CBMiN2h0dHBzOi8vd3d3LmF2bmV0d29yay5jb20vbmV3cy9zdXN0YWluYWJpbGl0eS1pbi1wcm8tYXbSAQA?oc=5,CBMiN2h0dHBzOi8vd3d3LmF2bmV0d29yay5jb20vbmV3cy9zdXN0YWluYWJpbGl0eS1pbi1wcm8tYXbSAQA,False,"Thu, 02 Feb 2023 08:00:00 GMT","time.struct_time(tm_year=2023, tm_mon=2, tm_mday=2, tm_hour=8, tm_min=0, tm_sec=0, tm_wday=3, tm_yday=33, tm_isdst=0)","<a href=""https://news.google.com/rss/articles/CBMiN2h0dHBzOi8vd3d3LmF2bmV0d29yay5jb20vbmV3cy9zdXN0YWluYWJpbGl0eS1pbi1wcm8tYXbSAQA?oc=5"" target=""_blank"">Sustainability in Pro AV | AVNetwork</a>&nbsp;&nbsp;<font color=""#6f6f6f"">AV Network</font>",text/plain,,,Sustainability in Pro AV | AVNetwork - AV Network,text/html,,,"<a href=""https://news.google.com/rss/articles/CBMiN2h0dHBzOi8vd3d3LmF2bmV0d29yay5jb20vbmV3cy9zdXN0YWluYWJpbGl0eS1pbi1wcm8tYXbSAQA?oc=5"" target=""_blank"">Sustainability in Pro AV | AVNetwork</a>&nbsp;&nbsp;<font color=""#6f6f6f"">AV Network</font>",https://www.avnetwork.com,AV Network,"https://news.google.com/rss/search?q=""Environmental Impact"" ""new products""+after:2023-02-01+before:2023-02-28"
Unilever Tries Reformulating Its Ice Cream to Survive Warmer Freezers - The Wall Street Journal,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://news.google.com/rss/articles/CBMia2h0dHBzOi8vd3d3Lndzai5jb20vYXJ0aWNsZXMvdW5pbGV2ZXItdHJpZXMtcmVmb3JtdWxhdGluZy1pdHMtaWNlLWNyZWFtLXRvLXN1cnZpdmUtd2FybWVyLWZyZWV6ZXJzLWRkYzdiY2Qw0gEA?oc=5'}]",https://news.google.com/rss/articles/CBMia2h0dHBzOi8vd3d3Lndzai5jb20vYXJ0aWNsZXMvdW5pbGV2ZXItdHJpZXMtcmVmb3JtdWxhdGluZy1pdHMtaWNlLWNyZWFtLXRvLXN1cnZpdmUtd2FybWVyLWZyZWV6ZXJzLWRkYzdiY2Qw0gEA?oc=5,CBMia2h0dHBzOi8vd3d3Lndzai5jb20vYXJ0aWNsZXMvdW5pbGV2ZXItdHJpZXMtcmVmb3JtdWxhdGluZy1pdHMtaWNlLWNyZWFtLXRvLXN1cnZpdmUtd2FybWVyLWZyZWV6ZXJzLWRkYzdiY2Qw0gEA,False,"Wed, 22 Feb 2023 08:00:00 GMT","time.struct_time(tm_year=2023, tm_mon=2, tm_mday=22, tm_hour=8, tm_min=0, tm_sec=0, tm_wday=2, tm_yday=53, tm_isdst=0)","<a href=""https://news.google.com/rss/articles/CBMia2h0dHBzOi8vd3d3Lndzai5jb20vYXJ0aWNsZXMvdW5pbGV2ZXItdHJpZXMtcmVmb3JtdWxhdGluZy1pdHMtaWNlLWNyZWFtLXRvLXN1cnZpdmUtd2FybWVyLWZyZWV6ZXJzLWRkYzdiY2Qw0gEA?oc=5"" target=""_blank"">Unilever Tries Reformulating Its Ice Cream to Survive Warmer Freezers</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Wall Street Journal</font>",text/plain,,,Unilever Tries Reformulating Its Ice Cream to Survive Warmer Freezers - The Wall Street Journal,text/html,,,"<a href=""https://news.google.com/rss/articles/CBMia2h0dHBzOi8vd3d3Lndzai5jb20vYXJ0aWNsZXMvdW5pbGV2ZXItdHJpZXMtcmVmb3JtdWxhdGluZy1pdHMtaWNlLWNyZWFtLXRvLXN1cnZpdmUtd2FybWVyLWZyZWV6ZXJzLWRkYzdiY2Qw0gEA?oc=5"" target=""_blank"">Unilever Tries Reformulating Its Ice Cream to Survive Warmer Freezers</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Wall Street Journal</font>",https://www.wsj.com,The Wall Street Journal,"https://news.google.com/rss/search?q=""Environmental Impact"" ""new products""+after:2023-02-01+before:2023-02-28"
"Lennox Commercial Sets New Standard for Performance, Efficiency and Serviceability in Packaged Rooftop Units with ... - PR Newswire","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://news.google.com/rss/articles/CBMitQFodHRwczovL3d3dy5wcm5ld3N3aXJlLmNvbS9uZXdzLXJlbGVhc2VzL2xlbm5veC1jb21tZXJjaWFsLXNldHMtbmV3LXN0YW5kYXJkLWZvci1wZXJmb3JtYW5jZS1lZmZpY2llbmN5LWFuZC1zZXJ2aWNlYWJpbGl0eS1pbi1wYWNrYWdlZC1yb29mdG9wLXVuaXRzLXdpdGgtbmV3LXByb2R1Y3RzLTMwMTczNzQ1NC5odG1s0gEA?oc=5'}]",https://news.google.com/rss/articles/CBMitQFodHRwczovL3d3dy5wcm5ld3N3aXJlLmNvbS9uZXdzLXJlbGVhc2VzL2xlbm5veC1jb21tZXJjaWFsLXNldHMtbmV3LXN0YW5kYXJkLWZvci1wZXJmb3JtYW5jZS1lZmZpY2llbmN5LWFuZC1zZXJ2aWNlYWJpbGl0eS1pbi1wYWNrYWdlZC1yb29mdG9wLXVuaXRzLXdpdGgtbmV3LXByb2R1Y3RzLTMwMTczNzQ1NC5odG1s0gEA?oc=5,CBMitQFodHRwczovL3d3dy5wcm5ld3N3aXJlLmNvbS9uZXdzLXJlbGVhc2VzL2xlbm5veC1jb21tZXJjaWFsLXNldHMtbmV3LXN0YW5kYXJkLWZvci1wZXJmb3JtYW5jZS1lZmZpY2llbmN5LWFuZC1zZXJ2aWNlYWJpbGl0eS1pbi1wYWNrYWdlZC1yb29mdG9wLXVuaXRzLXdpdGgtbmV3LXByb2R1Y3RzLTMwMTczNzQ1NC5odG1s0gEA,False,"Thu, 02 Feb 2023 08:00:00 GMT","time.struct_time(tm_year=2023, tm_mon=2, tm_mday=2, tm_hour=8, tm_min=0, tm_sec=0, tm_wday=3, tm_yday=33, tm_isdst=0)","<a href=""https://news.google.com/rss/articles/CBMitQFodHRwczovL3d3dy5wcm5ld3N3aXJlLmNvbS9uZXdzLXJlbGVhc2VzL2xlbm5veC1jb21tZXJjaWFsLXNldHMtbmV3LXN0YW5kYXJkLWZvci1wZXJmb3JtYW5jZS1lZmZpY2llbmN5LWFuZC1zZXJ2aWNlYWJpbGl0eS1pbi1wYWNrYWdlZC1yb29mdG9wLXVuaXRzLXdpdGgtbmV3LXByb2R1Y3RzLTMwMTczNzQ1NC5odG1s0gEA?oc=5"" target=""_blank"">Lennox Commercial Sets New Standard for Performance, Efficiency and Serviceability in Packaged Rooftop Units with ...</a>&nbsp;&nbsp;<font color=""#6f6f6f"">PR Newswire</font>",text/plain,,,"Lennox Commercial Sets New Standard for Performance, Efficiency and Serviceability in Packaged Rooftop Units with ... - PR Newswire",text/html,,,"<a href=""https://news.google.com/rss/articles/CBMitQFodHRwczovL3d3dy5wcm5ld3N3aXJlLmNvbS9uZXdzLXJlbGVhc2VzL2xlbm5veC1jb21tZXJjaWFsLXNldHMtbmV3LXN0YW5kYXJkLWZvci1wZXJmb3JtYW5jZS1lZmZpY2llbmN5LWFuZC1zZXJ2aWNlYWJpbGl0eS1pbi1wYWNrYWdlZC1yb29mdG9wLXVuaXRzLXdpdGgtbmV3LXByb2R1Y3RzLTMwMTczNzQ1NC5odG1s0gEA?oc=5"" target=""_blank"">Lennox Commercial Sets New Standard for Performance, Efficiency and Serviceability in Packaged Rooftop Units with ...</a>&nbsp;&nbsp;<font color=""#6f6f6f"">PR Newswire</font>",https://www.prnewswire.com,PR Newswire,"https://news.google.com/rss/search?q=""Environmental Impact"" ""new products""+after:2023-02-01+before:2023-02-28"
"What's Driving Recommerce? New eBay Report Shows Sellers, Buyers Find Financial Value in Pre-Loved Goods - eBay Inc.","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://news.google.com/rss/articles/CBMiiwFodHRwczovL3d3dy5lYmF5aW5jLmNvbS9zdG9yaWVzL25ld3Mvd2hhdHMtZHJpdmluZy1yZWNvbW1lcmNlLW5ldy1lYmF5LXJlcG9ydC1zaG93cy1zZWxsZXJzLWJ1eWVycy1maW5kLWZpbmFuY2lhbC12YWx1ZS1pbi1wcmUtbG92ZWQtZ29vZHMv0gEA?oc=5'}]",https://news.google.com/rss/articles/CBMiiwFodHRwczovL3d3dy5lYmF5aW5jLmNvbS9zdG9yaWVzL25ld3Mvd2hhdHMtZHJpdmluZy1yZWNvbW1lcmNlLW5ldy1lYmF5LXJlcG9ydC1zaG93cy1zZWxsZXJzLWJ1eWVycy1maW5kLWZpbmFuY2lhbC12YWx1ZS1pbi1wcmUtbG92ZWQtZ29vZHMv0gEA?oc=5,CBMiiwFodHRwczovL3d3dy5lYmF5aW5jLmNvbS9zdG9yaWVzL25ld3Mvd2hhdHMtZHJpdmluZy1yZWNvbW1lcmNlLW5ldy1lYmF5LXJlcG9ydC1zaG93cy1zZWxsZXJzLWJ1eWVycy1maW5kLWZpbmFuY2lhbC12YWx1ZS1pbi1wcmUtbG92ZWQtZ29vZHMv0gEA,False,"Tue, 21 Feb 2023 14:10:17 GMT","time.struct_time(tm_year=2023, tm_mon=2, tm_mday=21, tm_hour=14, tm_min=10, tm_sec=17, tm_wday=1, tm_yday=52, tm_isdst=0)","<a href=""https://news.google.com/rss/articles/CBMiiwFodHRwczovL3d3dy5lYmF5aW5jLmNvbS9zdG9yaWVzL25ld3Mvd2hhdHMtZHJpdmluZy1yZWNvbW1lcmNlLW5ldy1lYmF5LXJlcG9ydC1zaG93cy1zZWxsZXJzLWJ1eWVycy1maW5kLWZpbmFuY2lhbC12YWx1ZS1pbi1wcmUtbG92ZWQtZ29vZHMv0gEA?oc=5"" target=""_blank"">What's Driving Recommerce? New eBay Report Shows Sellers, Buyers Find Financial Value in Pre-Loved Goods</a>&nbsp;&nbsp;<font color=""#6f6f6f"">eBay Inc.</font>",text/plain,,,"What's Driving Recommerce? New eBay Report Shows Sellers, Buyers Find Financial Value in Pre-Loved Goods - eBay Inc.",text/html,,,"<a href=""https://news.google.com/rss/articles/CBMiiwFodHRwczovL3d3dy5lYmF5aW5jLmNvbS9zdG9yaWVzL25ld3Mvd2hhdHMtZHJpdmluZy1yZWNvbW1lcmNlLW5ldy1lYmF5LXJlcG9ydC1zaG93cy1zZWxsZXJzLWJ1eWVycy1maW5kLWZpbmFuY2lhbC12YWx1ZS1pbi1wcmUtbG92ZWQtZ29vZHMv0gEA?oc=5"" target=""_blank"">What's Driving Recommerce? New eBay Report Shows Sellers, Buyers Find Financial Value in Pre-Loved Goods</a>&nbsp;&nbsp;<font color=""#6f6f6f"">eBay Inc.</font>",https://www.ebayinc.com,eBay Inc.,"https://news.google.com/rss/search?q=""Environmental Impact"" ""new products""+after:2023-02-01+before:2023-02-28"
Data driven strategies for avoiding greenwashing | News - Eco-Business,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://news.google.com/rss/articles/CBMiU2h0dHBzOi8vd3d3LmVjby1idXNpbmVzcy5jb20vbmV3cy9kYXRhLWRyaXZlbi1zdHJhdGVnaWVzLWZvci1hdm9pZGluZy1ncmVlbndhc2hpbmcv0gEA?oc=5'}]",https://news.google.com/rss/articles/CBMiU2h0dHBzOi8vd3d3LmVjby1idXNpbmVzcy5jb20vbmV3cy9kYXRhLWRyaXZlbi1zdHJhdGVnaWVzLWZvci1hdm9pZGluZy1ncmVlbndhc2hpbmcv0gEA?oc=5,CBMiU2h0dHBzOi8vd3d3LmVjby1idXNpbmVzcy5jb20vbmV3cy9kYXRhLWRyaXZlbi1zdHJhdGVnaWVzLWZvci1hdm9pZGluZy1ncmVlbndhc2hpbmcv0gEA,False,"Thu, 16 Feb 2023 08:00:00 GMT","time.struct_time(tm_year=2023, tm_mon=2, tm_mday=16, tm_hour=8, tm_min=0, tm_sec=0, tm_wday=3, tm_yday=47, tm_isdst=0)","<a href=""https://news.google.com/rss/articles/CBMiU2h0dHBzOi8vd3d3LmVjby1idXNpbmVzcy5jb20vbmV3cy9kYXRhLWRyaXZlbi1zdHJhdGVnaWVzLWZvci1hdm9pZGluZy1ncmVlbndhc2hpbmcv0gEA?oc=5"" target=""_blank"">Data driven strategies for avoiding greenwashing | News</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Eco-Business</font>",text/plain,,,Data driven strategies for avoiding greenwashing | News - Eco-Business,text/html,,,"<a href=""https://news.google.com/rss/articles/CBMiU2h0dHBzOi8vd3d3LmVjby1idXNpbmVzcy5jb20vbmV3cy9kYXRhLWRyaXZlbi1zdHJhdGVnaWVzLWZvci1hdm9pZGluZy1ncmVlbndhc2hpbmcv0gEA?oc=5"" target=""_blank"">Data driven strategies for avoiding greenwashing | News</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Eco-Business</font>",https://www.eco-business.com,Eco-Business,"https://news.google.com/rss/search?q=""Environmental Impact"" ""new products""+after:2023-02-01+before:2023-02-28"
