title,links,link,id,guidislink,published,published_parsed,summary,title_detail.type,title_detail.language,title_detail.base,title_detail.value,summary_detail.type,summary_detail.language,summary_detail.base,summary_detail.value,source.href,source.title,query
Kimberly-Clark Professional Announces Greenovation Awards for Sustainability Leadership and Waste Reduction - PR Newswire,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://news.google.com/rss/articles/CBMiowFodHRwczovL3d3dy5wcm5ld3N3aXJlLmNvbS9uZXdzLXJlbGVhc2VzL2tpbWJlcmx5LWNsYXJrLXByb2Zlc3Npb25hbC1hbm5vdW5jZXMtZ3JlZW5vdmF0aW9uLWF3YXJkcy1mb3Itc3VzdGFpbmFiaWxpdHktbGVhZGVyc2hpcC1hbmQtd2FzdGUtcmVkdWN0aW9uLTMwMTgxNjQ5Ni5odG1s0gEA?oc=5'}]",https://news.google.com/rss/articles/CBMiowFodHRwczovL3d3dy5wcm5ld3N3aXJlLmNvbS9uZXdzLXJlbGVhc2VzL2tpbWJlcmx5LWNsYXJrLXByb2Zlc3Npb25hbC1hbm5vdW5jZXMtZ3JlZW5vdmF0aW9uLWF3YXJkcy1mb3Itc3VzdGFpbmFiaWxpdHktbGVhZGVyc2hpcC1hbmQtd2FzdGUtcmVkdWN0aW9uLTMwMTgxNjQ5Ni5odG1s0gEA?oc=5,CBMiowFodHRwczovL3d3dy5wcm5ld3N3aXJlLmNvbS9uZXdzLXJlbGVhc2VzL2tpbWJlcmx5LWNsYXJrLXByb2Zlc3Npb25hbC1hbm5vdW5jZXMtZ3JlZW5vdmF0aW9uLWF3YXJkcy1mb3Itc3VzdGFpbmFiaWxpdHktbGVhZGVyc2hpcC1hbmQtd2FzdGUtcmVkdWN0aW9uLTMwMTgxNjQ5Ni5odG1s0gEA,False,"Fri, 05 May 2023 07:00:00 GMT","time.struct_time(tm_year=2023, tm_mon=5, tm_mday=5, tm_hour=7, tm_min=0, tm_sec=0, tm_wday=4, tm_yday=125, tm_isdst=0)","<a href=""https://news.google.com/rss/articles/CBMiowFodHRwczovL3d3dy5wcm5ld3N3aXJlLmNvbS9uZXdzLXJlbGVhc2VzL2tpbWJlcmx5LWNsYXJrLXByb2Zlc3Npb25hbC1hbm5vdW5jZXMtZ3JlZW5vdmF0aW9uLWF3YXJkcy1mb3Itc3VzdGFpbmFiaWxpdHktbGVhZGVyc2hpcC1hbmQtd2FzdGUtcmVkdWN0aW9uLTMwMTgxNjQ5Ni5odG1s0gEA?oc=5"" target=""_blank"">Kimberly-Clark Professional Announces Greenovation Awards for Sustainability Leadership and Waste Reduction</a>&nbsp;&nbsp;<font color=""#6f6f6f"">PR Newswire</font>",text/plain,,,Kimberly-Clark Professional Announces Greenovation Awards for Sustainability Leadership and Waste Reduction - PR Newswire,text/html,,,"<a href=""https://news.google.com/rss/articles/CBMiowFodHRwczovL3d3dy5wcm5ld3N3aXJlLmNvbS9uZXdzLXJlbGVhc2VzL2tpbWJlcmx5LWNsYXJrLXByb2Zlc3Npb25hbC1hbm5vdW5jZXMtZ3JlZW5vdmF0aW9uLWF3YXJkcy1mb3Itc3VzdGFpbmFiaWxpdHktbGVhZGVyc2hpcC1hbmQtd2FzdGUtcmVkdWN0aW9uLTMwMTgxNjQ5Ni5odG1s0gEA?oc=5"" target=""_blank"">Kimberly-Clark Professional Announces Greenovation Awards for Sustainability Leadership and Waste Reduction</a>&nbsp;&nbsp;<font color=""#6f6f6f"">PR Newswire</font>",https://www.prnewswire.com,PR Newswire,"https://news.google.com/rss/search?q=""Environmental stewardship"" ""new products""+after:2023-05-01+before:2023-05-31"
"Is ESG more a backspace, than the next page? - Observer Research Foundation","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://news.google.com/rss/articles/CBMiUWh0dHBzOi8vd3d3Lm9yZm9ubGluZS5vcmcvZXhwZXJ0LXNwZWFrL2lzLWVzZy1tb3JlLWEtYmFja3NwYWNlLXRoYW4tdGhlLW5leHQtcGFnZdIBAA?oc=5'}]",https://news.google.com/rss/articles/CBMiUWh0dHBzOi8vd3d3Lm9yZm9ubGluZS5vcmcvZXhwZXJ0LXNwZWFrL2lzLWVzZy1tb3JlLWEtYmFja3NwYWNlLXRoYW4tdGhlLW5leHQtcGFnZdIBAA?oc=5,CBMiUWh0dHBzOi8vd3d3Lm9yZm9ubGluZS5vcmcvZXhwZXJ0LXNwZWFrL2lzLWVzZy1tb3JlLWEtYmFja3NwYWNlLXRoYW4tdGhlLW5leHQtcGFnZdIBAA,False,"Thu, 04 May 2023 07:00:00 GMT","time.struct_time(tm_year=2023, tm_mon=5, tm_mday=4, tm_hour=7, tm_min=0, tm_sec=0, tm_wday=3, tm_yday=124, tm_isdst=0)","<a href=""https://news.google.com/rss/articles/CBMiUWh0dHBzOi8vd3d3Lm9yZm9ubGluZS5vcmcvZXhwZXJ0LXNwZWFrL2lzLWVzZy1tb3JlLWEtYmFja3NwYWNlLXRoYW4tdGhlLW5leHQtcGFnZdIBAA?oc=5"" target=""_blank"">Is ESG more a backspace, than the next page?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Observer Research Foundation</font>",text/plain,,,"Is ESG more a backspace, than the next page? - Observer Research Foundation",text/html,,,"<a href=""https://news.google.com/rss/articles/CBMiUWh0dHBzOi8vd3d3Lm9yZm9ubGluZS5vcmcvZXhwZXJ0LXNwZWFrL2lzLWVzZy1tb3JlLWEtYmFja3NwYWNlLXRoYW4tdGhlLW5leHQtcGFnZdIBAA?oc=5"" target=""_blank"">Is ESG more a backspace, than the next page?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Observer Research Foundation</font>",https://www.orfonline.org,Observer Research Foundation,"https://news.google.com/rss/search?q=""Environmental stewardship"" ""new products""+after:2023-05-01+before:2023-05-31"
A decadal outlook for global aquaculture - World Aquaculture Society - was.org,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://news.google.com/rss/articles/CBMiSWh0dHBzOi8vd3d3Lndhcy5vcmcvYXJ0aWNsZS9BLWRlY2FkYWwtb3V0bG9vay1mb3ItZ2xvYmFsLWFxdWFjdWx0dXJlLmFzcHjSAQA?oc=5'}]",https://news.google.com/rss/articles/CBMiSWh0dHBzOi8vd3d3Lndhcy5vcmcvYXJ0aWNsZS9BLWRlY2FkYWwtb3V0bG9vay1mb3ItZ2xvYmFsLWFxdWFjdWx0dXJlLmFzcHjSAQA?oc=5,CBMiSWh0dHBzOi8vd3d3Lndhcy5vcmcvYXJ0aWNsZS9BLWRlY2FkYWwtb3V0bG9vay1mb3ItZ2xvYmFsLWFxdWFjdWx0dXJlLmFzcHjSAQA,False,"Wed, 10 May 2023 07:00:00 GMT","time.struct_time(tm_year=2023, tm_mon=5, tm_mday=10, tm_hour=7, tm_min=0, tm_sec=0, tm_wday=2, tm_yday=130, tm_isdst=0)","<a href=""https://news.google.com/rss/articles/CBMiSWh0dHBzOi8vd3d3Lndhcy5vcmcvYXJ0aWNsZS9BLWRlY2FkYWwtb3V0bG9vay1mb3ItZ2xvYmFsLWFxdWFjdWx0dXJlLmFzcHjSAQA?oc=5"" target=""_blank"">A decadal outlook for global aquaculture - World Aquaculture Society</a>&nbsp;&nbsp;<font color=""#6f6f6f"">was.org</font>",text/plain,,,A decadal outlook for global aquaculture - World Aquaculture Society - was.org,text/html,,,"<a href=""https://news.google.com/rss/articles/CBMiSWh0dHBzOi8vd3d3Lndhcy5vcmcvYXJ0aWNsZS9BLWRlY2FkYWwtb3V0bG9vay1mb3ItZ2xvYmFsLWFxdWFjdWx0dXJlLmFzcHjSAQA?oc=5"" target=""_blank"">A decadal outlook for global aquaculture - World Aquaculture Society</a>&nbsp;&nbsp;<font color=""#6f6f6f"">was.org</font>",https://www.was.org,was.org,"https://news.google.com/rss/search?q=""Environmental stewardship"" ""new products""+after:2023-05-01+before:2023-05-31"
12 Social Enterprise Business Ideas and Business Models - Causeartist,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://news.google.com/rss/articles/CBMiPWh0dHBzOi8vd3d3LmNhdXNlYXJ0aXN0LmNvbS9zb2NpYWwtZW50ZXJwcmlzZS1idXNpbmVzcy1pZGVhcy_SAQA?oc=5'}]",https://news.google.com/rss/articles/CBMiPWh0dHBzOi8vd3d3LmNhdXNlYXJ0aXN0LmNvbS9zb2NpYWwtZW50ZXJwcmlzZS1idXNpbmVzcy1pZGVhcy_SAQA?oc=5,CBMiPWh0dHBzOi8vd3d3LmNhdXNlYXJ0aXN0LmNvbS9zb2NpYWwtZW50ZXJwcmlzZS1idXNpbmVzcy1pZGVhcy_SAQA,False,"Wed, 17 May 2023 07:00:00 GMT","time.struct_time(tm_year=2023, tm_mon=5, tm_mday=17, tm_hour=7, tm_min=0, tm_sec=0, tm_wday=2, tm_yday=137, tm_isdst=0)","<a href=""https://news.google.com/rss/articles/CBMiPWh0dHBzOi8vd3d3LmNhdXNlYXJ0aXN0LmNvbS9zb2NpYWwtZW50ZXJwcmlzZS1idXNpbmVzcy1pZGVhcy_SAQA?oc=5"" target=""_blank"">12 Social Enterprise Business Ideas and Business Models</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Causeartist</font>",text/plain,,,12 Social Enterprise Business Ideas and Business Models - Causeartist,text/html,,,"<a href=""https://news.google.com/rss/articles/CBMiPWh0dHBzOi8vd3d3LmNhdXNlYXJ0aXN0LmNvbS9zb2NpYWwtZW50ZXJwcmlzZS1idXNpbmVzcy1pZGVhcy_SAQA?oc=5"" target=""_blank"">12 Social Enterprise Business Ideas and Business Models</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Causeartist</font>",https://www.causeartist.com,Causeartist,"https://news.google.com/rss/search?q=""Environmental stewardship"" ""new products""+after:2023-05-01+before:2023-05-31"
Innovations in PPE: A look at new products designed to keep workers safe - OHS Canada,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://news.google.com/rss/articles/CBMia2h0dHBzOi8vd3d3Lm9oc2NhbmFkYS5jb20vZmVhdHVyZXMvaW5ub3ZhdGlvbnMtaW4tcHBlLWEtbG9vay1hdC1uZXctcHJvZHVjdHMtZGVzaWduZWQtdG8ta2VlcC13b3JrZXJzLXNhZmUv0gEA?oc=5'}]",https://news.google.com/rss/articles/CBMia2h0dHBzOi8vd3d3Lm9oc2NhbmFkYS5jb20vZmVhdHVyZXMvaW5ub3ZhdGlvbnMtaW4tcHBlLWEtbG9vay1hdC1uZXctcHJvZHVjdHMtZGVzaWduZWQtdG8ta2VlcC13b3JrZXJzLXNhZmUv0gEA?oc=5,CBMia2h0dHBzOi8vd3d3Lm9oc2NhbmFkYS5jb20vZmVhdHVyZXMvaW5ub3ZhdGlvbnMtaW4tcHBlLWEtbG9vay1hdC1uZXctcHJvZHVjdHMtZGVzaWduZWQtdG8ta2VlcC13b3JrZXJzLXNhZmUv0gEA,False,"Mon, 29 May 2023 07:00:00 GMT","time.struct_time(tm_year=2023, tm_mon=5, tm_mday=29, tm_hour=7, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=149, tm_isdst=0)","<a href=""https://news.google.com/rss/articles/CBMia2h0dHBzOi8vd3d3Lm9oc2NhbmFkYS5jb20vZmVhdHVyZXMvaW5ub3ZhdGlvbnMtaW4tcHBlLWEtbG9vay1hdC1uZXctcHJvZHVjdHMtZGVzaWduZWQtdG8ta2VlcC13b3JrZXJzLXNhZmUv0gEA?oc=5"" target=""_blank"">Innovations in PPE: A look at new products designed to keep workers safe</a>&nbsp;&nbsp;<font color=""#6f6f6f"">OHS Canada</font>",text/plain,,,Innovations in PPE: A look at new products designed to keep workers safe - OHS Canada,text/html,,,"<a href=""https://news.google.com/rss/articles/CBMia2h0dHBzOi8vd3d3Lm9oc2NhbmFkYS5jb20vZmVhdHVyZXMvaW5ub3ZhdGlvbnMtaW4tcHBlLWEtbG9vay1hdC1uZXctcHJvZHVjdHMtZGVzaWduZWQtdG8ta2VlcC13b3JrZXJzLXNhZmUv0gEA?oc=5"" target=""_blank"">Innovations in PPE: A look at new products designed to keep workers safe</a>&nbsp;&nbsp;<font color=""#6f6f6f"">OHS Canada</font>",https://www.ohscanada.com,OHS Canada,"https://news.google.com/rss/search?q=""Environmental stewardship"" ""new products""+after:2023-05-01+before:2023-05-31"
Top 10 Best Corporate Social Responsibility Companies In Europe 2023 - Inventiva,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://news.google.com/rss/articles/CBMiQ2h0dHBzOi8vd3d3LmludmVudGl2YS5jby5pbi90cmVuZHMvY29ycG9yYXRlLXNvY2lhbC1yZXNwb25zaWJpbGl0eS_SAQA?oc=5'}]",https://news.google.com/rss/articles/CBMiQ2h0dHBzOi8vd3d3LmludmVudGl2YS5jby5pbi90cmVuZHMvY29ycG9yYXRlLXNvY2lhbC1yZXNwb25zaWJpbGl0eS_SAQA?oc=5,CBMiQ2h0dHBzOi8vd3d3LmludmVudGl2YS5jby5pbi90cmVuZHMvY29ycG9yYXRlLXNvY2lhbC1yZXNwb25zaWJpbGl0eS_SAQA,False,"Mon, 01 May 2023 07:00:00 GMT","time.struct_time(tm_year=2023, tm_mon=5, tm_mday=1, tm_hour=7, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=121, tm_isdst=0)","<a href=""https://news.google.com/rss/articles/CBMiQ2h0dHBzOi8vd3d3LmludmVudGl2YS5jby5pbi90cmVuZHMvY29ycG9yYXRlLXNvY2lhbC1yZXNwb25zaWJpbGl0eS_SAQA?oc=5"" target=""_blank"">Top 10 Best Corporate Social Responsibility Companies In Europe 2023</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Inventiva</font>",text/plain,,,Top 10 Best Corporate Social Responsibility Companies In Europe 2023 - Inventiva,text/html,,,"<a href=""https://news.google.com/rss/articles/CBMiQ2h0dHBzOi8vd3d3LmludmVudGl2YS5jby5pbi90cmVuZHMvY29ycG9yYXRlLXNvY2lhbC1yZXNwb25zaWJpbGl0eS_SAQA?oc=5"" target=""_blank"">Top 10 Best Corporate Social Responsibility Companies In Europe 2023</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Inventiva</font>",https://www.inventiva.co.in,Inventiva,"https://news.google.com/rss/search?q=""Environmental stewardship"" ""new products""+after:2023-05-01+before:2023-05-31"
Top 10 Best Agriculture Companies In India In 2023 - Inventiva,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://news.google.com/rss/articles/CBMiSWh0dHBzOi8vd3d3LmludmVudGl2YS5jby5pbi90cmVuZHMvdG9wLTEwLWFncmljdWx0dXJlLWNvbXBhbmllcy1pbi1pbmRpYS_SAQA?oc=5'}]",https://news.google.com/rss/articles/CBMiSWh0dHBzOi8vd3d3LmludmVudGl2YS5jby5pbi90cmVuZHMvdG9wLTEwLWFncmljdWx0dXJlLWNvbXBhbmllcy1pbi1pbmRpYS_SAQA?oc=5,CBMiSWh0dHBzOi8vd3d3LmludmVudGl2YS5jby5pbi90cmVuZHMvdG9wLTEwLWFncmljdWx0dXJlLWNvbXBhbmllcy1pbi1pbmRpYS_SAQA,False,"Thu, 18 May 2023 07:00:00 GMT","time.struct_time(tm_year=2023, tm_mon=5, tm_mday=18, tm_hour=7, tm_min=0, tm_sec=0, tm_wday=3, tm_yday=138, tm_isdst=0)","<a href=""https://news.google.com/rss/articles/CBMiSWh0dHBzOi8vd3d3LmludmVudGl2YS5jby5pbi90cmVuZHMvdG9wLTEwLWFncmljdWx0dXJlLWNvbXBhbmllcy1pbi1pbmRpYS_SAQA?oc=5"" target=""_blank"">Top 10 Best Agriculture Companies In India In 2023</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Inventiva</font>",text/plain,,,Top 10 Best Agriculture Companies In India In 2023 - Inventiva,text/html,,,"<a href=""https://news.google.com/rss/articles/CBMiSWh0dHBzOi8vd3d3LmludmVudGl2YS5jby5pbi90cmVuZHMvdG9wLTEwLWFncmljdWx0dXJlLWNvbXBhbmllcy1pbi1pbmRpYS_SAQA?oc=5"" target=""_blank"">Top 10 Best Agriculture Companies In India In 2023</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Inventiva</font>",https://www.inventiva.co.in,Inventiva,"https://news.google.com/rss/search?q=""Environmental stewardship"" ""new products""+after:2023-05-01+before:2023-05-31"
Top 10 Best Agricultural Chemicals Companies In India In 2023 - Inventiva,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://news.google.com/rss/articles/CBMiSWh0dHBzOi8vd3d3LmludmVudGl2YS5jby5pbi90cmVuZHMvYWdyaWN1bHR1cmFsLWNoZW1pY2Fscy1jb21wYW5pZXMtMjAyMy_SAQA?oc=5'}]",https://news.google.com/rss/articles/CBMiSWh0dHBzOi8vd3d3LmludmVudGl2YS5jby5pbi90cmVuZHMvYWdyaWN1bHR1cmFsLWNoZW1pY2Fscy1jb21wYW5pZXMtMjAyMy_SAQA?oc=5,CBMiSWh0dHBzOi8vd3d3LmludmVudGl2YS5jby5pbi90cmVuZHMvYWdyaWN1bHR1cmFsLWNoZW1pY2Fscy1jb21wYW5pZXMtMjAyMy_SAQA,False,"Wed, 03 May 2023 07:00:00 GMT","time.struct_time(tm_year=2023, tm_mon=5, tm_mday=3, tm_hour=7, tm_min=0, tm_sec=0, tm_wday=2, tm_yday=123, tm_isdst=0)","<a href=""https://news.google.com/rss/articles/CBMiSWh0dHBzOi8vd3d3LmludmVudGl2YS5jby5pbi90cmVuZHMvYWdyaWN1bHR1cmFsLWNoZW1pY2Fscy1jb21wYW5pZXMtMjAyMy_SAQA?oc=5"" target=""_blank"">Top 10 Best Agricultural Chemicals Companies In India In 2023</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Inventiva</font>",text/plain,,,Top 10 Best Agricultural Chemicals Companies In India In 2023 - Inventiva,text/html,,,"<a href=""https://news.google.com/rss/articles/CBMiSWh0dHBzOi8vd3d3LmludmVudGl2YS5jby5pbi90cmVuZHMvYWdyaWN1bHR1cmFsLWNoZW1pY2Fscy1jb21wYW5pZXMtMjAyMy_SAQA?oc=5"" target=""_blank"">Top 10 Best Agricultural Chemicals Companies In India In 2023</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Inventiva</font>",https://www.inventiva.co.in,Inventiva,"https://news.google.com/rss/search?q=""Environmental stewardship"" ""new products""+after:2023-05-01+before:2023-05-31"
Top 10 Best Speciality Chemicals Companies In India In 2023 - Inventiva,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://news.google.com/rss/articles/CBMiR2h0dHBzOi8vd3d3LmludmVudGl2YS5jby5pbi90cmVuZHMvc3BlY2lhbGl0eS1jaGVtaWNhbHMtY29tcGFuaWVzLTIwMjMv0gEA?oc=5'}]",https://news.google.com/rss/articles/CBMiR2h0dHBzOi8vd3d3LmludmVudGl2YS5jby5pbi90cmVuZHMvc3BlY2lhbGl0eS1jaGVtaWNhbHMtY29tcGFuaWVzLTIwMjMv0gEA?oc=5,CBMiR2h0dHBzOi8vd3d3LmludmVudGl2YS5jby5pbi90cmVuZHMvc3BlY2lhbGl0eS1jaGVtaWNhbHMtY29tcGFuaWVzLTIwMjMv0gEA,False,"Wed, 03 May 2023 07:00:00 GMT","time.struct_time(tm_year=2023, tm_mon=5, tm_mday=3, tm_hour=7, tm_min=0, tm_sec=0, tm_wday=2, tm_yday=123, tm_isdst=0)","<a href=""https://news.google.com/rss/articles/CBMiR2h0dHBzOi8vd3d3LmludmVudGl2YS5jby5pbi90cmVuZHMvc3BlY2lhbGl0eS1jaGVtaWNhbHMtY29tcGFuaWVzLTIwMjMv0gEA?oc=5"" target=""_blank"">Top 10 Best Speciality Chemicals Companies In India In 2023</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Inventiva</font>",text/plain,,,Top 10 Best Speciality Chemicals Companies In India In 2023 - Inventiva,text/html,,,"<a href=""https://news.google.com/rss/articles/CBMiR2h0dHBzOi8vd3d3LmludmVudGl2YS5jby5pbi90cmVuZHMvc3BlY2lhbGl0eS1jaGVtaWNhbHMtY29tcGFuaWVzLTIwMjMv0gEA?oc=5"" target=""_blank"">Top 10 Best Speciality Chemicals Companies In India In 2023</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Inventiva</font>",https://www.inventiva.co.in,Inventiva,"https://news.google.com/rss/search?q=""Environmental stewardship"" ""new products""+after:2023-05-01+before:2023-05-31"
Top 10 Best Consumer Products Companies In India In 2023 - Inventiva,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://news.google.com/rss/articles/CBMiSmh0dHBzOi8vd3d3LmludmVudGl2YS5jby5pbi90cmVuZHMvY29uc3VtZXItcHJvZHVjdHMtY29tcGFuaWVzLWluZGlhLTIwMjMv0gEA?oc=5'}]",https://news.google.com/rss/articles/CBMiSmh0dHBzOi8vd3d3LmludmVudGl2YS5jby5pbi90cmVuZHMvY29uc3VtZXItcHJvZHVjdHMtY29tcGFuaWVzLWluZGlhLTIwMjMv0gEA?oc=5,CBMiSmh0dHBzOi8vd3d3LmludmVudGl2YS5jby5pbi90cmVuZHMvY29uc3VtZXItcHJvZHVjdHMtY29tcGFuaWVzLWluZGlhLTIwMjMv0gEA,False,"Sun, 14 May 2023 07:00:00 GMT","time.struct_time(tm_year=2023, tm_mon=5, tm_mday=14, tm_hour=7, tm_min=0, tm_sec=0, tm_wday=6, tm_yday=134, tm_isdst=0)","<a href=""https://news.google.com/rss/articles/CBMiSmh0dHBzOi8vd3d3LmludmVudGl2YS5jby5pbi90cmVuZHMvY29uc3VtZXItcHJvZHVjdHMtY29tcGFuaWVzLWluZGlhLTIwMjMv0gEA?oc=5"" target=""_blank"">Top 10 Best Consumer Products Companies In India In 2023</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Inventiva</font>",text/plain,,,Top 10 Best Consumer Products Companies In India In 2023 - Inventiva,text/html,,,"<a href=""https://news.google.com/rss/articles/CBMiSmh0dHBzOi8vd3d3LmludmVudGl2YS5jby5pbi90cmVuZHMvY29uc3VtZXItcHJvZHVjdHMtY29tcGFuaWVzLWluZGlhLTIwMjMv0gEA?oc=5"" target=""_blank"">Top 10 Best Consumer Products Companies In India In 2023</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Inventiva</font>",https://www.inventiva.co.in,Inventiva,"https://news.google.com/rss/search?q=""Environmental stewardship"" ""new products""+after:2023-05-01+before:2023-05-31"
