title,links,link,id,guidislink,published,published_parsed,summary,title_detail.type,title_detail.language,title_detail.base,title_detail.value,summary_detail.type,summary_detail.language,summary_detail.base,summary_detail.value,source.href,source.title,query
Apple unveils its first carbon neutral products - Apple,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://news.google.com/rss/articles/CBMiV2h0dHBzOi8vd3d3LmFwcGxlLmNvbS9uZXdzcm9vbS8yMDIzLzA5L2FwcGxlLXVudmVpbHMtaXRzLWZpcnN0LWNhcmJvbi1uZXV0cmFsLXByb2R1Y3RzL9IBAA?oc=5'}]",https://news.google.com/rss/articles/CBMiV2h0dHBzOi8vd3d3LmFwcGxlLmNvbS9uZXdzcm9vbS8yMDIzLzA5L2FwcGxlLXVudmVpbHMtaXRzLWZpcnN0LWNhcmJvbi1uZXV0cmFsLXByb2R1Y3RzL9IBAA?oc=5,CBMiV2h0dHBzOi8vd3d3LmFwcGxlLmNvbS9uZXdzcm9vbS8yMDIzLzA5L2FwcGxlLXVudmVpbHMtaXRzLWZpcnN0LWNhcmJvbi1uZXV0cmFsLXByb2R1Y3RzL9IBAA,False,"Tue, 12 Sep 2023 07:00:00 GMT","time.struct_time(tm_year=2023, tm_mon=9, tm_mday=12, tm_hour=7, tm_min=0, tm_sec=0, tm_wday=1, tm_yday=255, tm_isdst=0)","<a href=""https://news.google.com/rss/articles/CBMiV2h0dHBzOi8vd3d3LmFwcGxlLmNvbS9uZXdzcm9vbS8yMDIzLzA5L2FwcGxlLXVudmVpbHMtaXRzLWZpcnN0LWNhcmJvbi1uZXV0cmFsLXByb2R1Y3RzL9IBAA?oc=5"" target=""_blank"">Apple unveils its first carbon neutral products</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Apple</font>",text/plain,,,Apple unveils its first carbon neutral products - Apple,text/html,,,"<a href=""https://news.google.com/rss/articles/CBMiV2h0dHBzOi8vd3d3LmFwcGxlLmNvbS9uZXdzcm9vbS8yMDIzLzA5L2FwcGxlLXVudmVpbHMtaXRzLWZpcnN0LWNhcmJvbi1uZXV0cmFsLXByb2R1Y3RzL9IBAA?oc=5"" target=""_blank"">Apple unveils its first carbon neutral products</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Apple</font>",https://www.apple.com,Apple,"https://news.google.com/rss/search?q=""Greenhouse Gas Emissions"" ""new products""+after:2023-09-01+before:2023-09-30"
NC State Researchers Developing Climate-Friendly Solution for Pulp and Paper Industry - NC State College of Natural Resources News,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://news.google.com/rss/articles/CBMiR2h0dHBzOi8vY25yLm5jc3UuZWR1L25ld3MvMjAyMy8wOS9uYy1zdGF0ZS1jbGltYXRlLXNvbHV0aW9uLXB1bHAtcGFwZXIv0gEA?oc=5'}]",https://news.google.com/rss/articles/CBMiR2h0dHBzOi8vY25yLm5jc3UuZWR1L25ld3MvMjAyMy8wOS9uYy1zdGF0ZS1jbGltYXRlLXNvbHV0aW9uLXB1bHAtcGFwZXIv0gEA?oc=5,CBMiR2h0dHBzOi8vY25yLm5jc3UuZWR1L25ld3MvMjAyMy8wOS9uYy1zdGF0ZS1jbGltYXRlLXNvbHV0aW9uLXB1bHAtcGFwZXIv0gEA,False,"Mon, 18 Sep 2023 07:00:00 GMT","time.struct_time(tm_year=2023, tm_mon=9, tm_mday=18, tm_hour=7, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=261, tm_isdst=0)","<a href=""https://news.google.com/rss/articles/CBMiR2h0dHBzOi8vY25yLm5jc3UuZWR1L25ld3MvMjAyMy8wOS9uYy1zdGF0ZS1jbGltYXRlLXNvbHV0aW9uLXB1bHAtcGFwZXIv0gEA?oc=5"" target=""_blank"">NC State Researchers Developing Climate-Friendly Solution for Pulp and Paper Industry</a>&nbsp;&nbsp;<font color=""#6f6f6f"">NC State College of Natural Resources News</font>",text/plain,,,NC State Researchers Developing Climate-Friendly Solution for Pulp and Paper Industry - NC State College of Natural Resources News,text/html,,,"<a href=""https://news.google.com/rss/articles/CBMiR2h0dHBzOi8vY25yLm5jc3UuZWR1L25ld3MvMjAyMy8wOS9uYy1zdGF0ZS1jbGltYXRlLXNvbHV0aW9uLXB1bHAtcGFwZXIv0gEA?oc=5"" target=""_blank"">NC State Researchers Developing Climate-Friendly Solution for Pulp and Paper Industry</a>&nbsp;&nbsp;<font color=""#6f6f6f"">NC State College of Natural Resources News</font>",https://cnr.ncsu.edu,NC State College of Natural Resources News,"https://news.google.com/rss/search?q=""Greenhouse Gas Emissions"" ""new products""+after:2023-09-01+before:2023-09-30"
Feeding climate and biodiversity goals with novel plant-based meat and milk alternatives - Nature.com,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://news.google.com/rss/articles/CBMiMmh0dHBzOi8vd3d3Lm5hdHVyZS5jb20vYXJ0aWNsZXMvczQxNDY3LTAyMy00MDg5OS0y0gEA?oc=5'}]",https://news.google.com/rss/articles/CBMiMmh0dHBzOi8vd3d3Lm5hdHVyZS5jb20vYXJ0aWNsZXMvczQxNDY3LTAyMy00MDg5OS0y0gEA?oc=5,CBMiMmh0dHBzOi8vd3d3Lm5hdHVyZS5jb20vYXJ0aWNsZXMvczQxNDY3LTAyMy00MDg5OS0y0gEA,False,"Tue, 12 Sep 2023 07:00:00 GMT","time.struct_time(tm_year=2023, tm_mon=9, tm_mday=12, tm_hour=7, tm_min=0, tm_sec=0, tm_wday=1, tm_yday=255, tm_isdst=0)","<a href=""https://news.google.com/rss/articles/CBMiMmh0dHBzOi8vd3d3Lm5hdHVyZS5jb20vYXJ0aWNsZXMvczQxNDY3LTAyMy00MDg5OS0y0gEA?oc=5"" target=""_blank"">Feeding climate and biodiversity goals with novel plant-based meat and milk alternatives</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Nature.com</font>",text/plain,,,Feeding climate and biodiversity goals with novel plant-based meat and milk alternatives - Nature.com,text/html,,,"<a href=""https://news.google.com/rss/articles/CBMiMmh0dHBzOi8vd3d3Lm5hdHVyZS5jb20vYXJ0aWNsZXMvczQxNDY3LTAyMy00MDg5OS0y0gEA?oc=5"" target=""_blank"">Feeding climate and biodiversity goals with novel plant-based meat and milk alternatives</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Nature.com</font>",https://www.nature.com,Nature.com,"https://news.google.com/rss/search?q=""Greenhouse Gas Emissions"" ""new products""+after:2023-09-01+before:2023-09-30"
Little Luxuries Made With Captured Pollution Hint at Big Frontiers in Climate Science - Smithsonian Magazine,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://news.google.com/rss/articles/CBMiigFodHRwczovL3d3dy5zbWl0aHNvbmlhbm1hZy5jb20vaW5ub3ZhdGlvbi9saXR0bGUtbHV4dXJpZXMtbWFkZS13aXRoLWNhcHR1cmVkLXBvbGx1dGlvbi1oaW50LWF0LWJpZy1mcm9udGllcnMtaW4tY2xpbWF0ZS1zY2llbmNlLTE4MDk4MjkyNS_SAQA?oc=5'}]",https://news.google.com/rss/articles/CBMiigFodHRwczovL3d3dy5zbWl0aHNvbmlhbm1hZy5jb20vaW5ub3ZhdGlvbi9saXR0bGUtbHV4dXJpZXMtbWFkZS13aXRoLWNhcHR1cmVkLXBvbGx1dGlvbi1oaW50LWF0LWJpZy1mcm9udGllcnMtaW4tY2xpbWF0ZS1zY2llbmNlLTE4MDk4MjkyNS_SAQA?oc=5,CBMiigFodHRwczovL3d3dy5zbWl0aHNvbmlhbm1hZy5jb20vaW5ub3ZhdGlvbi9saXR0bGUtbHV4dXJpZXMtbWFkZS13aXRoLWNhcHR1cmVkLXBvbGx1dGlvbi1oaW50LWF0LWJpZy1mcm9udGllcnMtaW4tY2xpbWF0ZS1zY2llbmNlLTE4MDk4MjkyNS_SAQA,False,"Thu, 21 Sep 2023 07:00:00 GMT","time.struct_time(tm_year=2023, tm_mon=9, tm_mday=21, tm_hour=7, tm_min=0, tm_sec=0, tm_wday=3, tm_yday=264, tm_isdst=0)","<a href=""https://news.google.com/rss/articles/CBMiigFodHRwczovL3d3dy5zbWl0aHNvbmlhbm1hZy5jb20vaW5ub3ZhdGlvbi9saXR0bGUtbHV4dXJpZXMtbWFkZS13aXRoLWNhcHR1cmVkLXBvbGx1dGlvbi1oaW50LWF0LWJpZy1mcm9udGllcnMtaW4tY2xpbWF0ZS1zY2llbmNlLTE4MDk4MjkyNS_SAQA?oc=5"" target=""_blank"">Little Luxuries Made With Captured Pollution Hint at Big Frontiers in Climate Science</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Smithsonian Magazine</font>",text/plain,,,Little Luxuries Made With Captured Pollution Hint at Big Frontiers in Climate Science - Smithsonian Magazine,text/html,,,"<a href=""https://news.google.com/rss/articles/CBMiigFodHRwczovL3d3dy5zbWl0aHNvbmlhbm1hZy5jb20vaW5ub3ZhdGlvbi9saXR0bGUtbHV4dXJpZXMtbWFkZS13aXRoLWNhcHR1cmVkLXBvbGx1dGlvbi1oaW50LWF0LWJpZy1mcm9udGllcnMtaW4tY2xpbWF0ZS1zY2llbmNlLTE4MDk4MjkyNS_SAQA?oc=5"" target=""_blank"">Little Luxuries Made With Captured Pollution Hint at Big Frontiers in Climate Science</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Smithsonian Magazine</font>",https://www.smithsonianmag.com,Smithsonian Magazine,"https://news.google.com/rss/search?q=""Greenhouse Gas Emissions"" ""new products""+after:2023-09-01+before:2023-09-30"
Opportunities for Near-Zero-Emissions Steel Production in the Great Lakes - Rocky Mountain Institute,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://news.google.com/rss/articles/CBMiWWh0dHBzOi8vcm1pLm9yZy9nYXAtYW5hbHlzaXMtZm9yLW5lYXItemVyby1lbWlzc2lvbnMtc3RlZWwtcHJvZHVjdGlvbi1pbi10aGUtZ3JlYXQtbGFrZXMv0gEA?oc=5'}]",https://news.google.com/rss/articles/CBMiWWh0dHBzOi8vcm1pLm9yZy9nYXAtYW5hbHlzaXMtZm9yLW5lYXItemVyby1lbWlzc2lvbnMtc3RlZWwtcHJvZHVjdGlvbi1pbi10aGUtZ3JlYXQtbGFrZXMv0gEA?oc=5,CBMiWWh0dHBzOi8vcm1pLm9yZy9nYXAtYW5hbHlzaXMtZm9yLW5lYXItemVyby1lbWlzc2lvbnMtc3RlZWwtcHJvZHVjdGlvbi1pbi10aGUtZ3JlYXQtbGFrZXMv0gEA,False,"Tue, 26 Sep 2023 07:00:00 GMT","time.struct_time(tm_year=2023, tm_mon=9, tm_mday=26, tm_hour=7, tm_min=0, tm_sec=0, tm_wday=1, tm_yday=269, tm_isdst=0)","<a href=""https://news.google.com/rss/articles/CBMiWWh0dHBzOi8vcm1pLm9yZy9nYXAtYW5hbHlzaXMtZm9yLW5lYXItemVyby1lbWlzc2lvbnMtc3RlZWwtcHJvZHVjdGlvbi1pbi10aGUtZ3JlYXQtbGFrZXMv0gEA?oc=5"" target=""_blank"">Opportunities for Near-Zero-Emissions Steel Production in the Great Lakes</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Rocky Mountain Institute</font>",text/plain,,,Opportunities for Near-Zero-Emissions Steel Production in the Great Lakes - Rocky Mountain Institute,text/html,,,"<a href=""https://news.google.com/rss/articles/CBMiWWh0dHBzOi8vcm1pLm9yZy9nYXAtYW5hbHlzaXMtZm9yLW5lYXItemVyby1lbWlzc2lvbnMtc3RlZWwtcHJvZHVjdGlvbi1pbi10aGUtZ3JlYXQtbGFrZXMv0gEA?oc=5"" target=""_blank"">Opportunities for Near-Zero-Emissions Steel Production in the Great Lakes</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Rocky Mountain Institute</font>",https://rmi.org,Rocky Mountain Institute,"https://news.google.com/rss/search?q=""Greenhouse Gas Emissions"" ""new products""+after:2023-09-01+before:2023-09-30"
How does technology affect the environment? - Telefónica,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://news.google.com/rss/articles/CBMiWGh0dHBzOi8vd3d3LnRlbGVmb25pY2EuY29tL2VuL2NvbW11bmljYXRpb24tcm9vbS9ibG9nL2hvdy10ZWNobm9sb2d5LWFmZmVjdC1lbnZpcm9ubWVudC_SAVxodHRwczovL3d3dy50ZWxlZm9uaWNhLmNvbS9lbi9jb21tdW5pY2F0aW9uLXJvb20vYmxvZy9ob3ctdGVjaG5vbG9neS1hZmZlY3QtZW52aXJvbm1lbnQvYW1wLw?oc=5'}]",https://news.google.com/rss/articles/CBMiWGh0dHBzOi8vd3d3LnRlbGVmb25pY2EuY29tL2VuL2NvbW11bmljYXRpb24tcm9vbS9ibG9nL2hvdy10ZWNobm9sb2d5LWFmZmVjdC1lbnZpcm9ubWVudC_SAVxodHRwczovL3d3dy50ZWxlZm9uaWNhLmNvbS9lbi9jb21tdW5pY2F0aW9uLXJvb20vYmxvZy9ob3ctdGVjaG5vbG9neS1hZmZlY3QtZW52aXJvbm1lbnQvYW1wLw?oc=5,CBMiWGh0dHBzOi8vd3d3LnRlbGVmb25pY2EuY29tL2VuL2NvbW11bmljYXRpb24tcm9vbS9ibG9nL2hvdy10ZWNobm9sb2d5LWFmZmVjdC1lbnZpcm9ubWVudC_SAVxodHRwczovL3d3dy50ZWxlZm9uaWNhLmNvbS9lbi9jb21tdW5pY2F0aW9uLXJvb20vYmxvZy9ob3ctdGVjaG5vbG9neS1hZmZlY3QtZW52aXJvbm1lbnQvYW1wLw,False,"Wed, 13 Sep 2023 07:00:00 GMT","time.struct_time(tm_year=2023, tm_mon=9, tm_mday=13, tm_hour=7, tm_min=0, tm_sec=0, tm_wday=2, tm_yday=256, tm_isdst=0)","<a href=""https://news.google.com/rss/articles/CBMiWGh0dHBzOi8vd3d3LnRlbGVmb25pY2EuY29tL2VuL2NvbW11bmljYXRpb24tcm9vbS9ibG9nL2hvdy10ZWNobm9sb2d5LWFmZmVjdC1lbnZpcm9ubWVudC_SAVxodHRwczovL3d3dy50ZWxlZm9uaWNhLmNvbS9lbi9jb21tdW5pY2F0aW9uLXJvb20vYmxvZy9ob3ctdGVjaG5vbG9neS1hZmZlY3QtZW52aXJvbm1lbnQvYW1wLw?oc=5"" target=""_blank"">How does technology affect the environment?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Telefónica</font>",text/plain,,,How does technology affect the environment? - Telefónica,text/html,,,"<a href=""https://news.google.com/rss/articles/CBMiWGh0dHBzOi8vd3d3LnRlbGVmb25pY2EuY29tL2VuL2NvbW11bmljYXRpb24tcm9vbS9ibG9nL2hvdy10ZWNobm9sb2d5LWFmZmVjdC1lbnZpcm9ubWVudC_SAVxodHRwczovL3d3dy50ZWxlZm9uaWNhLmNvbS9lbi9jb21tdW5pY2F0aW9uLXJvb20vYmxvZy9ob3ctdGVjaG5vbG9neS1hZmZlY3QtZW52aXJvbm1lbnQvYW1wLw?oc=5"" target=""_blank"">How does technology affect the environment?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Telefónica</font>",https://www.telefonica.com,Telefónica,"https://news.google.com/rss/search?q=""Greenhouse Gas Emissions"" ""new products""+after:2023-09-01+before:2023-09-30"
Honda East Liberty Auto Plant Earns E3 Platinum Achievement Award from Ohio EPA - Honda Newsroom,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://news.google.com/rss/articles/CBMirQFodHRwczovL2hvbmRhbmV3cy5jb20vZW4tVVMvaG9uZGEtY29ycG9yYXRlL3JlbGVhc2VzL3JlbGVhc2UtY2MzOTE5NmU4NDc4N2EyMGVjM2NiMDg2ZmIxNGQ0NTktaG9uZGEtZWFzdC1saWJlcnR5LWF1dG8tcGxhbnQtZWFybnMtZTMtcGxhdGludW0tYWNoaWV2ZW1lbnQtYXdhcmQtZnJvbS1vaGlvLWVwYdIBAA?oc=5'}]",https://news.google.com/rss/articles/CBMirQFodHRwczovL2hvbmRhbmV3cy5jb20vZW4tVVMvaG9uZGEtY29ycG9yYXRlL3JlbGVhc2VzL3JlbGVhc2UtY2MzOTE5NmU4NDc4N2EyMGVjM2NiMDg2ZmIxNGQ0NTktaG9uZGEtZWFzdC1saWJlcnR5LWF1dG8tcGxhbnQtZWFybnMtZTMtcGxhdGludW0tYWNoaWV2ZW1lbnQtYXdhcmQtZnJvbS1vaGlvLWVwYdIBAA?oc=5,CBMirQFodHRwczovL2hvbmRhbmV3cy5jb20vZW4tVVMvaG9uZGEtY29ycG9yYXRlL3JlbGVhc2VzL3JlbGVhc2UtY2MzOTE5NmU4NDc4N2EyMGVjM2NiMDg2ZmIxNGQ0NTktaG9uZGEtZWFzdC1saWJlcnR5LWF1dG8tcGxhbnQtZWFybnMtZTMtcGxhdGludW0tYWNoaWV2ZW1lbnQtYXdhcmQtZnJvbS1vaGlvLWVwYdIBAA,False,"Tue, 19 Sep 2023 07:00:00 GMT","time.struct_time(tm_year=2023, tm_mon=9, tm_mday=19, tm_hour=7, tm_min=0, tm_sec=0, tm_wday=1, tm_yday=262, tm_isdst=0)","<a href=""https://news.google.com/rss/articles/CBMirQFodHRwczovL2hvbmRhbmV3cy5jb20vZW4tVVMvaG9uZGEtY29ycG9yYXRlL3JlbGVhc2VzL3JlbGVhc2UtY2MzOTE5NmU4NDc4N2EyMGVjM2NiMDg2ZmIxNGQ0NTktaG9uZGEtZWFzdC1saWJlcnR5LWF1dG8tcGxhbnQtZWFybnMtZTMtcGxhdGludW0tYWNoaWV2ZW1lbnQtYXdhcmQtZnJvbS1vaGlvLWVwYdIBAA?oc=5"" target=""_blank"">Honda East Liberty Auto Plant Earns E3 Platinum Achievement Award from Ohio EPA</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Honda Newsroom</font>",text/plain,,,Honda East Liberty Auto Plant Earns E3 Platinum Achievement Award from Ohio EPA - Honda Newsroom,text/html,,,"<a href=""https://news.google.com/rss/articles/CBMirQFodHRwczovL2hvbmRhbmV3cy5jb20vZW4tVVMvaG9uZGEtY29ycG9yYXRlL3JlbGVhc2VzL3JlbGVhc2UtY2MzOTE5NmU4NDc4N2EyMGVjM2NiMDg2ZmIxNGQ0NTktaG9uZGEtZWFzdC1saWJlcnR5LWF1dG8tcGxhbnQtZWFybnMtZTMtcGxhdGludW0tYWNoaWV2ZW1lbnQtYXdhcmQtZnJvbS1vaGlvLWVwYdIBAA?oc=5"" target=""_blank"">Honda East Liberty Auto Plant Earns E3 Platinum Achievement Award from Ohio EPA</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Honda Newsroom</font>",https://hondanews.com,Honda Newsroom,"https://news.google.com/rss/search?q=""Greenhouse Gas Emissions"" ""new products""+after:2023-09-01+before:2023-09-30"
"More than 70% of farmers have already seen large impacts of climate change on their farm, new global research ... - PR Newswire","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://news.google.com/rss/articles/CBMiwQFodHRwczovL3d3dy5wcm5ld3N3aXJlLmNvbS9pbi9uZXdzLXJlbGVhc2VzL21vcmUtdGhhbi03MC1vZi1mYXJtZXJzLWhhdmUtYWxyZWFkeS1zZWVuLWxhcmdlLWltcGFjdHMtb2YtY2xpbWF0ZS1jaGFuZ2Utb24tdGhlaXItZmFybS1uZXctZ2xvYmFsLXJlc2VhcmNoLWFjcm9zcy04LWNvdW50cmllcy1yZXZlYWxzLTMwMTkzNjEzMy5odG1s0gEA?oc=5'}]",https://news.google.com/rss/articles/CBMiwQFodHRwczovL3d3dy5wcm5ld3N3aXJlLmNvbS9pbi9uZXdzLXJlbGVhc2VzL21vcmUtdGhhbi03MC1vZi1mYXJtZXJzLWhhdmUtYWxyZWFkeS1zZWVuLWxhcmdlLWltcGFjdHMtb2YtY2xpbWF0ZS1jaGFuZ2Utb24tdGhlaXItZmFybS1uZXctZ2xvYmFsLXJlc2VhcmNoLWFjcm9zcy04LWNvdW50cmllcy1yZXZlYWxzLTMwMTkzNjEzMy5odG1s0gEA?oc=5,CBMiwQFodHRwczovL3d3dy5wcm5ld3N3aXJlLmNvbS9pbi9uZXdzLXJlbGVhc2VzL21vcmUtdGhhbi03MC1vZi1mYXJtZXJzLWhhdmUtYWxyZWFkeS1zZWVuLWxhcmdlLWltcGFjdHMtb2YtY2xpbWF0ZS1jaGFuZ2Utb24tdGhlaXItZmFybS1uZXctZ2xvYmFsLXJlc2VhcmNoLWFjcm9zcy04LWNvdW50cmllcy1yZXZlYWxzLTMwMTkzNjEzMy5odG1s0gEA,False,"Fri, 22 Sep 2023 07:00:00 GMT","time.struct_time(tm_year=2023, tm_mon=9, tm_mday=22, tm_hour=7, tm_min=0, tm_sec=0, tm_wday=4, tm_yday=265, tm_isdst=0)","<a href=""https://news.google.com/rss/articles/CBMiwQFodHRwczovL3d3dy5wcm5ld3N3aXJlLmNvbS9pbi9uZXdzLXJlbGVhc2VzL21vcmUtdGhhbi03MC1vZi1mYXJtZXJzLWhhdmUtYWxyZWFkeS1zZWVuLWxhcmdlLWltcGFjdHMtb2YtY2xpbWF0ZS1jaGFuZ2Utb24tdGhlaXItZmFybS1uZXctZ2xvYmFsLXJlc2VhcmNoLWFjcm9zcy04LWNvdW50cmllcy1yZXZlYWxzLTMwMTkzNjEzMy5odG1s0gEA?oc=5"" target=""_blank"">More than 70% of farmers have already seen large impacts of climate change on their farm, new global research ...</a>&nbsp;&nbsp;<font color=""#6f6f6f"">PR Newswire</font>",text/plain,,,"More than 70% of farmers have already seen large impacts of climate change on their farm, new global research ... - PR Newswire",text/html,,,"<a href=""https://news.google.com/rss/articles/CBMiwQFodHRwczovL3d3dy5wcm5ld3N3aXJlLmNvbS9pbi9uZXdzLXJlbGVhc2VzL21vcmUtdGhhbi03MC1vZi1mYXJtZXJzLWhhdmUtYWxyZWFkeS1zZWVuLWxhcmdlLWltcGFjdHMtb2YtY2xpbWF0ZS1jaGFuZ2Utb24tdGhlaXItZmFybS1uZXctZ2xvYmFsLXJlc2VhcmNoLWFjcm9zcy04LWNvdW50cmllcy1yZXZlYWxzLTMwMTkzNjEzMy5odG1s0gEA?oc=5"" target=""_blank"">More than 70% of farmers have already seen large impacts of climate change on their farm, new global research ...</a>&nbsp;&nbsp;<font color=""#6f6f6f"">PR Newswire</font>",https://www.prnewswire.com,PR Newswire,"https://news.google.com/rss/search?q=""Greenhouse Gas Emissions"" ""new products""+after:2023-09-01+before:2023-09-30"
US Foods announces Fall Scoop 2023 | MEAT+POULTRY - MEAT+POULTRY,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://news.google.com/rss/articles/CBMiTWh0dHBzOi8vd3d3Lm1lYXRwb3VsdHJ5LmNvbS9hcnRpY2xlcy8yOTA2Ni11cy1mb29kcy1hbm5vdW5jZXMtZmFsbC1zY29vcC0yMDIz0gEA?oc=5'}]",https://news.google.com/rss/articles/CBMiTWh0dHBzOi8vd3d3Lm1lYXRwb3VsdHJ5LmNvbS9hcnRpY2xlcy8yOTA2Ni11cy1mb29kcy1hbm5vdW5jZXMtZmFsbC1zY29vcC0yMDIz0gEA?oc=5,CBMiTWh0dHBzOi8vd3d3Lm1lYXRwb3VsdHJ5LmNvbS9hcnRpY2xlcy8yOTA2Ni11cy1mb29kcy1hbm5vdW5jZXMtZmFsbC1zY29vcC0yMDIz0gEA,False,"Mon, 18 Sep 2023 07:00:00 GMT","time.struct_time(tm_year=2023, tm_mon=9, tm_mday=18, tm_hour=7, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=261, tm_isdst=0)","<a href=""https://news.google.com/rss/articles/CBMiTWh0dHBzOi8vd3d3Lm1lYXRwb3VsdHJ5LmNvbS9hcnRpY2xlcy8yOTA2Ni11cy1mb29kcy1hbm5vdW5jZXMtZmFsbC1zY29vcC0yMDIz0gEA?oc=5"" target=""_blank"">US Foods announces Fall Scoop 2023 | MEAT+POULTRY</a>&nbsp;&nbsp;<font color=""#6f6f6f"">MEAT+POULTRY</font>",text/plain,,,US Foods announces Fall Scoop 2023 | MEAT+POULTRY - MEAT+POULTRY,text/html,,,"<a href=""https://news.google.com/rss/articles/CBMiTWh0dHBzOi8vd3d3Lm1lYXRwb3VsdHJ5LmNvbS9hcnRpY2xlcy8yOTA2Ni11cy1mb29kcy1hbm5vdW5jZXMtZmFsbC1zY29vcC0yMDIz0gEA?oc=5"" target=""_blank"">US Foods announces Fall Scoop 2023 | MEAT+POULTRY</a>&nbsp;&nbsp;<font color=""#6f6f6f"">MEAT+POULTRY</font>",https://www.meatpoultry.com,MEAT+POULTRY,"https://news.google.com/rss/search?q=""Greenhouse Gas Emissions"" ""new products""+after:2023-09-01+before:2023-09-30"
Lab-grown dairy revolution: nurturing a sustainable tomorrow - Labiotech.eu,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://news.google.com/rss/articles/CBMiMmh0dHBzOi8vd3d3LmxhYmlvdGVjaC5ldS9pbi1kZXB0aC9sYWItZ3Jvd24tZGFpcnkv0gEA?oc=5'}]",https://news.google.com/rss/articles/CBMiMmh0dHBzOi8vd3d3LmxhYmlvdGVjaC5ldS9pbi1kZXB0aC9sYWItZ3Jvd24tZGFpcnkv0gEA?oc=5,CBMiMmh0dHBzOi8vd3d3LmxhYmlvdGVjaC5ldS9pbi1kZXB0aC9sYWItZ3Jvd24tZGFpcnkv0gEA,False,"Fri, 08 Sep 2023 07:00:00 GMT","time.struct_time(tm_year=2023, tm_mon=9, tm_mday=8, tm_hour=7, tm_min=0, tm_sec=0, tm_wday=4, tm_yday=251, tm_isdst=0)","<a href=""https://news.google.com/rss/articles/CBMiMmh0dHBzOi8vd3d3LmxhYmlvdGVjaC5ldS9pbi1kZXB0aC9sYWItZ3Jvd24tZGFpcnkv0gEA?oc=5"" target=""_blank"">Lab-grown dairy revolution: nurturing a sustainable tomorrow</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Labiotech.eu</font>",text/plain,,,Lab-grown dairy revolution: nurturing a sustainable tomorrow - Labiotech.eu,text/html,,,"<a href=""https://news.google.com/rss/articles/CBMiMmh0dHBzOi8vd3d3LmxhYmlvdGVjaC5ldS9pbi1kZXB0aC9sYWItZ3Jvd24tZGFpcnkv0gEA?oc=5"" target=""_blank"">Lab-grown dairy revolution: nurturing a sustainable tomorrow</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Labiotech.eu</font>",https://www.labiotech.eu,Labiotech.eu,"https://news.google.com/rss/search?q=""Greenhouse Gas Emissions"" ""new products""+after:2023-09-01+before:2023-09-30"
