title,links,link,id,guidislink,published,published_parsed,summary,title_detail.type,title_detail.language,title_detail.base,title_detail.value,summary_detail.type,summary_detail.language,summary_detail.base,summary_detail.value,source.href,source.title,query
"Oct. 31 - Law increases value of recycling, decreases waste - Washington State Department of Ecology","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://news.google.com/rss/articles/CBMiY2h0dHBzOi8vZWNvbG9neS53YS5nb3YvYWJvdXQtdXMvd2hvLXdlLWFyZS9uZXdzLzIwMjMvb2N0LTMxLWxhdy1pbmNyZWFzZXMtcmVjeWNsaW5nLWRlY3JlYXNlcy13YXN0ZdIBAA?oc=5'}]",https://news.google.com/rss/articles/CBMiY2h0dHBzOi8vZWNvbG9neS53YS5nb3YvYWJvdXQtdXMvd2hvLXdlLWFyZS9uZXdzLzIwMjMvb2N0LTMxLWxhdy1pbmNyZWFzZXMtcmVjeWNsaW5nLWRlY3JlYXNlcy13YXN0ZdIBAA?oc=5,CBMiY2h0dHBzOi8vZWNvbG9neS53YS5nb3YvYWJvdXQtdXMvd2hvLXdlLWFyZS9uZXdzLzIwMjMvb2N0LTMxLWxhdy1pbmNyZWFzZXMtcmVjeWNsaW5nLWRlY3JlYXNlcy13YXN0ZdIBAA,False,"Tue, 31 Oct 2023 07:00:00 GMT","time.struct_time(tm_year=2023, tm_mon=10, tm_mday=31, tm_hour=7, tm_min=0, tm_sec=0, tm_wday=1, tm_yday=304, tm_isdst=0)","<a href=""https://news.google.com/rss/articles/CBMiY2h0dHBzOi8vZWNvbG9neS53YS5nb3YvYWJvdXQtdXMvd2hvLXdlLWFyZS9uZXdzLzIwMjMvb2N0LTMxLWxhdy1pbmNyZWFzZXMtcmVjeWNsaW5nLWRlY3JlYXNlcy13YXN0ZdIBAA?oc=5"" target=""_blank"">Oct. 31 - Law increases value of recycling, decreases waste</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Washington State Department of Ecology</font>",text/plain,,,"Oct. 31 - Law increases value of recycling, decreases waste - Washington State Department of Ecology",text/html,,,"<a href=""https://news.google.com/rss/articles/CBMiY2h0dHBzOi8vZWNvbG9neS53YS5nb3YvYWJvdXQtdXMvd2hvLXdlLWFyZS9uZXdzLzIwMjMvb2N0LTMxLWxhdy1pbmNyZWFzZXMtcmVjeWNsaW5nLWRlY3JlYXNlcy13YXN0ZdIBAA?oc=5"" target=""_blank"">Oct. 31 - Law increases value of recycling, decreases waste</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Washington State Department of Ecology</font>",https://ecology.wa.gov,Washington State Department of Ecology,"https://news.google.com/rss/search?q=""Recycled content"" ""new products""+after:2023-10-01+before:2023-10-31"
Arnold Bread launches bags incorporating post-consumer recycled content - Snack Food & Wholesale Bakery,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://news.google.com/rss/articles/CBMidmh0dHBzOi8vd3d3LnNuYWNrYW5kYmFrZXJ5LmNvbS9hcnRpY2xlcy8xMDk4OTctYXJub2xkLWJyZWFkLWxhdW5jaGVzLWJhZ3MtaW5jb3Jwb3JhdGluZy1wb3N0LWNvbnN1bWVyLXJlY3ljbGVkLWNvbnRlbnTSAQA?oc=5'}]",https://news.google.com/rss/articles/CBMidmh0dHBzOi8vd3d3LnNuYWNrYW5kYmFrZXJ5LmNvbS9hcnRpY2xlcy8xMDk4OTctYXJub2xkLWJyZWFkLWxhdW5jaGVzLWJhZ3MtaW5jb3Jwb3JhdGluZy1wb3N0LWNvbnN1bWVyLXJlY3ljbGVkLWNvbnRlbnTSAQA?oc=5,CBMidmh0dHBzOi8vd3d3LnNuYWNrYW5kYmFrZXJ5LmNvbS9hcnRpY2xlcy8xMDk4OTctYXJub2xkLWJyZWFkLWxhdW5jaGVzLWJhZ3MtaW5jb3Jwb3JhdGluZy1wb3N0LWNvbnN1bWVyLXJlY3ljbGVkLWNvbnRlbnTSAQA,False,"Mon, 02 Oct 2023 07:00:00 GMT","time.struct_time(tm_year=2023, tm_mon=10, tm_mday=2, tm_hour=7, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=275, tm_isdst=0)","<a href=""https://news.google.com/rss/articles/CBMidmh0dHBzOi8vd3d3LnNuYWNrYW5kYmFrZXJ5LmNvbS9hcnRpY2xlcy8xMDk4OTctYXJub2xkLWJyZWFkLWxhdW5jaGVzLWJhZ3MtaW5jb3Jwb3JhdGluZy1wb3N0LWNvbnN1bWVyLXJlY3ljbGVkLWNvbnRlbnTSAQA?oc=5"" target=""_blank"">Arnold Bread launches bags incorporating post-consumer recycled content</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Snack Food & Wholesale Bakery</font>",text/plain,,,Arnold Bread launches bags incorporating post-consumer recycled content - Snack Food & Wholesale Bakery,text/html,,,"<a href=""https://news.google.com/rss/articles/CBMidmh0dHBzOi8vd3d3LnNuYWNrYW5kYmFrZXJ5LmNvbS9hcnRpY2xlcy8xMDk4OTctYXJub2xkLWJyZWFkLWxhdW5jaGVzLWJhZ3MtaW5jb3Jwb3JhdGluZy1wb3N0LWNvbnN1bWVyLXJlY3ljbGVkLWNvbnRlbnTSAQA?oc=5"" target=""_blank"">Arnold Bread launches bags incorporating post-consumer recycled content</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Snack Food & Wholesale Bakery</font>",https://www.snackandbakery.com,Snack Food & Wholesale Bakery,"https://news.google.com/rss/search?q=""Recycled content"" ""new products""+after:2023-10-01+before:2023-10-31"
Planet-friendly packaging: Latest innovations - FoodBev.com,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://news.google.com/rss/articles/CBMiSmh0dHBzOi8vd3d3LmZvb2RiZXYuY29tL25ld3MvcGxhbmV0LWZyaWVuZGx5LXBhY2thZ2luZy1sYXRlc3QtaW5ub3ZhdGlvbnMv0gEA?oc=5'}]",https://news.google.com/rss/articles/CBMiSmh0dHBzOi8vd3d3LmZvb2RiZXYuY29tL25ld3MvcGxhbmV0LWZyaWVuZGx5LXBhY2thZ2luZy1sYXRlc3QtaW5ub3ZhdGlvbnMv0gEA?oc=5,CBMiSmh0dHBzOi8vd3d3LmZvb2RiZXYuY29tL25ld3MvcGxhbmV0LWZyaWVuZGx5LXBhY2thZ2luZy1sYXRlc3QtaW5ub3ZhdGlvbnMv0gEA,False,"Fri, 27 Oct 2023 07:00:00 GMT","time.struct_time(tm_year=2023, tm_mon=10, tm_mday=27, tm_hour=7, tm_min=0, tm_sec=0, tm_wday=4, tm_yday=300, tm_isdst=0)","<a href=""https://news.google.com/rss/articles/CBMiSmh0dHBzOi8vd3d3LmZvb2RiZXYuY29tL25ld3MvcGxhbmV0LWZyaWVuZGx5LXBhY2thZ2luZy1sYXRlc3QtaW5ub3ZhdGlvbnMv0gEA?oc=5"" target=""_blank"">Planet-friendly packaging: Latest innovations</a>&nbsp;&nbsp;<font color=""#6f6f6f"">FoodBev.com</font>",text/plain,,,Planet-friendly packaging: Latest innovations - FoodBev.com,text/html,,,"<a href=""https://news.google.com/rss/articles/CBMiSmh0dHBzOi8vd3d3LmZvb2RiZXYuY29tL25ld3MvcGxhbmV0LWZyaWVuZGx5LXBhY2thZ2luZy1sYXRlc3QtaW5ub3ZhdGlvbnMv0gEA?oc=5"" target=""_blank"">Planet-friendly packaging: Latest innovations</a>&nbsp;&nbsp;<font color=""#6f6f6f"">FoodBev.com</font>",https://www.foodbev.com,FoodBev.com,"https://news.google.com/rss/search?q=""Recycled content"" ""new products""+after:2023-10-01+before:2023-10-31"
Initial vote on PPWR signals relief for policymakers - Zero Waste Europe,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://news.google.com/rss/articles/CBMiXmh0dHBzOi8vemVyb3dhc3RlZXVyb3BlLmV1L3ByZXNzLXJlbGVhc2UvaW5pdGlhbC12b3RlLW9uLXBwd3Itc2lnbmFscy1yZWxpZWYtZm9yLXBvbGljeW1ha2Vycy_SAQA?oc=5'}]",https://news.google.com/rss/articles/CBMiXmh0dHBzOi8vemVyb3dhc3RlZXVyb3BlLmV1L3ByZXNzLXJlbGVhc2UvaW5pdGlhbC12b3RlLW9uLXBwd3Itc2lnbmFscy1yZWxpZWYtZm9yLXBvbGljeW1ha2Vycy_SAQA?oc=5,CBMiXmh0dHBzOi8vemVyb3dhc3RlZXVyb3BlLmV1L3ByZXNzLXJlbGVhc2UvaW5pdGlhbC12b3RlLW9uLXBwd3Itc2lnbmFscy1yZWxpZWYtZm9yLXBvbGljeW1ha2Vycy_SAQA,False,"Tue, 24 Oct 2023 07:00:00 GMT","time.struct_time(tm_year=2023, tm_mon=10, tm_mday=24, tm_hour=7, tm_min=0, tm_sec=0, tm_wday=1, tm_yday=297, tm_isdst=0)","<a href=""https://news.google.com/rss/articles/CBMiXmh0dHBzOi8vemVyb3dhc3RlZXVyb3BlLmV1L3ByZXNzLXJlbGVhc2UvaW5pdGlhbC12b3RlLW9uLXBwd3Itc2lnbmFscy1yZWxpZWYtZm9yLXBvbGljeW1ha2Vycy_SAQA?oc=5"" target=""_blank"">Initial vote on PPWR signals relief for policymakers</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Zero Waste Europe</font>",text/plain,,,Initial vote on PPWR signals relief for policymakers - Zero Waste Europe,text/html,,,"<a href=""https://news.google.com/rss/articles/CBMiXmh0dHBzOi8vemVyb3dhc3RlZXVyb3BlLmV1L3ByZXNzLXJlbGVhc2UvaW5pdGlhbC12b3RlLW9uLXBwd3Itc2lnbmFscy1yZWxpZWYtZm9yLXBvbGljeW1ha2Vycy_SAQA?oc=5"" target=""_blank"">Initial vote on PPWR signals relief for policymakers</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Zero Waste Europe</font>",https://zerowasteeurope.eu,Zero Waste Europe,"https://news.google.com/rss/search?q=""Recycled content"" ""new products""+after:2023-10-01+before:2023-10-31"
Plastic Recycling Industry at Crossroads: Uncertainty and Shrinking Demand Shifts - RecyclingPortal,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://news.google.com/rss/articles/CBMiKGh0dHBzOi8vcmVjeWNsaW5ncG9ydGFsLmV1L0FyY2hpdmUvODE1NTfSAQA?oc=5'}]",https://news.google.com/rss/articles/CBMiKGh0dHBzOi8vcmVjeWNsaW5ncG9ydGFsLmV1L0FyY2hpdmUvODE1NTfSAQA?oc=5,CBMiKGh0dHBzOi8vcmVjeWNsaW5ncG9ydGFsLmV1L0FyY2hpdmUvODE1NTfSAQA,False,"Fri, 13 Oct 2023 07:00:00 GMT","time.struct_time(tm_year=2023, tm_mon=10, tm_mday=13, tm_hour=7, tm_min=0, tm_sec=0, tm_wday=4, tm_yday=286, tm_isdst=0)","<a href=""https://news.google.com/rss/articles/CBMiKGh0dHBzOi8vcmVjeWNsaW5ncG9ydGFsLmV1L0FyY2hpdmUvODE1NTfSAQA?oc=5"" target=""_blank"">Plastic Recycling Industry at Crossroads: Uncertainty and Shrinking Demand Shifts</a>&nbsp;&nbsp;<font color=""#6f6f6f"">RecyclingPortal</font>",text/plain,,,Plastic Recycling Industry at Crossroads: Uncertainty and Shrinking Demand Shifts - RecyclingPortal,text/html,,,"<a href=""https://news.google.com/rss/articles/CBMiKGh0dHBzOi8vcmVjeWNsaW5ncG9ydGFsLmV1L0FyY2hpdmUvODE1NTfSAQA?oc=5"" target=""_blank"">Plastic Recycling Industry at Crossroads: Uncertainty and Shrinking Demand Shifts</a>&nbsp;&nbsp;<font color=""#6f6f6f"">RecyclingPortal</font>",https://recyclingportal.eu,RecyclingPortal,"https://news.google.com/rss/search?q=""Recycled content"" ""new products""+after:2023-10-01+before:2023-10-31"
Industry responds to Packaging and Packaging Waste Directive's controversial Compromise Amendments - Packaging Europe,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://news.google.com/rss/articles/CBMikAFodHRwczovL3BhY2thZ2luZ2V1cm9wZS5jb20vbmV3cy9pbmR1c3RyeS1yZXNwb25kcy10by1wYWNrYWdpbmctYW5kLXBhY2thZ2luZy13YXN0ZS1kaXJlY3RpdmVzLWNvbnRyb3ZlcnNpYWwtY29tcHJvbWlzZS1hbWVuZG1lbnRzLzEwNTE1LmFydGljbGXSAQA?oc=5'}]",https://news.google.com/rss/articles/CBMikAFodHRwczovL3BhY2thZ2luZ2V1cm9wZS5jb20vbmV3cy9pbmR1c3RyeS1yZXNwb25kcy10by1wYWNrYWdpbmctYW5kLXBhY2thZ2luZy13YXN0ZS1kaXJlY3RpdmVzLWNvbnRyb3ZlcnNpYWwtY29tcHJvbWlzZS1hbWVuZG1lbnRzLzEwNTE1LmFydGljbGXSAQA?oc=5,CBMikAFodHRwczovL3BhY2thZ2luZ2V1cm9wZS5jb20vbmV3cy9pbmR1c3RyeS1yZXNwb25kcy10by1wYWNrYWdpbmctYW5kLXBhY2thZ2luZy13YXN0ZS1kaXJlY3RpdmVzLWNvbnRyb3ZlcnNpYWwtY29tcHJvbWlzZS1hbWVuZG1lbnRzLzEwNTE1LmFydGljbGXSAQA,False,"Wed, 25 Oct 2023 07:00:00 GMT","time.struct_time(tm_year=2023, tm_mon=10, tm_mday=25, tm_hour=7, tm_min=0, tm_sec=0, tm_wday=2, tm_yday=298, tm_isdst=0)","<a href=""https://news.google.com/rss/articles/CBMikAFodHRwczovL3BhY2thZ2luZ2V1cm9wZS5jb20vbmV3cy9pbmR1c3RyeS1yZXNwb25kcy10by1wYWNrYWdpbmctYW5kLXBhY2thZ2luZy13YXN0ZS1kaXJlY3RpdmVzLWNvbnRyb3ZlcnNpYWwtY29tcHJvbWlzZS1hbWVuZG1lbnRzLzEwNTE1LmFydGljbGXSAQA?oc=5"" target=""_blank"">Industry responds to Packaging and Packaging Waste Directive's controversial Compromise Amendments</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Packaging Europe</font>",text/plain,,,Industry responds to Packaging and Packaging Waste Directive's controversial Compromise Amendments - Packaging Europe,text/html,,,"<a href=""https://news.google.com/rss/articles/CBMikAFodHRwczovL3BhY2thZ2luZ2V1cm9wZS5jb20vbmV3cy9pbmR1c3RyeS1yZXNwb25kcy10by1wYWNrYWdpbmctYW5kLXBhY2thZ2luZy13YXN0ZS1kaXJlY3RpdmVzLWNvbnRyb3ZlcnNpYWwtY29tcHJvbWlzZS1hbWVuZG1lbnRzLzEwNTE1LmFydGljbGXSAQA?oc=5"" target=""_blank"">Industry responds to Packaging and Packaging Waste Directive's controversial Compromise Amendments</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Packaging Europe</font>",https://packagingeurope.com,Packaging Europe,"https://news.google.com/rss/search?q=""Recycled content"" ""new products""+after:2023-10-01+before:2023-10-31"
Coca-Cola India Launches 100% Recycled PET Bottles in the Carbonated Beverage Category - PR Newswire,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://news.google.com/rss/articles/CBMikAFodHRwczovL3d3dy5wcm5ld3N3aXJlLmNvbS9pbi9uZXdzLXJlbGVhc2VzL2NvY2EtY29sYS1pbmRpYS1sYXVuY2hlcy0xMDAtcmVjeWNsZWQtcGV0LWJvdHRsZXMtaW4tdGhlLWNhcmJvbmF0ZWQtYmV2ZXJhZ2UtY2F0ZWdvcnktMzAxOTQ3MjA3Lmh0bWzSAQA?oc=5'}]",https://news.google.com/rss/articles/CBMikAFodHRwczovL3d3dy5wcm5ld3N3aXJlLmNvbS9pbi9uZXdzLXJlbGVhc2VzL2NvY2EtY29sYS1pbmRpYS1sYXVuY2hlcy0xMDAtcmVjeWNsZWQtcGV0LWJvdHRsZXMtaW4tdGhlLWNhcmJvbmF0ZWQtYmV2ZXJhZ2UtY2F0ZWdvcnktMzAxOTQ3MjA3Lmh0bWzSAQA?oc=5,CBMikAFodHRwczovL3d3dy5wcm5ld3N3aXJlLmNvbS9pbi9uZXdzLXJlbGVhc2VzL2NvY2EtY29sYS1pbmRpYS1sYXVuY2hlcy0xMDAtcmVjeWNsZWQtcGV0LWJvdHRsZXMtaW4tdGhlLWNhcmJvbmF0ZWQtYmV2ZXJhZ2UtY2F0ZWdvcnktMzAxOTQ3MjA3Lmh0bWzSAQA,False,"Wed, 04 Oct 2023 07:00:00 GMT","time.struct_time(tm_year=2023, tm_mon=10, tm_mday=4, tm_hour=7, tm_min=0, tm_sec=0, tm_wday=2, tm_yday=277, tm_isdst=0)","<a href=""https://news.google.com/rss/articles/CBMikAFodHRwczovL3d3dy5wcm5ld3N3aXJlLmNvbS9pbi9uZXdzLXJlbGVhc2VzL2NvY2EtY29sYS1pbmRpYS1sYXVuY2hlcy0xMDAtcmVjeWNsZWQtcGV0LWJvdHRsZXMtaW4tdGhlLWNhcmJvbmF0ZWQtYmV2ZXJhZ2UtY2F0ZWdvcnktMzAxOTQ3MjA3Lmh0bWzSAQA?oc=5"" target=""_blank"">Coca-Cola India Launches 100% Recycled PET Bottles in the Carbonated Beverage Category</a>&nbsp;&nbsp;<font color=""#6f6f6f"">PR Newswire</font>",text/plain,,,Coca-Cola India Launches 100% Recycled PET Bottles in the Carbonated Beverage Category - PR Newswire,text/html,,,"<a href=""https://news.google.com/rss/articles/CBMikAFodHRwczovL3d3dy5wcm5ld3N3aXJlLmNvbS9pbi9uZXdzLXJlbGVhc2VzL2NvY2EtY29sYS1pbmRpYS1sYXVuY2hlcy0xMDAtcmVjeWNsZWQtcGV0LWJvdHRsZXMtaW4tdGhlLWNhcmJvbmF0ZWQtYmV2ZXJhZ2UtY2F0ZWdvcnktMzAxOTQ3MjA3Lmh0bWzSAQA?oc=5"" target=""_blank"">Coca-Cola India Launches 100% Recycled PET Bottles in the Carbonated Beverage Category</a>&nbsp;&nbsp;<font color=""#6f6f6f"">PR Newswire</font>",https://www.prnewswire.com,PR Newswire,"https://news.google.com/rss/search?q=""Recycled content"" ""new products""+after:2023-10-01+before:2023-10-31"
Fakuma - Celanese news from the floor - Sustainable Plastics,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://news.google.com/rss/articles/CBMiQ2h0dHBzOi8vd3d3LnN1c3RhaW5hYmxlcGxhc3RpY3MuY29tL25ld3MvZmFrdW1hLWNlbGFuZXNlLW5ld3MtZmxvb3LSAQA?oc=5'}]",https://news.google.com/rss/articles/CBMiQ2h0dHBzOi8vd3d3LnN1c3RhaW5hYmxlcGxhc3RpY3MuY29tL25ld3MvZmFrdW1hLWNlbGFuZXNlLW5ld3MtZmxvb3LSAQA?oc=5,CBMiQ2h0dHBzOi8vd3d3LnN1c3RhaW5hYmxlcGxhc3RpY3MuY29tL25ld3MvZmFrdW1hLWNlbGFuZXNlLW5ld3MtZmxvb3LSAQA,False,"Tue, 17 Oct 2023 07:00:00 GMT","time.struct_time(tm_year=2023, tm_mon=10, tm_mday=17, tm_hour=7, tm_min=0, tm_sec=0, tm_wday=1, tm_yday=290, tm_isdst=0)","<a href=""https://news.google.com/rss/articles/CBMiQ2h0dHBzOi8vd3d3LnN1c3RhaW5hYmxlcGxhc3RpY3MuY29tL25ld3MvZmFrdW1hLWNlbGFuZXNlLW5ld3MtZmxvb3LSAQA?oc=5"" target=""_blank"">Fakuma - Celanese news from the floor</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Sustainable Plastics</font>",text/plain,,,Fakuma - Celanese news from the floor - Sustainable Plastics,text/html,,,"<a href=""https://news.google.com/rss/articles/CBMiQ2h0dHBzOi8vd3d3LnN1c3RhaW5hYmxlcGxhc3RpY3MuY29tL25ld3MvZmFrdW1hLWNlbGFuZXNlLW5ld3MtZmxvb3LSAQA?oc=5"" target=""_blank"">Fakuma - Celanese news from the floor</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Sustainable Plastics</font>",https://www.sustainableplastics.com,Sustainable Plastics,"https://news.google.com/rss/search?q=""Recycled content"" ""new products""+after:2023-10-01+before:2023-10-31"
Innovators find creative ways to recycle plastic into profit - St. Albert Gazette,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://news.google.com/rss/articles/CBMiZmh0dHBzOi8vd3d3LnN0YWxiZXJ0Z2F6ZXR0ZS5jb20vbG9jYWwtbmV3cy93ZWFsdGgtZnJvbS13YXN0ZS1zYWJhbi1zY2hvb3JsZW1tZXItc2VpZGVsLWFuZHJld3MtNzY4MzU5MdIBAA?oc=5'}]",https://news.google.com/rss/articles/CBMiZmh0dHBzOi8vd3d3LnN0YWxiZXJ0Z2F6ZXR0ZS5jb20vbG9jYWwtbmV3cy93ZWFsdGgtZnJvbS13YXN0ZS1zYWJhbi1zY2hvb3JsZW1tZXItc2VpZGVsLWFuZHJld3MtNzY4MzU5MdIBAA?oc=5,CBMiZmh0dHBzOi8vd3d3LnN0YWxiZXJ0Z2F6ZXR0ZS5jb20vbG9jYWwtbmV3cy93ZWFsdGgtZnJvbS13YXN0ZS1zYWJhbi1zY2hvb3JsZW1tZXItc2VpZGVsLWFuZHJld3MtNzY4MzU5MdIBAA,False,"Fri, 20 Oct 2023 07:00:00 GMT","time.struct_time(tm_year=2023, tm_mon=10, tm_mday=20, tm_hour=7, tm_min=0, tm_sec=0, tm_wday=4, tm_yday=293, tm_isdst=0)","<a href=""https://news.google.com/rss/articles/CBMiZmh0dHBzOi8vd3d3LnN0YWxiZXJ0Z2F6ZXR0ZS5jb20vbG9jYWwtbmV3cy93ZWFsdGgtZnJvbS13YXN0ZS1zYWJhbi1zY2hvb3JsZW1tZXItc2VpZGVsLWFuZHJld3MtNzY4MzU5MdIBAA?oc=5"" target=""_blank"">Innovators find creative ways to recycle plastic into profit</a>&nbsp;&nbsp;<font color=""#6f6f6f"">St. Albert Gazette</font>",text/plain,,,Innovators find creative ways to recycle plastic into profit - St. Albert Gazette,text/html,,,"<a href=""https://news.google.com/rss/articles/CBMiZmh0dHBzOi8vd3d3LnN0YWxiZXJ0Z2F6ZXR0ZS5jb20vbG9jYWwtbmV3cy93ZWFsdGgtZnJvbS13YXN0ZS1zYWJhbi1zY2hvb3JsZW1tZXItc2VpZGVsLWFuZHJld3MtNzY4MzU5MdIBAA?oc=5"" target=""_blank"">Innovators find creative ways to recycle plastic into profit</a>&nbsp;&nbsp;<font color=""#6f6f6f"">St. Albert Gazette</font>",https://www.stalbertgazette.com,St. Albert Gazette,"https://news.google.com/rss/search?q=""Recycled content"" ""new products""+after:2023-10-01+before:2023-10-31"
Luxe Pack Monaco: perfume packaging has embraced a 360° ecodesign approach - Premium beauty,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://news.google.com/rss/articles/CBMiTWh0dHBzOi8vd3d3LnByZW1pdW1iZWF1dHluZXdzLmNvbS9lbi9sdXhlLXBhY2stbW9uYWNvLXBlcmZ1bWUtcGFja2FnaW5nLDIyNzk40gEA?oc=5'}]",https://news.google.com/rss/articles/CBMiTWh0dHBzOi8vd3d3LnByZW1pdW1iZWF1dHluZXdzLmNvbS9lbi9sdXhlLXBhY2stbW9uYWNvLXBlcmZ1bWUtcGFja2FnaW5nLDIyNzk40gEA?oc=5,CBMiTWh0dHBzOi8vd3d3LnByZW1pdW1iZWF1dHluZXdzLmNvbS9lbi9sdXhlLXBhY2stbW9uYWNvLXBlcmZ1bWUtcGFja2FnaW5nLDIyNzk40gEA,False,"Tue, 24 Oct 2023 07:00:00 GMT","time.struct_time(tm_year=2023, tm_mon=10, tm_mday=24, tm_hour=7, tm_min=0, tm_sec=0, tm_wday=1, tm_yday=297, tm_isdst=0)","<a href=""https://news.google.com/rss/articles/CBMiTWh0dHBzOi8vd3d3LnByZW1pdW1iZWF1dHluZXdzLmNvbS9lbi9sdXhlLXBhY2stbW9uYWNvLXBlcmZ1bWUtcGFja2FnaW5nLDIyNzk40gEA?oc=5"" target=""_blank"">Luxe Pack Monaco: perfume packaging has embraced a 360° ecodesign approach</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Premium beauty</font>",text/plain,,,Luxe Pack Monaco: perfume packaging has embraced a 360° ecodesign approach - Premium beauty,text/html,,,"<a href=""https://news.google.com/rss/articles/CBMiTWh0dHBzOi8vd3d3LnByZW1pdW1iZWF1dHluZXdzLmNvbS9lbi9sdXhlLXBhY2stbW9uYWNvLXBlcmZ1bWUtcGFja2FnaW5nLDIyNzk40gEA?oc=5"" target=""_blank"">Luxe Pack Monaco: perfume packaging has embraced a 360° ecodesign approach</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Premium beauty</font>",https://www.premiumbeautynews.com,Premium beauty,"https://news.google.com/rss/search?q=""Recycled content"" ""new products""+after:2023-10-01+before:2023-10-31"
