title,links,link,id,guidislink,published,published_parsed,summary,title_detail.type,title_detail.language,title_detail.base,title_detail.value,summary_detail.type,summary_detail.language,summary_detail.base,summary_detail.value,source.href,source.title,query
Renewable Energy Generation Operations Begin at Electrify America Solar Glow™ 1 - PR Newswire,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://news.google.com/rss/articles/CBMihgFodHRwczovL3d3dy5wcm5ld3N3aXJlLmNvbS9uZXdzLXJlbGVhc2VzL3JlbmV3YWJsZS1lbmVyZ3ktZ2VuZXJhdGlvbi1vcGVyYXRpb25zLWJlZ2luLWF0LWVsZWN0cmlmeS1hbWVyaWNhLXNvbGFyLWdsb3ctMS0zMDE5MDEyMTMuaHRtbNIBAA?oc=5'}]",https://news.google.com/rss/articles/CBMihgFodHRwczovL3d3dy5wcm5ld3N3aXJlLmNvbS9uZXdzLXJlbGVhc2VzL3JlbmV3YWJsZS1lbmVyZ3ktZ2VuZXJhdGlvbi1vcGVyYXRpb25zLWJlZ2luLWF0LWVsZWN0cmlmeS1hbWVyaWNhLXNvbGFyLWdsb3ctMS0zMDE5MDEyMTMuaHRtbNIBAA?oc=5,CBMihgFodHRwczovL3d3dy5wcm5ld3N3aXJlLmNvbS9uZXdzLXJlbGVhc2VzL3JlbmV3YWJsZS1lbmVyZ3ktZ2VuZXJhdGlvbi1vcGVyYXRpb25zLWJlZ2luLWF0LWVsZWN0cmlmeS1hbWVyaWNhLXNvbGFyLWdsb3ctMS0zMDE5MDEyMTMuaHRtbNIBAA,False,"Tue, 15 Aug 2023 07:00:00 GMT","time.struct_time(tm_year=2023, tm_mon=8, tm_mday=15, tm_hour=7, tm_min=0, tm_sec=0, tm_wday=1, tm_yday=227, tm_isdst=0)","<a href=""https://news.google.com/rss/articles/CBMihgFodHRwczovL3d3dy5wcm5ld3N3aXJlLmNvbS9uZXdzLXJlbGVhc2VzL3JlbmV3YWJsZS1lbmVyZ3ktZ2VuZXJhdGlvbi1vcGVyYXRpb25zLWJlZ2luLWF0LWVsZWN0cmlmeS1hbWVyaWNhLXNvbGFyLWdsb3ctMS0zMDE5MDEyMTMuaHRtbNIBAA?oc=5"" target=""_blank"">Renewable Energy Generation Operations Begin at Electrify America Solar Glow™ 1</a>&nbsp;&nbsp;<font color=""#6f6f6f"">PR Newswire</font>",text/plain,,,Renewable Energy Generation Operations Begin at Electrify America Solar Glow™ 1 - PR Newswire,text/html,,,"<a href=""https://news.google.com/rss/articles/CBMihgFodHRwczovL3d3dy5wcm5ld3N3aXJlLmNvbS9uZXdzLXJlbGVhc2VzL3JlbmV3YWJsZS1lbmVyZ3ktZ2VuZXJhdGlvbi1vcGVyYXRpb25zLWJlZ2luLWF0LWVsZWN0cmlmeS1hbWVyaWNhLXNvbGFyLWdsb3ctMS0zMDE5MDEyMTMuaHRtbNIBAA?oc=5"" target=""_blank"">Renewable Energy Generation Operations Begin at Electrify America Solar Glow™ 1</a>&nbsp;&nbsp;<font color=""#6f6f6f"">PR Newswire</font>",https://www.prnewswire.com,PR Newswire,"https://news.google.com/rss/search?q=""Renewable Energy"" ""new products""+after:2023-08-01+before:2023-08-31"
The Clean Energy Future Is Arriving Faster Than You Think - The New York Times,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://news.google.com/rss/articles/CBMiWGh0dHBzOi8vd3d3Lm55dGltZXMuY29tL2ludGVyYWN0aXZlLzIwMjMvMDgvMTIvY2xpbWF0ZS9jbGVhbi1lbmVyZ3ktdXMtZm9zc2lsLWZ1ZWxzLmh0bWzSAQA?oc=5'}]",https://news.google.com/rss/articles/CBMiWGh0dHBzOi8vd3d3Lm55dGltZXMuY29tL2ludGVyYWN0aXZlLzIwMjMvMDgvMTIvY2xpbWF0ZS9jbGVhbi1lbmVyZ3ktdXMtZm9zc2lsLWZ1ZWxzLmh0bWzSAQA?oc=5,CBMiWGh0dHBzOi8vd3d3Lm55dGltZXMuY29tL2ludGVyYWN0aXZlLzIwMjMvMDgvMTIvY2xpbWF0ZS9jbGVhbi1lbmVyZ3ktdXMtZm9zc2lsLWZ1ZWxzLmh0bWzSAQA,False,"Thu, 17 Aug 2023 07:00:00 GMT","time.struct_time(tm_year=2023, tm_mon=8, tm_mday=17, tm_hour=7, tm_min=0, tm_sec=0, tm_wday=3, tm_yday=229, tm_isdst=0)","<a href=""https://news.google.com/rss/articles/CBMiWGh0dHBzOi8vd3d3Lm55dGltZXMuY29tL2ludGVyYWN0aXZlLzIwMjMvMDgvMTIvY2xpbWF0ZS9jbGVhbi1lbmVyZ3ktdXMtZm9zc2lsLWZ1ZWxzLmh0bWzSAQA?oc=5"" target=""_blank"">The Clean Energy Future Is Arriving Faster Than You Think</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The New York Times</font>",text/plain,,,The Clean Energy Future Is Arriving Faster Than You Think - The New York Times,text/html,,,"<a href=""https://news.google.com/rss/articles/CBMiWGh0dHBzOi8vd3d3Lm55dGltZXMuY29tL2ludGVyYWN0aXZlLzIwMjMvMDgvMTIvY2xpbWF0ZS9jbGVhbi1lbmVyZ3ktdXMtZm9zc2lsLWZ1ZWxzLmh0bWzSAQA?oc=5"" target=""_blank"">The Clean Energy Future Is Arriving Faster Than You Think</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The New York Times</font>",https://www.nytimes.com,The New York Times,"https://news.google.com/rss/search?q=""Renewable Energy"" ""new products""+after:2023-08-01+before:2023-08-31"
Clean Energy Skills Workshops | TRC - TRC Companies,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://news.google.com/rss/articles/CBMiRGh0dHBzOi8vd3d3LnRyY2NvbXBhbmllcy5jb20vaW5zaWdodHMvY2xlYW4tZW5lcmd5LXNraWxscy13b3Jrc2hvcHMv0gEA?oc=5'}]",https://news.google.com/rss/articles/CBMiRGh0dHBzOi8vd3d3LnRyY2NvbXBhbmllcy5jb20vaW5zaWdodHMvY2xlYW4tZW5lcmd5LXNraWxscy13b3Jrc2hvcHMv0gEA?oc=5,CBMiRGh0dHBzOi8vd3d3LnRyY2NvbXBhbmllcy5jb20vaW5zaWdodHMvY2xlYW4tZW5lcmd5LXNraWxscy13b3Jrc2hvcHMv0gEA,False,"Wed, 16 Aug 2023 07:00:00 GMT","time.struct_time(tm_year=2023, tm_mon=8, tm_mday=16, tm_hour=7, tm_min=0, tm_sec=0, tm_wday=2, tm_yday=228, tm_isdst=0)","<a href=""https://news.google.com/rss/articles/CBMiRGh0dHBzOi8vd3d3LnRyY2NvbXBhbmllcy5jb20vaW5zaWdodHMvY2xlYW4tZW5lcmd5LXNraWxscy13b3Jrc2hvcHMv0gEA?oc=5"" target=""_blank"">Clean Energy Skills Workshops | TRC</a>&nbsp;&nbsp;<font color=""#6f6f6f"">TRC Companies</font>",text/plain,,,Clean Energy Skills Workshops | TRC - TRC Companies,text/html,,,"<a href=""https://news.google.com/rss/articles/CBMiRGh0dHBzOi8vd3d3LnRyY2NvbXBhbmllcy5jb20vaW5zaWdodHMvY2xlYW4tZW5lcmd5LXNraWxscy13b3Jrc2hvcHMv0gEA?oc=5"" target=""_blank"">Clean Energy Skills Workshops | TRC</a>&nbsp;&nbsp;<font color=""#6f6f6f"">TRC Companies</font>",https://www.trccompanies.com,TRC Companies,"https://news.google.com/rss/search?q=""Renewable Energy"" ""new products""+after:2023-08-01+before:2023-08-31"
"New products, packaging help minimize exam glove waste - Medline Newsroom","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://news.google.com/rss/articles/CBMiaWh0dHBzOi8vbmV3c3Jvb20ubWVkbGluZS5jb20vc29jaWFsLXJlc3BvbnNpYmlsaXR5L25ldy1wcm9kdWN0cy1wYWNrYWdpbmctaGVscC1taW5pbWl6ZS1leGFtLWdsb3ZlLXdhc3RlL9IBAA?oc=5'}]",https://news.google.com/rss/articles/CBMiaWh0dHBzOi8vbmV3c3Jvb20ubWVkbGluZS5jb20vc29jaWFsLXJlc3BvbnNpYmlsaXR5L25ldy1wcm9kdWN0cy1wYWNrYWdpbmctaGVscC1taW5pbWl6ZS1leGFtLWdsb3ZlLXdhc3RlL9IBAA?oc=5,CBMiaWh0dHBzOi8vbmV3c3Jvb20ubWVkbGluZS5jb20vc29jaWFsLXJlc3BvbnNpYmlsaXR5L25ldy1wcm9kdWN0cy1wYWNrYWdpbmctaGVscC1taW5pbWl6ZS1leGFtLWdsb3ZlLXdhc3RlL9IBAA,False,"Thu, 17 Aug 2023 07:00:00 GMT","time.struct_time(tm_year=2023, tm_mon=8, tm_mday=17, tm_hour=7, tm_min=0, tm_sec=0, tm_wday=3, tm_yday=229, tm_isdst=0)","<a href=""https://news.google.com/rss/articles/CBMiaWh0dHBzOi8vbmV3c3Jvb20ubWVkbGluZS5jb20vc29jaWFsLXJlc3BvbnNpYmlsaXR5L25ldy1wcm9kdWN0cy1wYWNrYWdpbmctaGVscC1taW5pbWl6ZS1leGFtLWdsb3ZlLXdhc3RlL9IBAA?oc=5"" target=""_blank"">New products, packaging help minimize exam glove waste</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Medline Newsroom</font>",text/plain,,,"New products, packaging help minimize exam glove waste - Medline Newsroom",text/html,,,"<a href=""https://news.google.com/rss/articles/CBMiaWh0dHBzOi8vbmV3c3Jvb20ubWVkbGluZS5jb20vc29jaWFsLXJlc3BvbnNpYmlsaXR5L25ldy1wcm9kdWN0cy1wYWNrYWdpbmctaGVscC1taW5pbWl6ZS1leGFtLWdsb3ZlLXdhc3RlL9IBAA?oc=5"" target=""_blank"">New products, packaging help minimize exam glove waste</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Medline Newsroom</font>",https://newsroom.medline.com,Medline Newsroom,"https://news.google.com/rss/search?q=""Renewable Energy"" ""new products""+after:2023-08-01+before:2023-08-31"
Our Path to Net Zero - Lowe’s Corporate,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://news.google.com/rss/articles/CBMiJGh0dHBzOi8vY29ycG9yYXRlLmxvd2VzLmNvbS9uZXQtemVyb9IBAA?oc=5'}]",https://news.google.com/rss/articles/CBMiJGh0dHBzOi8vY29ycG9yYXRlLmxvd2VzLmNvbS9uZXQtemVyb9IBAA?oc=5,CBMiJGh0dHBzOi8vY29ycG9yYXRlLmxvd2VzLmNvbS9uZXQtemVyb9IBAA,False,"Mon, 07 Aug 2023 12:05:09 GMT","time.struct_time(tm_year=2023, tm_mon=8, tm_mday=7, tm_hour=12, tm_min=5, tm_sec=9, tm_wday=0, tm_yday=219, tm_isdst=0)","<a href=""https://news.google.com/rss/articles/CBMiJGh0dHBzOi8vY29ycG9yYXRlLmxvd2VzLmNvbS9uZXQtemVyb9IBAA?oc=5"" target=""_blank"">Our Path to Net Zero</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Lowe’s Corporate</font>",text/plain,,,Our Path to Net Zero - Lowe’s Corporate,text/html,,,"<a href=""https://news.google.com/rss/articles/CBMiJGh0dHBzOi8vY29ycG9yYXRlLmxvd2VzLmNvbS9uZXQtemVyb9IBAA?oc=5"" target=""_blank"">Our Path to Net Zero</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Lowe’s Corporate</font>",https://corporate.lowes.com,Lowe’s Corporate,"https://news.google.com/rss/search?q=""Renewable Energy"" ""new products""+after:2023-08-01+before:2023-08-31"
Stellantis Invests in CTR to Strengthen Low Emissions U.S. Lithium Production - Stellantis,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://news.google.com/rss/articles/CBMiiAFodHRwczovL3d3dy5zdGVsbGFudGlzLmNvbS9lbi9uZXdzL3ByZXNzLXJlbGVhc2VzLzIwMjMvYXVndXN0L3N0ZWxsYW50aXMtaW52ZXN0cy1pbi1jdHItdG8tc3RyZW5ndGhlbi1sb3ctZW1pc3Npb24tdXMtbGl0aGl1bS1wcm9kdWN0aW9u0gEA?oc=5'}]",https://news.google.com/rss/articles/CBMiiAFodHRwczovL3d3dy5zdGVsbGFudGlzLmNvbS9lbi9uZXdzL3ByZXNzLXJlbGVhc2VzLzIwMjMvYXVndXN0L3N0ZWxsYW50aXMtaW52ZXN0cy1pbi1jdHItdG8tc3RyZW5ndGhlbi1sb3ctZW1pc3Npb24tdXMtbGl0aGl1bS1wcm9kdWN0aW9u0gEA?oc=5,CBMiiAFodHRwczovL3d3dy5zdGVsbGFudGlzLmNvbS9lbi9uZXdzL3ByZXNzLXJlbGVhc2VzLzIwMjMvYXVndXN0L3N0ZWxsYW50aXMtaW52ZXN0cy1pbi1jdHItdG8tc3RyZW5ndGhlbi1sb3ctZW1pc3Npb24tdXMtbGl0aGl1bS1wcm9kdWN0aW9u0gEA,False,"Thu, 17 Aug 2023 07:00:00 GMT","time.struct_time(tm_year=2023, tm_mon=8, tm_mday=17, tm_hour=7, tm_min=0, tm_sec=0, tm_wday=3, tm_yday=229, tm_isdst=0)","<a href=""https://news.google.com/rss/articles/CBMiiAFodHRwczovL3d3dy5zdGVsbGFudGlzLmNvbS9lbi9uZXdzL3ByZXNzLXJlbGVhc2VzLzIwMjMvYXVndXN0L3N0ZWxsYW50aXMtaW52ZXN0cy1pbi1jdHItdG8tc3RyZW5ndGhlbi1sb3ctZW1pc3Npb24tdXMtbGl0aGl1bS1wcm9kdWN0aW9u0gEA?oc=5"" target=""_blank"">Stellantis Invests in CTR to Strengthen Low Emissions U.S. Lithium Production</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Stellantis</font>",text/plain,,,Stellantis Invests in CTR to Strengthen Low Emissions U.S. Lithium Production - Stellantis,text/html,,,"<a href=""https://news.google.com/rss/articles/CBMiiAFodHRwczovL3d3dy5zdGVsbGFudGlzLmNvbS9lbi9uZXdzL3ByZXNzLXJlbGVhc2VzLzIwMjMvYXVndXN0L3N0ZWxsYW50aXMtaW52ZXN0cy1pbi1jdHItdG8tc3RyZW5ndGhlbi1sb3ctZW1pc3Npb24tdXMtbGl0aGl1bS1wcm9kdWN0aW9u0gEA?oc=5"" target=""_blank"">Stellantis Invests in CTR to Strengthen Low Emissions U.S. Lithium Production</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Stellantis</font>",https://www.stellantis.com,Stellantis,"https://news.google.com/rss/search?q=""Renewable Energy"" ""new products""+after:2023-08-01+before:2023-08-31"
"Kenya's Solar Industry, Discussing Its Challenges And Opportunities. With Over 80% Reliance On Renewable Energy ... - SolarQuarter","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://news.google.com/rss/articles/CBMi5gFodHRwczovL3NvbGFycXVhcnRlci5jb20vMjAyMy8wOC8wMy9rZW55YXMtc29sYXItaW5kdXN0cnktZGlzY3Vzc2luZy1pdHMtY2hhbGxlbmdlcy1hbmQtb3Bwb3J0dW5pdGllcy13aXRoLW92ZXItODAtcmVsaWFuY2Utb24tcmVuZXdhYmxlLWVuZXJneS1mb3ItdGhlLW5hdGlvbmFsLWdyaWQta2VueWEtZGVtb25zdHJhdGVzLWEtc3Ryb25nLWNvbW1pdG1lbnQtdG8tcmVuZXdhYmxlcy1kYXZpZC1rYXJpL9IBAA?oc=5'}]",https://news.google.com/rss/articles/CBMi5gFodHRwczovL3NvbGFycXVhcnRlci5jb20vMjAyMy8wOC8wMy9rZW55YXMtc29sYXItaW5kdXN0cnktZGlzY3Vzc2luZy1pdHMtY2hhbGxlbmdlcy1hbmQtb3Bwb3J0dW5pdGllcy13aXRoLW92ZXItODAtcmVsaWFuY2Utb24tcmVuZXdhYmxlLWVuZXJneS1mb3ItdGhlLW5hdGlvbmFsLWdyaWQta2VueWEtZGVtb25zdHJhdGVzLWEtc3Ryb25nLWNvbW1pdG1lbnQtdG8tcmVuZXdhYmxlcy1kYXZpZC1rYXJpL9IBAA?oc=5,CBMi5gFodHRwczovL3NvbGFycXVhcnRlci5jb20vMjAyMy8wOC8wMy9rZW55YXMtc29sYXItaW5kdXN0cnktZGlzY3Vzc2luZy1pdHMtY2hhbGxlbmdlcy1hbmQtb3Bwb3J0dW5pdGllcy13aXRoLW92ZXItODAtcmVsaWFuY2Utb24tcmVuZXdhYmxlLWVuZXJneS1mb3ItdGhlLW5hdGlvbmFsLWdyaWQta2VueWEtZGVtb25zdHJhdGVzLWEtc3Ryb25nLWNvbW1pdG1lbnQtdG8tcmVuZXdhYmxlcy1kYXZpZC1rYXJpL9IBAA,False,"Thu, 03 Aug 2023 07:00:00 GMT","time.struct_time(tm_year=2023, tm_mon=8, tm_mday=3, tm_hour=7, tm_min=0, tm_sec=0, tm_wday=3, tm_yday=215, tm_isdst=0)","<a href=""https://news.google.com/rss/articles/CBMi5gFodHRwczovL3NvbGFycXVhcnRlci5jb20vMjAyMy8wOC8wMy9rZW55YXMtc29sYXItaW5kdXN0cnktZGlzY3Vzc2luZy1pdHMtY2hhbGxlbmdlcy1hbmQtb3Bwb3J0dW5pdGllcy13aXRoLW92ZXItODAtcmVsaWFuY2Utb24tcmVuZXdhYmxlLWVuZXJneS1mb3ItdGhlLW5hdGlvbmFsLWdyaWQta2VueWEtZGVtb25zdHJhdGVzLWEtc3Ryb25nLWNvbW1pdG1lbnQtdG8tcmVuZXdhYmxlcy1kYXZpZC1rYXJpL9IBAA?oc=5"" target=""_blank"">Kenya's Solar Industry, Discussing Its Challenges And Opportunities. With Over 80% Reliance On Renewable Energy ...</a>&nbsp;&nbsp;<font color=""#6f6f6f"">SolarQuarter</font>",text/plain,,,"Kenya's Solar Industry, Discussing Its Challenges And Opportunities. With Over 80% Reliance On Renewable Energy ... - SolarQuarter",text/html,,,"<a href=""https://news.google.com/rss/articles/CBMi5gFodHRwczovL3NvbGFycXVhcnRlci5jb20vMjAyMy8wOC8wMy9rZW55YXMtc29sYXItaW5kdXN0cnktZGlzY3Vzc2luZy1pdHMtY2hhbGxlbmdlcy1hbmQtb3Bwb3J0dW5pdGllcy13aXRoLW92ZXItODAtcmVsaWFuY2Utb24tcmVuZXdhYmxlLWVuZXJneS1mb3ItdGhlLW5hdGlvbmFsLWdyaWQta2VueWEtZGVtb25zdHJhdGVzLWEtc3Ryb25nLWNvbW1pdG1lbnQtdG8tcmVuZXdhYmxlcy1kYXZpZC1rYXJpL9IBAA?oc=5"" target=""_blank"">Kenya's Solar Industry, Discussing Its Challenges And Opportunities. With Over 80% Reliance On Renewable Energy ...</a>&nbsp;&nbsp;<font color=""#6f6f6f"">SolarQuarter</font>",https://solarquarter.com,SolarQuarter,"https://news.google.com/rss/search?q=""Renewable Energy"" ""new products""+after:2023-08-01+before:2023-08-31"
Observing the Megatrends of New Zealand's Green Economy | BCG - BCG,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://news.google.com/rss/articles/CBMiVGh0dHBzOi8vd3d3LmJjZy5jb20vcHVibGljYXRpb25zLzIwMjMvb2JzZXJ2aW5nLW1lZ2F0cmVuZHMtbmV3LXplYWxhbmQtZ3JlZW4tZWNvbm9tedIBAA?oc=5'}]",https://news.google.com/rss/articles/CBMiVGh0dHBzOi8vd3d3LmJjZy5jb20vcHVibGljYXRpb25zLzIwMjMvb2JzZXJ2aW5nLW1lZ2F0cmVuZHMtbmV3LXplYWxhbmQtZ3JlZW4tZWNvbm9tedIBAA?oc=5,CBMiVGh0dHBzOi8vd3d3LmJjZy5jb20vcHVibGljYXRpb25zLzIwMjMvb2JzZXJ2aW5nLW1lZ2F0cmVuZHMtbmV3LXplYWxhbmQtZ3JlZW4tZWNvbm9tedIBAA,False,"Mon, 07 Aug 2023 07:00:00 GMT","time.struct_time(tm_year=2023, tm_mon=8, tm_mday=7, tm_hour=7, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=219, tm_isdst=0)","<a href=""https://news.google.com/rss/articles/CBMiVGh0dHBzOi8vd3d3LmJjZy5jb20vcHVibGljYXRpb25zLzIwMjMvb2JzZXJ2aW5nLW1lZ2F0cmVuZHMtbmV3LXplYWxhbmQtZ3JlZW4tZWNvbm9tedIBAA?oc=5"" target=""_blank"">Observing the Megatrends of New Zealand's Green Economy | BCG</a>&nbsp;&nbsp;<font color=""#6f6f6f"">BCG</font>",text/plain,,,Observing the Megatrends of New Zealand's Green Economy | BCG - BCG,text/html,,,"<a href=""https://news.google.com/rss/articles/CBMiVGh0dHBzOi8vd3d3LmJjZy5jb20vcHVibGljYXRpb25zLzIwMjMvb2JzZXJ2aW5nLW1lZ2F0cmVuZHMtbmV3LXplYWxhbmQtZ3JlZW4tZWNvbm9tedIBAA?oc=5"" target=""_blank"">Observing the Megatrends of New Zealand's Green Economy | BCG</a>&nbsp;&nbsp;<font color=""#6f6f6f"">BCG</font>",https://www.bcg.com,BCG,"https://news.google.com/rss/search?q=""Renewable Energy"" ""new products""+after:2023-08-01+before:2023-08-31"
Brown-Forman and Ylem Energy develop solar array for Scottish distillery - FoodBev.com,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://news.google.com/rss/articles/CBMiZmh0dHBzOi8vd3d3LmZvb2RiZXYuY29tL25ld3MvYnJvd24tZm9ybWFuLWFuZC15bGVtLWVuZXJneS1kZXZlbG9wLXNvbGFyLWFycmF5LWZvci1zY290dGlzaC1kaXN0aWxsZXJ5L9IBAA?oc=5'}]",https://news.google.com/rss/articles/CBMiZmh0dHBzOi8vd3d3LmZvb2RiZXYuY29tL25ld3MvYnJvd24tZm9ybWFuLWFuZC15bGVtLWVuZXJneS1kZXZlbG9wLXNvbGFyLWFycmF5LWZvci1zY290dGlzaC1kaXN0aWxsZXJ5L9IBAA?oc=5,CBMiZmh0dHBzOi8vd3d3LmZvb2RiZXYuY29tL25ld3MvYnJvd24tZm9ybWFuLWFuZC15bGVtLWVuZXJneS1kZXZlbG9wLXNvbGFyLWFycmF5LWZvci1zY290dGlzaC1kaXN0aWxsZXJ5L9IBAA,False,"Wed, 23 Aug 2023 07:00:00 GMT","time.struct_time(tm_year=2023, tm_mon=8, tm_mday=23, tm_hour=7, tm_min=0, tm_sec=0, tm_wday=2, tm_yday=235, tm_isdst=0)","<a href=""https://news.google.com/rss/articles/CBMiZmh0dHBzOi8vd3d3LmZvb2RiZXYuY29tL25ld3MvYnJvd24tZm9ybWFuLWFuZC15bGVtLWVuZXJneS1kZXZlbG9wLXNvbGFyLWFycmF5LWZvci1zY290dGlzaC1kaXN0aWxsZXJ5L9IBAA?oc=5"" target=""_blank"">Brown-Forman and Ylem Energy develop solar array for Scottish distillery</a>&nbsp;&nbsp;<font color=""#6f6f6f"">FoodBev.com</font>",text/plain,,,Brown-Forman and Ylem Energy develop solar array for Scottish distillery - FoodBev.com,text/html,,,"<a href=""https://news.google.com/rss/articles/CBMiZmh0dHBzOi8vd3d3LmZvb2RiZXYuY29tL25ld3MvYnJvd24tZm9ybWFuLWFuZC15bGVtLWVuZXJneS1kZXZlbG9wLXNvbGFyLWFycmF5LWZvci1zY290dGlzaC1kaXN0aWxsZXJ5L9IBAA?oc=5"" target=""_blank"">Brown-Forman and Ylem Energy develop solar array for Scottish distillery</a>&nbsp;&nbsp;<font color=""#6f6f6f"">FoodBev.com</font>",https://www.foodbev.com,FoodBev.com,"https://news.google.com/rss/search?q=""Renewable Energy"" ""new products""+after:2023-08-01+before:2023-08-31"
From Shirts to Insulators: Recycled Honda Uniforms Find New Utility in Vehicles - Honda Newsroom,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://news.google.com/rss/articles/CBMirAFodHRwczovL2hvbmRhbmV3cy5jb20vZW4tVVMvaG9uZGEtY29ycG9yYXRlL3JlbGVhc2VzL3JlbGVhc2UtNTAwM2FhYTM5YzAwOTM5M2Y1ZDA2ZDYyMGYwN2Q0MDEtZnJvbS1zaGlydHMtdG8taW5zdWxhdG9ycy1yZWN5Y2xlZC1ob25kYS11bmlmb3Jtcy1maW5kLW5ldy11dGlsaXR5LWluLXZlaGljbGVz0gEA?oc=5'}]",https://news.google.com/rss/articles/CBMirAFodHRwczovL2hvbmRhbmV3cy5jb20vZW4tVVMvaG9uZGEtY29ycG9yYXRlL3JlbGVhc2VzL3JlbGVhc2UtNTAwM2FhYTM5YzAwOTM5M2Y1ZDA2ZDYyMGYwN2Q0MDEtZnJvbS1zaGlydHMtdG8taW5zdWxhdG9ycy1yZWN5Y2xlZC1ob25kYS11bmlmb3Jtcy1maW5kLW5ldy11dGlsaXR5LWluLXZlaGljbGVz0gEA?oc=5,CBMirAFodHRwczovL2hvbmRhbmV3cy5jb20vZW4tVVMvaG9uZGEtY29ycG9yYXRlL3JlbGVhc2VzL3JlbGVhc2UtNTAwM2FhYTM5YzAwOTM5M2Y1ZDA2ZDYyMGYwN2Q0MDEtZnJvbS1zaGlydHMtdG8taW5zdWxhdG9ycy1yZWN5Y2xlZC1ob25kYS11bmlmb3Jtcy1maW5kLW5ldy11dGlsaXR5LWluLXZlaGljbGVz0gEA,False,"Thu, 10 Aug 2023 07:00:00 GMT","time.struct_time(tm_year=2023, tm_mon=8, tm_mday=10, tm_hour=7, tm_min=0, tm_sec=0, tm_wday=3, tm_yday=222, tm_isdst=0)","<a href=""https://news.google.com/rss/articles/CBMirAFodHRwczovL2hvbmRhbmV3cy5jb20vZW4tVVMvaG9uZGEtY29ycG9yYXRlL3JlbGVhc2VzL3JlbGVhc2UtNTAwM2FhYTM5YzAwOTM5M2Y1ZDA2ZDYyMGYwN2Q0MDEtZnJvbS1zaGlydHMtdG8taW5zdWxhdG9ycy1yZWN5Y2xlZC1ob25kYS11bmlmb3Jtcy1maW5kLW5ldy11dGlsaXR5LWluLXZlaGljbGVz0gEA?oc=5"" target=""_blank"">From Shirts to Insulators: Recycled Honda Uniforms Find New Utility in Vehicles</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Honda Newsroom</font>",text/plain,,,From Shirts to Insulators: Recycled Honda Uniforms Find New Utility in Vehicles - Honda Newsroom,text/html,,,"<a href=""https://news.google.com/rss/articles/CBMirAFodHRwczovL2hvbmRhbmV3cy5jb20vZW4tVVMvaG9uZGEtY29ycG9yYXRlL3JlbGVhc2VzL3JlbGVhc2UtNTAwM2FhYTM5YzAwOTM5M2Y1ZDA2ZDYyMGYwN2Q0MDEtZnJvbS1zaGlydHMtdG8taW5zdWxhdG9ycy1yZWN5Y2xlZC1ob25kYS11bmlmb3Jtcy1maW5kLW5ldy11dGlsaXR5LWluLXZlaGljbGVz0gEA?oc=5"" target=""_blank"">From Shirts to Insulators: Recycled Honda Uniforms Find New Utility in Vehicles</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Honda Newsroom</font>",https://hondanews.com,Honda Newsroom,"https://news.google.com/rss/search?q=""Renewable Energy"" ""new products""+after:2023-08-01+before:2023-08-31"
