title,links,link,id,guidislink,published,published_parsed,summary,title_detail.type,title_detail.language,title_detail.base,title_detail.value,summary_detail.type,summary_detail.language,summary_detail.base,summary_detail.value,source.href,source.title,query
5 ways retailers are building the circular economy - NRF News,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://news.google.com/rss/articles/CBMiQ2h0dHBzOi8vbnJmLmNvbS9ibG9nLzUtd2F5cy1yZXRhaWxlcnMtYXJlLWJ1aWxkaW5nLWNpcmN1bGFyLWVjb25vbXnSAQA?oc=5'}]",https://news.google.com/rss/articles/CBMiQ2h0dHBzOi8vbnJmLmNvbS9ibG9nLzUtd2F5cy1yZXRhaWxlcnMtYXJlLWJ1aWxkaW5nLWNpcmN1bGFyLWVjb25vbXnSAQA?oc=5,CBMiQ2h0dHBzOi8vbnJmLmNvbS9ibG9nLzUtd2F5cy1yZXRhaWxlcnMtYXJlLWJ1aWxkaW5nLWNpcmN1bGFyLWVjb25vbXnSAQA,False,"Mon, 11 Sep 2023 07:00:00 GMT","time.struct_time(tm_year=2023, tm_mon=9, tm_mday=11, tm_hour=7, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=254, tm_isdst=0)","<a href=""https://news.google.com/rss/articles/CBMiQ2h0dHBzOi8vbnJmLmNvbS9ibG9nLzUtd2F5cy1yZXRhaWxlcnMtYXJlLWJ1aWxkaW5nLWNpcmN1bGFyLWVjb25vbXnSAQA?oc=5"" target=""_blank"">5 ways retailers are building the circular economy</a>&nbsp;&nbsp;<font color=""#6f6f6f"">NRF News</font>",text/plain,,,5 ways retailers are building the circular economy - NRF News,text/html,,,"<a href=""https://news.google.com/rss/articles/CBMiQ2h0dHBzOi8vbnJmLmNvbS9ibG9nLzUtd2F5cy1yZXRhaWxlcnMtYXJlLWJ1aWxkaW5nLWNpcmN1bGFyLWVjb25vbXnSAQA?oc=5"" target=""_blank"">5 ways retailers are building the circular economy</a>&nbsp;&nbsp;<font color=""#6f6f6f"">NRF News</font>",https://nrf.com,NRF News,"https://news.google.com/rss/search?q=""Sustainability"" ""new products""+after:2023-09-01+before:2023-09-30"
How Leading Beauty Retailers Are Embracing Sustainability In 2023 - Forbes,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://news.google.com/rss/articles/CBMihwFodHRwczovL3d3dy5mb3JiZXMuY29tL3NpdGVzL2NsYXJhbHVkbWlyLzIwMjMvMDkvMjIvaG93LWJlYXV0eS1yZXRhaWxlcnMtbGlrZS1zZXBob3JhLWFuZC1kb3VnbGFzLWFyZS1lbWJyYWNpbmctc3VzdGFpbmFiaWxpdHktaW4tMjAyMy_SAQA?oc=5'}]",https://news.google.com/rss/articles/CBMihwFodHRwczovL3d3dy5mb3JiZXMuY29tL3NpdGVzL2NsYXJhbHVkbWlyLzIwMjMvMDkvMjIvaG93LWJlYXV0eS1yZXRhaWxlcnMtbGlrZS1zZXBob3JhLWFuZC1kb3VnbGFzLWFyZS1lbWJyYWNpbmctc3VzdGFpbmFiaWxpdHktaW4tMjAyMy_SAQA?oc=5,CBMihwFodHRwczovL3d3dy5mb3JiZXMuY29tL3NpdGVzL2NsYXJhbHVkbWlyLzIwMjMvMDkvMjIvaG93LWJlYXV0eS1yZXRhaWxlcnMtbGlrZS1zZXBob3JhLWFuZC1kb3VnbGFzLWFyZS1lbWJyYWNpbmctc3VzdGFpbmFiaWxpdHktaW4tMjAyMy_SAQA,False,"Fri, 22 Sep 2023 07:00:00 GMT","time.struct_time(tm_year=2023, tm_mon=9, tm_mday=22, tm_hour=7, tm_min=0, tm_sec=0, tm_wday=4, tm_yday=265, tm_isdst=0)","<a href=""https://news.google.com/rss/articles/CBMihwFodHRwczovL3d3dy5mb3JiZXMuY29tL3NpdGVzL2NsYXJhbHVkbWlyLzIwMjMvMDkvMjIvaG93LWJlYXV0eS1yZXRhaWxlcnMtbGlrZS1zZXBob3JhLWFuZC1kb3VnbGFzLWFyZS1lbWJyYWNpbmctc3VzdGFpbmFiaWxpdHktaW4tMjAyMy_SAQA?oc=5"" target=""_blank"">How Leading Beauty Retailers Are Embracing Sustainability In 2023</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Forbes</font>",text/plain,,,How Leading Beauty Retailers Are Embracing Sustainability In 2023 - Forbes,text/html,,,"<a href=""https://news.google.com/rss/articles/CBMihwFodHRwczovL3d3dy5mb3JiZXMuY29tL3NpdGVzL2NsYXJhbHVkbWlyLzIwMjMvMDkvMjIvaG93LWJlYXV0eS1yZXRhaWxlcnMtbGlrZS1zZXBob3JhLWFuZC1kb3VnbGFzLWFyZS1lbWJyYWNpbmctc3VzdGFpbmFiaWxpdHktaW4tMjAyMy_SAQA?oc=5"" target=""_blank"">How Leading Beauty Retailers Are Embracing Sustainability In 2023</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Forbes</font>",https://www.forbes.com,Forbes,"https://news.google.com/rss/search?q=""Sustainability"" ""new products""+after:2023-09-01+before:2023-09-30"
"ACC Issues Set of Principles to Support Sustainability Initiatives, Policy, Advocacy, and Communications Efforts - American Chemistry Council","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://news.google.com/rss/articles/CBMivwFodHRwczovL3d3dy5hbWVyaWNhbmNoZW1pc3RyeS5jb20vY2hlbWlzdHJ5LWluLWFtZXJpY2EvbmV3cy10cmVuZHMvYmxvZy1wb3N0LzIwMjMvYWNjLWlzc3Vlcy1zZXQtb2YtcHJpbmNpcGxlcy10by1zdXBwb3J0LXN1c3RhaW5hYmlsaXR5LWluaXRpYXRpdmVzLXBvbGljeS1hZHZvY2FjeS1hbmQtY29tbXVuaWNhdGlvbnMtZWZmb3J0c9IBAA?oc=5'}]",https://news.google.com/rss/articles/CBMivwFodHRwczovL3d3dy5hbWVyaWNhbmNoZW1pc3RyeS5jb20vY2hlbWlzdHJ5LWluLWFtZXJpY2EvbmV3cy10cmVuZHMvYmxvZy1wb3N0LzIwMjMvYWNjLWlzc3Vlcy1zZXQtb2YtcHJpbmNpcGxlcy10by1zdXBwb3J0LXN1c3RhaW5hYmlsaXR5LWluaXRpYXRpdmVzLXBvbGljeS1hZHZvY2FjeS1hbmQtY29tbXVuaWNhdGlvbnMtZWZmb3J0c9IBAA?oc=5,CBMivwFodHRwczovL3d3dy5hbWVyaWNhbmNoZW1pc3RyeS5jb20vY2hlbWlzdHJ5LWluLWFtZXJpY2EvbmV3cy10cmVuZHMvYmxvZy1wb3N0LzIwMjMvYWNjLWlzc3Vlcy1zZXQtb2YtcHJpbmNpcGxlcy10by1zdXBwb3J0LXN1c3RhaW5hYmlsaXR5LWluaXRpYXRpdmVzLXBvbGljeS1hZHZvY2FjeS1hbmQtY29tbXVuaWNhdGlvbnMtZWZmb3J0c9IBAA,False,"Wed, 13 Sep 2023 07:00:00 GMT","time.struct_time(tm_year=2023, tm_mon=9, tm_mday=13, tm_hour=7, tm_min=0, tm_sec=0, tm_wday=2, tm_yday=256, tm_isdst=0)","<a href=""https://news.google.com/rss/articles/CBMivwFodHRwczovL3d3dy5hbWVyaWNhbmNoZW1pc3RyeS5jb20vY2hlbWlzdHJ5LWluLWFtZXJpY2EvbmV3cy10cmVuZHMvYmxvZy1wb3N0LzIwMjMvYWNjLWlzc3Vlcy1zZXQtb2YtcHJpbmNpcGxlcy10by1zdXBwb3J0LXN1c3RhaW5hYmlsaXR5LWluaXRpYXRpdmVzLXBvbGljeS1hZHZvY2FjeS1hbmQtY29tbXVuaWNhdGlvbnMtZWZmb3J0c9IBAA?oc=5"" target=""_blank"">ACC Issues Set of Principles to Support Sustainability Initiatives, Policy, Advocacy, and Communications Efforts</a>&nbsp;&nbsp;<font color=""#6f6f6f"">American Chemistry Council</font>",text/plain,,,"ACC Issues Set of Principles to Support Sustainability Initiatives, Policy, Advocacy, and Communications Efforts - American Chemistry Council",text/html,,,"<a href=""https://news.google.com/rss/articles/CBMivwFodHRwczovL3d3dy5hbWVyaWNhbmNoZW1pc3RyeS5jb20vY2hlbWlzdHJ5LWluLWFtZXJpY2EvbmV3cy10cmVuZHMvYmxvZy1wb3N0LzIwMjMvYWNjLWlzc3Vlcy1zZXQtb2YtcHJpbmNpcGxlcy10by1zdXBwb3J0LXN1c3RhaW5hYmlsaXR5LWluaXRpYXRpdmVzLXBvbGljeS1hZHZvY2FjeS1hbmQtY29tbXVuaWNhdGlvbnMtZWZmb3J0c9IBAA?oc=5"" target=""_blank"">ACC Issues Set of Principles to Support Sustainability Initiatives, Policy, Advocacy, and Communications Efforts</a>&nbsp;&nbsp;<font color=""#6f6f6f"">American Chemistry Council</font>",https://www.americanchemistry.com,American Chemistry Council,"https://news.google.com/rss/search?q=""Sustainability"" ""new products""+after:2023-09-01+before:2023-09-30"
Linking ESG initiatives to financial performance - McKinsey,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://news.google.com/rss/articles/CBMimQFodHRwczovL3d3dy5tY2tpbnNleS5jb20vY2FwYWJpbGl0aWVzL3N0cmF0ZWd5LWFuZC1jb3Jwb3JhdGUtZmluYW5jZS9vdXItaW5zaWdodHMvaW52ZXN0b3JzLXdhbnQtdG8taGVhci1mcm9tLWNvbXBhbmllcy1hYm91dC10aGUtdmFsdWUtb2Ytc3VzdGFpbmFiaWxpdHnSAQA?oc=5'}]",https://news.google.com/rss/articles/CBMimQFodHRwczovL3d3dy5tY2tpbnNleS5jb20vY2FwYWJpbGl0aWVzL3N0cmF0ZWd5LWFuZC1jb3Jwb3JhdGUtZmluYW5jZS9vdXItaW5zaWdodHMvaW52ZXN0b3JzLXdhbnQtdG8taGVhci1mcm9tLWNvbXBhbmllcy1hYm91dC10aGUtdmFsdWUtb2Ytc3VzdGFpbmFiaWxpdHnSAQA?oc=5,CBMimQFodHRwczovL3d3dy5tY2tpbnNleS5jb20vY2FwYWJpbGl0aWVzL3N0cmF0ZWd5LWFuZC1jb3Jwb3JhdGUtZmluYW5jZS9vdXItaW5zaWdodHMvaW52ZXN0b3JzLXdhbnQtdG8taGVhci1mcm9tLWNvbXBhbmllcy1hYm91dC10aGUtdmFsdWUtb2Ytc3VzdGFpbmFiaWxpdHnSAQA,False,"Fri, 15 Sep 2023 07:00:00 GMT","time.struct_time(tm_year=2023, tm_mon=9, tm_mday=15, tm_hour=7, tm_min=0, tm_sec=0, tm_wday=4, tm_yday=258, tm_isdst=0)","<a href=""https://news.google.com/rss/articles/CBMimQFodHRwczovL3d3dy5tY2tpbnNleS5jb20vY2FwYWJpbGl0aWVzL3N0cmF0ZWd5LWFuZC1jb3Jwb3JhdGUtZmluYW5jZS9vdXItaW5zaWdodHMvaW52ZXN0b3JzLXdhbnQtdG8taGVhci1mcm9tLWNvbXBhbmllcy1hYm91dC10aGUtdmFsdWUtb2Ytc3VzdGFpbmFiaWxpdHnSAQA?oc=5"" target=""_blank"">Linking ESG initiatives to financial performance</a>&nbsp;&nbsp;<font color=""#6f6f6f"">McKinsey</font>",text/plain,,,Linking ESG initiatives to financial performance - McKinsey,text/html,,,"<a href=""https://news.google.com/rss/articles/CBMimQFodHRwczovL3d3dy5tY2tpbnNleS5jb20vY2FwYWJpbGl0aWVzL3N0cmF0ZWd5LWFuZC1jb3Jwb3JhdGUtZmluYW5jZS9vdXItaW5zaWdodHMvaW52ZXN0b3JzLXdhbnQtdG8taGVhci1mcm9tLWNvbXBhbmllcy1hYm91dC10aGUtdmFsdWUtb2Ytc3VzdGFpbmFiaWxpdHnSAQA?oc=5"" target=""_blank"">Linking ESG initiatives to financial performance</a>&nbsp;&nbsp;<font color=""#6f6f6f"">McKinsey</font>",https://www.mckinsey.com,McKinsey,"https://news.google.com/rss/search?q=""Sustainability"" ""new products""+after:2023-09-01+before:2023-09-30"
Sustainability doesn't have to be boring - HCT'S newest innovations - Premium beauty,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://news.google.com/rss/articles/CBMiTGh0dHBzOi8vd3d3LnByZW1pdW1iZWF1dHluZXdzLmNvbS9lbi9zdXN0YWluYWJpbGl0eS1kb2Vzbi10LWhhdmUtdG8tYmUsMjI1NjPSAQA?oc=5'}]",https://news.google.com/rss/articles/CBMiTGh0dHBzOi8vd3d3LnByZW1pdW1iZWF1dHluZXdzLmNvbS9lbi9zdXN0YWluYWJpbGl0eS1kb2Vzbi10LWhhdmUtdG8tYmUsMjI1NjPSAQA?oc=5,CBMiTGh0dHBzOi8vd3d3LnByZW1pdW1iZWF1dHluZXdzLmNvbS9lbi9zdXN0YWluYWJpbGl0eS1kb2Vzbi10LWhhdmUtdG8tYmUsMjI1NjPSAQA,False,"Tue, 12 Sep 2023 07:00:00 GMT","time.struct_time(tm_year=2023, tm_mon=9, tm_mday=12, tm_hour=7, tm_min=0, tm_sec=0, tm_wday=1, tm_yday=255, tm_isdst=0)","<a href=""https://news.google.com/rss/articles/CBMiTGh0dHBzOi8vd3d3LnByZW1pdW1iZWF1dHluZXdzLmNvbS9lbi9zdXN0YWluYWJpbGl0eS1kb2Vzbi10LWhhdmUtdG8tYmUsMjI1NjPSAQA?oc=5"" target=""_blank"">Sustainability doesn't have to be boring - HCT'S newest innovations</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Premium beauty</font>",text/plain,,,Sustainability doesn't have to be boring - HCT'S newest innovations - Premium beauty,text/html,,,"<a href=""https://news.google.com/rss/articles/CBMiTGh0dHBzOi8vd3d3LnByZW1pdW1iZWF1dHluZXdzLmNvbS9lbi9zdXN0YWluYWJpbGl0eS1kb2Vzbi10LWhhdmUtdG8tYmUsMjI1NjPSAQA?oc=5"" target=""_blank"">Sustainability doesn't have to be boring - HCT'S newest innovations</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Premium beauty</font>",https://www.premiumbeautynews.com,Premium beauty,"https://news.google.com/rss/search?q=""Sustainability"" ""new products""+after:2023-09-01+before:2023-09-30"
"Private label products growing in popularity due to price, quality and sustainability, research shows - FoodNavigator.com","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://news.google.com/rss/articles/CBMilAFodHRwczovL3d3dy5mb29kbmF2aWdhdG9yLmNvbS9BcnRpY2xlLzIwMjMvMDkvMjgvUHJpdmF0ZS1sYWJlbC1wcm9kdWN0cy1ncm93aW5nLWluLXBvcHVsYXJpdHktZHVlLXRvLXByaWNlLXF1YWxpdHktYW5kLXN1c3RhaW5hYmlsaXR5LXJlc2VhcmNoLXNob3dz0gEA?oc=5'}]",https://news.google.com/rss/articles/CBMilAFodHRwczovL3d3dy5mb29kbmF2aWdhdG9yLmNvbS9BcnRpY2xlLzIwMjMvMDkvMjgvUHJpdmF0ZS1sYWJlbC1wcm9kdWN0cy1ncm93aW5nLWluLXBvcHVsYXJpdHktZHVlLXRvLXByaWNlLXF1YWxpdHktYW5kLXN1c3RhaW5hYmlsaXR5LXJlc2VhcmNoLXNob3dz0gEA?oc=5,CBMilAFodHRwczovL3d3dy5mb29kbmF2aWdhdG9yLmNvbS9BcnRpY2xlLzIwMjMvMDkvMjgvUHJpdmF0ZS1sYWJlbC1wcm9kdWN0cy1ncm93aW5nLWluLXBvcHVsYXJpdHktZHVlLXRvLXByaWNlLXF1YWxpdHktYW5kLXN1c3RhaW5hYmlsaXR5LXJlc2VhcmNoLXNob3dz0gEA,False,"Thu, 28 Sep 2023 07:00:00 GMT","time.struct_time(tm_year=2023, tm_mon=9, tm_mday=28, tm_hour=7, tm_min=0, tm_sec=0, tm_wday=3, tm_yday=271, tm_isdst=0)","<a href=""https://news.google.com/rss/articles/CBMilAFodHRwczovL3d3dy5mb29kbmF2aWdhdG9yLmNvbS9BcnRpY2xlLzIwMjMvMDkvMjgvUHJpdmF0ZS1sYWJlbC1wcm9kdWN0cy1ncm93aW5nLWluLXBvcHVsYXJpdHktZHVlLXRvLXByaWNlLXF1YWxpdHktYW5kLXN1c3RhaW5hYmlsaXR5LXJlc2VhcmNoLXNob3dz0gEA?oc=5"" target=""_blank"">Private label products growing in popularity due to price, quality and sustainability, research shows</a>&nbsp;&nbsp;<font color=""#6f6f6f"">FoodNavigator.com</font>",text/plain,,,"Private label products growing in popularity due to price, quality and sustainability, research shows - FoodNavigator.com",text/html,,,"<a href=""https://news.google.com/rss/articles/CBMilAFodHRwczovL3d3dy5mb29kbmF2aWdhdG9yLmNvbS9BcnRpY2xlLzIwMjMvMDkvMjgvUHJpdmF0ZS1sYWJlbC1wcm9kdWN0cy1ncm93aW5nLWluLXBvcHVsYXJpdHktZHVlLXRvLXByaWNlLXF1YWxpdHktYW5kLXN1c3RhaW5hYmlsaXR5LXJlc2VhcmNoLXNob3dz0gEA?oc=5"" target=""_blank"">Private label products growing in popularity due to price, quality and sustainability, research shows</a>&nbsp;&nbsp;<font color=""#6f6f6f"">FoodNavigator.com</font>",https://www.foodnavigator.com,FoodNavigator.com,"https://news.google.com/rss/search?q=""Sustainability"" ""new products""+after:2023-09-01+before:2023-09-30"
Apple Launches its First Carbon Neutral Products - ESG Today,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://news.google.com/rss/articles/CBMiSmh0dHBzOi8vd3d3LmVzZ3RvZGF5LmNvbS9hcHBsZS1sYXVuY2hlcy1pdHMtZmlyc3QtY2FyYm9uLW5ldXRyYWwtcHJvZHVjdHMv0gEA?oc=5'}]",https://news.google.com/rss/articles/CBMiSmh0dHBzOi8vd3d3LmVzZ3RvZGF5LmNvbS9hcHBsZS1sYXVuY2hlcy1pdHMtZmlyc3QtY2FyYm9uLW5ldXRyYWwtcHJvZHVjdHMv0gEA?oc=5,CBMiSmh0dHBzOi8vd3d3LmVzZ3RvZGF5LmNvbS9hcHBsZS1sYXVuY2hlcy1pdHMtZmlyc3QtY2FyYm9uLW5ldXRyYWwtcHJvZHVjdHMv0gEA,False,"Wed, 13 Sep 2023 07:00:00 GMT","time.struct_time(tm_year=2023, tm_mon=9, tm_mday=13, tm_hour=7, tm_min=0, tm_sec=0, tm_wday=2, tm_yday=256, tm_isdst=0)","<a href=""https://news.google.com/rss/articles/CBMiSmh0dHBzOi8vd3d3LmVzZ3RvZGF5LmNvbS9hcHBsZS1sYXVuY2hlcy1pdHMtZmlyc3QtY2FyYm9uLW5ldXRyYWwtcHJvZHVjdHMv0gEA?oc=5"" target=""_blank"">Apple Launches its First Carbon Neutral Products</a>&nbsp;&nbsp;<font color=""#6f6f6f"">ESG Today</font>",text/plain,,,Apple Launches its First Carbon Neutral Products - ESG Today,text/html,,,"<a href=""https://news.google.com/rss/articles/CBMiSmh0dHBzOi8vd3d3LmVzZ3RvZGF5LmNvbS9hcHBsZS1sYXVuY2hlcy1pdHMtZmlyc3QtY2FyYm9uLW5ldXRyYWwtcHJvZHVjdHMv0gEA?oc=5"" target=""_blank"">Apple Launches its First Carbon Neutral Products</a>&nbsp;&nbsp;<font color=""#6f6f6f"">ESG Today</font>",https://www.esgtoday.com,ESG Today,"https://news.google.com/rss/search?q=""Sustainability"" ""new products""+after:2023-09-01+before:2023-09-30"
Whirlpool UK has made sustainability a core value - Sustainable Plastics,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://news.google.com/rss/articles/CBMiWGh0dHBzOi8vd3d3LnN1c3RhaW5hYmxlcGxhc3RpY3MuY29tL25ld3Mvd2hpcmxwb29sLXVrLWhhcy1tYWRlLXN1c3RhaW5hYmlsaXR5LWNvcmUtdmFsdWXSAQA?oc=5'}]",https://news.google.com/rss/articles/CBMiWGh0dHBzOi8vd3d3LnN1c3RhaW5hYmxlcGxhc3RpY3MuY29tL25ld3Mvd2hpcmxwb29sLXVrLWhhcy1tYWRlLXN1c3RhaW5hYmlsaXR5LWNvcmUtdmFsdWXSAQA?oc=5,CBMiWGh0dHBzOi8vd3d3LnN1c3RhaW5hYmxlcGxhc3RpY3MuY29tL25ld3Mvd2hpcmxwb29sLXVrLWhhcy1tYWRlLXN1c3RhaW5hYmlsaXR5LWNvcmUtdmFsdWXSAQA,False,"Tue, 26 Sep 2023 07:00:00 GMT","time.struct_time(tm_year=2023, tm_mon=9, tm_mday=26, tm_hour=7, tm_min=0, tm_sec=0, tm_wday=1, tm_yday=269, tm_isdst=0)","<a href=""https://news.google.com/rss/articles/CBMiWGh0dHBzOi8vd3d3LnN1c3RhaW5hYmxlcGxhc3RpY3MuY29tL25ld3Mvd2hpcmxwb29sLXVrLWhhcy1tYWRlLXN1c3RhaW5hYmlsaXR5LWNvcmUtdmFsdWXSAQA?oc=5"" target=""_blank"">Whirlpool UK has made sustainability a core value</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Sustainable Plastics</font>",text/plain,,,Whirlpool UK has made sustainability a core value - Sustainable Plastics,text/html,,,"<a href=""https://news.google.com/rss/articles/CBMiWGh0dHBzOi8vd3d3LnN1c3RhaW5hYmxlcGxhc3RpY3MuY29tL25ld3Mvd2hpcmxwb29sLXVrLWhhcy1tYWRlLXN1c3RhaW5hYmlsaXR5LWNvcmUtdmFsdWXSAQA?oc=5"" target=""_blank"">Whirlpool UK has made sustainability a core value</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Sustainable Plastics</font>",https://www.sustainableplastics.com,Sustainable Plastics,"https://news.google.com/rss/search?q=""Sustainability"" ""new products""+after:2023-09-01+before:2023-09-30"
7 sustainability certifications retailers and consumers can rely on - New Hope Network,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://news.google.com/rss/articles/CBMiVmh0dHBzOi8vd3d3Lm5ld2hvcGUuY29tL3JlZ3VsYXRvcnkvNy1zdXN0YWluYWJpbGl0eS1jZXJ0aWZpY2F0aW9ucy1yZXRhaWxlcnMtY2FuLXRydXN00gEA?oc=5'}]",https://news.google.com/rss/articles/CBMiVmh0dHBzOi8vd3d3Lm5ld2hvcGUuY29tL3JlZ3VsYXRvcnkvNy1zdXN0YWluYWJpbGl0eS1jZXJ0aWZpY2F0aW9ucy1yZXRhaWxlcnMtY2FuLXRydXN00gEA?oc=5,CBMiVmh0dHBzOi8vd3d3Lm5ld2hvcGUuY29tL3JlZ3VsYXRvcnkvNy1zdXN0YWluYWJpbGl0eS1jZXJ0aWZpY2F0aW9ucy1yZXRhaWxlcnMtY2FuLXRydXN00gEA,False,"Tue, 19 Sep 2023 07:00:00 GMT","time.struct_time(tm_year=2023, tm_mon=9, tm_mday=19, tm_hour=7, tm_min=0, tm_sec=0, tm_wday=1, tm_yday=262, tm_isdst=0)","<a href=""https://news.google.com/rss/articles/CBMiVmh0dHBzOi8vd3d3Lm5ld2hvcGUuY29tL3JlZ3VsYXRvcnkvNy1zdXN0YWluYWJpbGl0eS1jZXJ0aWZpY2F0aW9ucy1yZXRhaWxlcnMtY2FuLXRydXN00gEA?oc=5"" target=""_blank"">7 sustainability certifications retailers and consumers can rely on</a>&nbsp;&nbsp;<font color=""#6f6f6f"">New Hope Network</font>",text/plain,,,7 sustainability certifications retailers and consumers can rely on - New Hope Network,text/html,,,"<a href=""https://news.google.com/rss/articles/CBMiVmh0dHBzOi8vd3d3Lm5ld2hvcGUuY29tL3JlZ3VsYXRvcnkvNy1zdXN0YWluYWJpbGl0eS1jZXJ0aWZpY2F0aW9ucy1yZXRhaWxlcnMtY2FuLXRydXN00gEA?oc=5"" target=""_blank"">7 sustainability certifications retailers and consumers can rely on</a>&nbsp;&nbsp;<font color=""#6f6f6f"">New Hope Network</font>",https://www.newhope.com,New Hope Network,"https://news.google.com/rss/search?q=""Sustainability"" ""new products""+after:2023-09-01+before:2023-09-30"
Apple's First 'Carbon Neutral' Products: Greenwashing or Genuine Sustainability? - Impakter,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://news.google.com/rss/articles/CBMiYWh0dHBzOi8vaW1wYWt0ZXIuY29tL2FwcGxlcy1maXJzdC1jYXJib24tbmV1dHJhbC1wcm9kdWN0cy1ncmVlbndhc2hpbmctb3ItZ2VudWluZS1zdXN0YWluYWJpbGl0eS_SAQA?oc=5'}]",https://news.google.com/rss/articles/CBMiYWh0dHBzOi8vaW1wYWt0ZXIuY29tL2FwcGxlcy1maXJzdC1jYXJib24tbmV1dHJhbC1wcm9kdWN0cy1ncmVlbndhc2hpbmctb3ItZ2VudWluZS1zdXN0YWluYWJpbGl0eS_SAQA?oc=5,CBMiYWh0dHBzOi8vaW1wYWt0ZXIuY29tL2FwcGxlcy1maXJzdC1jYXJib24tbmV1dHJhbC1wcm9kdWN0cy1ncmVlbndhc2hpbmctb3ItZ2VudWluZS1zdXN0YWluYWJpbGl0eS_SAQA,False,"Wed, 13 Sep 2023 07:00:00 GMT","time.struct_time(tm_year=2023, tm_mon=9, tm_mday=13, tm_hour=7, tm_min=0, tm_sec=0, tm_wday=2, tm_yday=256, tm_isdst=0)","<a href=""https://news.google.com/rss/articles/CBMiYWh0dHBzOi8vaW1wYWt0ZXIuY29tL2FwcGxlcy1maXJzdC1jYXJib24tbmV1dHJhbC1wcm9kdWN0cy1ncmVlbndhc2hpbmctb3ItZ2VudWluZS1zdXN0YWluYWJpbGl0eS_SAQA?oc=5"" target=""_blank"">Apple's First 'Carbon Neutral' Products: Greenwashing or Genuine Sustainability?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Impakter</font>",text/plain,,,Apple's First 'Carbon Neutral' Products: Greenwashing or Genuine Sustainability? - Impakter,text/html,,,"<a href=""https://news.google.com/rss/articles/CBMiYWh0dHBzOi8vaW1wYWt0ZXIuY29tL2FwcGxlcy1maXJzdC1jYXJib24tbmV1dHJhbC1wcm9kdWN0cy1ncmVlbndhc2hpbmctb3ItZ2VudWluZS1zdXN0YWluYWJpbGl0eS_SAQA?oc=5"" target=""_blank"">Apple's First 'Carbon Neutral' Products: Greenwashing or Genuine Sustainability?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Impakter</font>",https://impakter.com,Impakter,"https://news.google.com/rss/search?q=""Sustainability"" ""new products""+after:2023-09-01+before:2023-09-30"
