title,links,link,id,guidislink,published,published_parsed,summary,title_detail.type,title_detail.language,title_detail.base,title_detail.value,summary_detail.type,summary_detail.language,summary_detail.base,summary_detail.value,source.href,source.title,query
Paris Rhône Energy to Showcase Green Energy Storage Solutions at RE+ 2023 - PR Newswire,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://news.google.com/rss/articles/CBMigAFodHRwczovL3d3dy5wcm5ld3N3aXJlLmNvbS9uZXdzLXJlbGVhc2VzL3BhcmlzLXJob25lLWVuZXJneS10by1zaG93Y2FzZS1ncmVlbi1lbmVyZ3ktc3RvcmFnZS1zb2x1dGlvbnMtYXQtcmUtMjAyMy0zMDE5MTc1MTguaHRtbNIBAA?oc=5'}]",https://news.google.com/rss/articles/CBMigAFodHRwczovL3d3dy5wcm5ld3N3aXJlLmNvbS9uZXdzLXJlbGVhc2VzL3BhcmlzLXJob25lLWVuZXJneS10by1zaG93Y2FzZS1ncmVlbi1lbmVyZ3ktc3RvcmFnZS1zb2x1dGlvbnMtYXQtcmUtMjAyMy0zMDE5MTc1MTguaHRtbNIBAA?oc=5,CBMigAFodHRwczovL3d3dy5wcm5ld3N3aXJlLmNvbS9uZXdzLXJlbGVhc2VzL3BhcmlzLXJob25lLWVuZXJneS10by1zaG93Y2FzZS1ncmVlbi1lbmVyZ3ktc3RvcmFnZS1zb2x1dGlvbnMtYXQtcmUtMjAyMy0zMDE5MTc1MTguaHRtbNIBAA,False,"Tue, 05 Sep 2023 07:00:00 GMT","time.struct_time(tm_year=2023, tm_mon=9, tm_mday=5, tm_hour=7, tm_min=0, tm_sec=0, tm_wday=1, tm_yday=248, tm_isdst=0)","<a href=""https://news.google.com/rss/articles/CBMigAFodHRwczovL3d3dy5wcm5ld3N3aXJlLmNvbS9uZXdzLXJlbGVhc2VzL3BhcmlzLXJob25lLWVuZXJneS10by1zaG93Y2FzZS1ncmVlbi1lbmVyZ3ktc3RvcmFnZS1zb2x1dGlvbnMtYXQtcmUtMjAyMy0zMDE5MTc1MTguaHRtbNIBAA?oc=5"" target=""_blank"">Paris Rhône Energy to Showcase Green Energy Storage Solutions at RE+ 2023</a>&nbsp;&nbsp;<font color=""#6f6f6f"">PR Newswire</font>",text/plain,,,Paris Rhône Energy to Showcase Green Energy Storage Solutions at RE+ 2023 - PR Newswire,text/html,,,"<a href=""https://news.google.com/rss/articles/CBMigAFodHRwczovL3d3dy5wcm5ld3N3aXJlLmNvbS9uZXdzLXJlbGVhc2VzL3BhcmlzLXJob25lLWVuZXJneS10by1zaG93Y2FzZS1ncmVlbi1lbmVyZ3ktc3RvcmFnZS1zb2x1dGlvbnMtYXQtcmUtMjAyMy0zMDE5MTc1MTguaHRtbNIBAA?oc=5"" target=""_blank"">Paris Rhône Energy to Showcase Green Energy Storage Solutions at RE+ 2023</a>&nbsp;&nbsp;<font color=""#6f6f6f"">PR Newswire</font>",https://www.prnewswire.com,PR Newswire,"https://news.google.com/rss/search?q=""Sustainable Energy"" ""new products""+after:2023-09-01+before:2023-09-30"
Replacing fossil fuel: MHI's insight into hydrogen - Energy Digital,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://news.google.com/rss/articles/CBMiWmh0dHBzOi8vZW5lcmd5ZGlnaXRhbC5jb20vYXJ0aWNsZXMvcmVwbGFjaW5nLWZvc3NpbC1mdWVsLW1pdHN1YmlzaGlzLWluc2lnaHQtaW50by1oeWRyb2dlbtIBAA?oc=5'}]",https://news.google.com/rss/articles/CBMiWmh0dHBzOi8vZW5lcmd5ZGlnaXRhbC5jb20vYXJ0aWNsZXMvcmVwbGFjaW5nLWZvc3NpbC1mdWVsLW1pdHN1YmlzaGlzLWluc2lnaHQtaW50by1oeWRyb2dlbtIBAA?oc=5,CBMiWmh0dHBzOi8vZW5lcmd5ZGlnaXRhbC5jb20vYXJ0aWNsZXMvcmVwbGFjaW5nLWZvc3NpbC1mdWVsLW1pdHN1YmlzaGlzLWluc2lnaHQtaW50by1oeWRyb2dlbtIBAA,False,"Sun, 03 Sep 2023 07:00:00 GMT","time.struct_time(tm_year=2023, tm_mon=9, tm_mday=3, tm_hour=7, tm_min=0, tm_sec=0, tm_wday=6, tm_yday=246, tm_isdst=0)","<a href=""https://news.google.com/rss/articles/CBMiWmh0dHBzOi8vZW5lcmd5ZGlnaXRhbC5jb20vYXJ0aWNsZXMvcmVwbGFjaW5nLWZvc3NpbC1mdWVsLW1pdHN1YmlzaGlzLWluc2lnaHQtaW50by1oeWRyb2dlbtIBAA?oc=5"" target=""_blank"">Replacing fossil fuel: MHI's insight into hydrogen</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Energy Digital</font>",text/plain,,,Replacing fossil fuel: MHI's insight into hydrogen - Energy Digital,text/html,,,"<a href=""https://news.google.com/rss/articles/CBMiWmh0dHBzOi8vZW5lcmd5ZGlnaXRhbC5jb20vYXJ0aWNsZXMvcmVwbGFjaW5nLWZvc3NpbC1mdWVsLW1pdHN1YmlzaGlzLWluc2lnaHQtaW50by1oeWRyb2dlbtIBAA?oc=5"" target=""_blank"">Replacing fossil fuel: MHI's insight into hydrogen</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Energy Digital</font>",https://energydigital.com,Energy Digital,"https://news.google.com/rss/search?q=""Sustainable Energy"" ""new products""+after:2023-09-01+before:2023-09-30"
Renewable Energy's Impact on Productivity - Caribbean News Now!,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://news.google.com/rss/articles/CBMiSWh0dHBzOi8vdGhlY2FyaWJiZWFubmV3c25vdy5jb20vcmVuZXdhYmxlLWVuZXJneXMtaW1wYWN0LW9uLXByb2R1Y3Rpdml0eS_SAQA?oc=5'}]",https://news.google.com/rss/articles/CBMiSWh0dHBzOi8vdGhlY2FyaWJiZWFubmV3c25vdy5jb20vcmVuZXdhYmxlLWVuZXJneXMtaW1wYWN0LW9uLXByb2R1Y3Rpdml0eS_SAQA?oc=5,CBMiSWh0dHBzOi8vdGhlY2FyaWJiZWFubmV3c25vdy5jb20vcmVuZXdhYmxlLWVuZXJneXMtaW1wYWN0LW9uLXByb2R1Y3Rpdml0eS_SAQA,False,"Thu, 28 Sep 2023 07:00:00 GMT","time.struct_time(tm_year=2023, tm_mon=9, tm_mday=28, tm_hour=7, tm_min=0, tm_sec=0, tm_wday=3, tm_yday=271, tm_isdst=0)","<a href=""https://news.google.com/rss/articles/CBMiSWh0dHBzOi8vdGhlY2FyaWJiZWFubmV3c25vdy5jb20vcmVuZXdhYmxlLWVuZXJneXMtaW1wYWN0LW9uLXByb2R1Y3Rpdml0eS_SAQA?oc=5"" target=""_blank"">Renewable Energy's Impact on Productivity</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Caribbean News Now!</font>",text/plain,,,Renewable Energy's Impact on Productivity - Caribbean News Now!,text/html,,,"<a href=""https://news.google.com/rss/articles/CBMiSWh0dHBzOi8vdGhlY2FyaWJiZWFubmV3c25vdy5jb20vcmVuZXdhYmxlLWVuZXJneXMtaW1wYWN0LW9uLXByb2R1Y3Rpdml0eS_SAQA?oc=5"" target=""_blank"">Renewable Energy's Impact on Productivity</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Caribbean News Now!</font>",https://thecaribbeannewsnow.com,Caribbean News Now!,"https://news.google.com/rss/search?q=""Sustainable Energy"" ""new products""+after:2023-09-01+before:2023-09-30"
Gambia launches tender to deploy 1100 solar systems on public buildings - pv magazine International,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://news.google.com/rss/articles/CBMib2h0dHBzOi8vd3d3LnB2LW1hZ2F6aW5lLmNvbS8yMDIzLzA5LzA3L2dhbWJpYS1sYXVuY2hlcy10ZW5kZXItdG8tZGVwbG95LTExMDAtc29sYXItc3lzdGVtcy1vbi1wdWJsaWMtYnVpbGRpbmdzL9IBAA?oc=5'}]",https://news.google.com/rss/articles/CBMib2h0dHBzOi8vd3d3LnB2LW1hZ2F6aW5lLmNvbS8yMDIzLzA5LzA3L2dhbWJpYS1sYXVuY2hlcy10ZW5kZXItdG8tZGVwbG95LTExMDAtc29sYXItc3lzdGVtcy1vbi1wdWJsaWMtYnVpbGRpbmdzL9IBAA?oc=5,CBMib2h0dHBzOi8vd3d3LnB2LW1hZ2F6aW5lLmNvbS8yMDIzLzA5LzA3L2dhbWJpYS1sYXVuY2hlcy10ZW5kZXItdG8tZGVwbG95LTExMDAtc29sYXItc3lzdGVtcy1vbi1wdWJsaWMtYnVpbGRpbmdzL9IBAA,False,"Thu, 07 Sep 2023 07:00:00 GMT","time.struct_time(tm_year=2023, tm_mon=9, tm_mday=7, tm_hour=7, tm_min=0, tm_sec=0, tm_wday=3, tm_yday=250, tm_isdst=0)","<a href=""https://news.google.com/rss/articles/CBMib2h0dHBzOi8vd3d3LnB2LW1hZ2F6aW5lLmNvbS8yMDIzLzA5LzA3L2dhbWJpYS1sYXVuY2hlcy10ZW5kZXItdG8tZGVwbG95LTExMDAtc29sYXItc3lzdGVtcy1vbi1wdWJsaWMtYnVpbGRpbmdzL9IBAA?oc=5"" target=""_blank"">Gambia launches tender to deploy 1100 solar systems on public buildings</a>&nbsp;&nbsp;<font color=""#6f6f6f"">pv magazine International</font>",text/plain,,,Gambia launches tender to deploy 1100 solar systems on public buildings - pv magazine International,text/html,,,"<a href=""https://news.google.com/rss/articles/CBMib2h0dHBzOi8vd3d3LnB2LW1hZ2F6aW5lLmNvbS8yMDIzLzA5LzA3L2dhbWJpYS1sYXVuY2hlcy10ZW5kZXItdG8tZGVwbG95LTExMDAtc29sYXItc3lzdGVtcy1vbi1wdWJsaWMtYnVpbGRpbmdzL9IBAA?oc=5"" target=""_blank"">Gambia launches tender to deploy 1100 solar systems on public buildings</a>&nbsp;&nbsp;<font color=""#6f6f6f"">pv magazine International</font>",https://www.pv-magazine.com,pv magazine International,"https://news.google.com/rss/search?q=""Sustainable Energy"" ""new products""+after:2023-09-01+before:2023-09-30"
Sustainable Approaches to Addressing the Global Food Crisis - AZoM,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://news.google.com/rss/articles/CBMiMWh0dHBzOi8vd3d3LmF6b20uY29tL2FydGljbGUuYXNweD9BcnRpY2xlSUQ9MjI5ODjSAQA?oc=5'}]",https://news.google.com/rss/articles/CBMiMWh0dHBzOi8vd3d3LmF6b20uY29tL2FydGljbGUuYXNweD9BcnRpY2xlSUQ9MjI5ODjSAQA?oc=5,CBMiMWh0dHBzOi8vd3d3LmF6b20uY29tL2FydGljbGUuYXNweD9BcnRpY2xlSUQ9MjI5ODjSAQA,False,"Tue, 12 Sep 2023 07:00:00 GMT","time.struct_time(tm_year=2023, tm_mon=9, tm_mday=12, tm_hour=7, tm_min=0, tm_sec=0, tm_wday=1, tm_yday=255, tm_isdst=0)","<a href=""https://news.google.com/rss/articles/CBMiMWh0dHBzOi8vd3d3LmF6b20uY29tL2FydGljbGUuYXNweD9BcnRpY2xlSUQ9MjI5ODjSAQA?oc=5"" target=""_blank"">Sustainable Approaches to Addressing the Global Food Crisis</a>&nbsp;&nbsp;<font color=""#6f6f6f"">AZoM</font>",text/plain,,,Sustainable Approaches to Addressing the Global Food Crisis - AZoM,text/html,,,"<a href=""https://news.google.com/rss/articles/CBMiMWh0dHBzOi8vd3d3LmF6b20uY29tL2FydGljbGUuYXNweD9BcnRpY2xlSUQ9MjI5ODjSAQA?oc=5"" target=""_blank"">Sustainable Approaches to Addressing the Global Food Crisis</a>&nbsp;&nbsp;<font color=""#6f6f6f"">AZoM</font>",https://www.azom.com,AZoM,"https://news.google.com/rss/search?q=""Sustainable Energy"" ""new products""+after:2023-09-01+before:2023-09-30"
Machinery mergers and acquisitions in Europe spur innovation - McKinsey,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://news.google.com/rss/articles/CBMijgFodHRwczovL3d3dy5tY2tpbnNleS5jb20vaW5kdXN0cmllcy9pbmR1c3RyaWFscy1hbmQtZWxlY3Ryb25pY3Mvb3VyLWluc2lnaHRzL2V1cm9wZWFuLW1hY2hpbmVyeS1jb21wYW5pZXMtYWNoaWV2aW5nLWJhbGFuY2UtdGhyb3VnaC1pbm5vdmF0aW9u0gEA?oc=5'}]",https://news.google.com/rss/articles/CBMijgFodHRwczovL3d3dy5tY2tpbnNleS5jb20vaW5kdXN0cmllcy9pbmR1c3RyaWFscy1hbmQtZWxlY3Ryb25pY3Mvb3VyLWluc2lnaHRzL2V1cm9wZWFuLW1hY2hpbmVyeS1jb21wYW5pZXMtYWNoaWV2aW5nLWJhbGFuY2UtdGhyb3VnaC1pbm5vdmF0aW9u0gEA?oc=5,CBMijgFodHRwczovL3d3dy5tY2tpbnNleS5jb20vaW5kdXN0cmllcy9pbmR1c3RyaWFscy1hbmQtZWxlY3Ryb25pY3Mvb3VyLWluc2lnaHRzL2V1cm9wZWFuLW1hY2hpbmVyeS1jb21wYW5pZXMtYWNoaWV2aW5nLWJhbGFuY2UtdGhyb3VnaC1pbm5vdmF0aW9u0gEA,False,"Wed, 06 Sep 2023 07:00:00 GMT","time.struct_time(tm_year=2023, tm_mon=9, tm_mday=6, tm_hour=7, tm_min=0, tm_sec=0, tm_wday=2, tm_yday=249, tm_isdst=0)","<a href=""https://news.google.com/rss/articles/CBMijgFodHRwczovL3d3dy5tY2tpbnNleS5jb20vaW5kdXN0cmllcy9pbmR1c3RyaWFscy1hbmQtZWxlY3Ryb25pY3Mvb3VyLWluc2lnaHRzL2V1cm9wZWFuLW1hY2hpbmVyeS1jb21wYW5pZXMtYWNoaWV2aW5nLWJhbGFuY2UtdGhyb3VnaC1pbm5vdmF0aW9u0gEA?oc=5"" target=""_blank"">Machinery mergers and acquisitions in Europe spur innovation</a>&nbsp;&nbsp;<font color=""#6f6f6f"">McKinsey</font>",text/plain,,,Machinery mergers and acquisitions in Europe spur innovation - McKinsey,text/html,,,"<a href=""https://news.google.com/rss/articles/CBMijgFodHRwczovL3d3dy5tY2tpbnNleS5jb20vaW5kdXN0cmllcy9pbmR1c3RyaWFscy1hbmQtZWxlY3Ryb25pY3Mvb3VyLWluc2lnaHRzL2V1cm9wZWFuLW1hY2hpbmVyeS1jb21wYW5pZXMtYWNoaWV2aW5nLWJhbGFuY2UtdGhyb3VnaC1pbm5vdmF0aW9u0gEA?oc=5"" target=""_blank"">Machinery mergers and acquisitions in Europe spur innovation</a>&nbsp;&nbsp;<font color=""#6f6f6f"">McKinsey</font>",https://www.mckinsey.com,McKinsey,"https://news.google.com/rss/search?q=""Sustainable Energy"" ""new products""+after:2023-09-01+before:2023-09-30"
"CSRWire - Speaking of Sustainability: Naren Srinivasan, Vice President, Corporate Development - CSRwire.com","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://news.google.com/rss/articles/CBMie2h0dHBzOi8vd3d3LmNzcndpcmUuY29tL3ByZXNzX3JlbGVhc2VzLzc4MzAxMS1zcGVha2luZy1zdXN0YWluYWJpbGl0eS1uYXJlbi1zcmluaXZhc2FuLXZpY2UtcHJlc2lkZW50LWNvcnBvcmF0ZS1kZXZlbG9wbWVudNIBAA?oc=5'}]",https://news.google.com/rss/articles/CBMie2h0dHBzOi8vd3d3LmNzcndpcmUuY29tL3ByZXNzX3JlbGVhc2VzLzc4MzAxMS1zcGVha2luZy1zdXN0YWluYWJpbGl0eS1uYXJlbi1zcmluaXZhc2FuLXZpY2UtcHJlc2lkZW50LWNvcnBvcmF0ZS1kZXZlbG9wbWVudNIBAA?oc=5,CBMie2h0dHBzOi8vd3d3LmNzcndpcmUuY29tL3ByZXNzX3JlbGVhc2VzLzc4MzAxMS1zcGVha2luZy1zdXN0YWluYWJpbGl0eS1uYXJlbi1zcmluaXZhc2FuLXZpY2UtcHJlc2lkZW50LWNvcnBvcmF0ZS1kZXZlbG9wbWVudNIBAA,False,"Fri, 08 Sep 2023 07:00:00 GMT","time.struct_time(tm_year=2023, tm_mon=9, tm_mday=8, tm_hour=7, tm_min=0, tm_sec=0, tm_wday=4, tm_yday=251, tm_isdst=0)","<a href=""https://news.google.com/rss/articles/CBMie2h0dHBzOi8vd3d3LmNzcndpcmUuY29tL3ByZXNzX3JlbGVhc2VzLzc4MzAxMS1zcGVha2luZy1zdXN0YWluYWJpbGl0eS1uYXJlbi1zcmluaXZhc2FuLXZpY2UtcHJlc2lkZW50LWNvcnBvcmF0ZS1kZXZlbG9wbWVudNIBAA?oc=5"" target=""_blank"">CSRWire - Speaking of Sustainability: Naren Srinivasan, Vice President, Corporate Development</a>&nbsp;&nbsp;<font color=""#6f6f6f"">CSRwire.com</font>",text/plain,,,"CSRWire - Speaking of Sustainability: Naren Srinivasan, Vice President, Corporate Development - CSRwire.com",text/html,,,"<a href=""https://news.google.com/rss/articles/CBMie2h0dHBzOi8vd3d3LmNzcndpcmUuY29tL3ByZXNzX3JlbGVhc2VzLzc4MzAxMS1zcGVha2luZy1zdXN0YWluYWJpbGl0eS1uYXJlbi1zcmluaXZhc2FuLXZpY2UtcHJlc2lkZW50LWNvcnBvcmF0ZS1kZXZlbG9wbWVudNIBAA?oc=5"" target=""_blank"">CSRWire - Speaking of Sustainability: Naren Srinivasan, Vice President, Corporate Development</a>&nbsp;&nbsp;<font color=""#6f6f6f"">CSRwire.com</font>",https://www.csrwire.com,CSRwire.com,"https://news.google.com/rss/search?q=""Sustainable Energy"" ""new products""+after:2023-09-01+before:2023-09-30"
Sion Power Partners with Citrine Informatics on Multi-Year Agreement to Accelerate Battery Technology Development ... - Business Wire,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://news.google.com/rss/articles/CBMivwFodHRwczovL3d3dy5idXNpbmVzc3dpcmUuY29tL25ld3MvaG9tZS8yMDIzMDkxMjgyOTc5Mi9lbi9TaW9uLVBvd2VyLVBhcnRuZXJzLXdpdGgtQ2l0cmluZS1JbmZvcm1hdGljcy1vbi1NdWx0aS1ZZWFyLUFncmVlbWVudC10by1BY2NlbGVyYXRlLUJhdHRlcnktVGVjaG5vbG9neS1EZXZlbG9wbWVudC1Vc2luZy1BSS1Bc3Npc3RlZC1SRNIBAA?oc=5'}]",https://news.google.com/rss/articles/CBMivwFodHRwczovL3d3dy5idXNpbmVzc3dpcmUuY29tL25ld3MvaG9tZS8yMDIzMDkxMjgyOTc5Mi9lbi9TaW9uLVBvd2VyLVBhcnRuZXJzLXdpdGgtQ2l0cmluZS1JbmZvcm1hdGljcy1vbi1NdWx0aS1ZZWFyLUFncmVlbWVudC10by1BY2NlbGVyYXRlLUJhdHRlcnktVGVjaG5vbG9neS1EZXZlbG9wbWVudC1Vc2luZy1BSS1Bc3Npc3RlZC1SRNIBAA?oc=5,CBMivwFodHRwczovL3d3dy5idXNpbmVzc3dpcmUuY29tL25ld3MvaG9tZS8yMDIzMDkxMjgyOTc5Mi9lbi9TaW9uLVBvd2VyLVBhcnRuZXJzLXdpdGgtQ2l0cmluZS1JbmZvcm1hdGljcy1vbi1NdWx0aS1ZZWFyLUFncmVlbWVudC10by1BY2NlbGVyYXRlLUJhdHRlcnktVGVjaG5vbG9neS1EZXZlbG9wbWVudC1Vc2luZy1BSS1Bc3Npc3RlZC1SRNIBAA,False,"Tue, 12 Sep 2023 07:00:00 GMT","time.struct_time(tm_year=2023, tm_mon=9, tm_mday=12, tm_hour=7, tm_min=0, tm_sec=0, tm_wday=1, tm_yday=255, tm_isdst=0)","<a href=""https://news.google.com/rss/articles/CBMivwFodHRwczovL3d3dy5idXNpbmVzc3dpcmUuY29tL25ld3MvaG9tZS8yMDIzMDkxMjgyOTc5Mi9lbi9TaW9uLVBvd2VyLVBhcnRuZXJzLXdpdGgtQ2l0cmluZS1JbmZvcm1hdGljcy1vbi1NdWx0aS1ZZWFyLUFncmVlbWVudC10by1BY2NlbGVyYXRlLUJhdHRlcnktVGVjaG5vbG9neS1EZXZlbG9wbWVudC1Vc2luZy1BSS1Bc3Npc3RlZC1SRNIBAA?oc=5"" target=""_blank"">Sion Power Partners with Citrine Informatics on Multi-Year Agreement to Accelerate Battery Technology Development ...</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Business Wire</font>",text/plain,,,Sion Power Partners with Citrine Informatics on Multi-Year Agreement to Accelerate Battery Technology Development ... - Business Wire,text/html,,,"<a href=""https://news.google.com/rss/articles/CBMivwFodHRwczovL3d3dy5idXNpbmVzc3dpcmUuY29tL25ld3MvaG9tZS8yMDIzMDkxMjgyOTc5Mi9lbi9TaW9uLVBvd2VyLVBhcnRuZXJzLXdpdGgtQ2l0cmluZS1JbmZvcm1hdGljcy1vbi1NdWx0aS1ZZWFyLUFncmVlbWVudC10by1BY2NlbGVyYXRlLUJhdHRlcnktVGVjaG5vbG9neS1EZXZlbG9wbWVudC1Vc2luZy1BSS1Bc3Npc3RlZC1SRNIBAA?oc=5"" target=""_blank"">Sion Power Partners with Citrine Informatics on Multi-Year Agreement to Accelerate Battery Technology Development ...</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Business Wire</font>",https://www.businesswire.com,Business Wire,"https://news.google.com/rss/search?q=""Sustainable Energy"" ""new products""+after:2023-09-01+before:2023-09-30"
Mexico's Plan Sonora to offer 3 tax incentives - BNamericas English,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://news.google.com/rss/articles/CBMiUGh0dHBzOi8vd3d3LmJuYW1lcmljYXMuY29tL2VuL25ld3MvbWV4aWNvcy1wbGFuLXNvbm9yYS10by1vZmZlci0zLXRheC1pbmNlbnRpdmVz0gEA?oc=5'}]",https://news.google.com/rss/articles/CBMiUGh0dHBzOi8vd3d3LmJuYW1lcmljYXMuY29tL2VuL25ld3MvbWV4aWNvcy1wbGFuLXNvbm9yYS10by1vZmZlci0zLXRheC1pbmNlbnRpdmVz0gEA?oc=5,CBMiUGh0dHBzOi8vd3d3LmJuYW1lcmljYXMuY29tL2VuL25ld3MvbWV4aWNvcy1wbGFuLXNvbm9yYS10by1vZmZlci0zLXRheC1pbmNlbnRpdmVz0gEA,False,"Thu, 14 Sep 2023 07:00:00 GMT","time.struct_time(tm_year=2023, tm_mon=9, tm_mday=14, tm_hour=7, tm_min=0, tm_sec=0, tm_wday=3, tm_yday=257, tm_isdst=0)","<a href=""https://news.google.com/rss/articles/CBMiUGh0dHBzOi8vd3d3LmJuYW1lcmljYXMuY29tL2VuL25ld3MvbWV4aWNvcy1wbGFuLXNvbm9yYS10by1vZmZlci0zLXRheC1pbmNlbnRpdmVz0gEA?oc=5"" target=""_blank"">Mexico's Plan Sonora to offer 3 tax incentives</a>&nbsp;&nbsp;<font color=""#6f6f6f"">BNamericas English</font>",text/plain,,,Mexico's Plan Sonora to offer 3 tax incentives - BNamericas English,text/html,,,"<a href=""https://news.google.com/rss/articles/CBMiUGh0dHBzOi8vd3d3LmJuYW1lcmljYXMuY29tL2VuL25ld3MvbWV4aWNvcy1wbGFuLXNvbm9yYS10by1vZmZlci0zLXRheC1pbmNlbnRpdmVz0gEA?oc=5"" target=""_blank"">Mexico's Plan Sonora to offer 3 tax incentives</a>&nbsp;&nbsp;<font color=""#6f6f6f"">BNamericas English</font>",https://www.bnamericas.com,BNamericas English,"https://news.google.com/rss/search?q=""Sustainable Energy"" ""new products""+after:2023-09-01+before:2023-09-30"
REPT BATTERO Expands Global Reach with Inauguration of European Branch - PR Newswire,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://news.google.com/rss/articles/CBMifmh0dHBzOi8vd3d3LnBybmV3c3dpcmUuY29tL25ld3MtcmVsZWFzZXMvcmVwdC1iYXR0ZXJvLWV4cGFuZHMtZ2xvYmFsLXJlYWNoLXdpdGgtaW5hdWd1cmF0aW9uLW9mLWV1cm9wZWFuLWJyYW5jaC0zMDE5MTg3MzcuaHRtbNIBAA?oc=5'}]",https://news.google.com/rss/articles/CBMifmh0dHBzOi8vd3d3LnBybmV3c3dpcmUuY29tL25ld3MtcmVsZWFzZXMvcmVwdC1iYXR0ZXJvLWV4cGFuZHMtZ2xvYmFsLXJlYWNoLXdpdGgtaW5hdWd1cmF0aW9uLW9mLWV1cm9wZWFuLWJyYW5jaC0zMDE5MTg3MzcuaHRtbNIBAA?oc=5,CBMifmh0dHBzOi8vd3d3LnBybmV3c3dpcmUuY29tL25ld3MtcmVsZWFzZXMvcmVwdC1iYXR0ZXJvLWV4cGFuZHMtZ2xvYmFsLXJlYWNoLXdpdGgtaW5hdWd1cmF0aW9uLW9mLWV1cm9wZWFuLWJyYW5jaC0zMDE5MTg3MzcuaHRtbNIBAA,False,"Wed, 06 Sep 2023 07:00:00 GMT","time.struct_time(tm_year=2023, tm_mon=9, tm_mday=6, tm_hour=7, tm_min=0, tm_sec=0, tm_wday=2, tm_yday=249, tm_isdst=0)","<a href=""https://news.google.com/rss/articles/CBMifmh0dHBzOi8vd3d3LnBybmV3c3dpcmUuY29tL25ld3MtcmVsZWFzZXMvcmVwdC1iYXR0ZXJvLWV4cGFuZHMtZ2xvYmFsLXJlYWNoLXdpdGgtaW5hdWd1cmF0aW9uLW9mLWV1cm9wZWFuLWJyYW5jaC0zMDE5MTg3MzcuaHRtbNIBAA?oc=5"" target=""_blank"">REPT BATTERO Expands Global Reach with Inauguration of European Branch</a>&nbsp;&nbsp;<font color=""#6f6f6f"">PR Newswire</font>",text/plain,,,REPT BATTERO Expands Global Reach with Inauguration of European Branch - PR Newswire,text/html,,,"<a href=""https://news.google.com/rss/articles/CBMifmh0dHBzOi8vd3d3LnBybmV3c3dpcmUuY29tL25ld3MtcmVsZWFzZXMvcmVwdC1iYXR0ZXJvLWV4cGFuZHMtZ2xvYmFsLXJlYWNoLXdpdGgtaW5hdWd1cmF0aW9uLW9mLWV1cm9wZWFuLWJyYW5jaC0zMDE5MTg3MzcuaHRtbNIBAA?oc=5"" target=""_blank"">REPT BATTERO Expands Global Reach with Inauguration of European Branch</a>&nbsp;&nbsp;<font color=""#6f6f6f"">PR Newswire</font>",https://www.prnewswire.com,PR Newswire,"https://news.google.com/rss/search?q=""Sustainable Energy"" ""new products""+after:2023-09-01+before:2023-09-30"
