title,links,link,id,guidislink,published,published_parsed,summary,title_detail.type,title_detail.language,title_detail.base,title_detail.value,summary_detail.type,summary_detail.language,summary_detail.base,summary_detail.value,source.href,source.title,query
"Coesia Group to Showcase Sustainable Packaging, Automation Solutions at PACK EXPO - Packaging Strategies","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://news.google.com/rss/articles/CBMihAFodHRwczovL3d3dy5wYWNrYWdpbmdzdHJhdGVnaWVzLmNvbS9hcnRpY2xlcy8xMDQwODctY29lc2lhLWdyb3VwLXRvLXNob3djYXNlLXN1c3RhaW5hYmxlLXBhY2thZ2luZy1hdXRvbWF0aW9uLXNvbHV0aW9ucy1hdC1wYWNrLWV4cG_SAQA?oc=5'}]",https://news.google.com/rss/articles/CBMihAFodHRwczovL3d3dy5wYWNrYWdpbmdzdHJhdGVnaWVzLmNvbS9hcnRpY2xlcy8xMDQwODctY29lc2lhLWdyb3VwLXRvLXNob3djYXNlLXN1c3RhaW5hYmxlLXBhY2thZ2luZy1hdXRvbWF0aW9uLXNvbHV0aW9ucy1hdC1wYWNrLWV4cG_SAQA?oc=5,CBMihAFodHRwczovL3d3dy5wYWNrYWdpbmdzdHJhdGVnaWVzLmNvbS9hcnRpY2xlcy8xMDQwODctY29lc2lhLWdyb3VwLXRvLXNob3djYXNlLXN1c3RhaW5hYmxlLXBhY2thZ2luZy1hdXRvbWF0aW9uLXNvbHV0aW9ucy1hdC1wYWNrLWV4cG_SAQA,False,"Tue, 05 Sep 2023 07:00:00 GMT","time.struct_time(tm_year=2023, tm_mon=9, tm_mday=5, tm_hour=7, tm_min=0, tm_sec=0, tm_wday=1, tm_yday=248, tm_isdst=0)","<a href=""https://news.google.com/rss/articles/CBMihAFodHRwczovL3d3dy5wYWNrYWdpbmdzdHJhdGVnaWVzLmNvbS9hcnRpY2xlcy8xMDQwODctY29lc2lhLWdyb3VwLXRvLXNob3djYXNlLXN1c3RhaW5hYmxlLXBhY2thZ2luZy1hdXRvbWF0aW9uLXNvbHV0aW9ucy1hdC1wYWNrLWV4cG_SAQA?oc=5"" target=""_blank"">Coesia Group to Showcase Sustainable Packaging, Automation Solutions at PACK EXPO</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Packaging Strategies</font>",text/plain,,,"Coesia Group to Showcase Sustainable Packaging, Automation Solutions at PACK EXPO - Packaging Strategies",text/html,,,"<a href=""https://news.google.com/rss/articles/CBMihAFodHRwczovL3d3dy5wYWNrYWdpbmdzdHJhdGVnaWVzLmNvbS9hcnRpY2xlcy8xMDQwODctY29lc2lhLWdyb3VwLXRvLXNob3djYXNlLXN1c3RhaW5hYmxlLXBhY2thZ2luZy1hdXRvbWF0aW9uLXNvbHV0aW9ucy1hdC1wYWNrLWV4cG_SAQA?oc=5"" target=""_blank"">Coesia Group to Showcase Sustainable Packaging, Automation Solutions at PACK EXPO</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Packaging Strategies</font>",https://www.packagingstrategies.com,Packaging Strategies,"https://news.google.com/rss/search?q=""Sustainable packaging"" ""new products""+after:2023-09-01+before:2023-09-30"
Ball Aerosol Packaging releases new report on innovative Eyeris® printing technology for sustainable aluminum ... - Ball,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://news.google.com/rss/articles/CBMiWWh0dHBzOi8vd3d3LmJhbGwuY29tL3BhY2thZ2luZy9hcnRpY2xlcy9iYWxsLWFlcm9zb2wtcGFja2FnaW5nLXJlbGVhc2VzLW5ldy1yZXBvcnQtZXllcmlz0gEA?oc=5'}]",https://news.google.com/rss/articles/CBMiWWh0dHBzOi8vd3d3LmJhbGwuY29tL3BhY2thZ2luZy9hcnRpY2xlcy9iYWxsLWFlcm9zb2wtcGFja2FnaW5nLXJlbGVhc2VzLW5ldy1yZXBvcnQtZXllcmlz0gEA?oc=5,CBMiWWh0dHBzOi8vd3d3LmJhbGwuY29tL3BhY2thZ2luZy9hcnRpY2xlcy9iYWxsLWFlcm9zb2wtcGFja2FnaW5nLXJlbGVhc2VzLW5ldy1yZXBvcnQtZXllcmlz0gEA,False,"Wed, 27 Sep 2023 07:00:00 GMT","time.struct_time(tm_year=2023, tm_mon=9, tm_mday=27, tm_hour=7, tm_min=0, tm_sec=0, tm_wday=2, tm_yday=270, tm_isdst=0)","<a href=""https://news.google.com/rss/articles/CBMiWWh0dHBzOi8vd3d3LmJhbGwuY29tL3BhY2thZ2luZy9hcnRpY2xlcy9iYWxsLWFlcm9zb2wtcGFja2FnaW5nLXJlbGVhc2VzLW5ldy1yZXBvcnQtZXllcmlz0gEA?oc=5"" target=""_blank"">Ball Aerosol Packaging releases new report on innovative Eyeris® printing technology for sustainable aluminum ...</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Ball</font>",text/plain,,,Ball Aerosol Packaging releases new report on innovative Eyeris® printing technology for sustainable aluminum ... - Ball,text/html,,,"<a href=""https://news.google.com/rss/articles/CBMiWWh0dHBzOi8vd3d3LmJhbGwuY29tL3BhY2thZ2luZy9hcnRpY2xlcy9iYWxsLWFlcm9zb2wtcGFja2FnaW5nLXJlbGVhc2VzLW5ldy1yZXBvcnQtZXllcmlz0gEA?oc=5"" target=""_blank"">Ball Aerosol Packaging releases new report on innovative Eyeris® printing technology for sustainable aluminum ...</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Ball</font>",https://www.ball.com,Ball,"https://news.google.com/rss/search?q=""Sustainable packaging"" ""new products""+after:2023-09-01+before:2023-09-30"
Sustainable Packaging Myths in the Beauty Industry - Packaging World,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://news.google.com/rss/articles/CBMic2h0dHBzOi8vd3d3LnBhY2t3b3JsZC5jb20vc3VzdGFpbmFibGUtcGFja2FnaW5nL2FydGljbGUvMjI4NzE1Njgvc3VzdGFpbmFibGUtcGFja2FnaW5nLW15dGhzLWluLXRoZS1iZWF1dHktaW5kdXN0cnnSAQA?oc=5'}]",https://news.google.com/rss/articles/CBMic2h0dHBzOi8vd3d3LnBhY2t3b3JsZC5jb20vc3VzdGFpbmFibGUtcGFja2FnaW5nL2FydGljbGUvMjI4NzE1Njgvc3VzdGFpbmFibGUtcGFja2FnaW5nLW15dGhzLWluLXRoZS1iZWF1dHktaW5kdXN0cnnSAQA?oc=5,CBMic2h0dHBzOi8vd3d3LnBhY2t3b3JsZC5jb20vc3VzdGFpbmFibGUtcGFja2FnaW5nL2FydGljbGUvMjI4NzE1Njgvc3VzdGFpbmFibGUtcGFja2FnaW5nLW15dGhzLWluLXRoZS1iZWF1dHktaW5kdXN0cnnSAQA,False,"Wed, 06 Sep 2023 07:00:00 GMT","time.struct_time(tm_year=2023, tm_mon=9, tm_mday=6, tm_hour=7, tm_min=0, tm_sec=0, tm_wday=2, tm_yday=249, tm_isdst=0)","<a href=""https://news.google.com/rss/articles/CBMic2h0dHBzOi8vd3d3LnBhY2t3b3JsZC5jb20vc3VzdGFpbmFibGUtcGFja2FnaW5nL2FydGljbGUvMjI4NzE1Njgvc3VzdGFpbmFibGUtcGFja2FnaW5nLW15dGhzLWluLXRoZS1iZWF1dHktaW5kdXN0cnnSAQA?oc=5"" target=""_blank"">Sustainable Packaging Myths in the Beauty Industry</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Packaging World</font>",text/plain,,,Sustainable Packaging Myths in the Beauty Industry - Packaging World,text/html,,,"<a href=""https://news.google.com/rss/articles/CBMic2h0dHBzOi8vd3d3LnBhY2t3b3JsZC5jb20vc3VzdGFpbmFibGUtcGFja2FnaW5nL2FydGljbGUvMjI4NzE1Njgvc3VzdGFpbmFibGUtcGFja2FnaW5nLW15dGhzLWluLXRoZS1iZWF1dHktaW5kdXN0cnnSAQA?oc=5"" target=""_blank"">Sustainable Packaging Myths in the Beauty Industry</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Packaging World</font>",https://www.packworld.com,Packaging World,"https://news.google.com/rss/search?q=""Sustainable packaging"" ""new products""+after:2023-09-01+before:2023-09-30"
Anchor awarded for new reusable packaging line - Supermarket Perimeter,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://news.google.com/rss/articles/CBMiYmh0dHBzOi8vd3d3LnN1cGVybWFya2V0cGVyaW1ldGVyLmNvbS9hcnRpY2xlcy8xMDI4Ny1hbmNob3ItYXdhcmRlZC1mb3ItbmV3LXJldXNhYmxlLXBhY2thZ2luZy1saW5l0gEA?oc=5'}]",https://news.google.com/rss/articles/CBMiYmh0dHBzOi8vd3d3LnN1cGVybWFya2V0cGVyaW1ldGVyLmNvbS9hcnRpY2xlcy8xMDI4Ny1hbmNob3ItYXdhcmRlZC1mb3ItbmV3LXJldXNhYmxlLXBhY2thZ2luZy1saW5l0gEA?oc=5,CBMiYmh0dHBzOi8vd3d3LnN1cGVybWFya2V0cGVyaW1ldGVyLmNvbS9hcnRpY2xlcy8xMDI4Ny1hbmNob3ItYXdhcmRlZC1mb3ItbmV3LXJldXNhYmxlLXBhY2thZ2luZy1saW5l0gEA,False,"Fri, 29 Sep 2023 07:00:00 GMT","time.struct_time(tm_year=2023, tm_mon=9, tm_mday=29, tm_hour=7, tm_min=0, tm_sec=0, tm_wday=4, tm_yday=272, tm_isdst=0)","<a href=""https://news.google.com/rss/articles/CBMiYmh0dHBzOi8vd3d3LnN1cGVybWFya2V0cGVyaW1ldGVyLmNvbS9hcnRpY2xlcy8xMDI4Ny1hbmNob3ItYXdhcmRlZC1mb3ItbmV3LXJldXNhYmxlLXBhY2thZ2luZy1saW5l0gEA?oc=5"" target=""_blank"">Anchor awarded for new reusable packaging line</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Supermarket Perimeter</font>",text/plain,,,Anchor awarded for new reusable packaging line - Supermarket Perimeter,text/html,,,"<a href=""https://news.google.com/rss/articles/CBMiYmh0dHBzOi8vd3d3LnN1cGVybWFya2V0cGVyaW1ldGVyLmNvbS9hcnRpY2xlcy8xMDI4Ny1hbmNob3ItYXdhcmRlZC1mb3ItbmV3LXJldXNhYmxlLXBhY2thZ2luZy1saW5l0gEA?oc=5"" target=""_blank"">Anchor awarded for new reusable packaging line</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Supermarket Perimeter</font>",https://www.supermarketperimeter.com,Supermarket Perimeter,"https://news.google.com/rss/search?q=""Sustainable packaging"" ""new products""+after:2023-09-01+before:2023-09-30"
Sustainability doesn't have to be boring - HCT'S newest innovations - Premium beauty,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://news.google.com/rss/articles/CBMiTGh0dHBzOi8vd3d3LnByZW1pdW1iZWF1dHluZXdzLmNvbS9lbi9zdXN0YWluYWJpbGl0eS1kb2Vzbi10LWhhdmUtdG8tYmUsMjI1NjPSAQA?oc=5'}]",https://news.google.com/rss/articles/CBMiTGh0dHBzOi8vd3d3LnByZW1pdW1iZWF1dHluZXdzLmNvbS9lbi9zdXN0YWluYWJpbGl0eS1kb2Vzbi10LWhhdmUtdG8tYmUsMjI1NjPSAQA?oc=5,CBMiTGh0dHBzOi8vd3d3LnByZW1pdW1iZWF1dHluZXdzLmNvbS9lbi9zdXN0YWluYWJpbGl0eS1kb2Vzbi10LWhhdmUtdG8tYmUsMjI1NjPSAQA,False,"Tue, 12 Sep 2023 07:00:00 GMT","time.struct_time(tm_year=2023, tm_mon=9, tm_mday=12, tm_hour=7, tm_min=0, tm_sec=0, tm_wday=1, tm_yday=255, tm_isdst=0)","<a href=""https://news.google.com/rss/articles/CBMiTGh0dHBzOi8vd3d3LnByZW1pdW1iZWF1dHluZXdzLmNvbS9lbi9zdXN0YWluYWJpbGl0eS1kb2Vzbi10LWhhdmUtdG8tYmUsMjI1NjPSAQA?oc=5"" target=""_blank"">Sustainability doesn't have to be boring - HCT'S newest innovations</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Premium beauty</font>",text/plain,,,Sustainability doesn't have to be boring - HCT'S newest innovations - Premium beauty,text/html,,,"<a href=""https://news.google.com/rss/articles/CBMiTGh0dHBzOi8vd3d3LnByZW1pdW1iZWF1dHluZXdzLmNvbS9lbi9zdXN0YWluYWJpbGl0eS1kb2Vzbi10LWhhdmUtdG8tYmUsMjI1NjPSAQA?oc=5"" target=""_blank"">Sustainability doesn't have to be boring - HCT'S newest innovations</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Premium beauty</font>",https://www.premiumbeautynews.com,Premium beauty,"https://news.google.com/rss/search?q=""Sustainable packaging"" ""new products""+after:2023-09-01+before:2023-09-30"
"Private label products growing in popularity due to price, quality and sustainability, research shows - FoodNavigator.com","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://news.google.com/rss/articles/CBMilAFodHRwczovL3d3dy5mb29kbmF2aWdhdG9yLmNvbS9BcnRpY2xlLzIwMjMvMDkvMjgvUHJpdmF0ZS1sYWJlbC1wcm9kdWN0cy1ncm93aW5nLWluLXBvcHVsYXJpdHktZHVlLXRvLXByaWNlLXF1YWxpdHktYW5kLXN1c3RhaW5hYmlsaXR5LXJlc2VhcmNoLXNob3dz0gEA?oc=5'}]",https://news.google.com/rss/articles/CBMilAFodHRwczovL3d3dy5mb29kbmF2aWdhdG9yLmNvbS9BcnRpY2xlLzIwMjMvMDkvMjgvUHJpdmF0ZS1sYWJlbC1wcm9kdWN0cy1ncm93aW5nLWluLXBvcHVsYXJpdHktZHVlLXRvLXByaWNlLXF1YWxpdHktYW5kLXN1c3RhaW5hYmlsaXR5LXJlc2VhcmNoLXNob3dz0gEA?oc=5,CBMilAFodHRwczovL3d3dy5mb29kbmF2aWdhdG9yLmNvbS9BcnRpY2xlLzIwMjMvMDkvMjgvUHJpdmF0ZS1sYWJlbC1wcm9kdWN0cy1ncm93aW5nLWluLXBvcHVsYXJpdHktZHVlLXRvLXByaWNlLXF1YWxpdHktYW5kLXN1c3RhaW5hYmlsaXR5LXJlc2VhcmNoLXNob3dz0gEA,False,"Thu, 28 Sep 2023 07:00:00 GMT","time.struct_time(tm_year=2023, tm_mon=9, tm_mday=28, tm_hour=7, tm_min=0, tm_sec=0, tm_wday=3, tm_yday=271, tm_isdst=0)","<a href=""https://news.google.com/rss/articles/CBMilAFodHRwczovL3d3dy5mb29kbmF2aWdhdG9yLmNvbS9BcnRpY2xlLzIwMjMvMDkvMjgvUHJpdmF0ZS1sYWJlbC1wcm9kdWN0cy1ncm93aW5nLWluLXBvcHVsYXJpdHktZHVlLXRvLXByaWNlLXF1YWxpdHktYW5kLXN1c3RhaW5hYmlsaXR5LXJlc2VhcmNoLXNob3dz0gEA?oc=5"" target=""_blank"">Private label products growing in popularity due to price, quality and sustainability, research shows</a>&nbsp;&nbsp;<font color=""#6f6f6f"">FoodNavigator.com</font>",text/plain,,,"Private label products growing in popularity due to price, quality and sustainability, research shows - FoodNavigator.com",text/html,,,"<a href=""https://news.google.com/rss/articles/CBMilAFodHRwczovL3d3dy5mb29kbmF2aWdhdG9yLmNvbS9BcnRpY2xlLzIwMjMvMDkvMjgvUHJpdmF0ZS1sYWJlbC1wcm9kdWN0cy1ncm93aW5nLWluLXBvcHVsYXJpdHktZHVlLXRvLXByaWNlLXF1YWxpdHktYW5kLXN1c3RhaW5hYmlsaXR5LXJlc2VhcmNoLXNob3dz0gEA?oc=5"" target=""_blank"">Private label products growing in popularity due to price, quality and sustainability, research shows</a>&nbsp;&nbsp;<font color=""#6f6f6f"">FoodNavigator.com</font>",https://www.foodnavigator.com,FoodNavigator.com,"https://news.google.com/rss/search?q=""Sustainable packaging"" ""new products""+after:2023-09-01+before:2023-09-30"
Honoring eco-friendly action: About the 2023 Sustainable Beauty Awards - CosmeticsDesign.com USA,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://news.google.com/rss/articles/CBMieGh0dHBzOi8vd3d3LmNvc21ldGljc2Rlc2lnbi5jb20vQXJ0aWNsZS8yMDIzLzA5LzA3L2hvbm9yaW5nLWVjby1mcmllbmRseS1hY3Rpb24tYWJvdXQtdGhlLTIwMjMtc3VzdGFpbmFibGUtYmVhdXR5LWF3YXJkc9IBAA?oc=5'}]",https://news.google.com/rss/articles/CBMieGh0dHBzOi8vd3d3LmNvc21ldGljc2Rlc2lnbi5jb20vQXJ0aWNsZS8yMDIzLzA5LzA3L2hvbm9yaW5nLWVjby1mcmllbmRseS1hY3Rpb24tYWJvdXQtdGhlLTIwMjMtc3VzdGFpbmFibGUtYmVhdXR5LWF3YXJkc9IBAA?oc=5,CBMieGh0dHBzOi8vd3d3LmNvc21ldGljc2Rlc2lnbi5jb20vQXJ0aWNsZS8yMDIzLzA5LzA3L2hvbm9yaW5nLWVjby1mcmllbmRseS1hY3Rpb24tYWJvdXQtdGhlLTIwMjMtc3VzdGFpbmFibGUtYmVhdXR5LWF3YXJkc9IBAA,False,"Thu, 07 Sep 2023 07:00:00 GMT","time.struct_time(tm_year=2023, tm_mon=9, tm_mday=7, tm_hour=7, tm_min=0, tm_sec=0, tm_wday=3, tm_yday=250, tm_isdst=0)","<a href=""https://news.google.com/rss/articles/CBMieGh0dHBzOi8vd3d3LmNvc21ldGljc2Rlc2lnbi5jb20vQXJ0aWNsZS8yMDIzLzA5LzA3L2hvbm9yaW5nLWVjby1mcmllbmRseS1hY3Rpb24tYWJvdXQtdGhlLTIwMjMtc3VzdGFpbmFibGUtYmVhdXR5LWF3YXJkc9IBAA?oc=5"" target=""_blank"">Honoring eco-friendly action: About the 2023 Sustainable Beauty Awards</a>&nbsp;&nbsp;<font color=""#6f6f6f"">CosmeticsDesign.com USA</font>",text/plain,,,Honoring eco-friendly action: About the 2023 Sustainable Beauty Awards - CosmeticsDesign.com USA,text/html,,,"<a href=""https://news.google.com/rss/articles/CBMieGh0dHBzOi8vd3d3LmNvc21ldGljc2Rlc2lnbi5jb20vQXJ0aWNsZS8yMDIzLzA5LzA3L2hvbm9yaW5nLWVjby1mcmllbmRseS1hY3Rpb24tYWJvdXQtdGhlLTIwMjMtc3VzdGFpbmFibGUtYmVhdXR5LWF3YXJkc9IBAA?oc=5"" target=""_blank"">Honoring eco-friendly action: About the 2023 Sustainable Beauty Awards</a>&nbsp;&nbsp;<font color=""#6f6f6f"">CosmeticsDesign.com USA</font>",https://www.cosmeticsdesign.com,CosmeticsDesign.com USA,"https://news.google.com/rss/search?q=""Sustainable packaging"" ""new products""+after:2023-09-01+before:2023-09-30"
How Leading Beauty Retailers Are Embracing Sustainability In 2023 - Forbes,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://news.google.com/rss/articles/CBMihwFodHRwczovL3d3dy5mb3JiZXMuY29tL3NpdGVzL2NsYXJhbHVkbWlyLzIwMjMvMDkvMjIvaG93LWJlYXV0eS1yZXRhaWxlcnMtbGlrZS1zZXBob3JhLWFuZC1kb3VnbGFzLWFyZS1lbWJyYWNpbmctc3VzdGFpbmFiaWxpdHktaW4tMjAyMy_SAQA?oc=5'}]",https://news.google.com/rss/articles/CBMihwFodHRwczovL3d3dy5mb3JiZXMuY29tL3NpdGVzL2NsYXJhbHVkbWlyLzIwMjMvMDkvMjIvaG93LWJlYXV0eS1yZXRhaWxlcnMtbGlrZS1zZXBob3JhLWFuZC1kb3VnbGFzLWFyZS1lbWJyYWNpbmctc3VzdGFpbmFiaWxpdHktaW4tMjAyMy_SAQA?oc=5,CBMihwFodHRwczovL3d3dy5mb3JiZXMuY29tL3NpdGVzL2NsYXJhbHVkbWlyLzIwMjMvMDkvMjIvaG93LWJlYXV0eS1yZXRhaWxlcnMtbGlrZS1zZXBob3JhLWFuZC1kb3VnbGFzLWFyZS1lbWJyYWNpbmctc3VzdGFpbmFiaWxpdHktaW4tMjAyMy_SAQA,False,"Fri, 22 Sep 2023 07:00:00 GMT","time.struct_time(tm_year=2023, tm_mon=9, tm_mday=22, tm_hour=7, tm_min=0, tm_sec=0, tm_wday=4, tm_yday=265, tm_isdst=0)","<a href=""https://news.google.com/rss/articles/CBMihwFodHRwczovL3d3dy5mb3JiZXMuY29tL3NpdGVzL2NsYXJhbHVkbWlyLzIwMjMvMDkvMjIvaG93LWJlYXV0eS1yZXRhaWxlcnMtbGlrZS1zZXBob3JhLWFuZC1kb3VnbGFzLWFyZS1lbWJyYWNpbmctc3VzdGFpbmFiaWxpdHktaW4tMjAyMy_SAQA?oc=5"" target=""_blank"">How Leading Beauty Retailers Are Embracing Sustainability In 2023</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Forbes</font>",text/plain,,,How Leading Beauty Retailers Are Embracing Sustainability In 2023 - Forbes,text/html,,,"<a href=""https://news.google.com/rss/articles/CBMihwFodHRwczovL3d3dy5mb3JiZXMuY29tL3NpdGVzL2NsYXJhbHVkbWlyLzIwMjMvMDkvMjIvaG93LWJlYXV0eS1yZXRhaWxlcnMtbGlrZS1zZXBob3JhLWFuZC1kb3VnbGFzLWFyZS1lbWJyYWNpbmctc3VzdGFpbmFiaWxpdHktaW4tMjAyMy_SAQA?oc=5"" target=""_blank"">How Leading Beauty Retailers Are Embracing Sustainability In 2023</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Forbes</font>",https://www.forbes.com,Forbes,"https://news.google.com/rss/search?q=""Sustainable packaging"" ""new products""+after:2023-09-01+before:2023-09-30"
European Commission Adopts Measures Restricting Intentional Microplastics - Cosmetics & Toiletries,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://news.google.com/rss/articles/CBMimgFodHRwczovL3d3dy5jb3NtZXRpY3NhbmR0b2lsZXRyaWVzLmNvbS9yZWd1bGF0aW9ucy9lY28tc3VzdGFpbmFibGUvbmV3cy8yMjg3NDQ2OS9ldXJvcGVhbi1jb21taXNzaW9uLWFkb3B0cy1tZWFzdXJlcy1yZXN0cmljdGluZy1pbnRlbnRpb25hbC1taWNyb3BsYXN0aWNz0gEA?oc=5'}]",https://news.google.com/rss/articles/CBMimgFodHRwczovL3d3dy5jb3NtZXRpY3NhbmR0b2lsZXRyaWVzLmNvbS9yZWd1bGF0aW9ucy9lY28tc3VzdGFpbmFibGUvbmV3cy8yMjg3NDQ2OS9ldXJvcGVhbi1jb21taXNzaW9uLWFkb3B0cy1tZWFzdXJlcy1yZXN0cmljdGluZy1pbnRlbnRpb25hbC1taWNyb3BsYXN0aWNz0gEA?oc=5,CBMimgFodHRwczovL3d3dy5jb3NtZXRpY3NhbmR0b2lsZXRyaWVzLmNvbS9yZWd1bGF0aW9ucy9lY28tc3VzdGFpbmFibGUvbmV3cy8yMjg3NDQ2OS9ldXJvcGVhbi1jb21taXNzaW9uLWFkb3B0cy1tZWFzdXJlcy1yZXN0cmljdGluZy1pbnRlbnRpb25hbC1taWNyb3BsYXN0aWNz0gEA,False,"Wed, 27 Sep 2023 07:00:00 GMT","time.struct_time(tm_year=2023, tm_mon=9, tm_mday=27, tm_hour=7, tm_min=0, tm_sec=0, tm_wday=2, tm_yday=270, tm_isdst=0)","<a href=""https://news.google.com/rss/articles/CBMimgFodHRwczovL3d3dy5jb3NtZXRpY3NhbmR0b2lsZXRyaWVzLmNvbS9yZWd1bGF0aW9ucy9lY28tc3VzdGFpbmFibGUvbmV3cy8yMjg3NDQ2OS9ldXJvcGVhbi1jb21taXNzaW9uLWFkb3B0cy1tZWFzdXJlcy1yZXN0cmljdGluZy1pbnRlbnRpb25hbC1taWNyb3BsYXN0aWNz0gEA?oc=5"" target=""_blank"">European Commission Adopts Measures Restricting Intentional Microplastics</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Cosmetics & Toiletries</font>",text/plain,,,European Commission Adopts Measures Restricting Intentional Microplastics - Cosmetics & Toiletries,text/html,,,"<a href=""https://news.google.com/rss/articles/CBMimgFodHRwczovL3d3dy5jb3NtZXRpY3NhbmR0b2lsZXRyaWVzLmNvbS9yZWd1bGF0aW9ucy9lY28tc3VzdGFpbmFibGUvbmV3cy8yMjg3NDQ2OS9ldXJvcGVhbi1jb21taXNzaW9uLWFkb3B0cy1tZWFzdXJlcy1yZXN0cmljdGluZy1pbnRlbnRpb25hbC1taWNyb3BsYXN0aWNz0gEA?oc=5"" target=""_blank"">European Commission Adopts Measures Restricting Intentional Microplastics</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Cosmetics & Toiletries</font>",https://www.cosmeticsandtoiletries.com,Cosmetics & Toiletries,"https://news.google.com/rss/search?q=""Sustainable packaging"" ""new products""+after:2023-09-01+before:2023-09-30"
Giants lead green packaging future - Vietnam Investment Review,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://news.google.com/rss/articles/CBMiQWh0dHBzOi8vdmlyLmNvbS52bi9naWFudHMtbGVhZC1ncmVlbi1wYWNrYWdpbmctZnV0dXJlLTEwNTM0My5odG1s0gEA?oc=5'}]",https://news.google.com/rss/articles/CBMiQWh0dHBzOi8vdmlyLmNvbS52bi9naWFudHMtbGVhZC1ncmVlbi1wYWNrYWdpbmctZnV0dXJlLTEwNTM0My5odG1s0gEA?oc=5,CBMiQWh0dHBzOi8vdmlyLmNvbS52bi9naWFudHMtbGVhZC1ncmVlbi1wYWNrYWdpbmctZnV0dXJlLTEwNTM0My5odG1s0gEA,False,"Wed, 20 Sep 2023 07:00:00 GMT","time.struct_time(tm_year=2023, tm_mon=9, tm_mday=20, tm_hour=7, tm_min=0, tm_sec=0, tm_wday=2, tm_yday=263, tm_isdst=0)","<a href=""https://news.google.com/rss/articles/CBMiQWh0dHBzOi8vdmlyLmNvbS52bi9naWFudHMtbGVhZC1ncmVlbi1wYWNrYWdpbmctZnV0dXJlLTEwNTM0My5odG1s0gEA?oc=5"" target=""_blank"">Giants lead green packaging future</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Vietnam Investment Review</font>",text/plain,,,Giants lead green packaging future - Vietnam Investment Review,text/html,,,"<a href=""https://news.google.com/rss/articles/CBMiQWh0dHBzOi8vdmlyLmNvbS52bi9naWFudHMtbGVhZC1ncmVlbi1wYWNrYWdpbmctZnV0dXJlLTEwNTM0My5odG1s0gEA?oc=5"" target=""_blank"">Giants lead green packaging future</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Vietnam Investment Review</font>",https://vir.com.vn,Vietnam Investment Review,"https://news.google.com/rss/search?q=""Sustainable packaging"" ""new products""+after:2023-09-01+before:2023-09-30"
