title,links,link,id,guidislink,published,published_parsed,summary,title_detail.type,title_detail.language,title_detail.base,title_detail.value,summary_detail.type,summary_detail.language,summary_detail.base,summary_detail.value,source.href,source.title,query
Top 5 Perks Of Embracing Green Computing In Your Company - Spiceworks News and Insights,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://news.google.com/rss/articles/CBMiZWh0dHBzOi8vd3d3LnNwaWNld29ya3MuY29tL3RlY2gvZWRnZS1jb21wdXRpbmcvZ3Vlc3QtYXJ0aWNsZS9hZHZhbnRhZ2VzLW9mLWdyZWVuLWNvbXB1dGluZy1wcmFjdGljZXMv0gFlaHR0cHM6Ly93d3cuc3BpY2V3b3Jrcy5jb20vdGVjaC9lZGdlLWNvbXB1dGluZy9ndWVzdC1hcnRpY2xlL2FkdmFudGFnZXMtb2YtZ3JlZW4tY29tcHV0aW5nLXByYWN0aWNlcy8?oc=5'}]",https://news.google.com/rss/articles/CBMiZWh0dHBzOi8vd3d3LnNwaWNld29ya3MuY29tL3RlY2gvZWRnZS1jb21wdXRpbmcvZ3Vlc3QtYXJ0aWNsZS9hZHZhbnRhZ2VzLW9mLWdyZWVuLWNvbXB1dGluZy1wcmFjdGljZXMv0gFlaHR0cHM6Ly93d3cuc3BpY2V3b3Jrcy5jb20vdGVjaC9lZGdlLWNvbXB1dGluZy9ndWVzdC1hcnRpY2xlL2FkdmFudGFnZXMtb2YtZ3JlZW4tY29tcHV0aW5nLXByYWN0aWNlcy8?oc=5,CBMiZWh0dHBzOi8vd3d3LnNwaWNld29ya3MuY29tL3RlY2gvZWRnZS1jb21wdXRpbmcvZ3Vlc3QtYXJ0aWNsZS9hZHZhbnRhZ2VzLW9mLWdyZWVuLWNvbXB1dGluZy1wcmFjdGljZXMv0gFlaHR0cHM6Ly93d3cuc3BpY2V3b3Jrcy5jb20vdGVjaC9lZGdlLWNvbXB1dGluZy9ndWVzdC1hcnRpY2xlL2FkdmFudGFnZXMtb2YtZ3JlZW4tY29tcHV0aW5nLXByYWN0aWNlcy8,False,"Wed, 09 Aug 2023 07:00:00 GMT","time.struct_time(tm_year=2023, tm_mon=8, tm_mday=9, tm_hour=7, tm_min=0, tm_sec=0, tm_wday=2, tm_yday=221, tm_isdst=0)","<a href=""https://news.google.com/rss/articles/CBMiZWh0dHBzOi8vd3d3LnNwaWNld29ya3MuY29tL3RlY2gvZWRnZS1jb21wdXRpbmcvZ3Vlc3QtYXJ0aWNsZS9hZHZhbnRhZ2VzLW9mLWdyZWVuLWNvbXB1dGluZy1wcmFjdGljZXMv0gFlaHR0cHM6Ly93d3cuc3BpY2V3b3Jrcy5jb20vdGVjaC9lZGdlLWNvbXB1dGluZy9ndWVzdC1hcnRpY2xlL2FkdmFudGFnZXMtb2YtZ3JlZW4tY29tcHV0aW5nLXByYWN0aWNlcy8?oc=5"" target=""_blank"">Top 5 Perks Of Embracing Green Computing In Your Company</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Spiceworks News and Insights</font>",text/plain,,,Top 5 Perks Of Embracing Green Computing In Your Company - Spiceworks News and Insights,text/html,,,"<a href=""https://news.google.com/rss/articles/CBMiZWh0dHBzOi8vd3d3LnNwaWNld29ya3MuY29tL3RlY2gvZWRnZS1jb21wdXRpbmcvZ3Vlc3QtYXJ0aWNsZS9hZHZhbnRhZ2VzLW9mLWdyZWVuLWNvbXB1dGluZy1wcmFjdGljZXMv0gFlaHR0cHM6Ly93d3cuc3BpY2V3b3Jrcy5jb20vdGVjaC9lZGdlLWNvbXB1dGluZy9ndWVzdC1hcnRpY2xlL2FkdmFudGFnZXMtb2YtZ3JlZW4tY29tcHV0aW5nLXByYWN0aWNlcy8?oc=5"" target=""_blank"">Top 5 Perks Of Embracing Green Computing In Your Company</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Spiceworks News and Insights</font>",https://www.spiceworks.com,Spiceworks News and Insights,"https://news.google.com/rss/search?q=""Sustainable Practices"" ""new products""+after:2023-08-01+before:2023-08-31"
It’s high time that we emphasize more sustainable college move-ins - Daily Trojan Online,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://news.google.com/rss/articles/CBMiNWh0dHBzOi8vZGFpbHl0cm9qYW4uY29tLzIwMjMvMDgvMzEvbW92ZS1pbi1vdXQtd2FzdGUv0gEA?oc=5'}]",https://news.google.com/rss/articles/CBMiNWh0dHBzOi8vZGFpbHl0cm9qYW4uY29tLzIwMjMvMDgvMzEvbW92ZS1pbi1vdXQtd2FzdGUv0gEA?oc=5,CBMiNWh0dHBzOi8vZGFpbHl0cm9qYW4uY29tLzIwMjMvMDgvMzEvbW92ZS1pbi1vdXQtd2FzdGUv0gEA,False,"Thu, 31 Aug 2023 07:00:00 GMT","time.struct_time(tm_year=2023, tm_mon=8, tm_mday=31, tm_hour=7, tm_min=0, tm_sec=0, tm_wday=3, tm_yday=243, tm_isdst=0)","<a href=""https://news.google.com/rss/articles/CBMiNWh0dHBzOi8vZGFpbHl0cm9qYW4uY29tLzIwMjMvMDgvMzEvbW92ZS1pbi1vdXQtd2FzdGUv0gEA?oc=5"" target=""_blank"">It’s high time that we emphasize more sustainable college move-ins</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Daily Trojan Online</font>",text/plain,,,It’s high time that we emphasize more sustainable college move-ins - Daily Trojan Online,text/html,,,"<a href=""https://news.google.com/rss/articles/CBMiNWh0dHBzOi8vZGFpbHl0cm9qYW4uY29tLzIwMjMvMDgvMzEvbW92ZS1pbi1vdXQtd2FzdGUv0gEA?oc=5"" target=""_blank"">It’s high time that we emphasize more sustainable college move-ins</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Daily Trojan Online</font>",https://dailytrojan.com,Daily Trojan Online,"https://news.google.com/rss/search?q=""Sustainable Practices"" ""new products""+after:2023-08-01+before:2023-08-31"
Our Path to Net Zero - Lowe’s Corporate,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://news.google.com/rss/articles/CBMiJGh0dHBzOi8vY29ycG9yYXRlLmxvd2VzLmNvbS9uZXQtemVyb9IBAA?oc=5'}]",https://news.google.com/rss/articles/CBMiJGh0dHBzOi8vY29ycG9yYXRlLmxvd2VzLmNvbS9uZXQtemVyb9IBAA?oc=5,CBMiJGh0dHBzOi8vY29ycG9yYXRlLmxvd2VzLmNvbS9uZXQtemVyb9IBAA,False,"Mon, 07 Aug 2023 12:05:09 GMT","time.struct_time(tm_year=2023, tm_mon=8, tm_mday=7, tm_hour=12, tm_min=5, tm_sec=9, tm_wday=0, tm_yday=219, tm_isdst=0)","<a href=""https://news.google.com/rss/articles/CBMiJGh0dHBzOi8vY29ycG9yYXRlLmxvd2VzLmNvbS9uZXQtemVyb9IBAA?oc=5"" target=""_blank"">Our Path to Net Zero</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Lowe’s Corporate</font>",text/plain,,,Our Path to Net Zero - Lowe’s Corporate,text/html,,,"<a href=""https://news.google.com/rss/articles/CBMiJGh0dHBzOi8vY29ycG9yYXRlLmxvd2VzLmNvbS9uZXQtemVyb9IBAA?oc=5"" target=""_blank"">Our Path to Net Zero</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Lowe’s Corporate</font>",https://corporate.lowes.com,Lowe’s Corporate,"https://news.google.com/rss/search?q=""Sustainable Practices"" ""new products""+after:2023-08-01+before:2023-08-31"
SDGs & me: Responsible consumption and production - European Commission,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://news.google.com/rss/articles/CBMiSWh0dHBzOi8vZWMuZXVyb3BhLmV1L2V1cm9zdGF0L3dlYi9wcm9kdWN0cy1ldXJvc3RhdC1uZXdzL3cvZGRuLTIwMjMwODMwLTHSAQA?oc=5'}]",https://news.google.com/rss/articles/CBMiSWh0dHBzOi8vZWMuZXVyb3BhLmV1L2V1cm9zdGF0L3dlYi9wcm9kdWN0cy1ldXJvc3RhdC1uZXdzL3cvZGRuLTIwMjMwODMwLTHSAQA?oc=5,CBMiSWh0dHBzOi8vZWMuZXVyb3BhLmV1L2V1cm9zdGF0L3dlYi9wcm9kdWN0cy1ldXJvc3RhdC1uZXdzL3cvZGRuLTIwMjMwODMwLTHSAQA,False,"Wed, 30 Aug 2023 07:00:00 GMT","time.struct_time(tm_year=2023, tm_mon=8, tm_mday=30, tm_hour=7, tm_min=0, tm_sec=0, tm_wday=2, tm_yday=242, tm_isdst=0)","<a href=""https://news.google.com/rss/articles/CBMiSWh0dHBzOi8vZWMuZXVyb3BhLmV1L2V1cm9zdGF0L3dlYi9wcm9kdWN0cy1ldXJvc3RhdC1uZXdzL3cvZGRuLTIwMjMwODMwLTHSAQA?oc=5"" target=""_blank"">SDGs & me: Responsible consumption and production</a>&nbsp;&nbsp;<font color=""#6f6f6f"">European Commission</font>",text/plain,,,SDGs & me: Responsible consumption and production - European Commission,text/html,,,"<a href=""https://news.google.com/rss/articles/CBMiSWh0dHBzOi8vZWMuZXVyb3BhLmV1L2V1cm9zdGF0L3dlYi9wcm9kdWN0cy1ldXJvc3RhdC1uZXdzL3cvZGRuLTIwMjMwODMwLTHSAQA?oc=5"" target=""_blank"">SDGs & me: Responsible consumption and production</a>&nbsp;&nbsp;<font color=""#6f6f6f"">European Commission</font>",https://ec.europa.eu,European Commission,"https://news.google.com/rss/search?q=""Sustainable Practices"" ""new products""+after:2023-08-01+before:2023-08-31"
International body verifies Vedanta Aluminium products as environmentally sustainable - PR Newswire,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://news.google.com/rss/articles/CBMijQFodHRwczovL3d3dy5wcm5ld3N3aXJlLmNvbS9uZXdzLXJlbGVhc2VzL2ludGVybmF0aW9uYWwtYm9keS12ZXJpZmllcy12ZWRhbnRhLWFsdW1pbml1bS1wcm9kdWN0cy1hcy1lbnZpcm9ubWVudGFsbHktc3VzdGFpbmFibGUtMzAxODk0NTI1Lmh0bWzSAQA?oc=5'}]",https://news.google.com/rss/articles/CBMijQFodHRwczovL3d3dy5wcm5ld3N3aXJlLmNvbS9uZXdzLXJlbGVhc2VzL2ludGVybmF0aW9uYWwtYm9keS12ZXJpZmllcy12ZWRhbnRhLWFsdW1pbml1bS1wcm9kdWN0cy1hcy1lbnZpcm9ubWVudGFsbHktc3VzdGFpbmFibGUtMzAxODk0NTI1Lmh0bWzSAQA?oc=5,CBMijQFodHRwczovL3d3dy5wcm5ld3N3aXJlLmNvbS9uZXdzLXJlbGVhc2VzL2ludGVybmF0aW9uYWwtYm9keS12ZXJpZmllcy12ZWRhbnRhLWFsdW1pbml1bS1wcm9kdWN0cy1hcy1lbnZpcm9ubWVudGFsbHktc3VzdGFpbmFibGUtMzAxODk0NTI1Lmh0bWzSAQA,False,"Mon, 07 Aug 2023 07:00:00 GMT","time.struct_time(tm_year=2023, tm_mon=8, tm_mday=7, tm_hour=7, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=219, tm_isdst=0)","<a href=""https://news.google.com/rss/articles/CBMijQFodHRwczovL3d3dy5wcm5ld3N3aXJlLmNvbS9uZXdzLXJlbGVhc2VzL2ludGVybmF0aW9uYWwtYm9keS12ZXJpZmllcy12ZWRhbnRhLWFsdW1pbml1bS1wcm9kdWN0cy1hcy1lbnZpcm9ubWVudGFsbHktc3VzdGFpbmFibGUtMzAxODk0NTI1Lmh0bWzSAQA?oc=5"" target=""_blank"">International body verifies Vedanta Aluminium products as environmentally sustainable</a>&nbsp;&nbsp;<font color=""#6f6f6f"">PR Newswire</font>",text/plain,,,International body verifies Vedanta Aluminium products as environmentally sustainable - PR Newswire,text/html,,,"<a href=""https://news.google.com/rss/articles/CBMijQFodHRwczovL3d3dy5wcm5ld3N3aXJlLmNvbS9uZXdzLXJlbGVhc2VzL2ludGVybmF0aW9uYWwtYm9keS12ZXJpZmllcy12ZWRhbnRhLWFsdW1pbml1bS1wcm9kdWN0cy1hcy1lbnZpcm9ubWVudGFsbHktc3VzdGFpbmFibGUtMzAxODk0NTI1Lmh0bWzSAQA?oc=5"" target=""_blank"">International body verifies Vedanta Aluminium products as environmentally sustainable</a>&nbsp;&nbsp;<font color=""#6f6f6f"">PR Newswire</font>",https://www.prnewswire.com,PR Newswire,"https://news.google.com/rss/search?q=""Sustainable Practices"" ""new products""+after:2023-08-01+before:2023-08-31"
Innovators needed to transform Colombia's cocoa sector - ConfectioneryNews.com,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://news.google.com/rss/articles/CBMia2h0dHBzOi8vd3d3LmNvbmZlY3Rpb25lcnluZXdzLmNvbS9BcnRpY2xlLzIwMjMvMDgvMTYvaW5ub3ZhdG9ycy1uZWVkZWQtdG8tdHJhbnNmb3JtLWNvbG9tYmlhLXMtY29jb2Etc2VjdG9y0gEA?oc=5'}]",https://news.google.com/rss/articles/CBMia2h0dHBzOi8vd3d3LmNvbmZlY3Rpb25lcnluZXdzLmNvbS9BcnRpY2xlLzIwMjMvMDgvMTYvaW5ub3ZhdG9ycy1uZWVkZWQtdG8tdHJhbnNmb3JtLWNvbG9tYmlhLXMtY29jb2Etc2VjdG9y0gEA?oc=5,CBMia2h0dHBzOi8vd3d3LmNvbmZlY3Rpb25lcnluZXdzLmNvbS9BcnRpY2xlLzIwMjMvMDgvMTYvaW5ub3ZhdG9ycy1uZWVkZWQtdG8tdHJhbnNmb3JtLWNvbG9tYmlhLXMtY29jb2Etc2VjdG9y0gEA,False,"Wed, 16 Aug 2023 07:00:00 GMT","time.struct_time(tm_year=2023, tm_mon=8, tm_mday=16, tm_hour=7, tm_min=0, tm_sec=0, tm_wday=2, tm_yday=228, tm_isdst=0)","<a href=""https://news.google.com/rss/articles/CBMia2h0dHBzOi8vd3d3LmNvbmZlY3Rpb25lcnluZXdzLmNvbS9BcnRpY2xlLzIwMjMvMDgvMTYvaW5ub3ZhdG9ycy1uZWVkZWQtdG8tdHJhbnNmb3JtLWNvbG9tYmlhLXMtY29jb2Etc2VjdG9y0gEA?oc=5"" target=""_blank"">Innovators needed to transform Colombia's cocoa sector</a>&nbsp;&nbsp;<font color=""#6f6f6f"">ConfectioneryNews.com</font>",text/plain,,,Innovators needed to transform Colombia's cocoa sector - ConfectioneryNews.com,text/html,,,"<a href=""https://news.google.com/rss/articles/CBMia2h0dHBzOi8vd3d3LmNvbmZlY3Rpb25lcnluZXdzLmNvbS9BcnRpY2xlLzIwMjMvMDgvMTYvaW5ub3ZhdG9ycy1uZWVkZWQtdG8tdHJhbnNmb3JtLWNvbG9tYmlhLXMtY29jb2Etc2VjdG9y0gEA?oc=5"" target=""_blank"">Innovators needed to transform Colombia's cocoa sector</a>&nbsp;&nbsp;<font color=""#6f6f6f"">ConfectioneryNews.com</font>",https://www.confectionerynews.com,ConfectioneryNews.com,"https://news.google.com/rss/search?q=""Sustainable Practices"" ""new products""+after:2023-08-01+before:2023-08-31"
World Coffee Innovation Awards 2023: Judges Announced - FoodBev.com,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://news.google.com/rss/articles/CBMiUmh0dHBzOi8vd3d3LmZvb2RiZXYuY29tL25ld3Mvd29ybGQtY29mZmVlLWlubm92YXRpb24tYXdhcmRzLTIwMjMtanVkZ2VzLWFubm91bmNlZC_SAQA?oc=5'}]",https://news.google.com/rss/articles/CBMiUmh0dHBzOi8vd3d3LmZvb2RiZXYuY29tL25ld3Mvd29ybGQtY29mZmVlLWlubm92YXRpb24tYXdhcmRzLTIwMjMtanVkZ2VzLWFubm91bmNlZC_SAQA?oc=5,CBMiUmh0dHBzOi8vd3d3LmZvb2RiZXYuY29tL25ld3Mvd29ybGQtY29mZmVlLWlubm92YXRpb24tYXdhcmRzLTIwMjMtanVkZ2VzLWFubm91bmNlZC_SAQA,False,"Wed, 09 Aug 2023 07:00:00 GMT","time.struct_time(tm_year=2023, tm_mon=8, tm_mday=9, tm_hour=7, tm_min=0, tm_sec=0, tm_wday=2, tm_yday=221, tm_isdst=0)","<a href=""https://news.google.com/rss/articles/CBMiUmh0dHBzOi8vd3d3LmZvb2RiZXYuY29tL25ld3Mvd29ybGQtY29mZmVlLWlubm92YXRpb24tYXdhcmRzLTIwMjMtanVkZ2VzLWFubm91bmNlZC_SAQA?oc=5"" target=""_blank"">World Coffee Innovation Awards 2023: Judges Announced</a>&nbsp;&nbsp;<font color=""#6f6f6f"">FoodBev.com</font>",text/plain,,,World Coffee Innovation Awards 2023: Judges Announced - FoodBev.com,text/html,,,"<a href=""https://news.google.com/rss/articles/CBMiUmh0dHBzOi8vd3d3LmZvb2RiZXYuY29tL25ld3Mvd29ybGQtY29mZmVlLWlubm92YXRpb24tYXdhcmRzLTIwMjMtanVkZ2VzLWFubm91bmNlZC_SAQA?oc=5"" target=""_blank"">World Coffee Innovation Awards 2023: Judges Announced</a>&nbsp;&nbsp;<font color=""#6f6f6f"">FoodBev.com</font>",https://www.foodbev.com,FoodBev.com,"https://news.google.com/rss/search?q=""Sustainable Practices"" ""new products""+after:2023-08-01+before:2023-08-31"
"US Government Promotes 'Unfree Market,' Invests in Animal Products 800 Times More Than Plants - VegNews","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://news.google.com/rss/articles/CBMiPGh0dHBzOi8vdmVnbmV3cy5jb20vZ292ZXJubWVudC1mdW5kaW5nLWFuaW1hbC1wcm9kdWN0cy1zdHVkedIBAA?oc=5'}]",https://news.google.com/rss/articles/CBMiPGh0dHBzOi8vdmVnbmV3cy5jb20vZ292ZXJubWVudC1mdW5kaW5nLWFuaW1hbC1wcm9kdWN0cy1zdHVkedIBAA?oc=5,CBMiPGh0dHBzOi8vdmVnbmV3cy5jb20vZ292ZXJubWVudC1mdW5kaW5nLWFuaW1hbC1wcm9kdWN0cy1zdHVkedIBAA,False,"Mon, 21 Aug 2023 07:00:00 GMT","time.struct_time(tm_year=2023, tm_mon=8, tm_mday=21, tm_hour=7, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=233, tm_isdst=0)","<a href=""https://news.google.com/rss/articles/CBMiPGh0dHBzOi8vdmVnbmV3cy5jb20vZ292ZXJubWVudC1mdW5kaW5nLWFuaW1hbC1wcm9kdWN0cy1zdHVkedIBAA?oc=5"" target=""_blank"">US Government Promotes 'Unfree Market,' Invests in Animal Products 800 Times More Than Plants</a>&nbsp;&nbsp;<font color=""#6f6f6f"">VegNews</font>",text/plain,,,"US Government Promotes 'Unfree Market,' Invests in Animal Products 800 Times More Than Plants - VegNews",text/html,,,"<a href=""https://news.google.com/rss/articles/CBMiPGh0dHBzOi8vdmVnbmV3cy5jb20vZ292ZXJubWVudC1mdW5kaW5nLWFuaW1hbC1wcm9kdWN0cy1zdHVkedIBAA?oc=5"" target=""_blank"">US Government Promotes 'Unfree Market,' Invests in Animal Products 800 Times More Than Plants</a>&nbsp;&nbsp;<font color=""#6f6f6f"">VegNews</font>",https://vegnews.com,VegNews,"https://news.google.com/rss/search?q=""Sustainable Practices"" ""new products""+after:2023-08-01+before:2023-08-31"
Regenerative Business: 21 Things to Know Now - WholeFoods Magazine,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://news.google.com/rss/articles/CBMiXWh0dHBzOi8vd3d3Lndob2xlZm9vZHNtYWdhemluZS5jb20vYXJ0aWNsZXMvMTYzNTktcmVnZW5lcmF0aXZlLWJ1c2luZXNzLTIxLXRoaW5ncy10by1rbm93LW5vd9IBAA?oc=5'}]",https://news.google.com/rss/articles/CBMiXWh0dHBzOi8vd3d3Lndob2xlZm9vZHNtYWdhemluZS5jb20vYXJ0aWNsZXMvMTYzNTktcmVnZW5lcmF0aXZlLWJ1c2luZXNzLTIxLXRoaW5ncy10by1rbm93LW5vd9IBAA?oc=5,CBMiXWh0dHBzOi8vd3d3Lndob2xlZm9vZHNtYWdhemluZS5jb20vYXJ0aWNsZXMvMTYzNTktcmVnZW5lcmF0aXZlLWJ1c2luZXNzLTIxLXRoaW5ncy10by1rbm93LW5vd9IBAA,False,"Wed, 23 Aug 2023 07:00:00 GMT","time.struct_time(tm_year=2023, tm_mon=8, tm_mday=23, tm_hour=7, tm_min=0, tm_sec=0, tm_wday=2, tm_yday=235, tm_isdst=0)","<a href=""https://news.google.com/rss/articles/CBMiXWh0dHBzOi8vd3d3Lndob2xlZm9vZHNtYWdhemluZS5jb20vYXJ0aWNsZXMvMTYzNTktcmVnZW5lcmF0aXZlLWJ1c2luZXNzLTIxLXRoaW5ncy10by1rbm93LW5vd9IBAA?oc=5"" target=""_blank"">Regenerative Business: 21 Things to Know Now</a>&nbsp;&nbsp;<font color=""#6f6f6f"">WholeFoods Magazine</font>",text/plain,,,Regenerative Business: 21 Things to Know Now - WholeFoods Magazine,text/html,,,"<a href=""https://news.google.com/rss/articles/CBMiXWh0dHBzOi8vd3d3Lndob2xlZm9vZHNtYWdhemluZS5jb20vYXJ0aWNsZXMvMTYzNTktcmVnZW5lcmF0aXZlLWJ1c2luZXNzLTIxLXRoaW5ncy10by1rbm93LW5vd9IBAA?oc=5"" target=""_blank"">Regenerative Business: 21 Things to Know Now</a>&nbsp;&nbsp;<font color=""#6f6f6f"">WholeFoods Magazine</font>",https://www.wholefoodsmagazine.com,WholeFoods Magazine,"https://news.google.com/rss/search?q=""Sustainable Practices"" ""new products""+after:2023-08-01+before:2023-08-31"
Away Relaunches Classic Collection In Time For Late Summer Travel - Forbes,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://news.google.com/rss/articles/CBMigwFodHRwczovL3d3dy5mb3JiZXMuY29tL3NpdGVzL2Nhcm9saW5ldGVsbC8yMDIzLzA4LzA4L2F3YXktcmVsYXVuY2hlcy1jbGFzc2ljLWNvbGxlY3Rpb24tanVzdC1pbi10aW1lLWZvci1sYXRlLXN1bW1lci10cmF2ZWwtc2Vhc29uL9IBAA?oc=5'}]",https://news.google.com/rss/articles/CBMigwFodHRwczovL3d3dy5mb3JiZXMuY29tL3NpdGVzL2Nhcm9saW5ldGVsbC8yMDIzLzA4LzA4L2F3YXktcmVsYXVuY2hlcy1jbGFzc2ljLWNvbGxlY3Rpb24tanVzdC1pbi10aW1lLWZvci1sYXRlLXN1bW1lci10cmF2ZWwtc2Vhc29uL9IBAA?oc=5,CBMigwFodHRwczovL3d3dy5mb3JiZXMuY29tL3NpdGVzL2Nhcm9saW5ldGVsbC8yMDIzLzA4LzA4L2F3YXktcmVsYXVuY2hlcy1jbGFzc2ljLWNvbGxlY3Rpb24tanVzdC1pbi10aW1lLWZvci1sYXRlLXN1bW1lci10cmF2ZWwtc2Vhc29uL9IBAA,False,"Tue, 08 Aug 2023 07:00:00 GMT","time.struct_time(tm_year=2023, tm_mon=8, tm_mday=8, tm_hour=7, tm_min=0, tm_sec=0, tm_wday=1, tm_yday=220, tm_isdst=0)","<a href=""https://news.google.com/rss/articles/CBMigwFodHRwczovL3d3dy5mb3JiZXMuY29tL3NpdGVzL2Nhcm9saW5ldGVsbC8yMDIzLzA4LzA4L2F3YXktcmVsYXVuY2hlcy1jbGFzc2ljLWNvbGxlY3Rpb24tanVzdC1pbi10aW1lLWZvci1sYXRlLXN1bW1lci10cmF2ZWwtc2Vhc29uL9IBAA?oc=5"" target=""_blank"">Away Relaunches Classic Collection In Time For Late Summer Travel</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Forbes</font>",text/plain,,,Away Relaunches Classic Collection In Time For Late Summer Travel - Forbes,text/html,,,"<a href=""https://news.google.com/rss/articles/CBMigwFodHRwczovL3d3dy5mb3JiZXMuY29tL3NpdGVzL2Nhcm9saW5ldGVsbC8yMDIzLzA4LzA4L2F3YXktcmVsYXVuY2hlcy1jbGFzc2ljLWNvbGxlY3Rpb24tanVzdC1pbi10aW1lLWZvci1sYXRlLXN1bW1lci10cmF2ZWwtc2Vhc29uL9IBAA?oc=5"" target=""_blank"">Away Relaunches Classic Collection In Time For Late Summer Travel</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Forbes</font>",https://www.forbes.com,Forbes,"https://news.google.com/rss/search?q=""Sustainable Practices"" ""new products""+after:2023-08-01+before:2023-08-31"
